# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:50:57+0100
# parameter filename: "./TOV_K_105.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_105-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.55-8594
# Run ID: run-TOV_K_105-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.55-8594
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.5 7.70970864441741e-07 7.7097086444176e-07 7.7097086444176e-07
1024 1 2.82999488031593e-06 2.82999488031593e-06 2.82999488031593e-06
1536 1.5 5.06884616560454e-06 5.06884616560455e-06 5.06884616560451e-06
2048 2 8.18041225779269e-06 8.18041225779271e-06 8.18041225779268e-06
2560 2.5 1.0374984821326e-05 1.0374984821326e-05 1.0374984821326e-05
3072 3 1.21328540465753e-05 1.21328540465753e-05 1.21328540465752e-05
3584 3.5 1.17912154606965e-05 1.17912154606965e-05 1.17912154606963e-05
4096 4 7.79407478612084e-06 7.79407478612082e-06 7.79407478612078e-06
4608 4.5 7.09912094668756e-06 7.09912094668757e-06 7.09912094668757e-06
5120 5 7.2146947283282e-06 7.21469472832822e-06 7.21469472832824e-06
5632 5.5 1.04149008710315e-05 1.04149008710314e-05 1.04149008710296e-05
6144 6 1.12013767491304e-05 1.12013767491305e-05 1.1201376749126e-05
6656 6.5 1.33182041397185e-05 1.33182041397185e-05 1.33182041397122e-05
7168 7 1.37989696649465e-05 1.37989696649377e-05 1.37989696649587e-05
7680 7.5 1.65386770895142e-05 1.65386770895214e-05 1.65386770895238e-05
8192 8 1.8017333820235e-05 1.80173338202306e-05 1.80173338202201e-05
8704 8.5 2.0588514777025e-05 2.05885147770362e-05 2.05885147770861e-05
9216 9 2.18976235167265e-05 2.18976235167016e-05 2.18976235165638e-05
9728 9.5 2.30119917688998e-05 2.3011991768851e-05 2.30119917688301e-05
10240 10 2.6248391451564e-05 2.62483914515408e-05 2.62483914516238e-05
10752 10.5 2.99497180787592e-05 2.99497180787503e-05 2.99497180788349e-05
11264 11 3.25721877372163e-05 3.25721877370298e-05 3.25721877371676e-05
11776 11.5 3.39231313482342e-05 3.3923131348134e-05 3.39231313480678e-05
12288 12 3.23209299460285e-05 3.2320929946235e-05 3.23209299459426e-05
12800 12.5 3.17147470261825e-05 3.17147470261604e-05 3.17147470260288e-05
13312 13 3.09550253825922e-05 3.09550253826674e-05 3.09550253825566e-05
13824 13.5 2.9221244441944e-05 2.92212444419858e-05 2.92212444420084e-05
