# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:50:57+0100
# parameter filename: "./TOV_K_105.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_105-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.55-8594
# Run ID: run-TOV_K_105-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.55-8594
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
0 0 0.13439999920717
512 0.5 0.134072175768064
1024 1 0.133741041756206
1536 1.5 0.133416383844271
2048 2 0.133108495692677
2560 2.5 0.132822877748567
3072 3 0.132555335562121
3584 3.5 0.132310888952239
4096 4 0.132086826721446
4608 4.5 0.131875321154948
5120 5 0.131680255833831
5632 5.5 0.131513100312395
6144 6 0.131373131762926
6656 6.5 0.131258166222172
7168 7 0.131165002620164
7680 7.5 0.13108990788715
8192 8 0.131029037168584
8704 8.5 0.130978506155697
9216 9 0.130934301532565
9728 9.5 0.130892510376412
10240 10 0.130849862635533
10752 10.5 0.130803864906255
11264 11 0.130752216763041
11776 11.5 0.130692430194856
12288 12 0.130622276897125
12800 12.5 0.130540874342874
13312 13 0.130448419239895
13824 13.5 0.130344638740908
14336 14 0.130228239999615
14848 14.5 0.130098264391782
15360 15 0.12995515402947
15872 15.5 0.129799720999189
16384 16 0.129631678528618
16896 16.5 0.129450196742623
17408 17 0.12925563541636
17920 17.5 0.129049729252674
18432 18 0.128836343644264
18944 18.5 0.128620476513647
19456 19 0.128401336287656
19968 19.5 0.128178838126378
20480 20 0.127953467545824
20992 20.5 0.127725212386319
21504 21 0.127493225571248
22016 21.5 0.12725647844275
22528 22 0.127014365206715
23040 22.5 0.126766687362535
23552 23 0.126513417259871
24064 23.5 0.126254725685711
24576 24 0.125991162341141
25088 24.5 0.125723507851116
25600 25 0.125452117241728
26112 25.5 0.125176330182551
26624 26 0.124894841934648
27136 26.5 0.124606791293709
27648 27 0.124312578315779
28160 27.5 0.124013468647721
28672 28 0.123710372882683
29184 28.5 0.123403129056051
29696 29 0.123090841285245
30208 29.5 0.122772664648535
30720 30 0.122448337856723
31232 30.5 0.122118317008082
31744 31 0.12178344346427
32256 31.5 0.121444189221036
32768 32 0.121098417184899
33280 32.5 0.120742755627619
33792 33 0.120376824063292
34304 33.5 0.120001670414183
34816 34 0.119619274171255
35328 34.5 0.119231453079308
35840 35 0.118839056308205
36352 35.5 0.118442333810698
36864 36 0.118041839624809
37376 36.5 0.117638914686052
37888 37 0.117235486321533
38400 37.5 0.116833320031219
38912 38 0.116433317325383
39424 38.5 0.116035682187662
39936 39 0.11564085155177
40448 39.5 0.115250238029595
40960 40 0.114865920169801
41472 40.5 0.114489510109471
41984 41 0.114121402410368
42496 41.5 0.113761287991319
43008 42 0.113409394966069
43520 42.5 0.113066988414862
44032 43 0.112735459340934
44544 43.5 0.112415018040805
45056 44 0.112104825672132
45568 44.5 0.111804228498282
46080 45 0.111513542357605
46592 45.5 0.111233464956678
47104 46 0.110963450801798
47616 46.5 0.110700877263346
48128 47 0.110445115575497
48640 47.5 0.110196562834867
49152 48 0.109955840645329
49664 48.5 0.109722873697787
50176 49 0.10949703361956
50688 49.5 0.109278079809276
51200 50 0.109066508788628
51712 50.5 0.10886285351892
52224 51 0.108666957812959
52736 51.5 0.108478117143943
53248 52 0.108295991657682
53760 52.5 0.108121047922818
54272 53 0.107953943292806
54784 53.5 0.107794655941642
55296 54 0.107642499940505
55808 54.5 0.10749817103644
56320 55 0.107367468902722
56832 55.5 0.107250946385292
57344 56 0.107147799725543
57856 56.5 0.107056903889154
58368 57 0.106977282337489
58880 57.5 0.106908287522347
59392 58 0.106849297559703
59904 58.5 0.106799641873658
60416 59 0.106758572026529
60928 59.5 0.106725587219601
61440 60 0.106700207649428
