# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:50:57+0100
# parameter filename: "./TOV_K_105.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_105-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.55-8594
# Run ID: run-TOV_K_105-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.55-8594
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.5 1.00068715044746
1024 1 1.00059984646752
1536 1.5 1.000522103005
2048 2 1.00045330654789
2560 2.5 1.00040605731052
3072 3 1.00058016490142
3584 3.5 1.00078284481296
4096 4 1.00101324057858
4608 4.5 1.00126959970881
5120 5 1.0015498341654
5632 5.5 1.00185132609433
6144 6 1.00217150043474
6656 6.5 1.00250693374409
7168 7 1.00284313892117
7680 7.5 1.00318740300893
8192 8 1.00353725054408
8704 8.5 1.00389051692811
9216 9 1.00424513178393
9728 9.5 1.00459890352017
10240 10 1.004949790035
10752 10.5 1.0052963793978
11264 11 1.00583872387442
11776 11.5 1.00639089407458
12288 12 1.00694707621002
12800 12.5 1.00750156175395
13312 13 1.00804845545539
13824 13.5 1.00858213834528
14336 14 1.00909725353007
14848 14.5 1.00958881877608
15360 15 1.01005250138274
15872 15.5 1.01048467901567
16384 16 1.01088222022559
16896 16.5 1.0112428670255
17408 17 1.01156544287293
17920 17.5 1.01184950466453
18432 18 1.01209654922476
18944 18.5 1.0123891256371
19456 19 1.01264774843723
19968 19.5 1.012873147625
20480 20 1.01328262795561
20992 20.5 1.01375179506079
21504 21 1.01422325338372
22016 21.5 1.01469600414646
22528 22 1.01515921703623
23040 22.5 1.0155974071516
23552 23 1.01600238669088
24064 23.5 1.01636949798802
24576 24 1.01669661452912
25088 24.5 1.01698356075773
25600 25 1.01723177159675
26112 25.5 1.0174425810053
26624 26 1.0176098974459
27136 26.5 1.01790247990524
