# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:50:57+0100
# parameter filename: "./TOV_K_105.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_105-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.55-8594
# Run ID: run-TOV_K_105-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.55-8594
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 1.94369774515776e-05 1.94369774515781e-05 1.94369774515785e-05
1024 1 3.25643056501718e-05 3.25643056501752e-05 3.25643056501787e-05
1536 1.5 4.30576117398827e-05 4.30576117398789e-05 4.30576117398753e-05
2048 2 4.77681456712865e-05 4.77681456712959e-05 4.77681456713052e-05
2560 2.5 5.80500200466138e-05 5.80500200466078e-05 5.8050020046602e-05
3072 3 6.30093976989876e-05 6.30093976989752e-05 6.30093976989582e-05
3584 3.5 5.97722054976109e-05 5.97722054975924e-05 5.9772205497577e-05
4096 4 5.60474316001554e-05 5.60474316001537e-05 5.60474316001699e-05
4608 4.5 5.3658597361009e-05 5.36585973609939e-05 5.36585973609602e-05
5120 5 4.97481676437729e-05 4.97481676437598e-05 4.97481676438434e-05
5632 5.5 4.98470011661434e-05 4.98470011661272e-05 4.98470011660332e-05
6144 6 5.37110657717074e-05 5.37110657716918e-05 5.37110657714042e-05
6656 6.5 5.56171621573432e-05 5.5617162157331e-05 5.56171621571491e-05
7168 7 5.25507146499836e-05 5.25507146498432e-05 5.25507146499493e-05
7680 7.5 4.80347186774394e-05 4.80347186773549e-05 4.80347186772746e-05
8192 8 4.61379158488282e-05 4.61379158491399e-05 4.61379158485391e-05
8704 8.5 4.5842776772516e-05 4.58427767728407e-05 4.58427767725709e-05
9216 9 4.37999377237177e-05 4.37999377235841e-05 4.37999377241768e-05
9728 9.5 4.49739916720948e-05 4.49739916718389e-05 4.49739916715789e-05
10240 10 3.46530250462993e-05 3.46530250466573e-05 3.46530250473906e-05
10752 10.5 3.08180352830907e-05 3.08180352833407e-05 3.08180352832729e-05
11264 11 4.163823101475e-05 4.1638231013687e-05 4.16382310146718e-05
11776 11.5 4.09967697663501e-05 4.09967697657566e-05 4.09967697660727e-05
12288 12 4.42827557567049e-05 4.42827557559361e-05 4.42827557564346e-05
12800 12.5 5.17072442575216e-05 5.17072442570511e-05 5.17072442588813e-05
13312 13 5.022238674422e-05 5.02223867445205e-05 5.02223867477727e-05
13824 13.5 4.47968944042655e-05 4.47968944023976e-05 4.47968944031045e-05
14336 14 2.7518803327735e-05 2.75188033260686e-05 2.75188033292727e-05
14848 14.5 3.14883468555339e-05 3.14883468551063e-05 3.14883468559207e-05
15360 15 3.12154973834867e-05 3.12154973822025e-05 3.12154973823819e-05
15872 15.5 2.98971150366991e-05 2.98971150379333e-05 2.98971150379791e-05
16384 16 4.40304966345267e-05 4.40304966341071e-05 4.40304966339527e-05
16896 16.5 6.15479946926014e-05 6.15479946924296e-05 6.15479946916389e-05
17408 17 7.10907549960988e-05 7.10907549978281e-05 7.10907549965846e-05
17920 17.5 7.2130063730738e-05 7.21300637324546e-05 7.21300637325453e-05
18432 18 7.8052667790069e-05 7.80526677892652e-05 7.80526677901119e-05
18944 18.5 7.04998939301279e-05 7.04998939329167e-05 7.04998939327225e-05
19456 19 5.20775265649128e-05 5.20775265679416e-05 5.20775265674461e-05
19968 19.5 3.98627460790859e-05 3.98627460787525e-05 3.98627460804225e-05
20480 20 4.5286364620737e-05 4.52863646206388e-05 4.52863646240923e-05
20992 20.5 5.67337081042944e-05 5.67337081009738e-05 5.67337081018655e-05
21504 21 7.33715728604811e-05 7.33715728588942e-05 7.33715728593552e-05
22016 21.5 8.41739627480859e-05 8.41739627502416e-05 8.41739627513617e-05
22528 22 8.77628236285368e-05 8.77628236334078e-05 8.77628236329144e-05
23040 22.5 8.28521272809695e-05 8.28521272852417e-05 8.28521272815373e-05
