# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:50:57+0100
# parameter filename: "./TOV_K_105.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_105-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.55-8594
# Run ID: run-TOV_K_105-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.50.55-8594
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 -2.20816241113617e-05 -2.20816241113611e-05 -2.20816241113595e-05
1024 1 -3.63691422401213e-05 -3.63691422401091e-05 -3.63691422400968e-05
1536 1.5 -4.94178680652794e-05 -4.94178680652742e-05 -4.94178680652691e-05
2048 2 -3.44429263528587e-05 -3.4442926352863e-05 -3.44429263528673e-05
2560 2.5 -2.935497200708e-05 -2.93549720070565e-05 -2.93549720070327e-05
3072 3 -4.84983013170731e-05 -4.84983013170734e-05 -4.84983013170788e-05
3584 3.5 -4.13770815410566e-05 -4.13770815410458e-05 -4.13770815410371e-05
4096 4 -2.91028217189025e-05 -2.91028217189232e-05 -2.91028217189439e-05
4608 4.5 -2.64762557174251e-05 -2.6476255717456e-05 -2.64762557174886e-05
5120 5 -3.45980686785543e-05 -3.45980686785505e-05 -3.4598068678557e-05
5632 5.5 -3.89094770495302e-05 -3.89094770495215e-05 -3.89094770494131e-05
6144 6 -2.67084720559369e-05 -2.6708472055891e-05 -2.6708472055792e-05
6656 6.5 -4.73098129088204e-05 -4.73098129088484e-05 -4.7309812908799e-05
7168 7 -3.8572365210903e-05 -3.85723652110372e-05 -3.85723652109065e-05
7680 7.5 -3.68219064258631e-05 -3.68219064263172e-05 -3.68219064261131e-05
8192 8 -3.25032687955868e-05 -3.25032687953819e-05 -3.25032687963207e-05
8704 8.5 -2.05889106461239e-05 -2.05889106461878e-05 -2.05889106463341e-05
9216 9 -3.23334901411876e-05 -3.23334901407829e-05 -3.23334901413765e-05
9728 9.5 -3.71213363877768e-05 -3.7121336387916e-05 -3.71213363882218e-05
10240 10 -4.48221625002416e-05 -4.48221625001776e-05 -4.4822162500558e-05
10752 10.5 -5.3601356238769e-05 -5.36013562384474e-05 -5.36013562385988e-05
11264 11 -6.72877521160702e-05 -6.72877521156023e-05 -6.72877521156442e-05
11776 11.5 -8.23932965891867e-05 -8.2393296589022e-05 -8.23932965891691e-05
12288 12 -8.98773098200924e-05 -8.9877309820116e-05 -8.98773098203953e-05
12800 12.5 -9.2453830906354e-05 -9.24538309076843e-05 -9.24538309079624e-05
13312 13 -8.49029822288005e-05 -8.49029822292587e-05 -8.49029822298365e-05
13824 13.5 -6.42647784754965e-05 -6.42647784751749e-05 -6.42647784759844e-05
14336 14 -5.79903835743306e-05 -5.79903835727348e-05 -5.79903835739495e-05
14848 14.5 -5.30963835024583e-05 -5.30963835007732e-05 -5.3096383501493e-05
15360 15 -4.97236327932375e-05 -4.97236327928103e-05 -4.97236327930967e-05
15872 15.5 -5.46942818474495e-05 -5.46942818465992e-05 -5.46942818469018e-05
16384 16 -5.35080223033633e-05 -5.35080223027829e-05 -5.35080223030318e-05
16896 16.5 -5.61095699828002e-05 -5.61095699833988e-05 -5.6109569983783e-05
17408 17 -6.35543649272398e-05 -6.35543649269369e-05 -6.35543649267862e-05
17920 17.5 -6.61211887554115e-05 -6.61211887542553e-05 -6.61211887533372e-05
18432 18 -6.30873809307651e-05 -6.30873809294157e-05 -6.30873809286535e-05
18944 18.5 -5.90468477406579e-05 -5.90468477398107e-05 -5.90468477399793e-05
19456 19 -5.75180388452372e-05 -5.7518038845607e-05 -5.75180388464231e-05
19968 19.5 -5.57417172360343e-05 -5.57417172366208e-05 -5.57417172374833e-05
20480 20 -5.0118181253786e-05 -5.01181812536496e-05 -5.01181812539758e-05
20992 20.5 -4.46181019775449e-05 -4.4618101976526e-05 -4.46181019767465e-05
21504 21 -4.90672632958149e-05 -4.90672632945643e-05 -4.90672632945476e-05
22016 21.5 -5.76602770127031e-05 -5.76602770121158e-05 -5.76602770124913e-05
22528 22 -6.80060095887195e-05 -6.80060095897981e-05 -6.80060095908912e-05
23040 22.5 -7.28162145483679e-05 -7.2816214550448e-05 -7.28162145523161e-05
23552 23 -7.52038467154788e-05 -7.52038467144146e-05 -7.52038467157522e-05
24064 23.5 -7.76243418532304e-05 -7.76243418517987e-05 -7.76243418505486e-05
24576 24 -7.7912705109176e-05 -7.79127051075076e-05 -7.79127051052756e-05
25088 24.5 -7.29974667213374e-05 -7.29974667214632e-05 -7.29974667199483e-05
25600 25 -6.6105173439487e-05 -6.61051734407283e-05 -6.61051734407591e-05
26112 25.5 -6.22055273726178e-05 -6.2205527373828e-05 -6.2205527374848e-05
26624 26 -6.09664804916559e-05 -6.09664804926452e-05 -6.09664804936199e-05
27136 26.5 -5.8865444157124e-05 -5.88654441569767e-05 -5.88654441577554e-05
27648 27 -6.07103344733805e-05 -6.07103344786419e-05 -6.07103344778041e-05
28160 27.5 -5.64278059806226e-05 -5.64278059785237e-05 -5.64278059780441e-05
28672 28 -6.02192270019182e-05 -6.02192270013743e-05 -6.0219227000539e-05
29184 28.5 -6.23810740606284e-05 -6.23810740617907e-05 -6.23810740613065e-05
29696 29 -5.81681712552856e-05 -5.81681712566727e-05 -5.81681712564946e-05
30208 29.5 -4.90053809136511e-05 -4.90053809138998e-05 -4.90053809146158e-05
30720 30 -4.14543817126759e-05 -4.14543817122924e-05 -4.14543817135285e-05
