# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Jan 13 2025 at 12:06:04+0100
# parameter filename: "./TOV_K_105_res_1_0.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_105_res_1_0-vlab1557-p0003.laboratori.local-es858465-2025.01.13-11.06.00-4523
# Run ID: run-TOV_K_105_res_1_0-vlab1557-p0003.laboratori.local-es858465-2025.01.13-11.06.00-4523
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 3.31017684936523 0 1.49522829055786 0 1.90860772132874 0 0 0 0 0 0 0 0 0 42.9764246603523 171376.758030205 0 171376.758030205 160 645211 2347 642864 0 0 0 0 3.30756163597107 1736766364.61714 266
512 0.25 282.416039014969 282.416039014969 6.62251687049866 3.18678784370422 4.68391132354736 0 1.94202327728271 3 161047.432452687 161047.432452687 513224 513224 116019.01919214 116019.01919214 369728 369728 93.8819143926511 339942.285338234 8330.73031561162 331611.555022622 186 659214 16350 642864 0 0 0 0 6.607750415802 1736766367.92948 905
1024 0.5 335.772346731469 335.772346731469 8.79650402069092 5.36077499389648 6.78569078445435 0 2.04571175575256 6 191473.807643235 191473.807643235 1026448 1026448 137938.26468037 137938.26468037 739456 739456 121.343939657305 332736.023387347 8735.76903286972 324000.254354478 284 678199 17767 660432 0 0 0 0 8.77623987197876 1736766370.10347 1544
1536 0.75 362.492507036991 339.702096010563 10.8841588497162 7.44842982292175 8.82496786117554 0 2.06252980232239 9 206710.949368392 206710.949368392 1539672 1539672 148915.144046414 148915.144046414 1109184 1109184 148.602048912841 329946.568230423 9222.55395720187 320724.014273221 310 679627 19195 660432 0 0 0 0 10.8595337867737 1736766372.19112 2183
2048 1 373.270476765174 345.878631693088 13.0802099704742 9.64448094367981 10.9363162517548 0 2.21049094200134 12 212857.074630366 212857.074630366 2052896 2052896 153342.829814927 153342.829814927 1478912 1478912 191.240823376677 462670.789759325 9536.38691203942 453134.402847286 492 1323933 20637 1303296 0 0 0 0 13.0503897666931 1736766374.38718 2822
2560 1.25 377.504400548641 350.598146296636 15.3561198711395 11.9203908443451 13.1314589977264 0 2.23113393783569 15 215271.464963528 215271.464963528 2566120 2566120 155082.163340053 155082.163340053 1848640 1848640 231.04645123345 595649.438454409 9809.13552298898 585840.30293142 518 1325323 22027 1303296 0 0 0 0 15.3218760490417 1736766376.66309 3461
3072 1.5 384.034495285984 354.956092692709 17.4969658851624 14.0612368583679 15.2163996696472 0 2.31403422355652 18 218995.244231838 218995.244231838 3079344 3079344 157764.78430344 157764.78430344 2218368 2218368 252.568855962769 585473.463088377 10205.7988238428 575267.664264534 616 1344339 23475 1320864 0 0 0 0 17.4575643539429 1736766378.80393 4100
3584 1.75 387.73439916199 358.797844544415 19.6839649677277 16.2482359409332 17.3567411899567 0 2.33173871040344 21 221105.110306126 221105.110306126 3592568 3592568 159284.737703738 159284.737703738 2588096 2588096 274.146391118036 578185.91097792 10615.2232698745 567570.687708046 642 1345773 24909 1320864 0 0 0 0 19.6399085521698 1736766380.99093 4739
4096 2 379.685878874816 362.145426841808 22.3987729549408 18.9630439281464 19.978725194931 0 2.49879145622253 24 216515.450555165 216515.450555165 4105792 4105792 155978.334027365 155978.334027365 2957824 2957824 306.605519222069 685136.065245799 10808.8775900416 674327.187655757 824 1990078 26350 1963728 0 0 0 0 22.3496513366699 1736766383.70574 5378
4608 2.25 384.540068396434 363.944456301758 24.499853849411 21.0641248226166 21.9861853122711 0 2.51971793174744 27 219283.546736324 219283.546736324 4619016 4619016 157972.478231196 157972.478231196 3327552 3327552 336.55988747132 792170.873199413 10950.9267404528 781219.94645896 850 1991460 27732 1963728 0 0 0 0 24.4464936256409 1736766385.80682 6017
5120 2.5 382.892612898095 365.933331641852 26.9410140514374 23.5052850246429 24.3763427734375 0 2.59650754928589 30 218344.087068902 218344.087068902 5132240 5132240 157295.68886843 157295.68886843 3697280 3697280 354.041474160434 780352.63901766 11299.6937457812 769052.945271879 948 2010477 29181 1981296 0 0 0 0 26.8804342746735 1736766388.24798 6656
5632 2.75 384.137794456798 367.38083775705 29.2077310085297 25.7720019817352 26.5964331626892 0 2.61463069915771 33 219054.150469217 219054.150469217 5645464 5645464 157807.220521026 157807.220521026 4067008 4067008 371.462796381162 770384.352441622 11644.4012882082 758739.951153414 974 2011906 30610 1981296 0 0 0 0 29.1444067955017 1736766390.5147 7295
6144 3 381.700448680729 368.697696442423 31.7301678657532 28.2944388389587 29.0323214530945 0 2.76518249511719 36 217664.256748576 217664.256748576 6158688 6158688 156805.937210921 156805.937210921 4436736 4436736 398.095308524842 861500.487609128 11809.4194875246 849691.068121604 1156 2656213 32053 2624160 0 0 0 0 31.6618523597717 1736766393.03713 7934
6656 3.25 385.369288412101 369.61894398632 33.796217918396 30.3604888916016 31.0154271125793 0 2.78409194946289 39 219756.408528903 219756.408528903 6671912 6671912 158313.129184477 158313.129184477 4806464 4806464 423.620503036743 955626.721162 11952.715008434 943674.006153565 1182 2657602 33442 2624160 0 0 0 0 33.7236721515656 1736766395.10318 8573
7168 3.5 383.238149549682 370.452901364704 36.3134579658508 32.8777289390564 33.4916679859161 0 2.85039281845093 42 218541.12896054 218541.12896054 7185136 7185136 157437.638396339 157437.638396339 5176192 5176192 439.437381526423 945317.340754657 12292.5519782315 933024.788776425 1280 2676616 34888 2641728 0 0 0 0 36.2360863685608 1736766397.62042 9212
7680 3.75 388.144950907222 371.284119245415 38.2165498733521 34.7808208465576 35.3525912761688 0 2.86729860305786 45 221339.226982676 221339.226982676 7698360 7698360 159453.396010028 159453.396010028 5545920 5545920 454.615510601497 935014.913495511 12610.5174968385 922404.395998672 1306 2678049 36321 2641728 0 0 0 0 38.1346957683563 1736766399.52352 9851
8192 4 392.327951888122 372.283353797988 40.1397159099579 36.7039868831635 37.2024087905884 0 2.99628686904907 48 223724.578644255 223724.578644255 8211584 8211584 161171.809995213 161171.809995213 5915648 5915648 478.669728040491 1018054.93211138 12791.3079814632 1005263.62412992 1488 3322355 37763 3284592 0 0 0 0 40.0530214309692 1736766401.44668 10490
8704 4.25 370.933649727548 372.711081525768 44.6829979419708 41.2472689151764 41.6733214855194 0 3.01575756072998 51 211524.501608634 211524.501608634 8724808 8724808 152382.840496074 152382.840496074 6285376 6285376 501.715058694508 1104285.80882034 12941.9226829204 1091343.88613742 1514 3323748 39156 3284592 0 0 0 0 44.5707697868347 1736766405.98996 11129
9216 4.5 346.073361921359 370.131182638189 50.2466130256653 46.8108839988708 47.1282768249512 0 3.17946982383728 54 197347.950109697 197347.950109697 9238032 9238032 142170.013284956 142170.013284956 6655104 6655104 504.114982739836 1069043.80587205 12957.5508858688 1056086.25498618 1612 3342767 40607 3302160 0 0 0 0 50.1439323425293 1736766411.55358 11768
9728 4.75 328.334281960107 366.34961773169 55.5167968273163 52.0810678005219 52.3089582920074 0 3.21115326881409 57 187232.259471882 187232.259471882 9751256 9751256 134882.641556163 134882.641556163 7024832 7024832 509.377258865894 1042446.17152405 13042.7387599083 1029403.43276414 1638 3344204 42044 3302160 0 0 0 0 55.4059572219849 1736766416.82376 12407
10240 5 329.071739221816 364.563384357377 58.1350479125977 54.6993188858032 54.8336880207062 0 3.361487865448 60 187652.793655975 187652.793655975 10264480 10264480 135185.595554448 135185.595554448 7394560 7394560 526.449722815355 1107574.18752823 13116.110153986 1094458.07737425 1820 3988522 43498 3945024 0 0 0 0 58.0187854766846 1736766419.44201 13046
10752 5.25 325.388383177203 362.395753776659 61.520162820816 58.0844337940216 58.1453318595886 0 3.37825489044189 63 185552.363964152 185552.363964152 10777704 10777704 133672.440150379 133672.440150379 7764288 7764288 545.805114733826 1182202.61869025 13248.0709444893 1168954.54774576 1846 3989943 44919 3945024 0 0 0 0 61.3878722190857 1736766422.82713 13685
11264 5.5 313.610114358123 358.740334669665 66.5714478492737 63.1357188224792 63.1146755218506 0 3.50433993339539 66 178835.819257037 178835.819257037 11290928 11290928 128833.822623778 128833.822623778 8134016 8134016 550.802835609184 1157108.60338371 13364.2009436121 1143744.4024401 1944 4008993 46401 3962592 0 0 0 0 66.4318783283234 1736766427.87841 14324
11776 5.75 302.352764952695 354.603904296569 71.8988039493561 68.4630749225616 68.372190952301 0 3.53571176528931 69 172416.328266757 172416.328266757 11804152 11804152 124209.2034227 124209.2034227 8503744 8503744 557.475402501419 1137139.2334086 13513.8162423258 1123625.41716628 1970 4010459 47867 3962592 0 0 0 0 71.7539489269257 1736766433.20577 14963
12288 6 289.36004264505 349.448408997878 78.0832159519196 74.6474869251251 74.4155814647675 0 3.75822687149048 72 165007.242807181 165007.242807181 12317376 12317376 118871.677607854 118871.677607854 8873472 8873472 564.396481506352 1178627.80905319 13399.372312632 1165228.43674056 2152 4654797 49341 4605456 0 0 0 0 77.9250423908234 1736766439.39018 15602
12800 6.25 281.163461692125 345.027059114023 83.4603519439697 80.0246229171753 79.6847667694092 0 3.78465437889099 75 160333.151626088 160333.151626088 12830600 12830600 115504.449293896 115504.449293896 9243200 9243200 575.804782434299 1233188.9719696 13389.7124982445 1219799.25947136 2178 4656219 50763 4605456 0 0 0 0 83.2889482975006 1736766444.76732 16241
13312 6.5 272.723223763913 340.368654583628 89.2370028495789 85.8012738227844 85.3711197376251 0 3.92086911201477 78 155520.115325567 155520.115325567 13343824 13343824 112037.124528649 112037.124528649 9612928 9612928 578.393069641977 1207003.6431189 13461.0898707955 1193542.55324811 2276 4675268 52244 4623024 0 0 0 0 89.0530824661255 1736766450.54397 16880
13824 6.75 258.06984446237 333.562623923059 97.596284866333 94.1605558395386 93.6488192081451 0 3.95190167427063 81 147164.042060395 147164.042060395 13857048 13857048 106017.386059314 106017.386059314 9982656 9982656 582.145659768685 1184690.23037602 13552.9994767731 1171137.23089924 2302 4676733 53709 4623024 0 0 0 0 97.4009816646576 1736766458.90325 17519
14336 7 256.262305942508 330.320350082356 101.772469997406 98.3367409706116 97.7431118488312 0 4.09244394302368 84 146133.29522782 146133.29522782 14370272 14370272 105274.833168346 105274.833168346 10352384 10352384 596.124720471815 1238174.12501905 13645.5976293513 1224528.52738969 2484 5321067 55179 5265888 0 0 0 0 101.579111337662 1736766463.07944 18158
14848 7.25 252.710051768248 326.679128409516 106.716147899628 103.280418872833 102.610582113266 0 4.10916090011597 87 144107.626231897 144107.626231897 14883496 14883496 103815.535577967 103815.535577967 10722112 10722112 610.390901133456 1296356.52598239 13734.7695626554 1282621.75641973 2510 5322486 56598 5265888 0 0 0 0 106.516911268234 1736766468.02311 18797
