# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Jan 13 2025 at 12:06:04+0100
# parameter filename: "./TOV_K_105_res_1_0.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_105_res_1_0-vlab1557-p0003.laboratori.local-es858465-2025.01.13-11.06.00-4523
# Run ID: run-TOV_K_105_res_1_0-vlab1557-p0003.laboratori.local-es858465-2025.01.13-11.06.00-4523
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 0.000280574327058813
512 0.25 0.000285145759901346
1024 0.5 0.000291328697881184
1536 0.75 0.000274152006886549
2048 1 0.000252239416290665
2560 1.25 0.000242477966217316
3072 1.5 0.000239058211897043
3584 1.75 0.00023598926022075
4096 2 0.000228921087088469
4608 2.25 0.000214945010641797
5120 2.5 0.000203206179276662
5632 2.75 0.000201870725590735
6144 3 0.000201687052079234
6656 3.25 0.000192108355948495
7168 3.5 0.000179707998768235
7680 3.75 0.00021958654451025
8192 4 0.000260610089648894
8704 4.25 0.000303028436574579
9216 4.5 0.000345371779998563
9728 4.75 0.000385644886152864
10240 5 0.000422978089010817
10752 5.25 0.000458401790139729
11264 5.5 0.000494099565746739
11776 5.75 0.000531714746770259
12288 6 0.000571083262059888
12800 6.25 0.000610466928297346
13312 6.5 0.000648139029286204
13824 6.75 0.000684002954669818
14336 7 0.000719844375182327
14848 7.25 0.000757982715659369
15360 7.5 0.000799454028799884
15872 7.75 0.000843144245622512
16384 8 0.000886387103320965
16896 8.25 0.000926564752526962
17408 8.5 0.000963132573139416
17920 8.75 0.000998688897072719
18432 9 0.00103782267501434
18944 9.25 0.00108418667984064
19456 9.5 0.00113459728934019
19968 9.75 0.00117938324450294
20480 10 0.0012106610876734
20992 10.25 0.00123186406383458
21504 10.5 0.00125672205162376
22016 10.75 0.00129564608116654
22528 11 0.00134414173555186
23040 11.25 0.00138818654250174
23552 11.5 0.00142025276812228
24064 11.75 0.00144514040073256
24576 12 0.0014700879231006
25088 12.25 0.00149643763390134
25600 12.5 0.00152411510301799
26112 12.75 0.00155636210805242
26624 13 0.00159333014188968
27136 13.25 0.00162710296518991
27648 13.5 0.0016514402440861
28160 13.75 0.00167189322908023
28672 14 0.00169717587753615
29184 14.25 0.00172499692330393
29696 14.5 0.00174782020274124
30208 14.75 0.0017686333070546
30720 15 0.00179806922660689
31232 15.25 0.00183551866111577
31744 15.5 0.00186757021650928
32256 15.75 0.00188790563889031
32768 16 0.00190552504766391
33280 16.25 0.00192933626898549
33792 16.5 0.00195718653019293
34304 16.75 0.00198511775150351
34816 17 0.00201521785427804
35328 17.25 0.00204763785200979
35840 17.5 0.00207549615821045
36352 17.75 0.0020952204649099
36864 18 0.00211357748691252
37376 18.25 0.00213797080414624
37888 18.5 0.00216731909658939
38400 18.75 0.00219777793802139
38912 19 0.00222912238951631
39424 19.25 0.00225960475905035
39936 19.5 0.00228295055077658
40448 19.75 0.00229798351128334
40960 20 0.00231481803331222
41472 20.25 0.00234370585190344
41984 20.5 0.00238148682534546
42496 20.75 0.00241521395328217
43008 21 0.00243677786696431
43520 21.25 0.00244984095461918
44032 21.5 0.00246468125356192
44544 21.75 0.00248911977196278
45056 22 0.00252224787562441
45568 22.25 0.00255508590596165
46080 22.5 0.0025793810240444
46592 22.75 0.0025963318396441
47104 23 0.00261429063905678
47616 23.25 0.00263856797555985
48128 23.5 0.0026670852019689
48640 23.75 0.00269512698017318
49152 24 0.00271958262088517
49664 24.25 0.0027387338536215
50176 24.5 0.0027532551668409
50688 24.75 0.00276856929568742
51200 25 0.00279145304188745
51712 25.25 0.00282213415007217
52224 25.5 0.00285287834166509
52736 25.75 0.00287630071585415
53248 26 0.00289312564027967
53760 26.25 0.00291055609910153
54272 26.5 0.00293422426589346
