# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Jan 13 2025 at 12:06:04+0100
# parameter filename: "./TOV_K_105_res_1_0.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_105_res_1_0-vlab1557-p0003.laboratori.local-es858465-2025.01.13-11.06.00-4523
# Run ID: run-TOV_K_105_res_1_0-vlab1557-p0003.laboratori.local-es858465-2025.01.13-11.06.00-4523
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.25 1.10262791067005e-05 1.10262791067206e-05 1.10262791067408e-05
1024 0.5 1.56405431874613e-05 1.56405431874789e-05 1.56405431874839e-05
1536 0.75 1.64256572768613e-05 1.64256572769054e-05 1.64256572769108e-05
2048 1 1.44187234206797e-05 1.44187234207006e-05 1.44187234206951e-05
2560 1.25 1.82839890733901e-05 1.82839890733672e-05 1.82839890731538e-05
3072 1.5 2.21472624998747e-05 2.21472624998523e-05 2.21472624993097e-05
3584 1.75 2.55449378601366e-05 2.55449378601266e-05 2.55449378610671e-05
4096 2 2.81298340014287e-05 2.81298340014306e-05 2.81298340034769e-05
4608 2.25 2.98486954025278e-05 2.98486954025531e-05 2.98486954047215e-05
5120 2.5 3.20723826686786e-05 3.20723826685602e-05 3.20723826685309e-05
5632 2.75 3.39438592622596e-05 3.39438592621953e-05 3.39438592620274e-05
6144 3 3.52178884037813e-05 3.52178884037908e-05 3.5217888403524e-05
6656 3.25 3.60505218574441e-05 3.6050521857492e-05 3.60505218571927e-05
7168 3.5 3.71177610810319e-05 3.71177610808282e-05 3.71177610811775e-05
7680 3.75 3.85712652265343e-05 3.85712652261033e-05 3.85712652286905e-05
8192 4 3.95865871299822e-05 3.95865871290222e-05 3.95865871316022e-05
8704 4.25 4.03253612017592e-05 4.03253612014908e-05 4.03253612000785e-05
9216 4.5 4.09403238875241e-05 4.09403238886799e-05 4.09403238862384e-05
9728 4.75 4.13303140291121e-05 4.13303140313686e-05 4.13303140311623e-05
