# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Jan 10 2025 at 18:27:23+0100
# parameter filename: "./TOV_K_105_res_1_5.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_105_res_1_5-vlab1557-p0003.laboratori.local-es858465-2025.01.10-17.27.20-8277
# Run ID: run-TOV_K_105_res_1_5-vlab1557-p0003.laboratori.local-es858465-2025.01.10-17.27.20-8277
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -0.000436452650291769
512 0.375 -0.000427748259047646
1024 0.75 -0.000483704123720088
1536 1.125 -0.000544776412700247
2048 1.5 -0.000603746656387545
2560 1.875 -0.00065665004909065
3072 2.25 -0.000700093266185433
3584 2.625 -0.000733706562211512
4096 3 -0.000764467983891869
4608 3.375 -0.000801522301867047
5120 3.75 -0.000846437717357677
5632 4.125 -0.000895708369954426
6144 4.5 -0.000945067706156381
6656 4.875 -0.000991188822363966
7168 5.25 -0.00103407202384312
7680 5.625 -0.00107767350912464
8192 6 -0.00112399484444484
8704 6.375 -0.00117194137740007
9216 6.75 -0.00121874963241978
9728 7.125 -0.00126225948982145
10240 7.5 -0.00130224273063528
10752 7.875 -0.00134043267684684
11264 8.25 -0.00137977472716001
11776 8.625 -0.00142298322474017
12288 9 -0.00147044955776485
12800 9.375 -0.00151914398199415
13312 9.75 -0.00156512457301954
13824 10.125 -0.00160842708414961
14336 10.5 -0.00165426904032334
14848 10.875 -0.00170711728584884
15360 11.25 -0.00176424413341655
15872 11.625 -0.00181861271556895
16384 12 -0.00186844704459774
16896 12.375 -0.00191789620598821
17408 12.75 -0.0019693882757942
17920 13.125 -0.00201526633735006
18432 13.5 -0.00204930597965372
18944 13.875 -0.00207679622542135
19456 14.25 -0.0021097744304447
19968 14.625 -0.00214891336833335
20480 15 -0.00217966335741034
20992 15.375 -0.00219248157138249
21504 15.75 -0.00219927758527001
22016 16.125 -0.00221977099994514
22528 16.5 -0.00225495761795921
23040 16.875 -0.00228540578529733
23552 17.25 -0.00229638350953862
24064 17.625 -0.00229548178732486
24576 18 -0.00230099034730989
25088 18.375 -0.00231905695750471
25600 18.75 -0.00234051907912941
26112 19.125 -0.00235571922128667
26624 19.5 -0.00236457367755946
27136 19.875 -0.00237143336135147
27648 20.25 -0.00237701567762684
28160 20.625 -0.00238060079563571
28672 21 -0.00238692345627549
29184 21.375 -0.00240315941433864
29696 21.75 -0.00242704350123368
30208 22.125 -0.0024447625045739
30720 22.5 -0.00244684726902695
31232 22.875 -0.00244270216378836
31744 23.25 -0.00245189233611207
32256 23.625 -0.00248020179900369
32768 24 -0.00251191640314327
33280 24.375 -0.00252833600621298
33792 24.75 -0.00252889590182133
34304 25.125 -0.0025295359140839
34816 25.5 -0.00254346802289329
35328 25.875 -0.00256867599535924
35840 26.25 -0.00259364557669633
36352 26.625 -0.00261008553066518
36864 27 -0.0026181257957083
37376 27.375 -0.00262309130516796
37888 27.75 -0.0026310762560708
38400 28.125 -0.00264592442160663
38912 28.5 -0.00266614633633485
39424 28.875 -0.00268427260787259
39936 29.25 -0.00269286277296798
40448 29.625 -0.00269320930697088
40960 30 -0.00269593413672315
41472 30.375 -0.00270939821371368
41984 30.75 -0.0027299077810544
42496 31.125 -0.0027459947170674
43008 31.5 -0.00275230516480007
43520 31.875 -0.00275530527327087
44032 32.25 -0.00276380155198611
44544 32.625 -0.00277797979022901
45056 33 -0.00279155485558567
45568 33.375 -0.0028017479903837
46080 33.75 -0.00281147469721041
46592 34.125 -0.00282234835500158
47104 34.5 -0.00283186087267755
47616 34.875 -0.00283941549628411
48128 35.25 -0.00284936353564895
48640 35.625 -0.00286388644452829
49152 36 -0.00287722434778894
49664 36.375 -0.00288284841219331
50176 36.75 -0.00288408734741132
50688 37.125 -0.00289086347246227
51200 37.5 -0.0029057364204372
51712 37.875 -0.00291997639038072
52224 38.25 -0.00292611836299352
52736 38.625 -0.00292829114588506
53248 39 -0.00293499030435088
53760 39.375 -0.00294607195011813
54272 39.75 -0.0029543220928507
54784 40.125 -0.00295829110177314
55296 40.5 -0.00296476434614132
55808 40.875 -0.0029764251309254
56320 41.25 -0.00298578291281624
56832 41.625 -0.00298713843317686
57344 42 -0.0029874121527393
57856 42.375 -0.0029964535299478
58368 42.75 -0.00301133257491209
58880 43.125 -0.0030204685115999
59392 43.5 -0.00302113954540309
59904 43.875 -0.00302221053359286
60416 44.25 -0.00302950150435871
60928 44.625 -0.00303878099424268
61440 45 -0.00304510438704131
61952 45.375 -0.00304991770502505
62464 45.75 -0.0030558166025459
62976 46.125 -0.003061544804619
63488 46.5 -0.00306570528699607
64000 46.875 -0.00307026662008308
64512 47.25 -0.00307719731466648
65024 47.625 -0.00308486686870107
65536 48 -0.00309057409158117
66048 48.375 -0.00309395381150085
66560 48.75 -0.00309785068340588
67072 49.125 -0.00310518103165026
67584 49.5 -0.003115690158222
68096 49.875 -0.00312661536958629
68608 50.25 -0.00313603629745241
69120 50.625 -0.00314441812684991
69632 51 -0.00315410147571718
70144 51.375 -0.00316715374515228
70656 51.75 -0.00318355357297501
71168 52.125 -0.00320048108718323
71680 52.5 -0.00321465700078605
72192 52.875 -0.00322642433486346
72704 53.25 -0.00323956042462111
73216 53.625 -0.00325640178827548
73728 54 -0.0032757805819066
74240 54.375 -0.00329564549702747
74752 54.75 -0.00331390465884814
75264 55.125 -0.0033284265513695
75776 55.5 -0.00334046421171302
76288 55.875 -0.0033560030023695
76800 56.25 -0.00337820936931582
77312 56.625 -0.00340099858912778
77824 57 -0.00341654712255695
78336 57.375 -0.0034266481886949
78848 57.75 -0.00343969583051831
79360 58.125 -0.00345902363746406
79872 58.5 -0.00348110968700935
80384 58.875 -0.00350144611641313
80896 59.25 -0.00351646799733764
81408 59.625 -0.00352401227466177
81920 60 -0.00352646121805914
82432 60.375 -0.00353224574686148
82944 60.75 -0.00354413697883743
83456 61.125 -0.00355382517664846
83968 61.5 -0.0035540795374842
84480 61.875 -0.00355078342291919
84992 62.25 -0.00355388039350968
85504 62.625 -0.0035628756650481
86016 63 -0.00357023449556437
86528 63.375 -0.003573979430168
87040 63.75 -0.0035777482510554
87552 64.125 -0.00358222036166277
88064 64.5 -0.00358527457349964
88576 64.875 -0.0035884213564258
89088 65.25 -0.00359532279113547
89600 65.625 -0.00360442317827127
90112 66 -0.00360931073464164
90624 66.375 -0.00360782320431313
91136 66.75 -0.00360675105263343
