# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:11+0100
# parameter filename: "./TOV_K_90.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.51.03-8609
# Run ID: run-TOV_K_90-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.51.03-8609
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.66986122441249
512 0.5 0.669954733172368
1024 1 0.670232865115979
1536 1.5 0.670680917477899
2048 2 0.671262489598177
2560 2.5 0.67192716920212
3072 3 0.672622076700267
3584 3.5 0.67330085120861
4096 4 0.673926442951673
4608 4.5 0.674468693687728
5120 5 0.674901254563349
5632 5.5 0.675201743483154
6144 6 0.675355269661053
6656 6.5 0.675360161576727
7168 7 0.675231378229416
7680 7.5 0.674998447289462
8192 8 0.674699256207526
8704 8.5 0.674371164164572
9216 9 0.674039270972432
9728 9.5 0.673705115516855
10240 10 0.673347050474813
10752 10.5 0.672941181296262
11264 11 0.672489832227076
11776 11.5 0.672025950172142
12288 12 0.671581114957586
12800 12.5 0.671151323317795
13312 13 0.670705207842305
13824 13.5 0.670224510178001
14336 14 0.669721380910999
14848 14.5 0.669211739815327
15360 15 0.668689064285797
15872 15.5 0.668138934001343
16384 16 0.667567684659201
16896 16.5 0.666996369895744
17408 17 0.666428664412171
17920 17.5 0.66584393249715
18432 18 0.665226444644101
18944 18.5 0.664586824870033
19456 19 0.663946684894167
19968 19.5 0.663312265037866
20480 20 0.66267326707372
20992 20.5 0.662022945591714
21504 21 0.661369768614892
22016 21.5 0.660729562474836
22528 22 0.660113051670287
23040 22.5 0.659522358420846
23552 23 0.658953765692089
24064 23.5 0.658398555405259
24576 24 0.657841330378984
25088 24.5 0.657262310317865
25600 25 0.656647404682821
26112 25.5 0.655999897529395
26624 26 0.655341021930055
27136 26.5 0.654694234965309
27648 27 0.654065560160751
28160 27.5 0.653439389256895
28672 28 0.652793887072213
29184 28.5 0.652119653634487
29696 29 0.651424422426451
30208 29.5 0.650723545189272
30720 30 0.65002767722241
31232 30.5 0.649335922298053
31744 31 0.648636590854954
32256 31.5 0.647915979190573
32768 32 0.647171270210151
33280 32.5 0.646416323330785
33792 33 0.645671802489661
34304 33.5 0.644946859382235
34816 34 0.64423074197825
35328 34.5 0.643503438890136
35840 35 0.642754850819922
36352 35.5 0.641994127062413
36864 36 0.641241276055088
37376 36.5 0.640509386054763
37888 37 0.639793269959102
38400 37.5 0.639074548776787
38912 38 0.638339060577668
39424 38.5 0.637590852673681
39936 39 0.636848850194603
40448 39.5 0.636128316882018
40960 40 0.635425180559574
41472 40.5 0.634719906625146
41984 41 0.633997891437481
42496 41.5 0.63326496783642
43008 42 0.632540681802494
43520 42.5 0.63183633045438
44032 43 0.631142613396634
44544 43.5 0.630441116912627
45056 44 0.62972567095348
45568 44.5 0.629007798845248
46080 45 0.628300521932841
46592 45.5 0.62760194607787
47104 46 0.626899399605994
47616 46.5 0.626187355053146
48128 47 0.62547458112405
48640 47.5 0.624771439355938
49152 48 0.624075520235063
49664 48.5 0.623375564311165
50176 49 0.622668003203655
50688 49.5 0.621963309028257
51200 50 0.62127345484715
51712 50.5 0.620597140646834
52224 51 0.619922026025363
52736 51.5 0.619240741044019
53248 52 0.618560148082228
53760 52.5 0.617892813189738
54272 53 0.617242252036943
54784 53.5 0.616600222269396
55296 54 0.615958083758755
55808 54.5 0.615317061671673
56320 55 0.614685468304636
56832 55.5 0.614068477083697
57344 56 0.613464275106032
57856 56.5 0.612869904932278
58368 57 0.612286848765696
58880 57.5 0.611718572686439
59392 58 0.611165040622035
59904 58.5 0.610623291070482
60416 59 0.610093351087321
60928 59.5 0.609580440765362
61440 60 0.609089938104769
61952 60.5 0.608622188882711
62464 61 0.608174104429248
62976 61.5 0.607744480535599
63488 62 0.607335362795091
64000 62.5 0.606948622936359
64512 63 0.606583850967889
65024 63.5 0.606240468197556
65536 64 0.60591986278776
66048 64.5 0.605623912217126
66560 65 0.605352820171605
67072 65.5 0.605106427185928
67584 66 0.604887302271699
68096 66.5 0.60470020105926
68608 67 0.604546439394506
69120 67.5 0.604420664931971
69632 68 0.604315213579777
70144 68.5 0.604227402257318
70656 69 0.604161452521784
71168 69.5 0.604123548595824
71680 70 0.604116004690038
72192 70.5 0.604135724195167
72704 71 0.604176581833893
73216 71.5 0.604233013073179
73728 72 0.604303290082946
74240 72.5 0.604391066526577
74752 73 0.604503049492995
75264 73.5 0.604643206589448
75776 74 0.604808445391957
76288 74.5 0.604990579301109
76800 75 0.605183153676501
77312 75.5 0.60538653891819
77824 76 0.605606661015929
78336 76.5 0.605849109032812
78848 77 0.606114141359107
79360 77.5 0.606396632665472
79872 78 0.606690697807241
80384 78.5 0.606994811177531
80896 79 0.607312409354881
81408 79.5 0.607647035765124
81920 80 0.607997358574831
82432 80.5 0.608358448880801
82944 81 0.608728338300182
83456 81.5 0.609111260526545
83968 82 0.609512318934289
84480 82.5 0.60992986644894
84992 83 0.610355991849873
85504 83.5 0.610785810939582
86016 84 0.611224191036933
86528 84.5 0.611680412614386
87040 85 0.612156619959707
87552 85.5 0.612644408828684
88064 86 0.613134163456721
88576 86.5 0.613625909867067
89088 87 0.614128608713228
89600 87.5 0.614649076132475
90112 88 0.615184009898646
90624 88.5 0.615724125545531
91136 89 0.61626462792775
91648 89.5 0.616809490755485
92160 90 0.617365439630368
92672 90.5 0.617933754427266
93184 91 0.618509441416281
93696 91.5 0.61908761888016
94208 92 0.619668751544009
94720 92.5 0.62025695434619
95232 93 0.620854431657932
95744 93.5 0.621458998645341
96256 94 0.622066875496847
96768 94.5 0.622676661569403
97280 95 0.623290095415378
97792 95.5 0.623909707224768
98304 96 0.624536393950096
98816 96.5 0.625168854816664
99328 97 0.625804708031703
99840 97.5 0.62644233659677
100352 98 0.627082219652554
100864 98.5 0.627726325063518
101376 99 0.628375628825138
101888 99.5 0.629028395977821
102400 100 0.62968168665077
102912 100.5 0.630334606751577
103424 101 0.630989141078698
103936 101.5 0.631647297629245
104448 102 0.632308190348417
104960 102.5 0.632968742134573
105472 103 0.633626891680667
105984 103.5 0.634283229855496
106496 104 0.634939426666516
107008 104.5 0.635595845050416
107520 105 0.636250977749433
108032 105.5 0.636902711034806
108544 106 0.637549823447372
109056 106.5 0.638192401102165
109568 107 0.638831120896744
110080 107.5 0.639466287959405
110592 108 0.64009752094191
111104 108.5 0.640724099273375
111616 109 0.641345198577875
112128 109.5 0.641959713544669
112640 110 0.642566449896375
113152 110.5 0.643165135217461
113664 111 0.64375701130889
114176 111.5 0.644343567708528
114688 112 0.644924412687149
115200 112.5 0.645497076460167
115712 113 0.646059484542556
116224 113.5 0.646612104184684
116736 114 0.647156994068284
117248 114.5 0.647695057587991
117760 115 0.648225110098874
118272 115.5 0.648745735893654
118784 116 0.649257101889378
119296 116.5 0.649760258198903
119808 117 0.650255157910714
120320 117.5 0.65074030979832
120832 118 0.651214522364113
121344 118.5 0.651678268298126
121856 119 0.652132807646888
122368 119.5 0.652578350846204
122880 120 0.653013844058508
123392 120.5 0.653438647833739
123904 121 0.653853648234771
124416 121.5 0.654260067234688
124928 122 0.654657561086872
125440 122.5 0.655044385255683
125952 123 0.655419528333734
126464 123.5 0.655783830442313
126976 124 0.656138566704831
127488 124.5 0.656483696931843
128000 125 0.656818286733006
128512 125.5 0.657142086420735
129024 126 0.657455563258331
129536 126.5 0.657758454494546
130048 127 0.658049460024999
130560 127.5 0.658327802736807
131072 128 0.658594256483493
131584 128.5 0.658850004718869
132096 129 0.659094871864443
132608 129.5 0.659327431239678
133120 130 0.659546589181265
133632 130.5 0.659752165822073
134144 131 0.65994413493425
134656 131.5 0.660122184472865
135168 132 0.660286314878566
135680 132.5 0.660437219562132
136192 133 0.660575549407247
136704 133.5 0.660701004478936
137216 134 0.660812570403177
137728 134.5 0.660909796141206
138240 135 0.660993703522398
138752 135.5 0.66106609048199
139264 136 0.661127645388475
139776 136.5 0.661176988973571
140288 137 0.661212167186747
140800 137.5 0.661233115143918
141312 138 0.661241982542609
141824 138.5 0.661240807856265
142336 139 0.661229588792697
142848 139.5 0.661207092169377
143360 140 0.66117282774685
143872 140.5 0.661127404702061
144384 141 0.661071407797235
144896 141.5 0.661004952252149
145408 142 0.660928290013898
145920 142.5 0.660841856577873
146432 143 0.660745420563509
146944 143.5 0.660638010684623
147456 144 0.660519261126989
147968 144.5 0.660390309236485
148480 145 0.660252662619583
148992 145.5 0.660106364343648
149504 146 0.659949942993804
150016 146.5 0.659782267450534
150528 147 0.659603920241983
151040 147.5 0.659416453954658
151552 148 0.659220645451881
152064 148.5 0.659015906770128
152576 149 0.658801307453693
153088 149.5 0.658576743544142
153600 150 0.658343074983318
154112 150.5 0.65810154213405
154624 151 0.65785285683353
155136 151.5 0.657597085078555
155648 152 0.657334038762795
156160 152.5 0.657063243340985
156672 153 0.656783695783884
157184 153.5 0.65649416820227
157696 154 0.65619399714751
158208 154.5 0.65588351868188
158720 155 0.655563688064489
159232 155.5 0.655235299741355
159744 156 0.654898496375888
160256 156.5 0.654552894090462
160768 157 0.654198200049385
161280 157.5 0.653834828978091
161792 158 0.65346386257716
162304 158.5 0.653086208820539
162816 159 0.652701847153156
163328 159.5 0.652310227489743
163840 160 0.651911478084897
164352 160.5 0.651506758205247
164864 161 0.651097050590816
165376 161.5 0.650681962176721
165888 162 0.650260325579523
166400 162.5 0.649831877773754
166912 163 0.649397628213389
167424 163.5 0.648958371346579
167936 164 0.648513534977707
168448 164.5 0.648062055427871
168960 165 0.647603955979787
169472 165.5 0.647140315881394
169984 166 0.646671764139024
170496 166.5 0.646197756743331
171008 167 0.645717614261032
171520 167.5 0.645231710265442
172032 168 0.644741130120574
172544 168.5 0.644246428973779
173056 169 0.643747302303179
173568 169.5 0.643243503950853
174080 170 0.642735573194799
174592 170.5 0.642224369825257
175104 171 0.641710208899877
175616 171.5 0.641192884933321
176128 172 0.640672501848219
176640 172.5 0.640149867321577
177152 173 0.639625873549294
177664 173.5 0.639100714125325
178176 174 0.638573960942719
178688 174.5 0.638045331373999
179200 175 0.63751514975518
179712 175.5 0.6369840573462
180224 176 0.636452496290183
180736 176.5 0.635920574086537
181248 177 0.63538825918297
181760 177.5 0.634855541628973
182272 178 0.634322492460907
182784 178.5 0.633789365422098
183296 179 0.633256660836016
183808 179.5 0.632724949222047
184320 180 0.632194581898271
184832 180.5 0.631665661062729
185344 181 0.631138304537039
185856 181.5 0.630612812004041
186368 182 0.630089535737106
186880 182.5 0.629568760435892
187392 183 0.629050837208049
187904 183.5 0.628536295976989
188416 184 0.628025631972293
188928 184.5 0.627519049596089
189440 185 0.627016626543165
189952 185.5 0.626518721432888
190464 186 0.626026015035613
190976 186.5 0.625539118492141
191488 187 0.625058345396397
192000 187.5 0.624583939523441
192512 188 0.624116296062866
193024 188.5 0.623655768084738
193536 189 0.62320239802678
194048 189.5 0.622756092862211
194560 190 0.622317071805834
195072 190.5 0.621885971141019
195584 191 0.621463472986142
196096 191.5 0.621049958456254
196608 192 0.620645565089125
197120 192.5 0.620250460106063
197632 193 0.619864967986321
198144 193.5 0.619489488853909
198656 194 0.619124363149036
199168 194.5 0.618769789559402
199680 195 0.618425844409513
200192 195.5 0.618092636691906
200704 196 0.617770496866521
201216 196.5 0.617459966076726
201728 197 0.617161527539272
202240 197.5 0.61687535762485
202752 198 0.616601377347301
203264 198.5 0.616339567846143
203776 199 0.616090516874504
204288 199.5 0.615855435877954
204800 200 0.615635283771188
205312 200.5 0.615429978656338
205824 201 0.615238491381676
206336 201.5 0.615059776188919
206848 202 0.614893651669042
207360 202.5 0.614740750284881
207872 203 0.614601599682137
208384 203.5 0.614475843394893
208896 204 0.614362466016882
209408 204.5 0.614260735629072
209920 205 0.614170757155234
210432 205.5 0.614093057580963
210944 206 0.614027811896884
211456 206.5 0.613974643631496
211968 207 0.613933079019019
212480 207.5 0.613902940416971
212992 208 0.613884228181027
213504 208.5 0.613876812998876
214016 209 0.613880420058157
214528 209.5 0.613894850794468
215040 210 0.613920048393441
215552 210.5 0.613955923270708
216064 211 0.614002251544549
216576 211.5 0.614058824216911
217088 212 0.614125611509293
217600 212.5 0.614202678516199
218112 213 0.614289970697917
218624 213.5 0.614387270062043
219136 214 0.614494340950068
219648 214.5 0.614611007925422
220160 215 0.614737063426235
220672 215.5 0.614872209055545
221184 216 0.615016187857313
221696 216.5 0.615168946032805
222208 217 0.615330582291339
222720 217.5 0.61550112503512
223232 218 0.615680392188175
223744 218.5 0.615868048553769
224256 219 0.616063741834125
224768 219.5 0.616267197370563
225280 220 0.616478272057373
225792 220.5 0.616696949505486
226304 221 0.61692319536017
226816 221.5 0.617156734564799
227328 222 0.617397020635952
227840 222.5 0.617643538266623
228352 223 0.617896157744897
228864 223.5 0.618155119065779
229376 224 0.618420638671335
229888 224.5 0.618692584275737
230400 225 0.618970551237329
230912 225.5 0.619254163933213
231424 226 0.619543194749578
231936 226.5 0.619837404233149
232448 227 0.620136405727764
232960 227.5 0.62043981884007
233472 228 0.620747558726967
233984 228.5 0.621059852927331
234496 229 0.621376856742949
235008 229.5 0.621698276944586
235520 230 0.622023507427869
236032 230.5 0.622352186897943
236544 231 0.622684485614958
237056 231.5 0.623020697636335
237568 232 0.623360625718745
238080 232.5 0.623703542740078
238592 233 0.624048758909982
239104 233.5 0.624396096499603
239616 234 0.624745758757134
240128 234.5 0.625097845220951
240640 235 0.62545210891192
241152 235.5 0.62580813745724
241664 236 0.626165627924661
242176 236.5 0.626524436877432
242688 237 0.626884448712555
243200 237.5 0.627245485874456
243712 238 0.627607360999224
244224 238.5 0.627969977943401
244736 239 0.628333321055614
245248 239.5 0.628697309878688
245760 240 0.629061700220783
246272 240.5 0.629426127969869
246784 241 0.629790231320106
247296 241.5 0.630153770875311
247808 242 0.630516673155822
248320 242.5 0.63087894315783
248832 243 0.6312404772873
249344 243.5 0.631600931099192
249856 244 0.631959805418264
250368 244.5 0.632316721041087
250880 245 0.632671616150944
251392 245.5 0.633024627930695
251904 246 0.633375770168212
252416 246.5 0.633724787230498
252928 247 0.634071343833993
253440 247.5 0.634415245972467
253952 248 0.63475635651603
254464 248.5 0.635094363261286
254976 249 0.635428827177606
255488 249.5 0.635759497489037
256000 250 0.636086380483515
256512 250.5 0.636409463698439
257024 251 0.636728493727758
257536 251.5 0.637043142102262
258048 252 0.637353329373306
258560 252.5 0.637659201589383
259072 253 0.63796073752757
259584 253.5 0.638257489501919
260096 254 0.638548795871197
260608 254.5 0.638834232694938
261120 255 0.639113852151985
261632 255.5 0.639388019271103
262144 256 0.639656987587849
262656 256.5 0.639920526188398
