# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:11+0100
# parameter filename: "./TOV_K_90.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.51.03-8609
# Run ID: run-TOV_K_90-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.51.03-8609
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.5 -9.41865965556864e-07 -9.41865965556908e-07 -9.41865965556912e-07
1024 1 -3.65645806808136e-06 -3.65645806808139e-06 -3.6564580680814e-06
1536 1.5 -5.98116517465274e-06 -5.98116517465274e-06 -5.98116517465274e-06
2048 2 -9.47709182793286e-06 -9.4770918279331e-06 -9.47709182793273e-06
2560 2.5 -1.19310006987863e-05 -1.1931000698787e-05 -1.19310006987862e-05
3072 3 -1.64880606501366e-05 -1.64880606501366e-05 -1.64880606501368e-05
3584 3.5 -2.18492589020733e-05 -2.18492589020732e-05 -2.18492589020735e-05
4096 4 -2.45851437585665e-05 -2.4585143758566e-05 -2.45851437585667e-05
4608 4.5 -2.87284603678718e-05 -2.87284603678788e-05 -2.87284603678715e-05
5120 5 -3.29059055070939e-05 -3.29059055070976e-05 -3.29059055070933e-05
5632 5.5 -3.7039336477866e-05 -3.70393364778794e-05 -3.70393364778656e-05
6144 6 -4.16841217042569e-05 -4.168412170427e-05 -4.16841217042595e-05
6656 6.5 -4.56991187145307e-05 -4.56991187146245e-05 -4.56991187145371e-05
7168 7 -4.83633854379095e-05 -4.83633854379748e-05 -4.83633854379181e-05
7680 7.5 -4.93275452156168e-05 -4.93275452156194e-05 -4.93275452156248e-05
8192 8 -5.28331272465023e-05 -5.28331272464587e-05 -5.28331272464919e-05
8704 8.5 -5.4613712042093e-05 -5.46137120421396e-05 -5.46137120421016e-05
9216 9 -5.43234833285888e-05 -5.43234833287169e-05 -5.432348332858e-05
9728 9.5 -5.59703962236223e-05 -5.59703962235672e-05 -5.59703962239068e-05
10240 10 -5.48236800404785e-05 -5.48236800404709e-05 -5.48236800404594e-05
10752 10.5 -5.33307884484651e-05 -5.33307884483969e-05 -5.3330788448193e-05
11264 11 -4.94433467710619e-05 -4.94433467709918e-05 -4.94433467710211e-05
11776 11.5 -4.5991461951822e-05 -4.59914619516781e-05 -4.59914619515978e-05
12288 12 -4.55167249140342e-05 -4.5516724913996e-05 -4.55167249140349e-05
12800 12.5 -4.57054191996912e-05 -4.57054191997554e-05 -4.57054191999682e-05
13312 13 -4.39741646729971e-05 -4.39741646728147e-05 -4.39741646732539e-05
13824 13.5 -4.30944507756893e-05 -4.30944507755626e-05 -4.30944507756948e-05
14336 14 -4.22506146536255e-05 -4.22506146536828e-05 -4.22506146532956e-05
14848 14.5 -4.08229778495954e-05 -4.08229778495193e-05 -4.08229778496627e-05
15360 15 -4.01000919846556e-05 -4.01000919845137e-05 -4.01000919846237e-05
15872 15.5 -3.84943540014285e-05 -3.84943540015044e-05 -3.84943540013174e-05
16384 16 -3.7904764934533e-05 -3.79047649346103e-05 -3.79047649348047e-05
16896 16.5 -3.63994000924427e-05 -3.63994000924503e-05 -3.63994000924554e-05
17408 17 -3.52419727520643e-05 -3.52419727525676e-05 -3.52419727522695e-05
17920 17.5 -3.41417219717892e-05 -3.41417219720485e-05 -3.41417219719051e-05
18432 18 -3.34239396920376e-05 -3.34239396921019e-05 -3.34239396919006e-05
18944 18.5 -3.30706800845702e-05 -3.30706800846365e-05 -3.30706800844797e-05
19456 19 -3.27459416366473e-05 -3.27459416367776e-05 -3.27459416367991e-05
19968 19.5 -3.20556880161706e-05 -3.20556880161422e-05 -3.20556880160123e-05
20480 20 -3.16338278402463e-05 -3.16338278400683e-05 -3.16338278401613e-05
20992 20.5 -3.10343314892267e-05 -3.10343314891913e-05 -3.1034331488962e-05
21504 21 -3.038441943616e-05 -3.03844194359769e-05 -3.03844194363331e-05
22016 21.5 -2.89986185886819e-05 -2.89986185885075e-05 -2.89986185892261e-05
22528 22 -2.82428728730855e-05 -2.82428728732596e-05 -2.82428728734438e-05
23040 22.5 -2.74356706175702e-05 -2.74356706175419e-05 -2.74356706175764e-05
23552 23 -2.66044750107419e-05 -2.66044750106164e-05 -2.66044750104976e-05
24064 23.5 -2.52871102181839e-05 -2.52871102181791e-05 -2.52871102181492e-05
24576 24 -2.39318280088618e-05 -2.39318280088723e-05 -2.39318280088164e-05
25088 24.5 -2.2819046712162e-05 -2.28190467121216e-05 -2.28190467121826e-05
25600 25 -2.1858017821001e-05 -2.18580178209621e-05 -2.18580178210109e-05
26112 25.5 -2.09411731609768e-05 -2.09411731608025e-05 -2.09411731608059e-05
26624 26 -2.01049176127982e-05 -2.01049176127263e-05 -2.0104917612816e-05
27136 26.5 -1.92992437804203e-05 -1.92992437803695e-05 -1.92992437804666e-05
27648 27 -1.85056127660577e-05 -1.85056127659675e-05 -1.85056127660818e-05
28160 27.5 -1.78135063075461e-05 -1.7813506307535e-05 -1.78135063076298e-05
28672 28 -1.7263010217913e-05 -1.72630102178907e-05 -1.72630102179198e-05
29184 28.5 -1.67733680926688e-05 -1.67733680925879e-05 -1.67733680925403e-05
29696 29 -1.62447844946072e-05 -1.62447844946064e-05 -1.62447844946147e-05
30208 29.5 -1.57223278136205e-05 -1.57223278135941e-05 -1.57223278135772e-05
30720 30 -1.51295849569039e-05 -1.51295849569246e-05 -1.51295849569041e-05
31232 30.5 -1.45695396943954e-05 -1.45695396943445e-05 -1.45695396944029e-05
31744 31 -1.40115346926344e-05 -1.40115346926943e-05 -1.40115346926192e-05
32256 31.5 -1.34967698451595e-05 -1.34967698451945e-05 -1.34967698452033e-05
32768 32 -1.29633810429444e-05 -1.29633810428615e-05 -1.29633810428673e-05
33280 32.5 -1.24460227928052e-05 -1.24460227927934e-05 -1.24460227928324e-05
33792 33 -1.21729427861398e-05 -1.21729427861623e-05 -1.21729427861256e-05
34304 33.5 -1.18944114662423e-05 -1.18944114662028e-05 -1.18944114662131e-05
34816 34 -1.15177144628497e-05 -1.15177144628071e-05 -1.15177144628692e-05
35328 34.5 -1.11321915522334e-05 -1.11321915522265e-05 -1.11321915522287e-05
35840 35 -1.06479091712617e-05 -1.06479091713215e-05 -1.06479091713677e-05
36352 35.5 -1.03073350906143e-05 -1.03073350906525e-05 -1.03073350906183e-05
36864 36 -9.93382299849695e-06 -9.93382299845317e-06 -9.93382299839181e-06
37376 36.5 -9.55342056194274e-06 -9.5534205618765e-06 -9.5534205618209e-06
37888 37 -8.94425223903115e-06 -8.94425223894181e-06 -8.94425223891416e-06
38400 37.5 -8.26517793032176e-06 -8.265177930284e-06 -8.26517793025583e-06
38912 38 -7.55404294569457e-06 -7.55404294571497e-06 -7.55404294568284e-06
39424 38.5 -6.73299481068766e-06 -6.73299481070347e-06 -6.73299481068801e-06
39936 39 -5.81883397809995e-06 -5.81883397811168e-06 -5.81883397809659e-06
40448 39.5 -4.93316521474526e-06 -4.93316521478155e-06 -4.93316521474835e-06
40960 40 -4.13324243022669e-06 -4.13324243027115e-06 -4.13324243021307e-06
41472 40.5 -3.40356968612269e-06 -3.40356968615709e-06 -3.4035696860826e-06
41984 41 -3.90734436473736e-06 -3.90734436477943e-06 -3.90734436492743e-06
42496 41.5 -3.68083432595101e-06 -3.68083432539356e-06 -3.68083432597145e-06
43008 42 -4.0079113047468e-06 -4.0079113043175e-06 -4.00791130461701e-06
43520 42.5 -2.86247459818662e-06 -2.86247459805049e-06 -2.86247459802494e-06
44032 43 -2.05575850440675e-06 -2.05575850436243e-06 -2.05575850439888e-06
44544 43.5 -1.94603807088601e-06 -1.94603807081218e-06 -1.9460380707538e-06
45056 44 -1.90600174266909e-06 -1.90600174275225e-06 -1.90600174258227e-06
45568 44.5 -1.86761479004855e-06 -1.8676147900887e-06 -1.86761478996129e-06
46080 45 -1.8014189589376e-06 -1.8014189589034e-06 -1.80141895898484e-06
46592 45.5 -1.69865035770646e-06 -1.69865035786543e-06 -1.69865035772438e-06
47104 46 -1.67487277746602e-06 -1.67487277765536e-06 -1.67487277749459e-06
47616 46.5 -1.63802874022175e-06 -1.63802874034026e-06 -1.63802874020124e-06
48128 47 -1.60801958634543e-06 -1.608019586135e-06 -1.60801958579837e-06
48640 47.5 -1.58761263370143e-06 -1.58761263374404e-06 -1.58761263342863e-06
