# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:11+0100
# parameter filename: "./TOV_K_90.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.51.03-8609
# Run ID: run-TOV_K_90-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.51.03-8609
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 7.76759505271912 0 4.57911372184753 0 3.29078412055969 0 0 0 0 0 0 0 0 0 24.4630568304687 35768.7526333499 0 35768.7526333499 160 427327 2239 425088 0 0 0 0 7.76512312889099 1735404671.39312 266
512 0.5 58.2170616788011 58.2170616788011 38.8081719875336 30.9187710285187 35.5010747909546 0 3.30899024009705 3 7740.54052081339 7740.54052081339 239328 239328 3800.40978639214 3800.40978639214 117504 117504 55.0331572317468 133213.804679139 4675.70170480495 128538.102974334 186 440747 15659 425088 0 0 0 0 38.7898893356323 1735404702.4337 905
1024 1 92.9675712281198 73.662745268937 46.6125810146332 38.7231800556183 43.1988277435303 0 3.4902708530426 6 12360.9682704908 12360.9682704908 478656 478656 6068.92304977166 6068.92304977166 235008 235008 71.4755814561751 130983.397009104 4942.65363077886 126040.743378325 284 455976 17064 438912 0 0 0 0 46.6003193855286 1735404710.23811 1544
1536 1.5 113.292109997747 78.4733409478359 55.5537970066071 47.6643960475922 52.0517113208771 0 3.51073384284973 9 15063.3189453005 15063.3189453005 717984 717984 7395.70894065294 7395.70894065294 352512 352512 87.3765028785173 130541.92302114 5213.17912762448 125328.743893516 310 457370 18458 438912 0 0 0 0 55.5121035575867 1735404719.17932 2183
2048 2 123.771667186368 86.2886593543232 66.0610339641571 58.1716330051422 62.3721694946289 0 3.80402016639709 12 16456.6808690995 16456.6808690995 957312 957312 8079.8144339261 8079.8144339261 470016 470016 111.145314062579 155237.744495731 5337.95702245424 149899.787473277 492 883882 19882 864000 0 0 0 0 66.0115871429443 1735404729.68656 2822
2560 2.5 127.747224995398 91.5843420143599 78.3410291671753 70.4516282081604 74.5216181278229 0 3.82926917076111 15 16985.2710353881 16985.2710353881 1196640 1196640 8339.33884769959 8339.33884769959 587520 587520 134.57572246195 231728.397619666 5515.51005716624 226212.8875625 518 885265 21265 864000 0 0 0 0 78.2734870910645 1735404741.96656 3461
3072 3 146.074580019505 93.8850251000775 81.8242361545563 73.9348351955414 77.9100461006165 0 3.99742341041565 18 19422.0761593933 19422.0761593933 1435968 1435968 9535.74858367326 9535.74858367326 705024 705024 147.156881005364 227807.027178581 5747.29374148726 222059.733437094 616 900513 22689 877824 0 0 0 0 81.7367701530457 1735404745.44976 4100
3584 3.5 162.181421445466 96.9315955025108 85.5801739692688 77.6907730102539 81.5588774681091 0 4.02320837974548 21 21563.6417953891 21563.6417953891 1675296 1675296 10587.20319196 10587.20319196 822528 822528 158.655299308572 224233.154590805 5939.37800734472 218293.776583461 642 901908 24084 877824 0 0 0 0 85.4630608558655 1735404749.2057 4739
4096 4 176.653766707611 100.441286341067 89.4047870635986 81.5153861045837 85.2173657417297 0 4.30731916427612 24 23487.884821444 23487.884821444 1914624 1914624 11531.9578906729 11531.9578906729 940032 940032 177.197359177805 242914.653628887 6045.24791135707 236869.40571753 824 1328417 25505 1302912 0 0 0 0 89.2975418567657 1735404753.03031 5378
4608 4.5 171.126872044594 110.10917635169 102.556005954742 94.6666049957275 98.2349572181702 0 4.32296848297119 27 22753.0289070492 22753.0289070492 2153952 2153952 11171.1622070711 11171.1622070711 1057536 1057536 195.78580376557 307705.161653588 6178.36123301349 301526.800420574 850 1329810 26898 1302912 0 0 0 0 102.420168876648 1735404766.18153 6017
5120 5 183.388033297445 112.562752980277 106.041934013367 98.1525330543518 101.606504440308 0 4.50608849525452 30 24383.2729072282 24383.2729072282 2393280 2393280 11971.5708136572 11971.5708136572 1175040 1175040 204.715233337311 301262.815244841 6343.01583118052 294919.79941366 948 1345063 28327 1316736 0 0 0 0 105.902258872986 1735404769.66746 6656
5632 5.5 195.579577388897 114.961013352793 109.126965045929 101.237564086914 104.608193397522 0 4.52870273590088 33 26004.2606096277 26004.2606096277 2632608 2632608 12767.4348119472 12767.4348119472 1292544 1292544 214.660105770549 297926.539499867 6534.07658039301 291392.462919474 974 1346462 29726 1316736 0 0 0 0 108.967950105667 1735404772.75249 7295
6144 6 197.577993465877 120.982855813659 117.213317155838 109.323916196823 112.503181219101 0 4.82436966896057 36 26269.970011223 26269.970011223 2871936 2871936 12897.8914134524 12897.8914134524 1410048 1410048 228.01889678454 310341.998539564 6574.9694734827 303767.029066081 1156 1772983 31159 1741824 0 0 0 0 117.02793097496 1735404780.83884 7934
6656 6.5 193.475919037889 127.343030226476 128.834685087204 120.945284128189 123.997427463531 0 4.8391215801239 39 25724.5581952777 25724.5581952777 3111264 3111264 12630.1079947934 12630.1079947934 1527552 1527552 243.526413444495 366773.93226227 6688.91395026322 360085.018312006 1182 1774381 32557 1741824 0 0 0 0 128.640023708344 1735404792.46021 8573
7168 7 202.07127545655 129.508362768584 132.597872972488 124.708472013474 127.652328014374 0 5.02456617355347 42 26867.3967847028 26867.3967847028 3350592 3350592 13191.2128618036 13191.2128618036 1645056 1645056 250.730710265896 360084.483122138 6835.64708971684 353248.836032421 1280 1789646 33998 1755648 0 0 0 0 132.405498743057 1735404796.2234 9212
7680 7.5 210.414170155971 131.701346677312 136.207755088806 128.318354129791 131.168783187866 0 5.05139994621277 45 27976.6680639379 27976.6680639379 3589920 3589920 13735.8370277818 13735.8370277818 1762560 1762560 258.386040961477 355398.687511225 6984.75813953929 348413.929371686 1306 1791044 35396 1755648 0 0 0 0 136.008676767349 1735404799.83328 9851
8192 8 218.278871292758 134.006131065939 139.830709934235 131.94130897522 134.602841615677 0 5.33863139152527 48 29022.3587270851 29022.3587270851 3829248 3829248 14249.2447179912 14249.2447179912 1880064 1880064 268.943269861833 364648.817421996 7008.59275088019 357640.224671116 1488 2217568 36832 2180736 0 0 0 0 139.620973110199 1735404803.45624 10490
8704 8.5 225.445623037276 136.481800454519 143.620579004288 135.731178045273 138.269306659698 0 5.35313844680786 51 29975.2500390362 29975.2500390362 4068576 4068576 14717.0902718734 14717.0902718734 1997568 1997568 282.175883185386 414624.944709353 7107.65544169283 407517.28926766 1514 2218971 38235 2180736 0 0 0 0 143.397334098816 1735404807.2461 11129
9216 9 232.17175821062 139.040648540234 147.441257953644 139.551856994629 141.991568088531 0 5.51347088813782 54 30869.556971684 30869.556971684 4307904 4307904 15156.1723759893 15156.1723759893 2115072 2115072 288.45678174525 408353.329286958 7244.26544944066 401109.063837517 1612 2234228 39668 2194560 0 0 0 0 147.200027942657 1735404811.06678 11768
9728 9.5 224.599783604132 145.714358196832 160.160251140594 152.27085018158 154.636453866959 0 5.52565908432007 57 29862.7872280054 29862.7872280054 4547232 4547232 14661.8738736777 14661.8738736777 2232576 2232576 295.811000848782 404689.906103053 7397.99054448316 397291.91555857 1638 2235625 41065 2194560 0 0 0 0 159.904138803482 1735404823.78578 12407
10240 10 221.13683457973 150.588053984353 170.684532165527 162.795131206512 164.98757314682 0 5.80633473396301 60 29402.3535257209 29402.3535257209 4786560 4786560 14435.8125613648 14435.8125613648 2350080 2350080 305.075039910394 412662.087313638 7426.94477194975 405235.142541688 1820 2662160 42512 2619648 0 0 0 0 170.425442695618 1735404834.31006 13046
