# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:11+0100
# parameter filename: "./TOV_K_90.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.51.03-8609
# Run ID: run-TOV_K_90-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.51.03-8609
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
0 0 0.000147455998260305
512 0.5 0.000146817454596365
1024 1 0.000146241254545327
1536 1.5 0.000145735089047192
2048 2 0.000145294720337969
2560 2.5 0.000144923380572696
3072 3 0.000144634243443533
3584 3.5 0.000144438174435229
4096 4 0.000144343983296795
4608 4.5 0.000144359158234952
5120 5 0.000144499037209066
5632 5.5 0.000144829161085846
6144 6 0.000145361289851967
6656 6.5 0.000146068897355655
7168 7 0.000146924044585638
7680 7.5 0.00014789467887804
8192 8 0.000148948863183896
8704 8.5 0.000150056207736547
9216 9 0.000151186780314766
9728 9.5 0.000152311476107059
10240 10 0.000153406565782951
10752 10.5 0.000154458417265549
11264 11 0.000155454003552295
11776 11.5 0.000156388605928758
12288 12 0.000157299451832329
12800 12.5 0.000158204566896289
13312 13 0.000159120382395641
13824 13.5 0.000160074553656872
14336 14 0.000161076081231566
14848 14.5 0.000162128249670046
15360 15 0.000163236815172072
15872 15.5 0.000164407478106334
16384 16 0.000165646036663973
16896 16.5 0.000166968277761626
17408 17 0.000168377858059531
17920 17.5 0.000169875567229207
18432 18 0.000171457895108517
18944 18.5 0.000173115802001473
19456 19 0.000174837680377058
19968 19.5 0.000176618031523781
20480 20 0.000178445915443038
20992 20.5 0.000180305451590593
21504 21 0.000182180871431291
22016 21.5 0.000184058271092683
22528 22 0.000185930520809151
23040 22.5 0.000187794961781065
23552 23 0.00018964575281647
24064 23.5 0.000191478544700538
24576 24 0.000193291746336109
25088 24.5 0.000195086801241464
25600 25 0.000196866808844113
26112 25.5 0.000198634720828943
26624 26 0.000200392963082971
27136 26.5 0.0002021446596028
27648 27 0.000203894531856181
28160 27.5 0.000205647816016658
28672 28 0.000207408130197794
29184 28.5 0.000209176434872548
29696 29 0.000210951775904803
30208 29.5 0.000212732577008015
30720 30 0.000214517065302952
31232 30.5 0.000216303847463846
31744 31 0.000218091753502228
32256 31.5 0.000219878828851646
32768 32 0.000221660921871114
33280 32.5 0.000223428986343464
33792 33 0.000225179329250334
34304 33.5 0.000226913215006413
34816 34 0.000228635358352122
35328 34.5 0.000230350899656226
35840 35 0.000232062395818575
36352 35.5 0.000233769652116485
36864 36 0.00023547225156164
37376 36.5 0.000237172190245957
37888 37 0.000238874275636168
38400 37.5 0.000240584078284081
38912 38 0.000242305193188551
39424 38.5 0.000244038005195145
39936 39 0.000245781370517815
40448 39.5 0.000247535644799592
40960 40 0.000249304203122359
41472 40.5 0.000251091868634789
41984 41 0.000252901672510376
42496 41.5 0.000254733246446312
43008 42 0.0002565845860825
43520 42.5 0.000258455454438043
44032 43 0.000260348626180249
44544 43.5 0.000262267562986151
45056 44 0.000264213299341675
45568 44.5 0.000266184264396726
46080 45 0.000268179125712433
46592 45.5 0.000270198934547012
47104 46 0.000272245895396317
47616 46.5 0.000274320617013298
48128 47 0.000276423186461727
48640 47.5 0.000278555552782368
49152 48 0.000280717444486532
49664 48.5 0.000282908709705249
50176 49 0.000285127955632048
50688 49.5 0.000287372567994611
51200 50 0.000289640287294052
51712 50.5 0.000291930187180878
52224 51 0.000294241486641331
52736 51.5 0.000296571435428816
53248 52 0.000298914929507228
53760 52.5 0.000301266396290828
54272 53 0.000303621346078966
54784 53.5 0.000305977083651241
55296 54 0.000308331807807672
55808 54.5 0.000310682172810534
56320 55 0.000313023514617777
