# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:11+0100
# parameter filename: "./TOV_K_90.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.51.03-8609
# Run ID: run-TOV_K_90-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.51.03-8609
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -0.000127567441713098
512 0.5 -0.000141401866405152
1024 1 -0.000168081916370566
1536 1.5 -0.000176019531716866
2048 2 -0.00014502990864567
2560 2.5 -0.00013759599852263
3072 3 -0.000156401830045427
3584 3.5 -0.00019496007567034
4096 4 -0.000183832675433692
4608 4.5 -0.000158990947006884
5120 5 -0.000173724323110631
5632 5.5 -0.000200257446560465
6144 6 -0.000231185572489358
6656 6.5 -0.000246298759913147
7168 7 -0.00025379381241532
7680 7.5 -0.000258055279522659
8192 8 -0.000261138309701292
8704 8.5 -0.00026621581835104
9216 9 -0.000273925935860026
9728 9.5 -0.000281059003860201
10240 10 -0.000290602315395211
10752 10.5 -0.000315072473913556
11264 11 -0.000359606778061905
11776 11.5 -0.000413602051787277
12288 12 -0.00045994949715461
12800 12.5 -0.000507875034245696
13312 13 -0.000577751773376595
13824 13.5 -0.000666844285057269
14336 14 -0.000749031497263827
14848 14.5 -0.000807534398998372
15360 15 -0.000853420074360908
15872 15.5 -0.000911037115729911
16384 16 -0.00098699380368145
16896 16.5 -0.00106316353113005
17408 17 -0.00112125922980427
17920 17.5 -0.0011660520709235
18432 18 -0.00121440590371386
18944 18.5 -0.0012675957413039
19456 19 -0.00131243147899274
19968 19.5 -0.00134781281536775
20480 20 -0.0013918547994604
20992 20.5 -0.00145137309795039
21504 21 -0.0015065022990248
22016 21.5 -0.00153931963435946
22528 22 -0.00156327673653827
23040 22.5 -0.00160737825734712
23552 23 -0.00167819739285684
24064 23.5 -0.00175303309017583
24576 24 -0.00181260791362964
25088 24.5 -0.00186252345948013
25600 25 -0.00191740559486568
26112 25.5 -0.00197938653258647
26624 26 -0.0020430925643167
27136 26.5 -0.00211073594052319
27648 27 -0.00218753045308461
28160 27.5 -0.00226636682964702
28672 28 -0.00233150099083233
29184 28.5 -0.00237916075734434
29696 29 -0.00242442654236159
30208 29.5 -0.00248426462164451
30720 30 -0.00255964645906364
31232 30.5 -0.00263669613176592
31744 31 -0.00270092636581309
32256 31.5 -0.00274886779746439
32768 32 -0.00279055951663572
33280 32.5 -0.00284082803435518
33792 33 -0.00290698142763514
34304 33.5 -0.00298311761131082
34816 34 -0.00305605806871617
35328 34.5 -0.0031171908833058
35840 35 -0.00316889590335828
36352 35.5 -0.00322183389936041
36864 36 -0.00328648089704511
37376 36.5 -0.00336395471428893
37888 37 -0.00344352950312322
38400 37.5 -0.00351240523349052
38912 38 -0.00356969785042672
39424 38.5 -0.00362731065007826
39936 39 -0.00369515061117026
40448 39.5 -0.00376995349677579
40960 40 -0.00384205069310854
41472 40.5 -0.00390868855647936
41984 41 -0.00397486915177583
42496 41.5 -0.0040432561511505
43008 42 -0.00411029065609603
43520 42.5 -0.00417383840104143
44032 43 -0.00423898148412445
44544 43.5 -0.00431148393949154
45056 44 -0.00438784853306735
45568 44.5 -0.00445740644861219
46080 45 -0.00451540815811417
46592 45.5 -0.0045701789194795
47104 46 -0.00463400282515079
47616 46.5 -0.00470875534758259
48128 47 -0.00478362860870844
48640 47.5 -0.00484651565979679
49152 48 -0.00489767335868402
49664 48.5 -0.00494968049935233
50176 49 -0.00501277460353358
50688 49.5 -0.00508248002263625
51200 50 -0.0051454874968508
51712 50.5 -0.00519696394923038
52224 51 -0.00524620079994874
52736 51.5 -0.00530292082126831
53248 52 -0.00536391186000609
53760 52.5 -0.00541900114128131
54272 53 -0.00546672310508782
54784 53.5 -0.00551619152060185
55296 54 -0.00557294620976237
55808 54.5 -0.00563027942713384
56320 55 -0.00567880945347011
56832 55.5 -0.00572013435468238
57344 56 -0.00576500014755322
57856 56.5 -0.00581890425822829
58368 57 -0.00587514316146432
58880 57.5 -0.00592398906221116
59392 58 -0.00596480035815984
59904 58.5 -0.00600555771516042
60416 59 -0.00605219846271268
60928 59.5 -0.00610241163474898
61440 60 -0.00615043038243762
61952 60.5 -0.00619457106994991
62464 61 -0.0062377567187104
62976 61.5 -0.00628223510328417
63488 62 -0.00632669099447621
64000 62.5 -0.00636906525044641
64512 63 -0.00641020515855886
65024 63.5 -0.00645291347855507
65536 64 -0.00649774620321143
66048 64.5 -0.00654167130429023
66560 65 -0.00658548879112395
67072 65.5 -0.00663352044111918
67584 66 -0.00669053176741466
68096 66.5 -0.00675906370938339
68608 67 -0.00683672659987277
69120 67.5 -0.00691854096217997
69632 68 -0.0070016505660813
70144 68.5 -0.0070874447672422
70656 69 -0.00717895327376508
71168 69.5 -0.00727726956497167
71680 70 -0.00738141842344325
72192 70.5 -0.00749042748661737
72704 71 -0.0076032932728386
73216 71.5 -0.00771727990115526
73728 72 -0.00782929697868258
74240 72.5 -0.00794020370605535
74752 73 -0.00805520664240916
75264 73.5 -0.00817779667405551
75776 74 -0.00830490468707572
76288 74.5 -0.00843043178543502
76800 75 -0.00855246064448786
77312 75.5 -0.00867433727872088
77824 76 -0.00879914158776731
78336 76.5 -0.00892622031781087
78848 77 -0.00905459943448837
79360 77.5 -0.009186792432227
79872 78 -0.0093244494256786
80384 78.5 -0.00946462384678309
80896 79 -0.00959842935880269
81408 79.5 -0.00972324115268666
81920 80 -0.00984249287907905
82432 80.5 -0.00996201604001074
82944 81 -0.0100834586378461
83456 81.5 -0.0102014503545809
83968 82 -0.0103082286802723
84480 82.5 -0.0104017110938326
84992 83 -0.010488607276782
85504 83.5 -0.0105767561582161
86016 84 -0.0106659831427965
86528 84.5 -0.0107481588556982
87040 85 -0.010817024618025
87552 85.5 -0.0108760078606036
88064 86 -0.0109341021655401
88576 86.5 -0.0109949062413703
89088 87 -0.0110528729310965
89600 87.5 -0.0111014958949221
90112 88 -0.0111423930564959
90624 88.5 -0.0111832291184649
91136 89 -0.0112277532836599
91648 89.5 -0.0112715724949165
92160 90 -0.0113088032162575
92672 90.5 -0.0113400826889038
93184 91 -0.0113714341134603
93696 91.5 -0.0114063894142076
94208 92 -0.0114421453723641
94720 92.5 -0.0114738332023603
95232 93 -0.011500334398125
95744 93.5 -0.0115247059452886
96256 94 -0.0115500189106146
96768 94.5 -0.011576006132315
97280 95 -0.0115995769814893
97792 95.5 -0.011618002434931
98304 96 -0.0116314916271957
98816 96.5 -0.0116425225549767
99328 97 -0.0116525175960892
99840 97.5 -0.0116598892341198
100352 98 -0.0116621902229885
100864 98.5 -0.0116594214803742
101376 99 -0.0116536276473487
101888 99.5 -0.0116455907800503
102400 100 -0.011633965817884
102912 100.5 -0.0116186721397325
103424 101 -0.011602346680644
103936 101.5 -0.0115862498131944
104448 102 -0.0115696802752082
104960 102.5 -0.0115519372203715
105472 103 -0.0115336703935215
105984 103.5 -0.0115161404615748
106496 104 -0.0114993254540817
107008 104.5 -0.0114826794477666
107520 105 -0.0114669059894032
108032 105.5 -0.0114529303999478
108544 106 -0.0114398323645425
109056 106.5 -0.011425895449927
109568 107 -0.011411467820175
110080 107.5 -0.0113987926609408
110592 108 -0.0113887919005931
111104 108.5 -0.0113796847115652
111616 109 -0.011369351715913
112128 109.5 -0.0113578026069486
112640 110 -0.0113466645361009
113152 110.5 -0.0113369623216374
113664 111 -0.0113281240063268
114176 111.5 -0.0113190231938144
114688 112 -0.0113093559041174
115200 112.5 -0.0112997980271396
115712 113 -0.0112910040835362
116224 113.5 -0.0112826800243273
116736 114 -0.0112739070579199
117248 114.5 -0.0112645004113463
117760 115 -0.0112557821644411
118272 115.5 -0.0112498640829049
118784 116 -0.0112463516173869
119296 116.5 -0.0112433776910685
119808 117 -0.0112403483319504
120320 117.5 -0.0112389082965773
120832 118 -0.011240424870268
121344 118.5 -0.011243685727025
121856 119 -0.0112464938689153
122368 119.5 -0.011248953751438
122880 120 -0.0112530798582795
123392 120.5 -0.0112594598019435
123904 121 -0.0112665420297994
124416 121.5 -0.0112732857443429
124928 122 -0.0112808971475641
125440 122.5 -0.0112908553936968
125952 123 -0.0113025340699999
126464 123.5 -0.011314122570793
126976 124 -0.0113251454180164
127488 124.5 -0.0113368664431995
128000 125 -0.0113506069677374
128512 125.5 -0.0113665357270892
129024 126 -0.0113838461834271
129536 126.5 -0.0114016451708015
130048 127 -0.0114198373346672
130560 127.5 -0.0114392954490426
131072 128 -0.0114608608514185
131584 128.5 -0.011484444303883
132096 129 -0.0115098690006084
132608 129.5 -0.0115378892611999
133120 130 -0.0115689896049187
133632 130.5 -0.0116017331115696
134144 131 -0.0116319238512723
134656 131.5 -0.0116558741777613
135168 132 -0.0116775832780547
135680 132.5 -0.0116981083756306
136192 133 -0.011715267345701
136704 133.5 -0.0117270573681329
137216 134 -0.0117349864853077
