# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:11+0100
# parameter filename: "./TOV_K_90.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.51.03-8609
# Run ID: run-TOV_K_90-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.51.03-8609
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 3.42951646423443e-06
512 0.5 1.17999692357888e-05
1024 1 1.66625442293031e-05
1536 1.5 1.88812256759825e-05
2048 2 1.89845065777145e-05
2560 2.5 1.86709619843199e-05
3072 3 1.93006587665535e-05
3584 3.5 2.02455039404541e-05
4096 4 2.04331697433522e-05
4608 4.5 2.0176816123877e-05
5120 5 2.01618888097379e-05
5632 5.5 2.0851403968671e-05
6144 6 2.11702276506481e-05
6656 6.5 2.10847914866368e-05
7168 7 2.10028315078407e-05
7680 7.5 2.13271387243238e-05
8192 8 2.16608020433137e-05
8704 8.5 2.16627152456808e-05
9216 9 2.15983019513238e-05
9728 9.5 2.17062935358144e-05
10240 10 2.20455556336826e-05
10752 10.5 2.20449048323076e-05
11264 11 2.20677826129162e-05
11776 11.5 2.21415845391975e-05
12288 12 2.23816683379245e-05
12800 12.5 2.25351124168484e-05
13312 13 2.25855627964801e-05
13824 13.5 2.27068525152379e-05
14336 14 2.29580148546473e-05
14848 14.5 2.31404620106447e-05
15360 15 2.3312672848119e-05
15872 15.5 2.34502488306247e-05
16384 16 2.3640058074584e-05
16896 16.5 2.39006019534287e-05
17408 17 2.40790513215301e-05
17920 17.5 2.43593867850257e-05
18432 18 2.45284156802048e-05
18944 18.5 2.48030444301375e-05
19456 19 2.49585263153206e-05
19968 19.5 2.51448938720868e-05
20480 20 2.54427846866489e-05
20992 20.5 2.56466455651623e-05
21504 21 2.59279643389145e-05
22016 21.5 2.60997059662117e-05
22528 22 2.6267261052022e-05
23040 22.5 2.65628274191846e-05
23552 23 2.67689405643913e-05
24064 23.5 2.70888597066537e-05
24576 24 2.72525734501066e-05
25088 24.5 2.74714355913798e-05
25600 25 2.77052151407821e-05
26112 25.5 2.79532917025607e-05
26624 26 2.82887437885922e-05
27136 26.5 2.84911935082929e-05
27648 27 2.87556841558498e-05
28160 27.5 2.8916587016154e-05
28672 28 2.92100635409411e-05
29184 28.5 2.949247258122e-05
29696 29 2.97413190750718e-05
30208 29.5 2.99626484299788e-05
30720 30 3.01678379224187e-05
31232 30.5 3.04275021320673e-05
31744 31 3.06718511502728e-05
32256 31.5 3.09625438626082e-05
32768 32 3.12226804492626e-05
33280 32.5 3.15016918658391e-05
33792 33 3.17587099868573e-05
34304 33.5 3.2013690331216e-05
34816 34 3.2277061211184e-05
35328 34.5 3.25860645738069e-05
35840 35 3.29101279212049e-05
36352 35.5 3.32424093768406e-05
36864 36 3.35244079846747e-05
37376 36.5 3.37605346320859e-05
37888 37 3.40263714912858e-05
38400 37.5 3.4353530096654e-05
38912 38 3.473042838921e-05
