# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:11+0100
# parameter filename: "./TOV_K_90.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.51.03-8609
# Run ID: run-TOV_K_90-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.51.03-8609
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 0.000748609081530766
512 0.5 0.000921579371842021
1024 1 0.00109436198363146
1536 1.5 0.00126971419831259
2048 2 0.00144330333709047
2560 2.5 0.00160599328945377
3072 3 0.00175164326134108
3584 3.5 0.00188439932599102
4096 4 0.00201470805233657
4608 4.5 0.00215049194376174
5120 5 0.0022884275045776
5632 5.5 0.00240292256623244
6144 6 0.00248099108531866
6656 6.5 0.00252674090131319
7168 7 0.00255243881067213
7680 7.5 0.00257063344726464
8192 8 0.00258558612652024
8704 8.5 0.00259920618870128
9216 9 0.00262412531692365
9728 9.5 0.00267881797505816
10240 10 0.00276201322098883
10752 10.5 0.00284543685205009
11264 11 0.0029138838992076
11776 11.5 0.00299906488026062
12288 12 0.00313871572774901
12800 12.5 0.00332435964243838
13312 13 0.00349840786217216
13824 13.5 0.00363121394495419
14336 14 0.00376459611334473
14848 14.5 0.00393754506841361
15360 15 0.00411934463257338
15872 15.5 0.00426098643374669
16384 16 0.00437818650475603
16896 16.5 0.00452463300986261
17408 17 0.00470524291980635
17920 17.5 0.00486373536566174
18432 18 0.00496804553157312
18944 18.5 0.00505511690511132
19456 19 0.00517373492460359
19968 19.5 0.00531977109058858
20480 20 0.0054560757733573
20992 20.5 0.00556746557094719
21504 21 0.00567209650189801
22016 21.5 0.00578973660627924
22528 22 0.00591984313718201
23040 22.5 0.00605363114417201
23552 23 0.00619324475506847
24064 23.5 0.00634857432733862
24576 24 0.00652090845292705
25088 24.5 0.00669478335880838
25600 25 0.0068510747597663
26112 25.5 0.00699003945744471
26624 26 0.00713636236303479
27136 26.5 0.00731408046267153
27648 27 0.00751771405237962
28160 27.5 0.00771616050592451
28672 28 0.00788579876433367
29184 28.5 0.00803176011640377
29696 29 0.00817563193678904
30208 29.5 0.0083327928275322
30720 30 0.00850613696953409
31232 30.5 0.00869012991782632
31744 31 0.00887095603494718
32256 31.5 0.00903059087439848
