# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:11+0100
# parameter filename: "./TOV_K_90.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.51.03-8609
# Run ID: run-TOV_K_90-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.51.03-8609
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 2.53410287504829e-07 2.53410287504838e-07 2.5341028750485e-07
1024 1 6.27200386157843e-07 6.27200386157882e-07 6.27200386157907e-07
1536 1.5 9.58509937948156e-07 9.58509937948079e-07 9.58509937948012e-07
2048 2 1.02074649216842e-06 1.02074649216832e-06 1.02074649216822e-06
2560 2.5 1.09679182624254e-06 1.09679182624259e-06 1.0967918262424e-06
3072 3 1.10698002160717e-06 1.10698002160703e-06 1.10698002160707e-06
3584 3.5 1.25348289388137e-06 1.25348289388178e-06 1.25348289388146e-06
4096 4 1.18973182607705e-06 1.18973182607793e-06 1.1897318260779e-06
4608 4.5 1.28054934494049e-06 1.28054934494125e-06 1.28054934494129e-06
5120 5 1.29747200082166e-06 1.29747200082209e-06 1.29747200082248e-06
5632 5.5 1.33568363713464e-06 1.33568363713669e-06 1.33568363713678e-06
6144 6 1.32362556253095e-06 1.32362556253305e-06 1.32362556253199e-06
6656 6.5 1.40687551504521e-06 1.40687551504496e-06 1.40687551504698e-06
7168 7 1.423521421124e-06 1.4235214211213e-06 1.42352142112327e-06
7680 7.5 1.42000991330023e-06 1.42000991329828e-06 1.42000991329762e-06
8192 8 1.51073595843318e-06 1.51073595843559e-06 1.51073595843843e-06
8704 8.5 1.55277870022924e-06 1.55277870022753e-06 1.55277870022706e-06
9216 9 1.57236031586843e-06 1.57236031586871e-06 1.57236031587107e-06
9728 9.5 1.6461973230155e-06 1.64619732301757e-06 1.64619732301608e-06
10240 10 1.65493840421567e-06 1.65493840421268e-06 1.65493840421691e-06
10752 10.5 1.67462603437126e-06 1.67462603437274e-06 1.67462603436859e-06
11264 11 1.67886296096451e-06 1.67886296097586e-06 1.67886296096858e-06
11776 11.5 1.67134135774894e-06 1.67134135774928e-06 1.67134135775678e-06
12288 12 1.65088026058345e-06 1.65088026058002e-06 1.65088026058483e-06
12800 12.5 1.62151883246368e-06 1.62151883246832e-06 1.62151883246757e-06
13312 13 1.61775459368493e-06 1.61775459368379e-06 1.61775459369132e-06
13824 13.5 1.6277371372972e-06 1.62773713729185e-06 1.62773713730366e-06
14336 14 1.57948434605597e-06 1.57948434605354e-06 1.57948434604858e-06
14848 14.5 1.54175082384092e-06 1.54175082383585e-06 1.54175082384603e-06
15360 15 1.51691836552848e-06 1.51691836553504e-06 1.51691836553055e-06
15872 15.5 1.5331730939886e-06 1.53317309398435e-06 1.53317309398292e-06
16384 16 1.57913677240188e-06 1.57913677240078e-06 1.57913677240422e-06
16896 16.5 1.58610935216451e-06 1.58610935215381e-06 1.58610935216444e-06
17408 17 1.66186734918869e-06 1.6618673491754e-06 1.66186734918773e-06
17920 17.5 1.7126304854417e-06 1.71263048543944e-06 1.71263048543819e-06
18432 18 1.76940529006666e-06 1.76940529006489e-06 1.76940529006739e-06
18944 18.5 1.81265040662918e-06 1.81265040662027e-06 1.81265040662551e-06
19456 19 1.91164967301007e-06 1.91164967300446e-06 1.91164967300406e-06
19968 19.5 2.00250907218656e-06 2.00250907218195e-06 2.0025090721877e-06
20480 20 2.06790432838483e-06 2.06790432837391e-06 2.06790432838199e-06
