# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Dec 28 2024 at 17:51:11+0100
# parameter filename: "./TOV_K_90.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.51.03-8609
# Run ID: run-TOV_K_90-vlab1557-p0003.laboratori.local-es858465-2024.12.28-16.51.03-8609
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 2.21402633213743e-05 2.21402633213742e-05 2.21402633213739e-05
1024 1 3.59502198260463e-05 3.59502198260433e-05 3.59502198260404e-05
1536 1.5 4.89621765845235e-05 4.89621765845125e-05 4.89621765845017e-05
2048 2 5.19604414889566e-05 5.19604414889472e-05 5.19604414889534e-05
2560 2.5 5.76799903054622e-05 5.76799903054507e-05 5.76799903054589e-05
3072 3 6.15922995997431e-05 6.15922995996984e-05 6.15922995997265e-05
3584 3.5 6.1166167710051e-05 6.11661677100916e-05 6.11661677098881e-05
4096 4 6.81031740510465e-05 6.81031740510952e-05 6.81031740512817e-05
4608 4.5 6.78420106594225e-05 6.78420106591274e-05 6.78420106589666e-05
5120 5 7.86953491918294e-05 7.86953491917076e-05 7.86953491920123e-05
5632 5.5 8.79377223120242e-05 8.79377223120258e-05 8.79377223115184e-05
6144 6 8.94001365765488e-05 8.94001365765077e-05 8.94001365759395e-05
6656 6.5 8.26533900809617e-05 8.26533900813796e-05 8.26533900814707e-05
7168 7 7.43606220373636e-05 7.43606220372546e-05 7.43606220368456e-05
7680 7.5 6.62115158542766e-05 6.6211515854181e-05 6.62115158546085e-05
8192 8 5.5966524246557e-05 5.59665242461124e-05 5.59665242470628e-05
8704 8.5 4.83500940413149e-05 4.83500940410572e-05 4.83500940412292e-05
9216 9 5.3390120498274e-05 5.3390120497006e-05 5.33901204966068e-05
9728 9.5 4.69836518384777e-05 4.69836518383447e-05 4.69836518379439e-05
10240 10 4.95460407593305e-05 4.95460407597042e-05 4.95460407583914e-05
10752 10.5 4.7333384168963e-05 4.73333841712461e-05 4.73333841684713e-05
11264 11 5.50803662811309e-05 5.50803662830689e-05 5.50803662803917e-05
11776 11.5 4.98736034045935e-05 4.98736034044928e-05 4.98736034045325e-05
12288 12 4.8170559532548e-05 4.81705595351031e-05 4.81705595303524e-05
12800 12.5 5.09552107372159e-05 5.09552107385895e-05 5.0955210732651e-05
13312 13 4.63754209478336e-05 4.6375420946022e-05 4.63754209441063e-05
13824 13.5 4.24416388504483e-05 4.24416388472661e-05 4.2441638848887e-05
14336 14 4.43257530049159e-05 4.432575300282e-05 4.43257530050296e-05
14848 14.5 4.79024048034934e-05 4.79024048034143e-05 4.79024048048299e-05
15360 15 4.98315006962551e-05 4.98315006967954e-05 4.98315006984992e-05
15872 15.5 5.5309770587123e-05 5.53097705870953e-05 5.53097705872289e-05
16384 16 6.35917634669454e-05 6.3591763469438e-05 6.35917634696402e-05
16896 16.5 7.18520116602492e-05 7.18520116611474e-05 7.18520116606523e-05
17408 17 7.32156745918078e-05 7.32156745893506e-05 7.32156745884721e-05
17920 17.5 7.30491334910895e-05 7.30491334912e-05 7.30491334907884e-05
18432 18 8.23852082505098e-05 8.23852082507695e-05 8.23852082491987e-05
18944 18.5 7.51341783971551e-05 7.51341783965505e-05 7.51341783949539e-05
19456 19 5.70713738617575e-05 5.70713738609753e-05 5.70713738595195e-05
19968 19.5 4.34076337982908e-05 4.34076337996665e-05 4.34076337990521e-05
20480 20 4.01743660043144e-05 4.01743660042449e-05 4.01743660031256e-05
20992 20.5 4.48068494652876e-05 4.48068494639641e-05 4.48068494637173e-05
21504 21 5.73656822977305e-05 5.73656822974916e-05 5.73656822943154e-05
22016 21.5 6.36329151806753e-05 6.36329151795551e-05 6.36329151768057e-05
22528 22 7.05794835593684e-05 7.05794835559663e-05 7.05794835567401e-05
23040 22.5 7.8240976535565e-05 7.82409765325741e-05 7.82409765323836e-05
23552 23 7.90989384065486e-05 7.9098938405908e-05 7.90989384050847e-05
24064 23.5 7.39665318033855e-05 7.39665318043884e-05 7.39665318033112e-05
24576 24 6.64203692783389e-05 6.64203692787617e-05 6.64203692753145e-05
25088 24.5 6.17364825944955e-05 6.17364825929216e-05 6.17364825925577e-05
25600 25 5.43360263560894e-05 5.43360263540081e-05 5.43360263573327e-05
26112 25.5 4.93079067532551e-05 4.93079067526659e-05 4.93079067553737e-05
26624 26 4.756829204189e-05 4.75682920420204e-05 4.75682920424402e-05
27136 26.5 5.73552006282924e-05 5.73552006261363e-05 5.73552006276934e-05
27648 27 6.39123614441864e-05 6.39123614418255e-05 6.39123614436637e-05
28160 27.5 6.32747288490049e-05 6.32747288520371e-05 6.32747288523449e-05
28672 28 7.11241559900414e-05 7.11241559925665e-05 7.11241559957687e-05
29184 28.5 7.29100557914604e-05 7.29100557925849e-05 7.29100557944718e-05
29696 29 6.97806494540021e-05 6.9780649454228e-05 6.97806494505307e-05
30208 29.5 6.41851750664278e-05 6.41851750649414e-05 6.41851750588034e-05
30720 30 5.64989302986307e-05 5.64989302955698e-05 5.64989302927872e-05
31232 30.5 5.63075733700641e-05 5.63075733679273e-05 5.63075733662007e-05
31744 31 5.20448820155579e-05 5.20448820158618e-05 5.20448820174585e-05
32256 31.5 6.27094881994262e-05 6.27094882001065e-05 6.27094882006816e-05
32768 32 7.07627085561182e-05 7.07627085557768e-05 7.07627085554463e-05
33280 32.5 7.31709889393162e-05 7.3170988938244e-05 7.31709889380893e-05
33792 33 7.35955169128438e-05 7.35955169130996e-05 7.35955169111508e-05
34304 33.5 8.28260922865993e-05 8.28260922876385e-05 8.28260922907951e-05
34816 34 8.09936212724928e-05 8.09936212736698e-05 8.09936212734097e-05
35328 34.5 8.55014924923334e-05 8.55014924923314e-05 8.55014924898362e-05
35840 35 8.67996159171365e-05 8.67996159162478e-05 8.67996159169444e-05
36352 35.5 8.29039136586242e-05 8.29039136578548e-05 8.29039136602542e-05
36864 36 7.88106398544415e-05 7.88106398535006e-05 7.88106398546503e-05
37376 36.5 8.05012563418161e-05 8.05012563406987e-05 8.05012563405134e-05
37888 37 8.87589652332005e-05 8.87589652324305e-05 8.8758965232759e-05
38400 37.5 9.78247911116349e-05 9.7824791111784e-05 9.78247911126481e-05
38912 38 0.000100808618044603 0.000100808618045337 0.000100808618045525
39424 38.5 9.65770361166258e-05 9.65770361178212e-05 9.65770361162419e-05
39936 39 9.04039802736833e-05 9.04039802751821e-05 9.04039802727456e-05
40448 39.5 9.20537498068966e-05 9.20537498116776e-05 9.20537498100757e-05
40960 40 8.68639719050972e-05 8.68639719057938e-05 8.68639719064907e-05
41472 40.5 8.44441172409164e-05 8.44441172401488e-05 8.44441172411414e-05
41984 41 7.90409243661365e-05 7.90409243634443e-05 7.90409243634209e-05
42496 41.5 7.95393288978091e-05 7.95393289025462e-05 7.95393289004003e-05
43008 42 7.66549293462315e-05 7.66549293468746e-05 7.66549293455277e-05
43520 42.5 7.77684758369522e-05 7.77684758363662e-05 7.7768475841123e-05
44032 43 8.44022764943888e-05 8.44022764951686e-05 8.44022764965065e-05
44544 43.5 8.93094447231962e-05 8.93094447231728e-05 8.93094447234697e-05
45056 44 9.52134980677077e-05 9.52134980686589e-05 9.52134980687489e-05
45568 44.5 9.85634806289103e-05 9.856348063302e-05 9.85634806290902e-05
46080 45 9.60306794493633e-05 9.60306794520832e-05 9.60306794463234e-05
46592 45.5 9.05006944857102e-05 9.05006944833914e-05 9.05006944823112e-05
47104 46 9.02231466403535e-05 9.0223146645267e-05 9.02231466390663e-05
47616 46.5 9.8327012222443e-05 9.83270122200004e-05 9.8327012213083e-05
48128 47 0.000100937020119156 0.000100937020117352 0.000100937020110328
48640 47.5 9.76945349750083e-05 9.76945349797889e-05 9.76945349736877e-05
49152 48 8.52427989833354e-05 8.52427989844328e-05 8.52427989864476e-05
49664 48.5 8.54197900672896e-05 8.54197900699886e-05 8.54197900654548e-05
50176 49 9.27785375264513e-05 9.27785375296e-05 9.27785375242888e-05
50688 49.5 8.26610244374394e-05 8.26610244375946e-05 8.26610244351393e-05
51200 50 8.49867021046902e-05 8.49867021023208e-05 8.49867021000665e-05
51712 50.5 9.17145753896443e-05 9.17145753889442e-05 9.17145753893287e-05
52224 51 9.46085832372523e-05 9.46085832380693e-05 9.46085832431502e-05
52736 51.5 9.0098269778856e-05 9.00982697783006e-05 9.00982697820874e-05
53248 52 9.12911896883341e-05 9.12911896905832e-05 9.12911896885917e-05
53760 52.5 9.15679548400543e-05 9.15679548441007e-05 9.15679548405319e-05
54272 53 8.41801345769042e-05 8.41801345778879e-05 8.41801345774344e-05
54784 53.5 8.50289764180484e-05 8.5028976414716e-05 8.50289764170577e-05
55296 54 8.65384098071765e-05 8.65384098060065e-05 8.6538409806318e-05
55808 54.5 8.88392948231979e-05 8.88392948237748e-05 8.88392948225329e-05
56320 55 9.01896685047554e-05 9.01896685051295e-05 9.01896685048859e-05
56832 55.5 8.83792087041522e-05 8.83792087047056e-05 8.83792087058145e-05
57344 56 8.3671119053029e-05 8.36711190535325e-05 8.36711190547529e-05
57856 56.5 8.72553723368696e-05 8.72553723384123e-05 8.72553723364562e-05
58368 57 9.27785273165127e-05 9.2778527318878e-05 9.27785273169871e-05
58880 57.5 8.76362591568043e-05 8.76362591563584e-05 8.76362591567877e-05
59392 58 8.13787957524575e-05 8.13787957533115e-05 8.13787957519048e-05
59904 58.5 8.32439148579707e-05 8.32439148578041e-05 8.32439148566825e-05
60416 59 8.24028999063163e-05 8.24028999049404e-05 8.24028999057421e-05
60928 59.5 7.92253214282754e-05 7.92253214281539e-05 7.9225321429281e-05
61440 60 7.52246024434471e-05 7.52246024449396e-05 7.52246024448946e-05
61952 60.5 7.14293260071648e-05 7.1429326008329e-05 7.14293260072444e-05
62464 61 6.78932779399767e-05 6.78932779399829e-05 6.78932779387606e-05
62976 61.5 6.47767552554817e-05 6.47767552554178e-05 6.47767552541579e-05
63488 62 6.37638000879333e-05 6.37638000849479e-05 6.37638000838874e-05
64000 62.5 6.35718525497229e-05 6.35718525474044e-05 6.35718525471831e-05
64512 63 6.51166569783068e-05 6.51166569785051e-05 6.51166569806807e-05
65024 63.5 6.63686278503329e-05 6.63686278510169e-05 6.63686278522832e-05
65536 64 6.64940134400098e-05 6.649401344093e-05 6.64940134404175e-05
66048 64.5 6.65047046123426e-05 6.65047046128772e-05 6.65047046121613e-05
66560 65 6.70187780171062e-05 6.70187780161169e-05 6.70187780165052e-05
67072 65.5 6.67690340801864e-05 6.67690340781888e-05 6.67690340788559e-05
67584 66 6.82346624439969e-05 6.82346624488176e-05 6.82346624369623e-05
68096 66.5 7.15688754976196e-05 7.15688755030561e-05 7.15688754972195e-05
68608 67 7.10748346082695e-05 7.10748346059421e-05 7.10748346101414e-05
69120 67.5 6.66712364690782e-05 6.66712364634047e-05 6.66712364711372e-05
69632 68 6.15409790404266e-05 6.15409790404023e-05 6.15409790448138e-05
70144 68.5 5.99910990152987e-05 5.99910990182046e-05 5.99910990168424e-05
70656 69 6.33863133909951e-05 6.3386313389874e-05 6.33863133867274e-05
71168 69.5 6.9003113154505e-05 6.90031131504381e-05 6.90031131488672e-05
71680 70 7.27107161223249e-05 7.27107161204243e-05 7.27107161195291e-05
72192 70.5 7.23609749380674e-05 7.23609749405368e-05 7.2360974938815e-05
72704 71 6.85043001201297e-05 6.85043001240111e-05 6.85043001243443e-05
73216 71.5 6.4813317215563e-05 6.48133172175985e-05 6.48133172148589e-05
73728 72 7.20639767118177e-05 7.20639767128706e-05 7.20639767078777e-05
74240 72.5 7.73725336337299e-05 7.73725336314384e-05 7.7372533628744e-05
74752 73 8.11609894241732e-05 8.1160989422375e-05 8.11609894237584e-05
75264 73.5 8.45700710177913e-05 8.45700710186433e-05 8.45700710219467e-05
75776 74 8.73669137110498e-05 8.73669137134179e-05 8.73669137143615e-05
76288 74.5 8.86933288043015e-05 8.86933288055331e-05 8.8693328803097e-05
76800 75 8.92886365710276e-05 8.92886365699107e-05 8.92886365670959e-05
77312 75.5 9.09132544972584e-05 9.09132544951011e-05 9.09132544950431e-05
77824 76 9.3184247386639e-05 9.31842473848094e-05 9.31842473881198e-05
78336 76.5 9.62783544771269e-05 9.62783544775931e-05 9.62783544786412e-05
78848 77 0.000103009586577591 0.000103009586575677 0.000103009586575799
79360 77.5 0.000108408934940664 0.000108408934939171 0.000108408934938184
79872 78 0.00011352424782303 0.000113524247823513 0.000113524247823135
80384 78.5 0.000120383063462408 0.00012038306346281 0.00012038306346439
80896 79 0.000129120609627814 0.000129120609627697 0.00012912060962963
81408 79.5 0.000137067963149745 0.000137067963150779 0.000137067963150127
81920 80 0.000141869882180608 0.000141869882181371 0.00014186988217945
82432 80.5 0.000144084435078299 0.000144084435076436 0.000144084435076268
82944 81 0.00014649151938361 0.000146491519381431 0.000146491519382878
83456 81.5 0.000151232758116456 0.000151232758118553 0.000151232758117838
83968 82 0.000157684912214231 0.00015768491221889 0.000157684912215528
84480 82.5 0.000163439528127601 0.000163439528128786 0.000163439528126254
84992 83 0.000166948117603588 0.000166948117600878 0.000166948117601219
85504 83.5 0.000169160154756487 0.000169160154753554 0.000169160154755308
86016 84 0.000172411719619911 0.00017241171961905 0.000172411719620421
86528 84.5 0.000177646806682906 0.000177646806682954 0.000177646806683697
