# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Jan 13 2025 at 16:27:36+0100
# parameter filename: "./TOV_K_90_res_1_0.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90_res_1_0-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.27.33-19198
# Run ID: run-TOV_K_90_res_1_0-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.27.33-19198
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.966875255744351
512 0.25 0.966879741942364
1024 0.5 0.966884141513851
1536 0.75 0.966888194706764
2048 1 0.966891919746972
2560 1.25 0.966895537757616
3072 1.5 0.966899267429123
3584 1.75 0.966903197862362
4096 2 0.96690729298555
4608 2.25 0.966911468748868
5120 2.5 0.966915662729129
5632 2.75 0.966919857150399
6144 3 0.966924064392414
6656 3.25 0.966928303262435
7168 3.5 0.966932585276906
7680 3.75 0.966936913117521
8192 4 0.96694128440886
8704 4.25 0.966945695073819
9216 4.5 0.966950141093017
9728 4.75 0.966954619748922
10240 5 0.966959130753755
10752 5.25 0.96696367649717
11264 5.5 0.966968260804104
11776 5.75 0.966972886762789
12288 6 0.96697755502245
12800 6.25 0.966982263663505
13312 6.5 0.966987009618371
13824 6.75 0.966991790594498
14336 7 0.966996606245822
14848 7.25 0.96700145799258
15360 7.5 0.967006347837616
15872 7.75 0.967011277085343
16384 8 0.967016245734971
16896 8.25 0.967021252728676
17408 8.5 0.967026296690251
17920 8.75 0.967031376629659
18432 9 0.9670364922828
18944 9.25 0.96704164404418
19456 9.5 0.967046832626871
19968 9.75 0.967052058629745
20480 10 0.967057322185158
20992 10.25 0.967062622834287
21504 10.5 0.96706795969734
22016 10.75 0.967073331859742
22528 11 0.9670787387591
23040 11.25 0.967084180342718
23552 11.5 0.967089656905438
24064 11.75 0.967095168722041
24576 12 0.967100715711462
25088 12.25 0.967106297329786
25600 12.5 0.96711191272696
26112 12.75 0.967117561039841
26624 13 0.967123241635309
27136 13.25 0.967128954178844
27648 13.5 0.967134698523672
28160 13.75 0.96714047451045
28672 14 0.967146281792283
29184 14.25 0.967152119761865
29696 14.5 0.96715798759344
30208 14.75 0.967163884356705
30720 15 0.96716980913205
31232 15.25 0.967175761063424
31744 15.5 0.967181739324206
32256 15.75 0.967187743026096
32768 16 0.967193771140524
33280 16.25 0.967199822496385
33792 16.5 0.967205895864519
34304 16.75 0.96721199007341
34816 17 0.967218104073551
35328 17.25 0.96722423690501
35840 17.5 0.967230387597584
36352 17.75 0.967236555084759
36864 18 0.967242738196955
