# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Jan 13 2025 at 16:27:36+0100
# parameter filename: "./TOV_K_90_res_1_0.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90_res_1_0-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.27.33-19198
# Run ID: run-TOV_K_90_res_1_0-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.27.33-19198
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.25 1.0003154102868
1024 0.5 1.0002762940723
1536 0.75 1.00024024833139
2048 1 1.00020725994201
2560 1.25 1.00017722962467
3072 1.5 1.00019534354617
3584 1.75 1.00026186716614
4096 2 1.00033646672197
4608 2.25 1.000418767466
5120 2.5 1.00050878220426
5632 2.75 1.00060636108987
6144 3 1.00071125347633
6656 3.25 1.00082286712819
7168 3.5 1.00094047395602
7680 3.75 1.00106352127685
8192 4 1.00119097138325
8704 4.25 1.00132239901175
9216 4.5 1.00146772236989
9728 4.75 1.00161669093833
10240 5 1.00176850531463
10752 5.25 1.00192236530651
11264 5.5 1.00207748558819
11776 5.75 1.00223310850502
12288 6 1.00238849653646
12800 6.25 1.00254292941725
13312 6.5 1.00269571968438
13824 6.75 1.00286107924506
14336 7 1.00302705624776
14848 7.25 1.00321106271783
15360 7.5 1.00339489913643
15872 7.75 1.00357795124402
16384 8 1.00380325167796
16896 8.25 1.00406534860219
17408 8.5 1.00433243692607
17920 8.75 1.00460385676976
18432 9 1.0048788024875
18944 9.25 1.00515645375601
19456 9.5 1.00543616530691
19968 9.75 1.0057172503268
20480 10 1.00599891090198
20992 10.25 1.00628035235756
21504 10.5 1.00656099437874
22016 10.75 1.00684002972288
22528 11 1.0071165713193
23040 11.25 1.00738275626424
23552 11.5 1.00763867935521
24064 11.75 1.0078879752717
24576 12 1.00812955456561
25088 12.25 1.00836229997638
25600 12.5 1.00858509134949
26112 12.75 1.00879681543572
26624 13 1.00899636095775
27136 13.25 1.00918272028955
27648 13.5 1.00935501656451
28160 13.75 1.00959469592085
28672 14 1.00989699005456
29184 14.25 1.01022699661601
29696 14.5 1.0105998745391
30208 14.75 1.01097141254069
30720 15 1.01134067331389
31232 15.25 1.01170668641038
31744 15.5 1.01206841230418
32256 15.75 1.0124246995733
32768 16 1.01277430607235
33280 16.25 1.01311582085511
33792 16.5 1.01344752865032
34304 16.75 1.01376783774409
34816 17 1.01407511316415
35328 17.25 1.01436792414561
35840 17.5 1.01464488646792
36352 17.75 1.01490433574553
36864 18 1.01514475260419
37376 18.25 1.01536497338393
37888 18.5 1.01556329485455
38400 18.75 1.01576811869776
38912 19 1.01613967057537
39424 19.25 1.01650440196614
39936 19.5 1.01686261660851
40448 19.75 1.01721550075143
40960 20 1.0175628650125
41472 20.25 1.01790432807366
41984 20.5 1.01823936346156
42496 20.75 1.01856743713062
43008 21 1.0188879999627
43520 21.25 1.01920006443223
44032 21.5 1.01950267501486
44544 21.75 1.01979464542509
45056 22 1.02007376540232
45568 22.25 1.02033330350146
46080 22.5 1.02072042912619
46592 22.75 1.02118775773838
47104 23 1.02164892084477
47616 23.25 1.02210294683013
48128 23.5 1.02254873527393
48640 23.75 1.02298499860281
49152 24 1.02341028148653
49664 24.25 1.02382290795031
50176 24.5 1.02429011051662
50688 24.75 1.02477482593274
51200 25 1.02525286726385
51712 25.25 1.02572262463693
52224 25.5 1.02618274809422
52736 25.75 1.02665509299135
53248 26 1.02713120385914
53760 26.25 1.02763078000589
54272 26.5 1.0281964248992
54784 26.75 1.02876512788946
55296 27 1.0293363387032
55808 27.25 1.02990880122269
56320 27.5 1.03048139263933
56832 27.75 1.03106522453562
57344 28 1.03163153123501
