# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Jan 13 2025 at 16:27:36+0100
# parameter filename: "./TOV_K_90_res_1_0.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90_res_1_0-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.27.33-19198
# Run ID: run-TOV_K_90_res_1_0-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.27.33-19198
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.25 -1.13765041100055e-05 -1.13765041100167e-05 -1.13765041100279e-05
1024 0.5 -1.60203785194464e-05 -1.60203785194609e-05 -1.60203785194391e-05
1536 0.75 -1.90752314902831e-05 -1.90752314903199e-05 -1.90752314903569e-05
2048 1 -2.4896659033499e-05 -2.48966590335597e-05 -2.48966590336212e-05
2560 1.25 -3.02087564403431e-05 -3.02087564403943e-05 -3.0208756440447e-05
3072 1.5 -3.530050923366e-05 -3.53005092336546e-05 -3.53005092336518e-05
3584 1.75 -4.03878071645468e-05 -4.03878071645314e-05 -4.03878071645186e-05
4096 2 -4.48426574851453e-05 -4.48426574851145e-05 -4.4842657485091e-05
4608 2.25 -4.96204812646272e-05 -4.96204812645715e-05 -4.9620481264523e-05
5120 2.5 -5.42478652165219e-05 -5.42478652164985e-05 -5.4247865216317e-05
5632 2.75 -5.81817675828375e-05 -5.81817675828324e-05 -5.81817675826177e-05
6144 3 -6.11448497208691e-05 -6.11448497209222e-05 -6.1144849721144e-05
6656 3.25 -6.31766450422267e-05 -6.31766450422876e-05 -6.3176645042727e-05
7168 3.5 -6.45634413639688e-05 -6.45634413640396e-05 -6.45634413641734e-05
7680 3.75 -6.57606056334776e-05 -6.57606056333437e-05 -6.57606056333966e-05
8192 4 -6.68777260403911e-05 -6.68777260387383e-05 -6.68777260399708e-05
8704 4.25 -6.74399958994901e-05 -6.74399958977579e-05 -6.74399958993297e-05
9216 4.5 -6.75041108673356e-05 -6.75041108699466e-05 -6.75041108701024e-05
9728 4.75 -6.75376674434569e-05 -6.7537667443291e-05 -6.75376674448617e-05
10240 5 -6.73172152130261e-05 -6.73172152129465e-05 -6.7317215215087e-05
10752 5.25 -6.66147729597362e-05 -6.66147729573688e-05 -6.66147729556412e-05
11264 5.5 -6.5432148613467e-05 -6.54321486126862e-05 -6.54321486104471e-05
11776 5.75 -6.28262834468487e-05 -6.282628345122e-05 -6.28262834506598e-05
12288 6 -6.0183302001496e-05 -6.01833019965225e-05 -6.01833019931542e-05
12800 6.25 -5.71277843040648e-05 -5.71277842975226e-05 -5.71277842983964e-05
13312 6.5 -5.31962280580658e-05 -5.31962280593707e-05 -5.31962280572833e-05
13824 6.75 -5.18860037224715e-05 -5.18860037087039e-05 -5.18860037166584e-05
14336 7 -5.01043152666468e-05 -5.01043152549592e-05 -5.01043152616417e-05
14848 7.25 -4.67424444119551e-05 -4.67424443995861e-05 -4.67424443860547e-05
15360 7.5 -4.32136250790383e-05 -4.32136250610169e-05 -4.32136250673667e-05
15872 7.75 -4.13720368387224e-05 -4.13720368621791e-05 -4.13720368671628e-05
16384 8 -3.90995068414444e-05 -3.9099506854661e-05 -3.90995068203289e-05
16896 8.25 -3.57463654475827e-05 -3.57463840046548e-05 -3.57463611457039e-05
17408 8.5 -3.67520292308011e-05 -3.67520395299273e-05 -3.67520316988361e-05
17920 8.75 -3.46346892567221e-05 -3.46347116841262e-05 -3.46346884187241e-05
18432 9 -3.18707690089448e-05 -3.18707686729326e-05 -3.18707664313053e-05
18944 9.25 -3.32229019683302e-05 -3.32228798623253e-05 -3.32228932426088e-05
19456 9.5 -3.28301543217321e-05 -3.28301519081571e-05 -3.2830148307806e-05
19968 9.75 -3.11968801617017e-05 -3.11968983717779e-05 -3.11968729878008e-05
20480 10 -3.06648737762289e-05 -3.06648677812715e-05 -3.0664852534842e-05
20992 10.25 -3.46107087710765e-05 -3.46107497363856e-05 -3.46107158765596e-05
21504 10.5 -3.32135079167768e-05 -3.32135034841334e-05 -3.32135151175958e-05
22016 10.75 -3.05882399391586e-05 -3.05882524523525e-05 -3.0588252340456e-05
22528 11 -3.06644196747339e-05 -3.06644208738087e-05 -3.06644003564679e-05
23040 11.25 -2.80476769364154e-05 -2.80476730583071e-05 -2.80476628367912e-05
23552 11.5 -2.54991888192547e-05 -2.54991843567178e-05 -2.54991666366774e-05
24064 11.75 -2.89889511610577e-05 -2.89889764713443e-05 -2.89889606553142e-05
24576 12 -2.84000183502606e-05 -2.84000269403099e-05 -2.84000287904267e-05
25088 12.25 -2.4186842791661e-05 -2.41868447821953e-05 -2.41868116338524e-05
25600 12.5 -2.30284535744348e-05 -2.30285004035668e-05 -2.30284673895824e-05
26112 12.75 -2.06870933431681e-05 -2.06871035560746e-05 -2.06870674831038e-05
26624 13 -1.97302716307897e-05 -1.97302741379285e-05 -1.97302931475409e-05
27136 13.25 -2.17461084215125e-05 -2.17460966303641e-05 -2.17461186682527e-05
27648 13.5 -2.0407832271473e-05 -2.04079072678675e-05 -2.04078615140257e-05
28160 13.75 -1.90737403594295e-05 -1.90736177897374e-05 -1.90735943059469e-05
28672 14 -1.85571954041383e-05 -1.85570960140747e-05 -1.85572061912837e-05
29184 14.25 -2.34485781459657e-05 -2.3448579065024e-05 -2.34485786048082e-05
29696 14.5 -2.54431940538014e-05 -2.54431952701577e-05 -2.54431945060644e-05
30208 14.75 -2.20883140335902e-05 -2.20883150381578e-05 -2.20883147157465e-05
30720 15 -1.70417280885335e-05 -1.70417241801958e-05 -1.70417255307416e-05
31232 15.25 -1.56131325384522e-05 -1.56131308346932e-05 -1.5613127439371e-05
31744 15.5 -1.50164842000817e-05 -1.50164805688295e-05 -1.50164768549582e-05
32256 15.75 -1.53383535515905e-05 -1.53383560770448e-05 -1.53383539763444e-05
32768 16 -1.66493223859844e-05 -1.66493309109865e-05 -1.6649333806153e-05
33280 16.25 -1.94041310211623e-05 -1.94041394164298e-05 -1.94041472136116e-05
33792 16.5 -2.2248533880378e-05 -2.22485338244132e-05 -2.22485414181052e-05
34304 16.75 -2.35993979564931e-05 -2.35994094673053e-05 -2.35994180828044e-05
34816 17 -2.7713030554253e-05 -2.77129942769933e-05 -2.77129762119297e-05
35328 17.25 -2.93610991688713e-05 -2.93610693930559e-05 -2.9361059149651e-05
35840 17.5 -2.8434598076624e-05 -2.84346153240974e-05 -2.8434626972831e-05
36352 17.75 -2.57661818971472e-05 -2.57662106294748e-05 -2.5766208961768e-05
36864 18 -2.36102774602942e-05 -2.36103105130526e-05 -2.36103090772989e-05
37376 18.25 -2.27881777034187e-05 -2.27881703019978e-05 -2.27881710640781e-05
37888 18.5 -2.59476814376135e-05 -2.59477136100524e-05 -2.59477191266692e-05
38400 18.75 -2.9879735865419e-05 -2.98797536280466e-05 -2.98797662835846e-05
38912 19 -3.13548095717763e-05 -3.13548042852979e-05 -3.13548120584135e-05
39424 19.25 -3.25852375249973e-05 -3.2585272137168e-05 -3.2585269465776e-05
39936 19.5 -3.39920933049112e-05 -3.3992115304026e-05 -3.39921165728685e-05
40448 19.75 -3.60366738918178e-05 -3.60366590980337e-05 -3.60366717249322e-05
40960 20 -3.59366111023294e-05 -3.59365739335361e-05 -3.59365765790812e-05
41472 20.25 -3.81487773280795e-05 -3.81487779689995e-05 -3.81488153924143e-05
41984 20.5 -3.89659164622214e-05 -3.89658724128253e-05 -3.89658997321326e-05
42496 20.75 -3.57764320101628e-05 -3.57763597461645e-05 -3.57763639134432e-05
43008 21 -2.8972173646275e-05 -2.89721118025091e-05 -2.89720986678727e-05
43520 21.25 -2.64340492769309e-05 -2.64340137717502e-05 -2.64340092403789e-05
44032 21.5 -2.7547969509504e-05 -2.75479271533602e-05 -2.75479343863266e-05
44544 21.75 -3.04499716486221e-05 -3.04498623740754e-05 -3.04499126863413e-05
45056 22 -3.14282081530308e-05 -3.14281069937867e-05 -3.14281102465736e-05
45568 22.25 -3.25909747099427e-05 -3.25909430662198e-05 -3.25908997052323e-05
46080 22.5 -3.30313489617654e-05 -3.3031367657809e-05 -3.30312814899402e-05
46592 22.75 -3.37526391240457e-05 -3.37526488957808e-05 -3.37526001894108e-05
47104 23 -3.48373033382876e-05 -3.48372457148262e-05 -3.48372947009249e-05
47616 23.25 -3.46187143614085e-05 -3.46186837485515e-05 -3.46187435338273e-05
48128 23.5 -3.23568143880179e-05 -3.23569073661371e-05 -3.2356916457421e-05
48640 23.75 -3.02442867263235e-05 -3.02441518578665e-05 -3.02441318084142e-05
49152 24 -2.80216359519126e-05 -2.80216057331076e-05 -2.80216429416862e-05
49664 24.25 -2.77621305731618e-05 -2.77625144498452e-05 -2.77622981790962e-05
50176 24.5 -2.88900299442328e-05 -2.88902657206715e-05 -2.88901062478472e-05
50688 24.75 -2.94701195712882e-05 -2.94700826128818e-05 -2.94699862105057e-05
51200 25 -3.15371142470165e-05 -3.15370068330966e-05 -3.15370955299782e-05
51712 25.25 -3.28265636770538e-05 -3.28265811727331e-05 -3.28265427322429e-05
52224 25.5 -3.57540681071798e-05 -3.57541007280718e-05 -3.57541017883028e-05
52736 25.75 -3.64519863644595e-05 -3.64522033360255e-05 -3.6451931408283e-05
53248 26 -3.59218579631949e-05 -3.5921642177013e-05 -3.59218832923005e-05
53760 26.25 -3.68604601321111e-05 -3.68600890164209e-05 -3.686024499128e-05
54272 26.5 -3.76337747907255e-05 -3.76333697920068e-05 -3.76335516306712e-05
54784 26.75 -3.64220864690393e-05 -3.64217031660706e-05 -3.64219545289003e-05
55296 27 -3.26107693878141e-05 -3.26105075195108e-05 -3.26107034593013e-05
55808 27.25 -3.11257419140302e-05 -3.11257958278205e-05 -3.11257020690295e-05
56320 27.5 -3.11462031910979e-05 -3.1146298435569e-05 -3.11462709710084e-05
56832 27.75 -3.11699236460367e-05 -3.1170022428712e-05 -3.11700744096502e-05
57344 28 -3.21101393832353e-05 -3.21106048127951e-05 -3.2110291387862e-05
57856 28.25 -3.50660651407122e-05 -3.50664844782684e-05 -3.50663541780024e-05
58368 28.5 -3.60384376125894e-05 -3.60387310927058e-05 -3.60387106242292e-05
58880 28.75 -3.74919245320417e-05 -3.74918826867091e-05 -3.74918705090583e-05
59392 29 -3.82201143768733e-05 -3.82200274215369e-05 -3.822005229976e-05
59904 29.25 -3.98698058740598e-05 -3.98695952970155e-05 -3.98698276648084e-05
60416 29.5 -4.07248656333969e-05 -4.07248450882601e-05 -4.07249394890287e-05
60928 29.75 -3.81279424057908e-05 -3.8128031718795e-05 -3.81278417246441e-05
61440 30 -3.87935421790815e-05 -3.8793641491889e-05 -3.87938515798204e-05
61952 30.25 -4.09078940361635e-05 -4.0908043458336e-05 -4.09077158534295e-05
62464 30.5 -4.05346678060111e-05 -4.05348361170789e-05 -4.05338692763945e-05
62976 30.75 -3.80951319154353e-05 -3.8095227973359e-05 -3.80940588871526e-05
63488 31 -3.36828669030321e-05 -3.36826994045139e-05 -3.36820192238755e-05
64000 31.25 -2.85328988155363e-05 -2.85336671665446e-05 -2.85339816075674e-05
64512 31.5 -3.25577644634658e-05 -3.25588055847934e-05 -3.25570868748471e-05
65024 31.75 -3.70550759903952e-05 -3.70562054870539e-05 -3.70544230059315e-05
65536 32 -3.92662416189492e-05 -3.92671809756776e-05 -3.92659304161532e-05
66048 32.25 -4.12761116536828e-05 -4.12764982847937e-05 -4.12759516499343e-05
66560 32.5 -4.2964971539853e-05 -4.29653549377421e-05 -4.296504406239e-05
67072 32.75 -4.18432826389172e-05 -4.1843502728731e-05 -4.18434790747171e-05
67584 33 -4.18317191942206e-05 -4.18316710438158e-05 -4.18319849469872e-05
68096 33.25 -4.07311794248342e-05 -4.07305689044952e-05 -4.07315749825898e-05
68608 33.5 -3.81378714927846e-05 -3.81380719069452e-05 -3.81379207717131e-05
69120 33.75 -4.20819351032444e-05 -4.20817447948446e-05 -4.20820760988601e-05
69632 34 -4.52959537960419e-05 -4.52959342040322e-05 -4.52962592892395e-05
70144 34.25 -4.82683371706793e-05 -4.82684711252228e-05 -4.8268329421803e-05
70656 34.5 -5.35657135340781e-05 -5.3566378750853e-05 -5.35662653913659e-05
71168 34.75 -5.91984195632901e-05 -5.91986621068701e-05 -5.91986908499442e-05
71680 35 -6.47284373024409e-05 -6.47286356261289e-05 -6.47292475902909e-05
72192 35.25 -7.0429347987178e-05 -7.04294730579225e-05 -7.04301685881305e-05
72704 35.5 -7.29127776765365e-05 -7.29129221540132e-05 -7.29133235014945e-05
73216 35.75 -7.039793022091e-05 -7.03981214438938e-05 -7.03981202562378e-05
73728 36 -6.3621020323348e-05 -6.3621280941811e-05 -6.36210702927094e-05
74240 36.25 -5.79847761596711e-05 -5.7985056273001e-05 -5.79850163462988e-05
74752 36.5 -5.69164311403222e-05 -5.69161799071941e-05 -5.6916183831635e-05
75264 36.75 -5.60464536806053e-05 -5.60460564284932e-05 -5.60461128028757e-05
75776 37 -5.7132408295582e-05 -5.71330809895598e-05 -5.71331081502354e-05
76288 37.25 -6.22926794608454e-05 -6.22936795010876e-05 -6.22941139987964e-05
76800 37.5 -6.54315914811304e-05 -6.54327991953626e-05 -6.54321889531598e-05
77312 37.75 -6.57321308283313e-05 -6.57334504773646e-05 -6.57315131600483e-05
77824 38 -6.412403797588e-05 -6.41249369064863e-05 -6.41225088304236e-05
78336 38.25 -6.23866467708316e-05 -6.23861416217605e-05 -6.23862335488113e-05
78848 38.5 -6.31784543173386e-05 -6.31780343503391e-05 -6.31776952387187e-05
79360 38.75 -6.25519770442662e-05 -6.25514758611861e-05 -6.25510508179184e-05
79872 39 -6.131302095116e-05 -6.13122028017654e-05 -6.13123516469636e-05
80384 39.25 -6.01273494677441e-05 -6.01285367587044e-05 -6.01276805311774e-05
80896 39.5 -6.41942503007167e-05 -6.4195154074938e-05 -6.41949273235479e-05
81408 39.75 -6.75525762939796e-05 -6.75544569375807e-05 -6.75535509674987e-05
81920 40 -6.96566570317621e-05 -6.96591676950094e-05 -6.96571742765643e-05
82432 40.25 -7.05959290344987e-05 -7.05974440308114e-05 -7.05953166440043e-05
82944 40.5 -7.13499890122456e-05 -7.13499057048619e-05 -7.13486261994162e-05
