# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Jan 13 2025 at 16:27:36+0100
# parameter filename: "./TOV_K_90_res_1_0.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90_res_1_0-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.27.33-19198
# Run ID: run-TOV_K_90_res_1_0-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.27.33-19198
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.25 7.75425130837884e-08 7.75425133854803e-08 7.75425136663826e-08
1024 0.5 2.02550916988377e-07 2.02550917447993e-07 2.02550918050996e-07
1536 0.75 3.59762360502005e-07 3.59762359596604e-07 3.59762359300633e-07
2048 1 5.31867208165137e-07 5.31867209470969e-07 5.31867208474738e-07
2560 1.25 7.27357935942703e-07 7.273579362073e-07 7.27357937332615e-07
3072 1.5 8.79685584539007e-07 8.7968558749288e-07 8.79685588799525e-07
3584 1.75 9.52024110026975e-07 9.52024112444821e-07 9.52024109578883e-07
4096 2 9.64231721771744e-07 9.64231723246476e-07 9.64231724948976e-07
4608 2.25 1.00737235728261e-06 1.00737236045805e-06 1.00737235657074e-06
5120 2.5 1.00327069811166e-06 1.00327070691188e-06 1.00327070261159e-06
5632 2.75 9.65149284573042e-07 9.65149297788081e-07 9.65149296614842e-07
6144 3 9.85412943855709e-07 9.85412958699122e-07 9.8541296303095e-07
6656 3.25 1.08295505820646e-06 1.08295503700291e-06 1.08295505679191e-06
7168 3.5 1.14360607554561e-06 1.14360606096139e-06 1.1436060638128e-06
7680 3.75 1.13649726252977e-06 1.13649725713781e-06 1.13649726177154e-06
8192 4 1.07351112958301e-06 1.07351111965584e-06 1.07351111993849e-06
8704 4.25 1.0833980681405e-06 1.08339805806984e-06 1.08339807349551e-06
9216 4.5 1.16425943859581e-06 1.16425944370552e-06 1.16425944281843e-06
9728 4.75 1.19403663802545e-06 1.194036610692e-06 1.19403661022844e-06
10240 5 1.1924704672165e-06 1.19247045409358e-06 1.19247047732631e-06
10752 5.25 1.21414789334524e-06 1.21414789017292e-06 1.2141478857532e-06
11264 5.5 1.23634116519368e-06 1.23634114908152e-06 1.23634111879708e-06
11776 5.75 1.23017481475994e-06 1.23017481021494e-06 1.2301748086994e-06
12288 6 1.22439290533859e-06 1.22439289183255e-06 1.22439293120442e-06
12800 6.25 1.2393883031877e-06 1.23938831646041e-06 1.2393883579603e-06
13312 6.5 1.29849756005253e-06 1.29849755400638e-06 1.29849757263665e-06
13824 6.75 1.31854102994207e-06 1.31854102658083e-06 1.31854105749951e-06
14336 7 1.29951365800974e-06 1.29951362595028e-06 1.2995136592862e-06
14848 7.25 1.2784560456443e-06 1.27845604484592e-06 1.27845603731158e-06
15360 7.5 1.28641483150931e-06 1.28641485113825e-06 1.28641482203419e-06
15872 7.75 1.33873881446581e-06 1.33873881327658e-06 1.33873886353048e-06
16384 8 1.36417558377995e-06 1.36417558115556e-06 1.36417559407407e-06
16896 8.25 1.39087346874148e-06 1.39087343654919e-06 1.39087341921377e-06
17408 8.5 1.39141417954488e-06 1.39141410602314e-06 1.39141413516811e-06
17920 8.75 1.37966929673668e-06 1.37966922433018e-06 1.3796692757588e-06
18432 9 1.40190392255578e-06 1.4019038996607e-06 1.40190394638601e-06
18944 9.25 1.44308889060238e-06 1.44308889899203e-06 1.44308885606434e-06
19456 9.5 1.47482370387979e-06 1.47482369311244e-06 1.47482367361926e-06
19968 9.75 1.47794815202692e-06 1.47794814975191e-06 1.47794812881976e-06
20480 10 1.48228743963349e-06 1.48228751156185e-06 1.48228747037331e-06
20992 10.25 1.49702074828535e-06 1.49702077693068e-06 1.49702078563693e-06
21504 10.5 1.51418840711438e-06 1.51418841119093e-06 1.51418846234726e-06
22016 10.75 1.53006944154273e-06 1.53006940222968e-06 1.53006948293622e-06
22528 11 1.53058912196586e-06 1.53058908829168e-06 1.53058918287436e-06
23040 11.25 1.53477831417534e-06 1.53477822530323e-06 1.5347783100211e-06
23552 11.5 1.52489256679989e-06 1.52489245570914e-06 1.52489249826706e-06
24064 11.75 1.53167304106486e-06 1.53167301035462e-06 1.53167301032457e-06
24576 12 1.51834936277648e-06 1.51834934287227e-06 1.51834933575843e-06
25088 12.25 1.51259312419886e-06 1.51259307452155e-06 1.51259305048822e-06
25600 12.5 1.52671416359207e-06 1.52671419937536e-06 1.52671418635608e-06
26112 12.75 1.52278522417849e-06 1.52278525395245e-06 1.52278526578661e-06
26624 13 1.51161740669197e-06 1.51161746365794e-06 1.51161743586236e-06
27136 13.25 1.48072248584362e-06 1.48072250008215e-06 1.4807224589476e-06
27648 13.5 1.47334352906117e-06 1.47334354607447e-06 1.47334359236231e-06
28160 13.75 1.46271989687237e-06 1.46272003350877e-06 1.46272003453445e-06
28672 14 1.451283169115e-06 1.45128334659864e-06 1.4512833184488e-06
29184 14.25 1.45016966542368e-06 1.45016972298733e-06 1.45016967908415e-06
29696 14.5 1.47036515330708e-06 1.47036514781273e-06 1.47036510757323e-06
30208 14.75 1.47813354859646e-06 1.47813369955658e-06 1.47813362042945e-06
30720 15 1.45025639732696e-06 1.45025677282028e-06 1.4502565723335e-06
31232 15.25 1.42258265418125e-06 1.42258304236579e-06 1.42258290830673e-06
31744 15.5 1.42795558707078e-06 1.42795579514176e-06 1.42795565173197e-06
32256 15.75 1.45973697189048e-06 1.45973719602586e-06 1.45973673229386e-06
32768 16 1.47841579304222e-06 1.47841609216119e-06 1.47841576133787e-06
33280 16.25 1.47670552877973e-06 1.47670540281262e-06 1.47670567814335e-06
33792 16.5 1.49741435338868e-06 1.49741406088672e-06 1.4974144235467e-06
34304 16.75 1.53562596042844e-06 1.53562593938968e-06 1.53562604827333e-06
34816 17 1.58261572440706e-06 1.58261595016231e-06 1.582615842934e-06
35328 17.25 1.61391662395397e-06 1.61391693137595e-06 1.61391673960305e-06
35840 17.5 1.63444709982161e-06 1.6344475586884e-06 1.63444716939859e-06
36352 17.75 1.66973997545188e-06 1.6697403272858e-06 1.66974014183369e-06
36864 18 1.71178548292927e-06 1.7117856139353e-06 1.71178550617837e-06
37376 18.25 1.75236105921309e-06 1.75236092421823e-06 1.75236095670801e-06
37888 18.5 1.76993552323633e-06 1.76993523550774e-06 1.76993547447699e-06
38400 18.75 1.78717261038628e-06 1.78717254242703e-06 1.78717270472857e-06
38912 19 1.82746976484246e-06 1.82746987966572e-06 1.82747000978156e-06
39424 19.25 1.8735574784068e-06 1.87355751038373e-06 1.87355764359613e-06
39936 19.5 1.90243247174176e-06 1.9024327662513e-06 1.90243255518307e-06
40448 19.75 1.92276610263352e-06 1.922766086076e-06 1.92276614096047e-06
40960 20 1.96975128627239e-06 1.96975078411505e-06 1.96975117800229e-06
41472 20.25 2.01748100776634e-06 2.01748048428197e-06 2.01748082444403e-06
41984 20.5 2.04390257396124e-06 2.04390208592189e-06 2.04390237120891e-06
42496 20.75 2.05174946648561e-06 2.05174897533298e-06 2.05174936884177e-06
43008 21 2.07868983795823e-06 2.07868971688805e-06 2.07868999685027e-06
43520 21.25 2.11083022148853e-06 2.11083022025937e-06 2.1108304566838e-06
44032 21.5 2.13177384040327e-06 2.13177375982994e-06 2.13177393650648e-06
44544 21.75 2.14311297579914e-06 2.14311260868008e-06 2.14311298271426e-06
45056 22 2.15749298327818e-06 2.15749275374242e-06 2.15749315190159e-06
45568 22.25 2.17687336894322e-06 2.17687319922868e-06 2.17687363412807e-06
46080 22.5 2.1873091563322e-06 2.18730948739472e-06 2.18730965195902e-06
46592 22.75 2.19161088710607e-06 2.19161124667136e-06 2.19161142736143e-06
47104 23 2.18865543584376e-06 2.18865513471485e-06 2.18865564877758e-06
47616 23.25 2.18362323208152e-06 2.18362256187675e-06 2.18362324884644e-06
48128 23.5 2.17276663779541e-06 2.17276580492987e-06 2.17276610195713e-06
