# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Jan 13 2025 at 16:27:36+0100
# parameter filename: "./TOV_K_90_res_1_0.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90_res_1_0-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.27.33-19198
# Run ID: run-TOV_K_90_res_1_0-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.27.33-19198
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.25 1.13765041100055e-05 1.13765041100167e-05 1.13765041100279e-05
1024 0.5 1.60203785194464e-05 1.60203785194609e-05 1.60203785194391e-05
1536 0.75 1.90752314902831e-05 1.90752314903199e-05 1.90752314903569e-05
2048 1 2.4896659033499e-05 2.48966590335597e-05 2.48966590336212e-05
2560 1.25 3.02087564403431e-05 3.02087564403943e-05 3.0208756440447e-05
3072 1.5 3.530050923366e-05 3.53005092336546e-05 3.53005092336518e-05
3584 1.75 4.03878071645468e-05 4.03878071645314e-05 4.03878071645186e-05
4096 2 4.48426574851453e-05 4.48426574851145e-05 4.4842657485091e-05
4608 2.25 4.96204812646272e-05 4.96204812645715e-05 4.9620481264523e-05
5120 2.5 5.42478652165219e-05 5.42478652164985e-05 5.4247865216317e-05
5632 2.75 5.81817675828375e-05 5.81817675828324e-05 5.81817675826177e-05
6144 3 6.11448497208691e-05 6.11448497209222e-05 6.1144849721144e-05
6656 3.25 6.31766450422267e-05 6.31766450422876e-05 6.3176645042727e-05
7168 3.5 6.45634413639688e-05 6.45634413640396e-05 6.45634413641734e-05
7680 3.75 6.57606056334776e-05 6.57606056333437e-05 6.57606056333966e-05
8192 4 6.68777260403911e-05 6.68777260387383e-05 6.68777260399708e-05
8704 4.25 6.74399958994901e-05 6.74399958977579e-05 6.74399958993297e-05
9216 4.5 6.75041108673356e-05 6.75041108699466e-05 6.75041108701024e-05
9728 4.75 6.75376674434569e-05 6.7537667443291e-05 6.75376674448617e-05
10240 5 6.73172152130261e-05 6.73172152129465e-05 6.7317215215087e-05
10752 5.25 6.66147729597362e-05 6.66147729573688e-05 6.66147729556412e-05
11264 5.5 6.5432148613467e-05 6.54321486126862e-05 6.54321486104471e-05
11776 5.75 6.28262834468487e-05 6.282628345122e-05 6.28262834506598e-05
12288 6 6.0183302001496e-05 6.01833019965225e-05 6.01833019931542e-05
12800 6.25 5.71277843040648e-05 5.71277842975226e-05 5.71277842983964e-05
13312 6.5 5.31962280580658e-05 5.31962280593707e-05 5.31962280572833e-05
13824 6.75 5.18860037224715e-05 5.18860037087039e-05 5.18860037166584e-05
14336 7 5.01043152666468e-05 5.01043152549592e-05 5.01043152616417e-05
14848 7.25 4.67424444119551e-05 4.67424443995861e-05 4.67424443860547e-05
15360 7.5 4.32136250790383e-05 4.32136250610169e-05 4.32136250673667e-05
15872 7.75 4.13720368387224e-05 4.13720368621791e-05 4.13720368671628e-05
16384 8 3.90995068414444e-05 3.9099506854661e-05 3.90995068203289e-05
16896 8.25 3.57463654475827e-05 3.57463840046548e-05 3.57463611457039e-05
17408 8.5 3.67520292308011e-05 3.67520395299273e-05 3.67520316988361e-05
17920 8.75 3.46346892567221e-05 3.46347116841262e-05 3.46346884187241e-05
18432 9 3.18707690089448e-05 3.18707686729326e-05 3.18707664313053e-05
18944 9.25 3.32229019683302e-05 3.32228798623253e-05 3.32228932426088e-05
19456 9.5 3.28301543217321e-05 3.28301519081571e-05 3.2830148307806e-05
19968 9.75 3.11968801617017e-05 3.11968983717779e-05 3.11968729878008e-05
20480 10 3.3321557336783e-05 3.33215573826455e-05 3.33215574042329e-05
20992 10.25 3.6587104617192e-05 3.65871046731077e-05 3.65871047148004e-05
21504 10.5 3.99364582194731e-05 3.99364581965909e-05 3.99364582048725e-05
22016 10.75 4.16055485275238e-05 4.16055483710647e-05 4.16055482802768e-05
22528 11 4.31736174740316e-05 4.31736174384875e-05 4.31736173577519e-05
23040 11.25 4.53858804383381e-05 4.53858806446185e-05 4.5385880694667e-05
23552 11.5 4.55544592710457e-05 4.55544593709695e-05 4.55544596314956e-05
24064 11.75 4.70295499665182e-05 4.70295503789384e-05 4.70295506320802e-05
24576 12 4.98823501263054e-05 4.98823521878426e-05 4.98823531867286e-05
25088 12.25 5.24984910180854e-05 5.24984932852477e-05 5.24984941544744e-05
25600 12.5 5.22137326293506e-05 5.22137324810107e-05 5.221373266682e-05
26112 12.75 4.89229151312593e-05 4.89229129856141e-05 4.89229126925809e-05
26624 13 4.35718788136657e-05 4.35718782020414e-05 4.3571877348348e-05
27136 13.25 4.1619122203834e-05 4.16191219449269e-05 4.16191226362911e-05
27648 13.5 4.18581299891053e-05 4.18581299934764e-05 4.18581286418287e-05
28160 13.75 4.14571888519026e-05 4.14571873660193e-05 4.14571864081361e-05
28672 14 4.14862273470478e-05 4.14862275090574e-05 4.1486228088086e-05
29184 14.25 4.35007945272618e-05 4.35007951533238e-05 4.35007941787401e-05
29696 14.5 4.3490196314805e-05 4.34901996808492e-05 4.34902001251442e-05
30208 14.75 4.22179038064727e-05 4.22179065694129e-05 4.22179088744648e-05
30720 15 3.97494285965621e-05 3.97494286874282e-05 3.97494311152936e-05
31232 15.25 3.67294088671032e-05 3.67293958964156e-05 3.67293875318761e-05
31744 15.5 3.69035213206343e-05 3.6903521640776e-05 3.69035212810848e-05
32256 15.75 3.83166036333706e-05 3.83165880319827e-05 3.83165714610613e-05
32768 16 3.82827368267542e-05 3.82827364522568e-05 3.8282751410658e-05
33280 16.25 3.67310227342597e-05 3.67310138358846e-05 3.6731057326265e-05
33792 16.5 3.38489852598495e-05 3.38489663215272e-05 3.38490043823879e-05
34304 16.75 3.17117936539901e-05 3.171178494682e-05 3.17118239259783e-05
34816 17 3.07299843226411e-05 3.07299815103162e-05 3.07299918604272e-05
35328 17.25 3.09404224707834e-05 3.09404061432144e-05 3.09404114781034e-05
35840 17.5 2.86775234639126e-05 2.86775039023383e-05 2.86775026028173e-05
36352 17.75 2.85591662108671e-05 2.85591703938854e-05 2.85591823689188e-05
36864 18 2.91159218735283e-05 2.91158662494839e-05 2.91159858328431e-05
37376 18.25 3.12077726052308e-05 3.12079008354614e-05 3.12078644223281e-05
37888 18.5 3.05215609658353e-05 3.05217016623037e-05 3.05216536622569e-05
38400 18.75 3.17294904263517e-05 3.1729518161671e-05 3.17295821570179e-05
38912 19 3.13548095717763e-05 3.13548042852979e-05 3.13548120584135e-05
39424 19.25 3.25852375249973e-05 3.2585272137168e-05 3.2585269465776e-05
39936 19.5 3.39920933049112e-05 3.3992115304026e-05 3.39921165728685e-05
40448 19.75 3.60366738918178e-05 3.60366590980337e-05 3.60366717249322e-05
40960 20 3.59366111023294e-05 3.59365739335361e-05 3.59365765790812e-05
41472 20.25 3.81487773280795e-05 3.81487779689995e-05 3.81488153924143e-05
41984 20.5 3.89659164622214e-05 3.89658724128253e-05 3.89658997321326e-05
42496 20.75 3.57764320101628e-05 3.57763597461645e-05 3.57763639134432e-05
43008 21 3.08721665223019e-05 3.08722838578751e-05 3.08722186890224e-05
43520 21.25 3.11193949276465e-05 3.11196251703315e-05 3.11194673392439e-05
44032 21.5 2.83388241474352e-05 2.83391555682969e-05 2.83388430764415e-05
44544 21.75 3.04499716486221e-05 3.04498623740754e-05 3.04499126863413e-05
45056 22 3.14282081530308e-05 3.14281069937867e-05 3.14281102465736e-05
45568 22.25 3.25909747099427e-05 3.25909430662198e-05 3.25908997052323e-05
46080 22.5 3.30313489617654e-05 3.3031367657809e-05 3.30312814899402e-05
46592 22.75 3.37526391240457e-05 3.37526488957808e-05 3.37526001894108e-05
47104 23 3.48373033382876e-05 3.48372457148262e-05 3.48372947009249e-05
47616 23.25 3.46187143614085e-05 3.46186837485515e-05 3.46187435338273e-05
48128 23.5 3.23568143880179e-05 3.23569073661371e-05 3.2356916457421e-05
48640 23.75 3.02442867263235e-05 3.02441518578665e-05 3.02441318084142e-05
49152 24 2.82877856934464e-05 2.82876932584848e-05 2.82876801805709e-05
49664 24.25 2.81493407107152e-05 2.81492707662e-05 2.81493544140383e-05
50176 24.5 2.88900299442328e-05 2.88902657206715e-05 2.88901062478472e-05
50688 24.75 2.94701195712882e-05 2.94700826128818e-05 2.94699862105057e-05
51200 25 3.15371142470165e-05 3.15370068330966e-05 3.15370955299782e-05
51712 25.25 3.28265636770538e-05 3.28265811727331e-05 3.28265427322429e-05
52224 25.5 3.57540681071798e-05 3.57541007280718e-05 3.57541017883028e-05
52736 25.75 3.64519863644595e-05 3.64522033360255e-05 3.6451931408283e-05
53248 26 3.59218579631949e-05 3.5921642177013e-05 3.59218832923005e-05
53760 26.25 3.68604601321111e-05 3.68600890164209e-05 3.686024499128e-05
54272 26.5 3.76337747907255e-05 3.76333697920068e-05 3.76335516306712e-05
54784 26.75 3.64220864690393e-05 3.64217031660706e-05 3.64219545289003e-05
55296 27 3.26107693878141e-05 3.26105075195108e-05 3.26107034593013e-05
55808 27.25 3.31417347381983e-05 3.31413326593368e-05 3.31417311156743e-05
56320 27.5 3.26996728060334e-05 3.26995045077132e-05 3.26994673083312e-05
56832 27.75 3.45315182671279e-05 3.4531469312528e-05 3.45316192308847e-05
57344 28 3.53266808037719e-05 3.53266004618188e-05 3.53270501456651e-05
57856 28.25 3.50660651407122e-05 3.50664844782684e-05 3.50663541780024e-05
58368 28.5 3.60384376125894e-05 3.60387310927058e-05 3.60387106242292e-05
58880 28.75 3.74919245320417e-05 3.74918826867091e-05 3.74918705090583e-05
59392 29 3.9198000058e-05 3.91981107223387e-05 3.91979869370134e-05
59904 29.25 3.99822138040159e-05 3.99823738314364e-05 3.99824077199857e-05
60416 29.5 4.07248656333969e-05 4.07248450882601e-05 4.07249394890287e-05
60928 29.75 4.11130211069735e-05 4.11130662255131e-05 4.11133711982314e-05
61440 30 4.12550785562902e-05 4.12553630200681e-05 4.12557768155619e-05
61952 30.25 4.09078940361635e-05 4.0908043458336e-05 4.09077158534295e-05
62464 30.5 4.09608638166526e-05 4.0960955281779e-05 4.09606880178983e-05
62976 30.75 4.35401940460718e-05 4.3540158896349e-05 4.35402901208624e-05
63488 31 4.63148558726476e-05 4.63152687739446e-05 4.63147387490138e-05
64000 31.25 4.85114732576518e-05 4.8511707770625e-05 4.8510998568233e-05
64512 31.5 4.96713688929181e-05 4.96716808381035e-05 4.96711882652739e-05
65024 31.75 5.06999217578267e-05 5.07002050764545e-05 5.06997102126392e-05
65536 32 4.83654105723888e-05 4.83656694947227e-05 4.83654112770373e-05
66048 32.25 4.58404119399108e-05 4.58404333360736e-05 4.58395083702589e-05
66560 32.5 4.2964971539853e-05 4.29653549377421e-05 4.296504406239e-05
67072 32.75 4.18432826389172e-05 4.1843502728731e-05 4.18434790747171e-05
67584 33 4.18317191942206e-05 4.18316710438158e-05 4.18319849469872e-05
68096 33.25 4.07311794248342e-05 4.07305689044952e-05 4.07315749825898e-05
68608 33.5 3.81378714927846e-05 3.81380719069452e-05 3.81379207717131e-05
69120 33.75 4.20819351032444e-05 4.20817447948446e-05 4.20820760988601e-05
69632 34 4.52959537960419e-05 4.52959342040322e-05 4.52962592892395e-05
70144 34.25 4.82683371706793e-05 4.82684711252228e-05 4.8268329421803e-05
70656 34.5 5.35657135340781e-05 5.3566378750853e-05 5.35662653913659e-05
71168 34.75 5.91984195632901e-05 5.91986621068701e-05 5.91986908499442e-05
71680 35 6.47284373024409e-05 6.47286356261289e-05 6.47292475902909e-05
72192 35.25 7.0429347987178e-05 7.04294730579225e-05 7.04301685881305e-05
72704 35.5 7.29127776765365e-05 7.29129221540132e-05 7.29133235014945e-05
73216 35.75 7.039793022091e-05 7.03981214438938e-05 7.03981202562378e-05
73728 36 6.3621020323348e-05 6.3621280941811e-05 6.36210702927094e-05
74240 36.25 5.79847761596711e-05 5.7985056273001e-05 5.79850163462988e-05
74752 36.5 5.69164311403222e-05 5.69161799071941e-05 5.6916183831635e-05
75264 36.75 5.60464536806053e-05 5.60460564284932e-05 5.60461128028757e-05
75776 37 5.7132408295582e-05 5.71330809895598e-05 5.71331081502354e-05
76288 37.25 6.22926794608454e-05 6.22936795010876e-05 6.22941139987964e-05
76800 37.5 6.54315914811304e-05 6.54327991953626e-05 6.54321889531598e-05
77312 37.75 6.57321308283313e-05 6.57334504773646e-05 6.57315131600483e-05
77824 38 6.412403797588e-05 6.41249369064863e-05 6.41225088304236e-05
78336 38.25 6.23866467708316e-05 6.23861416217605e-05 6.23862335488113e-05
78848 38.5 6.31784543173386e-05 6.31780343503391e-05 6.31776952387187e-05
79360 38.75 6.25519770442662e-05 6.25514758611861e-05 6.25510508179184e-05
79872 39 6.131302095116e-05 6.13122028017654e-05 6.13123516469636e-05
80384 39.25 6.01273494677441e-05 6.01285367587044e-05 6.01276805311774e-05
80896 39.5 6.41942503007167e-05 6.4195154074938e-05 6.41949273235479e-05
81408 39.75 6.75525762939796e-05 6.75544569375807e-05 6.75535509674987e-05
81920 40 6.96566570317621e-05 6.96591676950094e-05 6.96571742765643e-05
82432 40.25 7.05959290344987e-05 7.05974440308114e-05 7.05953166440043e-05
82944 40.5 7.13499890122456e-05 7.13499057048619e-05 7.13486261994162e-05
83456 40.75 7.22545385819596e-05 7.22537584982702e-05 7.22534502318464e-05
83968 41 7.2142890833208e-05 7.21418258364337e-05 7.21424988938174e-05
84480 41.25 6.98011678944665e-05 6.97990615737215e-05 6.98010174333557e-05
84992 41.5 6.52056806359169e-05 6.52025369064512e-05 6.52051841331749e-05
85504 41.75 6.14658783758053e-05 6.14682238511126e-05 6.14669347469329e-05
86016 42 6.24676276409481e-05 6.2469126930932e-05 6.24688743231836e-05
86528 42.25 6.48034927811898e-05 6.48065108195204e-05 6.48060546627386e-05
87040 42.5 7.49038952252979e-05 7.49051808058443e-05 7.49061469906805e-05
87552 42.75 8.18566370332737e-05 8.18557162856836e-05 8.18575352971259e-05
88064 43 8.18484793831337e-05 8.18462990492486e-05 8.18483157914593e-05
88576 43.25 7.28587171710619e-05 7.28569774732373e-05 7.28590727445491e-05
89088 43.5 6.59200422227797e-05 6.59180164931398e-05 6.59191795728229e-05
89600 43.75 7.53346899297687e-05 7.53372046399351e-05 7.53323449054776e-05
