# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Jan 13 2025 at 16:48:22+0100
# parameter filename: "./TOV_K_90_res_1_5.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90_res_1_5-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.48.17-20081
# Run ID: run-TOV_K_90_res_1_5-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.48.17-20081
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.375 -3.32221861494877e-07 -3.32221861494887e-07 -3.32221861494888e-07
1024 0.75 -1.15470352310968e-06 -1.15470352310968e-06 -1.15470352310968e-06
1536 1.125 -3.03968942678566e-06 -3.03968942678554e-06 -3.03968942678555e-06
2048 1.5 -5.56199970267281e-06 -5.56199970267247e-06 -5.56199970267245e-06
2560 1.875 -8.09365044962718e-06 -8.0936504496268e-06 -8.09365044962661e-06
3072 2.25 -1.01098797848041e-05 -1.01098797848041e-05 -1.01098797848058e-05
3584 2.625 -1.09530435707241e-05 -1.09530435707242e-05 -1.09530435707285e-05
4096 3 -1.05221727113039e-05 -1.0522172711304e-05 -1.05221727112868e-05
4608 3.375 -1.09185111956584e-05 -1.09185111957429e-05 -1.09185111957447e-05
5120 3.75 -1.3593606653742e-05 -1.35936066541324e-05 -1.35936066541547e-05
5632 4.125 -1.64569482943477e-05 -1.64569482943809e-05 -1.64569482943798e-05
6144 4.5 -1.92002344533216e-05 -1.92002344528474e-05 -1.92002344453985e-05
6656 4.875 -2.1818583551053e-05 -2.18185835511172e-05 -2.18185835502163e-05
7168 5.25 -2.58180833565559e-05 -2.58180833550795e-05 -2.58180833527098e-05
7680 5.625 -3.09778438624832e-05 -3.09778438584097e-05 -3.09778438545013e-05
8192 6 -3.47826504425836e-05 -3.4782650430654e-05 -3.47826504301272e-05
8704 6.375 -3.70615117240712e-05 -3.70615117063195e-05 -3.7061511714949e-05
9216 6.75 -3.96022297604491e-05 -3.96022297475245e-05 -3.96022297322017e-05
9728 7.125 -4.21726865176878e-05 -4.2172686497762e-05 -4.2172686494405e-05
10240 7.5 -4.57647144954503e-05 -4.57647143633997e-05 -4.57647143021309e-05
10752 7.875 -4.90394096279627e-05 -4.90394094426612e-05 -4.90394092949266e-05
11264 8.25 -4.93662397154406e-05 -4.93662392170177e-05 -4.9366238896821e-05
