# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Jan 13 2025 at 16:48:22+0100
# parameter filename: "./TOV_K_90_res_1_5.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90_res_1_5-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.48.17-20081
# Run ID: run-TOV_K_90_res_1_5-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.48.17-20081
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 1.1053990159357e-10
512 0.375 1.1053990159357e-10
1024 0.75 1.1053990159357e-10
1536 1.125 1.1053990159357e-10
2048 1.5 1.1053990159357e-10
2560 1.875 1.1053990159357e-10
3072 2.25 1.1053990159357e-10
3584 2.625 1.1053990159357e-10
4096 3 1.1053990159357e-10
4608 3.375 1.1053990159357e-10
5120 3.75 1.1053990159357e-10
5632 4.125 1.1053990159357e-10
6144 4.5 1.1053990159357e-10
6656 4.875 1.1053990159357e-10
7168 5.25 1.1053990159357e-10
7680 5.625 1.1053990159357e-10
8192 6 1.1053990159357e-10
8704 6.375 1.1053990159357e-10
9216 6.75 1.1053990159357e-10
9728 7.125 1.1053990159357e-10
10240 7.5 1.1053990159357e-10
10752 7.875 1.1053990159357e-10
11264 8.25 1.1054010097692e-10
11776 8.625 1.10540500971229e-10
12288 9 1.10540907686532e-10
12800 9.375 1.10541320879977e-10
13312 9.75 1.10541740168375e-10
13824 10.125 1.10542165206169e-10
14336 10.5 1.10542595819451e-10
14848 10.875 1.10543032021053e-10
15360 11.25 1.10543473918426e-10
15872 11.625 1.10543921589413e-10
16384 12 1.10544375004097e-10
16896 12.375 1.10544834025044e-10
17408 12.75 1.10545298465305e-10
17920 13.125 1.10545768158431e-10
18432 13.5 1.10546243002255e-10
18944 13.875 1.10546722959999e-10
19456 14.25 1.10547208021279e-10
19968 14.625 1.10547698138387e-10
20480 15 1.10548193163944e-10
20992 15.375 1.10548692822105e-10
21504 15.75 1.10549196737084e-10
22016 16.125 1.10549704514899e-10
22528 16.5 1.10550215838947e-10
23040 16.875 1.10550730522849e-10
23552 17.25 1.10551248483804e-10
24064 17.625 1.10551769649966e-10
24576 18 1.10552293863327e-10
25088 18.375 1.10552820847593e-10
25600 18.75 1.10553350266999e-10
26112 19.125 1.10553881834898e-10
26624 19.5 1.1055441539114e-10
27136 19.875 1.1055495088921e-10
27648 20.25 1.10555488304235e-10
28160 20.625 1.10556027536673e-10
28672 21 1.10556568390735e-10
29184 21.375 1.10557110646727e-10
29696 21.75 1.10557654172925e-10
30208 22.125 1.10558198997408e-10
30720 22.5 1.10558745301134e-10
31232 22.875 1.10559293355859e-10
31744 23.25 1.10559843450035e-10
32256 23.625 1.10560395804674e-10
32768 24 1.10560950432847e-10
33280 24.375 1.10561506919674e-10
33792 24.75 1.10562064214317e-10
34304 25.125 1.10562620648635e-10
34816 25.5 1.10563174392581e-10
35328 25.875 1.1056372435218e-10
35840 26.25 1.10564271201525e-10
