# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Jan 13 2025 at 16:48:22+0100
# parameter filename: "./TOV_K_90_res_1_5.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90_res_1_5-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.48.17-20081
# Run ID: run-TOV_K_90_res_1_5-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.48.17-20081
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.375 -0.00363794232150934 -0.00363794232150934 -0.00363794232150934
1024 0.75 -0.00716741510008912 -0.00716741510008912 -0.00716741510008912
1536 1.125 -0.0106512514880831 -0.0106512514880831 -0.0106512514880831
2048 1.5 -0.0141428958731828 -0.0141428958731828 -0.0141428958731828
2560 1.875 -0.017669331990415 -0.0176693319904151 -0.017669331990415
3072 2.25 -0.0211830577368218 -0.0211830577567095 -0.0211830577567094
3584 2.625 -0.0246688546827798 -0.0246688547990776 -0.0246688547990774
4096 3 -0.0281206763953303 -0.0281206766541456 -0.0281206766541446
4608 3.375 -0.031533216271018 -0.0315332166808864 -0.0315332166808838
5120 3.75 -0.0348931393025659 -0.0348931398734491 -0.0348931398734442
5632 4.125 -0.0381164702147443 -0.0381164709653897 -0.038116470965381
6144 4.5 -0.0412636063710772 -0.0412636073209143 -0.0412636073208994
6656 4.875 -0.0443297803022333 -0.0443297814715246 -0.0443297814714975
7168 5.25 -0.0473097121543695 -0.0473097135640807 -0.0473097135640548
7680 5.625 -0.0501977444002109 -0.0501977460714542 -0.0501977460714338
8192 6 -0.0517419159846488 -0.0517419159857425 -0.0517419159760339
8704 6.375 -0.0549762606283818 -0.0549762606301805 -0.0549762606171881
9216 6.75 -0.0581437199073112 -0.0581437199106624 -0.0581437198942551
9728 7.125 -0.0612403629842973 -0.0612403629896706 -0.0612403629692244
10240 7.5 -0.0642630490502178 -0.0642630490567096 -0.0642630490306727
10752 7.875 -0.0672091514444369 -0.0672091514501797 -0.067209151417131
11264 8.25 -0.0700768220502287 -0.0700768220569608 -0.0700768220162538
11776 8.625 -0.0728644817130616 -0.0728644817280277 -0.0728644816790706
12288 9 -0.075570332472235 -0.0755703325049162 -0.0755703324447265
12800 9.375 -0.0781930292564013 -0.0781930293125322 -0.0781930292344292
13312 9.75 -0.0807316787127263 -0.0807316787936903 -0.0807316786880178
13824 10.125 -0.0831850248434315 -0.0831850249498906 -0.0831850248099287
14336 10.5 -0.0859307612635236 -0.0859307881214043 -0.0859307881227219
14848 10.875 -0.0887574690022221 -0.0887574961482579 -0.0887574961399597
15360 11.25 -0.0913704375373657 -0.0913704648117183 -0.0913704647918503
15872 11.625 -0.0939697762114941 -0.0939697761674788 -0.093969776113507
16384 12 -0.0969985716441224 -0.0969985715603716 -0.0969985714591882
16896 12.375 -0.0999775771938259 -0.0999775770690971 -0.0999775769183034
17408 12.75 -0.102906276967565 -0.102906276801195 -0.102906276600072
17920 13.125 -0.105782851585147 -0.105782851380137 -0.105782851134456
18432 13.5 -0.108604379489787 -0.108604379254355 -0.108604378977132
18944 13.875 -0.111367611104171 -0.111367610849615 -0.111367610558163
19456 14.25 -0.11407186430563 -0.114071864035234 -0.114071863738166
19968 14.625 -0.116715662718065 -0.116715662422075 -0.116715662115019
20480 15 -0.119296248935103 -0.119296248621563 -0.119296248304764
20992 15.375 -0.121811262073451 -0.121811261783989 -0.121811261474616
21504 15.75 -0.124808578066853 -0.124808579506515 -0.12480857934231
22016 16.125 -0.127829019551788 -0.127829021051107 -0.127829020865727
22528 16.5 -0.130801532226932 -0.130801533750629 -0.130801533547782
23040 16.875 -0.133724350954004 -0.133724352477532 -0.13372435225387
23552 17.25 -0.13663965616688 -0.136638935778425 -0.136639211601705
24064 17.625 -0.139593267041468 -0.139591007976661 -0.139591981255829
24576 18 -0.142500378706771 -0.142495749577695 -0.142497885794363
25088 18.375 -0.145360776661368 -0.145352960268564 -0.145356725015929
25600 18.75 -0.148174471539164 -0.148162651148341 -0.148169168097309
26112 19.125 -0.150940799017619 -0.15092415236665 -0.150934762189288
26624 19.5 -0.153660228677671 -0.153637819863741 -0.15365410366746
27136 19.875 -0.156335282834101 -0.156305905194868 -0.156329718960137
27648 20.25 -0.158970335186578 -0.158932595165796 -0.15896587274331
28160 20.625 -0.161566637197941 -0.161518864194118 -0.161563541280603
28672 21 -0.164124887145628 -0.164065105363702 -0.164123023431619
29184 21.375 -0.166645534269411 -0.166571459910692 -0.166606659146751
29696 21.75 -0.169127428692672 -0.16903653252378 -0.169078714402623
30208 22.125 -0.171567200519188 -0.171456743608013 -0.171506650794369
30720 22.5 -0.173962542749218 -0.17383017875393 -0.17388835352194
31232 22.875 -0.176310650206351 -0.176156915887365 -0.176221736824363
31744 23.25 -0.178609942147558 -0.178429133606392 -0.178504625679883
32256 23.625 -0.181018384530391 -0.181018947503405 -0.181019803009324
32768 24 -0.183579327578222 -0.183579939716032 -0.183581290673178
33280 24.375 -0.186091466209041 -0.186091994737225 -0.186093912686539
33792 24.75 -0.188551992891018 -0.188552282447809 -0.18855485143251
34304 25.125 -0.191111129327531 -0.191099433677644 -0.191104541422255
34816 25.5 -0.193682896954638 -0.193672083456187 -0.193677375029469
35328 25.875 -0.196207243943234 -0.19619821444718 -0.196203734245988
35840 26.25 -0.198679483797545 -0.19867318339937 -0.198678981996896
36352 26.625 -0.201092098378507 -0.201089576366943 -0.201095651762537
36864 27 -0.203442938843183 -0.203445408578657 -0.203451767240789
37376 27.375 -0.205728328564444 -0.205737092427469 -0.205743583251756
37888 27.75 -0.208234499774962 -0.208241044306199 -0.208244623374004
38400 28.125 -0.210693498160532 -0.210699607594276 -0.210703047403049
38912 28.5 -0.213087255277291 -0.213092794045502 -0.21309618844408
39424 28.875 -0.215409906547779 -0.215414861988343 -0.215418225474508
39936 29.25 -0.21765770756243 -0.217662264806507 -0.217665506660728
40448 29.625 -0.219829218782577 -0.219833494339846 -0.219836556769902
40960 30 -0.221918918755332 -0.221923006720246 -0.221925836544327
41472 30.375 -0.223920570712389 -0.223924453668175 -0.223927021029656
41984 30.75 -0.225828013490799 -0.225831697784177 -0.225833981432709
42496 31.125 -0.227635862547049 -0.227639098085344 -0.227641107445818
43008 31.5 -0.229339011089773 -0.2293414518632 -0.229343246000524
43520 31.875 -0.230930019376073 -0.230931409103764 -0.230933187635206
44032 32.25 -0.232397308131121 -0.232397230375004 -0.232398735050608
44544 32.625 -0.233726464393489 -0.233723958501055 -0.233725308891877
45056 33 -0.234891888549017 -0.234886764874667 -0.234887790335257
45568 33.375 -0.23586323146275 -0.23585490481673 -0.235855569735332
46080 33.75 -0.236607359261111 -0.236595799825364 -0.236596770143858
46592 34.125 -0.237080519302343 -0.237068442571667 -0.237065269230845
47104 34.5 -0.237241015390495 -0.237231259666664 -0.237212489801436
47616 34.875 -0.2370491632711 -0.237044609683772 -0.236988525134013
48128 35.25 -0.236478940958609 -0.23648199462614 -0.236352208230061
48640 35.625 -0.235523900413381 -0.235536297066226 -0.235289949322471
49152 36 -0.234193302967604 -0.234216419757562 -0.233805496348132
49664 36.375 -0.232511318238595 -0.232546437663477 -0.231917008231611
50176 36.75 -0.231719497405211 -0.231700130195206 -0.231368291513558
50688 37.125 -0.232233182927536 -0.232548894687618 -0.232318233560715
51200 37.5 -0.234375699184552 -0.234454952946338 -0.234701339289175
51712 37.875 -0.23685333864728 -0.23693344552427 -0.237171066197796
52224 38.25 -0.239235646147983 -0.239317153502351 -0.239545886746361
52736 38.625 -0.241549689981815 -0.241624154974222 -0.241823064730677
53248 39 -0.244536152318651 -0.244104674802995 -0.243998694249026
53760 39.375 -0.247445393065668 -0.246496802829712 -0.246337388863868
54272 39.75 -0.250274423699905 -0.249179107469003 -0.249199884523632
54784 40.125 -0.25302138930128 -0.251954443549057 -0.251976454803023
55296 40.5 -0.255686088087893 -0.254910326294025 -0.254680293971627
55808 40.875 -0.258269620184551 -0.258053261439622 -0.25778786536265
56320 41.25 -0.261197332538756 -0.261151047051459 -0.260844082750864
56832 41.625 -0.264190919375099 -0.264195249260682 -0.263842201145411
57344 42 -0.26712247820755 -0.267178736278774 -0.266778518349482
57856 42.375 -0.269989690661091 -0.270100954670921 -0.269651036665235
58368 42.75 -0.272790929831753 -0.272961904053721 -0.272458124915181
58880 43.125 -0.275524828453956 -0.275761272692512 -0.275197573131166
59392 43.5 -0.278190645048532 -0.278499458681593 -0.277867934524281
59904 43.875 -0.280788017765955 -0.281177554330828 -0.280468208697883
60416 44.25 -0.283315716497027 -0.283795712234101 -0.282996436569273
60928 44.625 -0.285770993391096 -0.286351709004862 -0.28544904475328
61440 45 -0.288150075070558 -0.288844389563951 -0.287821436882039
61952 45.375 -0.290448944525922 -0.291274011009764 -0.290108888629673
62464 45.75 -0.292663641011287 -0.29363876299994 -0.292306748768483
62976 46.125 -0.294789793213865 -0.295935954631186 -0.294410350870158
63488 46.5 -0.296822256875987 -0.298162661831117 -0.296414700927451
64000 46.875 -0.298754866654444 -0.300326477725364 -0.298314315719823
64512 47.25 -0.300580427285357 -0.302435264915412 -0.300103491558599
65024 47.625 -0.302292093938042 -0.3044852946237 -0.301777573439129
65536 48 -0.303884008021288 -0.306473170162915 -0.303333100800435
66048 48.375 -0.305351563623813 -0.308394613634884 -0.304767890346454
66560 48.75 -0.306693551685823 -0.310242794449071 -0.306081294246231
67072 49.125 -0.307905382499498 -0.312001448129386 -0.307294132337767
67584 49.5 -0.308999266180496 -0.313643764032072 -0.308432656852871
68096 49.875 -0.310024293808439 -0.315153754164762 -0.309451902218518
68608 50.25 -0.310931682236896 -0.316588354863861 -0.310338024685166
69120 50.625 -0.311717249607545 -0.316861924170705 -0.311096048415642
69632 51 -0.312385605515216 -0.316268331016178 -0.311713828070507
