# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Jan 13 2025 at 16:48:22+0100
# parameter filename: "./TOV_K_90_res_1_5.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90_res_1_5-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.48.17-20081
# Run ID: run-TOV_K_90_res_1_5-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.48.17-20081
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.375 1
1024 0.75 1
1536 1.125 1
2048 1.5 1
2560 1.875 1
3072 2.25 1
3584 2.625 1
4096 3 1
4608 3.375 1
5120 3.75 1
5632 4.125 1
6144 4.5 1
6656 4.875 1
7168 5.25 1
7680 5.625 1
8192 6 1
8704 6.375 1
9216 6.75 1
9728 7.125 1
10240 7.5 1
10752 7.875 1
11264 8.25 1
11776 8.625 1
12288 9 1
12800 9.375 1
13312 9.75 1
13824 10.125 1
14336 10.5 1
14848 10.875 1
15360 11.25 1
15872 11.625 1
16384 12 1
16896 12.375 1
17408 12.75 1
17920 13.125 1
18432 13.5 1
18944 13.875 1
19456 14.25 1
19968 14.625 1
20480 15 1
20992 15.375 1
21504 15.75 1
22016 16.125 1
22528 16.5 1
23040 16.875 1
23552 17.25 1
24064 17.625 1
24576 18 1
25088 18.375 1
25600 18.75 1
26112 19.125 1
26624 19.5 1
27136 19.875 1
27648 20.25 1
28160 20.625 1
28672 21 1
29184 21.375 1
29696 21.75 1
30208 22.125 1
30720 22.5 1
31232 22.875 1
31744 23.25 1
32256 23.625 1
32768 24 1
33280 24.375 1
33792 24.75 1
34304 25.125 1
34816 25.5 1
35328 25.875 1
35840 26.25 1
36352 26.625 1
36864 27 1
37376 27.375 1
37888 27.75 1
38400 28.125 1
38912 28.5 1
39424 28.875 1
39936 29.25 1
40448 29.625 1
40960 30 1
41472 30.375 1
41984 30.75 1
42496 31.125 1
43008 31.5 1
43520 31.875 1
44032 32.25 1
44544 32.625 1
45056 33 1
45568 33.375 1
46080 33.75 1
46592 34.125 1
47104 34.5 1
47616 34.875 1
48128 35.25 1
48640 35.625 1
49152 36 1
49664 36.375 1
50176 36.75 1
50688 37.125 1
51200 37.5 1
51712 37.875 1
52224 38.25 1
52736 38.625 1
53248 39 1
53760 39.375 1
54272 39.75 1
54784 40.125 1
55296 40.5 1
55808 40.875 1
56320 41.25 1
56832 41.625 1
57344 42 1
57856 42.375 1
58368 42.75 1
58880 43.125 1
59392 43.5 1
59904 43.875 1
60416 44.25 1
60928 44.625 1
61440 45 1
61952 45.375 1
62464 45.75 1
62976 46.125 1
63488 46.5 1
64000 46.875 1
64512 47.25 1
65024 47.625 1
65536 48 1
66048 48.375 1
66560 48.75 1
67072 49.125 1
67584 49.5 1
68096 49.875 1
68608 50.25 1
69120 50.625 1
69632 51 1
70144 51.375 1
70656 51.75 1
71168 52.125 1
71680 52.5 1
72192 52.875 1
72704 53.25 1
73216 53.625 1
73728 54 1
74240 54.375 1
74752 54.75 1
75264 55.125 1
75776 55.5 1
76288 55.875 1
76800 56.25 1
77312 56.625 1
77824 57 1
78336 57.375 1
78848 57.75 1
79360 58.125 1
79872 58.5 1
80384 58.875 1
80896 59.25 1
81408 59.625 1
81920 60 1
82432 60.375 1
82944 60.75 1
83456 61.125 1
83968 61.5 1
84480 61.875 1
84992 62.25 1
85504 62.625 1
86016 63 1
86528 63.375 1
87040 63.75 1
87552 64.125 1
88064 64.5 1
88576 64.875 1
89088 65.25 1
89600 65.625 1
90112 66 1
90624 66.375 1
91136 66.75 1
91648 67.125 1
92160 67.5 1
92672 67.875 1
93184 68.25 1
93696 68.625 1
94208 69 1
94720 69.375 1
95232 69.75 1
95744 70.125 1
96256 70.5 1
96768 70.875 1
97280 71.25 1
97792 71.625 1
98304 72 1
98816 72.375 1
99328 72.75 1
99840 73.125 1
100352 73.5 1
100864 73.875 1
101376 74.25 1
101888 74.625 1
102400 75 1
102912 75.375 1
103424 75.75 1
103936 76.125 1
104448 76.5 1
104960 76.875 1
105472 77.25 1
105984 77.625 1
106496 78 1
107008 78.375 1
107520 78.75 1
108032 79.125 1
108544 79.5 1
109056 79.875 1
109568 80.25 1
110080 80.625 1
110592 81 1
111104 81.375 1
111616 81.75 1
112128 82.125 1
112640 82.5 1
113152 82.875 1
113664 83.25 1
114176 83.625 1
114688 84 1
115200 84.375 1
115712 84.75 1
116224 85.125 1
116736 85.5 1
117248 85.875 1
117760 86.25 1
118272 86.625 1
118784 87 1
119296 87.375 1
119808 87.75 1
120320 88.125 1
120832 88.5 1
121344 88.875 1
121856 89.25 1
122368 89.625 1
122880 90 1
123392 90.375 1
123904 90.75 1
124416 91.125 1
124928 91.5 1
125440 91.875 1
125952 92.25 1
126464 92.625 1
126976 93 1
127488 93.375 1
128000 93.75 1
128512 94.125 1
129024 94.5 1
129536 94.875 1
130048 95.25 1
130560 95.625 1
131072 96 1
131584 96.375 1
132096 96.75 1
132608 97.125 1
133120 97.5 1
133632 97.875 1
134144 98.25 1
134656 98.625 1
135168 99 1
135680 99.375 1
136192 99.75 1
136704 100.125 1
137216 100.5 1
137728 100.875 1
138240 101.25 1
138752 101.625 1
139264 102 1
139776 102.375 1
140288 102.75 1
140800 103.125 1
141312 103.5 1
141824 103.875 1
142336 104.25 1
142848 104.625 1
143360 105 1
143872 105.375 1
144384 105.75 1
144896 106.125 1
145408 106.5 1
145920 106.875 1
146432 107.25 1
146944 107.625 1
147456 108 1
147968 108.375 1
148480 108.75 1
148992 109.125 1
149504 109.5 1
150016 109.875 1
150528 110.25 1
151040 110.625 1
151552 111 1
152064 111.375 1
152576 111.75 1
153088 112.125 1
153600 112.5 1
154112 112.875 1
154624 113.25 1
155136 113.625 1
155648 114 1
156160 114.375 1
156672 114.75 1
157184 115.125 1
157696 115.5 1
158208 115.875 1
158720 116.25 1
159232 116.625 1
159744 117 1
160256 117.375 1
160768 117.75 1
161280 118.125 1
161792 118.5 1
162304 118.875 1
162816 119.25 1
163328 119.625 1
163840 120 1
164352 120.375 1
164864 120.75 1
165376 121.125 1
165888 121.5 1
166400 121.875 1
166912 122.25 1
167424 122.625 1
167936 123 1
168448 123.375 1
168960 123.75 1
169472 124.125 1
169984 124.5 1
170496 124.875 1
171008 125.25 1
171520 125.625 1
172032 126 1
172544 126.375 1
173056 126.75 1
173568 127.125 1
174080 127.5 1
174592 127.875 1
175104 128.25 1
175616 128.625 1
176128 129 1
176640 129.375 1
177152 129.75 1
177664 130.125 1
178176 130.5 1
178688 130.875 1
179200 131.25 1
179712 131.625 1
180224 132 1
180736 132.375 1
181248 132.75 1
181760 133.125 1
182272 133.5 1
182784 133.875 1
183296 134.25 1
183808 134.625 1
184320 135 1
184832 135.375 1
185344 135.75 1
185856 136.125 1
186368 136.5 1
186880 136.875 1
187392 137.25 1
187904 137.625 1
188416 138 1
188928 138.375 1
189440 138.75 1
189952 139.125 1
190464 139.5 1
190976 139.875 1
191488 140.25 1
192000 140.625 1
192512 141 1
193024 141.375 1
193536 141.75 1
194048 142.125 1
194560 142.5 1
195072 142.875 1
195584 143.25 1
196096 143.625 1
196608 144 1
197120 144.375 1
197632 144.75 1
198144 145.125 1
198656 145.5 1
199168 145.875 1
199680 146.25 1
200192 146.625 1
200704 147 1
201216 147.375 1
201728 147.75 1
202240 148.125 1
202752 148.5 1
203264 148.875 1
203776 149.25 1
204288 149.625 1
204800 150 1
205312 150.375 1
205824 150.75 1
206336 151.125 1
206848 151.5 1
207360 151.875 1
207872 152.25 1
208384 152.625 1
208896 153 1
209408 153.375 1
209920 153.75 1
210432 154.125 1
210944 154.5 1
211456 154.875 1
211968 155.25 1
212480 155.625 1
212992 156 1
213504 156.375 1
214016 156.75 1
214528 157.125 1
215040 157.5 1
215552 157.875 1
216064 158.25 1
216576 158.625 1
217088 159 1
217600 159.375 1
218112 159.75 1
218624 160.125 1
219136 160.5 1
219648 160.875 1
220160 161.25 1
220672 161.625 1
221184 162 1
221696 162.375 1
222208 162.75 1
222720 163.125 1
223232 163.5 1
223744 163.875 1
224256 164.25 1
224768 164.625 1
225280 165 1
225792 165.375 1
226304 165.75 1
226816 166.125 1
227328 166.5 1
227840 166.875 1
228352 167.25 1
228864 167.625 1
229376 168 1
229888 168.375 1
230400 168.75 1
230912 169.125 1
231424 169.5 1
231936 169.875 1
232448 170.25 1
232960 170.625 1
233472 171 1
233984 171.375 1
234496 171.75 1
235008 172.125 1
235520 172.5 1
236032 172.875 1
236544 173.25 1
237056 173.625 1
237568 174 1
238080 174.375 1
238592 174.75 1
239104 175.125 1
239616 175.5 1
240128 175.875 1
240640 176.25 1
241152 176.625 1
241664 177 1
242176 177.375 1
