# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Jan 13 2025 at 16:48:22+0100
# parameter filename: "./TOV_K_90_res_1_5.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_K_90_res_1_5-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.48.17-20081
# Run ID: run-TOV_K_90_res_1_5-vlab1557-p0003.laboratori.local-es858465-2025.01.13-15.48.17-20081
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 3.16314355470821e-06
512 0.375 8.58861428499251e-06
1024 0.75 1.23805049885596e-05
1536 1.125 1.51784219673436e-05
2048 1.5 1.73475085230929e-05
2560 1.875 1.89337138983683e-05
3072 2.25 1.99086878730299e-05
3584 2.625 2.03248479404909e-05
4096 3 2.02489204307557e-05
4608 3.375 2.00451530739482e-05
5120 3.75 1.99338203571018e-05
5632 4.125 2.00640880272105e-05
6144 4.5 2.05317069809805e-05
6656 4.875 2.10463789602873e-05
7168 5.25 2.14716278915519e-05
7680 5.625 2.17209762543697e-05
8192 6 2.17657958550354e-05
8704 6.375 2.16730772725914e-05
9216 6.75 2.14941843897135e-05
9728 7.125 2.1411747210531e-05
10240 7.5 2.14850324441723e-05
10752 7.875 2.17498823072087e-05
11264 8.25 2.20945506534903e-05
11776 8.625 2.23228729870016e-05
12288 9 2.24127408117312e-05
12800 9.375 2.24232345906631e-05
13312 9.75 2.23788075238968e-05
13824 10.125 2.22755482466921e-05
14336 10.5 2.22491880466416e-05
14848 10.875 2.2369291187795e-05
15360 11.25 2.26239458005066e-05
15872 11.625 2.28843756126885e-05
16384 12 2.29888405160871e-05
16896 12.375 2.30179013271397e-05
17408 12.75 2.30562923107016e-05
17920 13.125 2.3102089441128e-05
18432 13.5 2.31078212807655e-05
18944 13.875 2.31077332265539e-05
19456 14.25 2.32491209949974e-05
19968 14.625 2.35066885565564e-05
20480 15 2.3747738300378e-05
20992 15.375 2.38379728975552e-05
21504 15.75 2.38551591462542e-05
22016 16.125 2.38944361146755e-05
22528 16.5 2.39816924089598e-05
23040 16.875 2.40643077855952e-05
23552 17.25 2.41075532154884e-05
24064 17.625 2.42057873217357e-05
24576 18 2.44292890323703e-05
25088 18.375 2.46528442537278e-05
25600 18.75 2.47474168734753e-05
26112 19.125 2.47644792448433e-05
26624 19.5 2.48501372478185e-05
27136 19.875 2.50285249528645e-05
27648 20.25 2.51663996689734e-05
28160 20.625 2.52519105977608e-05
28672 21 2.53641654404771e-05
29184 21.375 2.55531167790653e-05
29696 21.75 2.57292510259382e-05
30208 22.125 2.58320368598377e-05
30720 22.5 2.59247646609217e-05
31232 22.875 2.60808749007716e-05
31744 23.25 2.62848562012277e-05
32256 23.625 2.64816781147058e-05
32768 24 2.6629139436286e-05
33280 24.375 2.67358201615011e-05
33792 24.75 2.69008390037161e-05
34304 25.125 2.70579445717428e-05
34816 25.5 2.7172938061753e-05
35328 25.875 2.72606409096217e-05
35840 26.25 2.74035875311612e-05
36352 26.625 2.75543769563368e-05
36864 27 2.77359348415951e-05
37376 27.375 2.78991943153659e-05
37888 27.75 2.80237925810928e-05
38400 28.125 2.8128662582234e-05
38912 28.5 2.82459046902762e-05
39424 28.875 2.83712012164454e-05
39936 29.25 2.84860401731382e-05
40448 29.625 2.86112061315348e-05
40960 30 2.87188556961562e-05
41472 30.375 2.88126854905707e-05
41984 30.75 2.8899233763422e-05
42496 31.125 2.90043130074576e-05
43008 31.5 2.9119875099739e-05
43520 31.875 2.92327357080037e-05
44032 32.25 2.93737648671629e-05
44544 32.625 2.95232847413608e-05
45056 33 2.96931701720487e-05
45568 33.375 2.9845600894893e-05
46080 33.75 3.00143982515445e-05
46592 34.125 3.01904973102357e-05
47104 34.5 3.03437287301869e-05
47616 34.875 3.04707187178766e-05
48128 35.25 3.05395592529565e-05
48640 35.625 3.06362565394854e-05
49152 36 3.07651849481916e-05
49664 36.375 3.09041992962185e-05
50176 36.75 3.10274804201817e-05
50688 37.125 3.11536303937648e-05
51200 37.5 3.13192261474901e-05
51712 37.875 3.14972308886486e-05
52224 38.25 3.16517686132304e-05
52736 38.625 3.1796091897307e-05
53248 39 3.19342876946987e-05
53760 39.375 3.21160695080433e-05
54272 39.75 3.22939908536811e-05
54784 40.125 3.24482742951104e-05
55296 40.5 3.25863409908311e-05
55808 40.875 3.27039267106409e-05
56320 41.25 3.28174109371732e-05
56832 41.625 3.29016900697218e-05
57344 42 3.29818504915104e-05
57856 42.375 3.30597378755944e-05
58368 42.75 3.31553063960969e-05
58880 43.125 3.33036553980016e-05
59392 43.5 3.34939333347944e-05
59904 43.875 3.37285750130102e-05
60416 44.25 3.39471524982781e-05
60928 44.625 3.41470308578959e-05
61440 45 3.42789782415173e-05
61952 45.375 3.43724768019515e-05
62464 45.75 3.44539519622465e-05
62976 46.125 3.45102682945618e-05
63488 46.5 3.45904670154979e-05
64000 46.875 3.47098645994836e-05
64512 47.25 3.49192417205647e-05
65024 47.625 3.51602324324872e-05
65536 48 3.54053331308883e-05
66048 48.375 3.56144070256288e-05
66560 48.75 3.57699966454682e-05
67072 49.125 3.58810510673383e-05
67584 49.5 3.59602468895011e-05
68096 49.875 3.60282192581565e-05
68608 50.25 3.61023635514944e-05
69120 50.625 3.62403533348665e-05
69632 51 3.64458265074067e-05
70144 51.375 3.66802099831368e-05
70656 51.75 3.69116478126422e-05
71168 52.125 3.71034042741384e-05
71680 52.5 3.72755977714406e-05
72192 52.875 3.73997515775933e-05
72704 53.25 3.74796553329331e-05
73216 53.625 3.75567642696955e-05
73728 54 3.76717609421955e-05
74240 54.375 3.7821706033006e-05
74752 54.75 3.79974399051073e-05
75264 55.125 3.82167122736448e-05
75776 55.5 3.84339916632715e-05
76288 55.875 3.86434673497697e-05
76800 56.25 3.88168445697369e-05
77312 56.625 3.89633157636566e-05
77824 57 3.90794611195525e-05
78336 57.375 3.92122845686999e-05
78848 57.75 3.93944821152514e-05
79360 58.125 3.95856330041335e-05
79872 58.5 3.97839761371273e-05
80384 58.875 3.99978054094539e-05
80896 59.25 4.02259691759704e-05
81408 59.625 4.04410035668612e-05
81920 60 4.06036939252674e-05
82432 60.375 4.07385023171741e-05
82944 60.75 4.08597702659029e-05
83456 61.125 4.09985803143495e-05
83968 61.5 4.11399497653439e-05
84480 61.875 4.13120960877682e-05
84992 62.25 4.1508136747597e-05
85504 62.625 4.17130950490681e-05
86016 63 4.19051964321485e-05
86528 63.375 4.20728680573408e-05
87040 63.75 4.22195250389409e-05
87552 64.125 4.23454579576323e-05
88064 64.5 4.24799079549515e-05
88576 64.875 4.26281454808552e-05
89088 65.25 4.27899606440855e-05
89600 65.625 4.29704895683524e-05
