# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:32:15+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.25 1.20815907838063e-07 1.20815907838061e-07 1.20815907838059e-07
1024 0.5 5.27198772529358e-07 5.27198772529355e-07 5.27198772529351e-07
1536 0.75 7.17898518478689e-07 7.17898518478682e-07 7.17898518478676e-07
2048 1 9.75805334717136e-07 9.75805334717136e-07 9.75805334717136e-07
2560 1.25 1.74617386413147e-06 1.74617386413147e-06 1.74617386413147e-06
3072 1.5 2.63172951991449e-06 2.63172951991449e-06 2.63172951991449e-06
3584 1.75 3.51070401481847e-06 3.51070401481846e-06 3.51070401481846e-06
4096 2 4.26960097971405e-06 4.26960097971405e-06 4.26960097971405e-06
4608 2.25 4.82622578715504e-06 4.82622578715503e-06 4.82622578715504e-06
5120 2.5 5.14289729381809e-06 5.14289729381808e-06 5.14289729381809e-06
5632 2.75 5.22969613199208e-06 5.22969613199208e-06 5.22969613199208e-06
6144 3 5.88850246597924e-06 5.88850246597924e-06 5.88850246597923e-06
6656 3.25 6.39163563159212e-06 6.39163563158941e-06 6.39163563159113e-06
7168 3.5 6.57209837166467e-06 6.57209837147979e-06 6.57209837167496e-06
7680 3.75 6.48727523460155e-06 6.48727523579517e-06 6.48727523464615e-06
8192 4 6.75217988651378e-06 6.75218008387946e-06 6.75217987490732e-06
8704 4.25 7.08580647696864e-06 7.08580697436455e-06 7.08580657329767e-06
9216 4.5 7.10473525677322e-06 7.1047361253022e-06 7.10473558407323e-06
9728 4.75 6.89992255424031e-06 6.89992393405668e-06 6.89992330618544e-06
10240 5 7.17458267966349e-06 7.17458298119657e-06 7.17458305268519e-06
10752 5.25 7.2595569252024e-06 7.25955742563248e-06 7.25955753074631e-06
11264 5.5 7.06450879015424e-06 7.06450948124763e-06 7.06450960679006e-06
11776 5.75 6.81088469827561e-06 6.81088399959503e-06 6.81088339010372e-06
12288 6 7.05425085300443e-06 7.05424987651297e-06 7.05424899004137e-06
12800 6.25 7.03623559817966e-06 7.03623441107299e-06 7.03623329424357e-06
13312 6.5 6.99872263152728e-06 6.99872154292616e-06 6.99872077186247e-06
13824 6.75 7.44197609633612e-06 7.44197609617033e-06 7.44197609621014e-06
14336 7 8.18690331049545e-06 8.18690331040075e-06 8.18690331002763e-06
14848 7.25 8.93770039684349e-06 8.93770039688651e-06 8.93770039638643e-06
15360 7.5 9.44798954275775e-06 9.44798954315767e-06 9.44798954235458e-06
15872 7.75 9.65466348169334e-06 9.65466348273136e-06 9.6546634814231e-06
16384 8 9.65478534495851e-06 9.65478534710631e-06 9.6547853467713e-06
16896 8.25 9.68835989343039e-06 9.68835989647741e-06 9.68835990295306e-06
17408 8.5 1.01239288050822e-05 1.01239287736385e-05 1.01239288503815e-05
17920 8.75 1.06309022561882e-05 1.06309022450555e-05 1.06309022937055e-05
18432 9 1.13321324532633e-05 1.13321324205745e-05 1.13321324874297e-05
18944 9.25 1.17253833404279e-05 1.17253832833449e-05 1.17253833398209e-05
19456 9.5 1.16624827437747e-05 1.1662482673346e-05 1.16624826831204e-05
19968 9.75 1.16396080206039e-05 1.1639608017447e-05 1.16396079771612e-05
20480 10 1.22252028262466e-05 1.22252028626389e-05 1.22252028997685e-05
20992 10.25 1.25122912135489e-05 1.25122913358625e-05 1.25122913390429e-05
21504 10.5 1.29146700883406e-05 1.29146701576404e-05 1.29146701781859e-05
22016 10.75 1.35290832309008e-05 1.35290833807761e-05 1.35290833422939e-05
22528 11 1.36841171691605e-05 1.36841174228042e-05 1.36841171696363e-05
23040 11.25 1.35447411789001e-05 1.35447415296628e-05 1.35447410037893e-05
23552 11.5 1.3501087176092e-05 1.35010876817294e-05 1.35010870612103e-05
24064 11.75 1.3539606517119e-05 1.35396068214209e-05 1.3539606407263e-05
24576 12 1.37618580129606e-05 1.37618581274343e-05 1.37618582443624e-05
25088 12.25 1.40017819126895e-05 1.40017817362288e-05 1.40017829899063e-05
25600 12.5 1.42382356467364e-05 1.42382357737184e-05 1.42382364132393e-05
26112 12.75 1.41091103830373e-05 1.41091108285883e-05 1.41091100772614e-05
26624 13 1.36772423896691e-05 1.36772430968242e-05 1.36772405679357e-05
27136 13.25 1.32563766769894e-05 1.32563771968714e-05 1.32563760951207e-05
27648 13.5 1.32196899825697e-05 1.32196907830454e-05 1.32196882238721e-05
28160 13.75 1.32149384472236e-05 1.32149393184019e-05 1.32149364256772e-05
28672 14 1.34213547401131e-05 1.34213560891814e-05 1.34213586272559e-05
29184 14.25 1.36055691398045e-05 1.36055708937604e-05 1.3605572334533e-05
29696 14.5 1.3640831340826e-05 1.3640832991152e-05 1.36408319165925e-05
30208 14.75 1.34010168917728e-05 1.34010171213661e-05 1.34010151600378e-05
30720 15 1.30127825886928e-05 1.30127840887054e-05 1.30127839361405e-05
31232 15.25 1.31260859619535e-05 1.31260865143294e-05 1.3126085393553e-05
31744 15.5 1.3198492364525e-05 1.31984905602148e-05 1.31984901940414e-05
32256 15.75 1.31152215176427e-05 1.31152162584843e-05 1.31152176222606e-05
32768 16 1.31229161506347e-05 1.31229095423553e-05 1.31229083660596e-05
33280 16.25 1.30930368366306e-05 1.309303571715e-05 1.30930300482171e-05
33792 16.5 1.27207851226196e-05 1.27207902055541e-05 1.27207846782102e-05
34304 16.75 1.23095034337512e-05 1.23095024903414e-05 1.23094994178696e-05
