# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:32:15+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.25 -1.29805229105032e-07 -1.29805229105032e-07 -1.29805229105032e-07
1024 0.5 -5.94727542287626e-07 -5.94727542287657e-07 -5.94727542287659e-07
1536 0.75 -8.69817520446228e-07 -8.69817520446222e-07 -8.69817520446221e-07
2048 1 -8.70692594335514e-07 -8.7069259433551e-07 -8.70692594335503e-07
2560 1.25 -9.27500832582211e-07 -9.27500832582211e-07 -9.27500832582251e-07
3072 1.5 -1.3784468043653e-06 -1.37844680436528e-06 -1.37844680436465e-06
3584 1.75 -1.43410212397554e-06 -1.4341021239755e-06 -1.43410212397753e-06
4096 2 -1.66569702039065e-06 -1.66569702039079e-06 -1.66569702035009e-06
4608 2.25 -1.26037620481688e-06 -1.26037620481685e-06 -1.26037620481683e-06
5120 2.5 -1.82921521069944e-06 -1.8292152106994e-06 -1.82921521069938e-06
5632 2.75 -1.8607283058287e-06 -1.86072830582868e-06 -1.86072830582805e-06
6144 3 -1.98650800870262e-06 -1.98650800873664e-06 -1.9865080087022e-06
6656 3.25 -2.22707856809307e-06 -2.22707856836265e-06 -2.22707856809337e-06
7168 3.5 -2.43783100524656e-06 -2.43783100632563e-06 -2.43783100528186e-06
7680 3.75 -2.78999075080169e-06 -2.78999075082949e-06 -2.78999075081416e-06
8192 4 -2.93950757617203e-06 -2.93950757608352e-06 -2.93950757616428e-06
8704 4.25 -3.21931645564068e-06 -3.21931645690984e-06 -3.21931645581527e-06
9216 4.5 -3.55212097089873e-06 -3.55212097351947e-06 -3.55212097137302e-06
9728 4.75 -3.81065485068041e-06 -3.81065485019671e-06 -3.81065485187532e-06
10240 5 -4.03668471194846e-06 -4.03668470304554e-06 -4.03668471457443e-06
10752 5.25 -4.35827342895774e-06 -4.35827341332587e-06 -4.35827343447039e-06
11264 5.5 -4.86023732414477e-06 -4.86023730921491e-06 -4.86023733318647e-06
11776 5.75 -5.51213805194997e-06 -5.51213804024949e-06 -5.51213806306046e-06
12288 6 -6.18719772896671e-06 -6.18719771018489e-06 -6.18719774242135e-06
12800 6.25 -6.73486666878002e-06 -6.73486662201585e-06 -6.73486669022117e-06
13312 6.5 -7.11469392111455e-06 -7.11469386136603e-06 -7.11469395515496e-06
13824 6.75 -7.44672669626707e-06 -7.44672660370409e-06 -7.44672675028669e-06
14336 7 -7.8343141743011e-06 -7.83431420986406e-06 -7.83431421012511e-06
14848 7.25 -8.40318210944089e-06 -8.4031822775356e-06 -8.40318212579646e-06
15360 7.5 -8.99236830585984e-06 -8.99236853806832e-06 -8.99236830105043e-06
15872 7.75 -9.59698875899142e-06 -9.59698902071795e-06 -9.59698878408006e-06
16384 8 -9.99315736316476e-06 -9.99315749579712e-06 -9.99315731852094e-06
16896 8.25 -1.08756277120965e-05 -1.08756280855318e-05 -1.08756277350382e-05
17408 8.5 -1.13503663687421e-05 -1.13503665788489e-05 -1.13503663248139e-05
17920 8.75 -1.19722066887068e-05 -1.19722064692511e-05 -1.19722063480224e-05
18432 9 -1.25685709294653e-05 -1.25685707715284e-05 -1.25685707643604e-05
18944 9.25 -1.30920301604871e-05 -1.30920299905747e-05 -1.3092030266701e-05
19456 9.5 -1.35237966038136e-05 -1.35237965214544e-05 -1.3523796449574e-05
19968 9.75 -1.40597912923646e-05 -1.40597912328875e-05 -1.40597915399744e-05
20480 10 -1.47149195788205e-05 -1.47149194114898e-05 -1.47149200824981e-05
20992 10.25 -1.5511943941929e-05 -1.55119437009069e-05 -1.55119444024638e-05
21504 10.5 -1.61430822894829e-05 -1.61430816258297e-05 -1.61430815427686e-05
22016 10.75 -1.66046733149342e-05 -1.66046711782042e-05 -1.66046695532223e-05
22528 11 -1.7113265408187e-05 -1.71132613792945e-05 -1.71132588253729e-05
23040 11.25 -1.77280148448947e-05 -1.77280120252554e-05 -1.77280111455124e-05
23552 11.5 -1.83347270913816e-05 -1.83347303002822e-05 -1.83347329042059e-05
24064 11.75 -1.89121417669411e-05 -1.89121491598592e-05 -1.89121525706214e-05
24576 12 -1.95766001635077e-05 -1.95766024020971e-05 -1.95766020856837e-05
25088 12.25 -2.03378632344594e-05 -2.03378570993791e-05 -2.03378532245509e-05
25600 12.5 -2.10085767414694e-05 -2.10085705437569e-05 -2.10085672458182e-05
26112 12.75 -2.14949579034036e-05 -2.14949566004345e-05 -2.14949555511998e-05
26624 13 -2.19725548114983e-05 -2.19725529819074e-05 -2.19725527773099e-05
27136 13.25 -2.25362584634003e-05 -2.25362534699925e-05 -2.25362533192509e-05
27648 13.5 -2.2920641543627e-05 -2.29206376642434e-05 -2.29206378816923e-05
28160 13.75 -2.28797423537561e-05 -2.28797399983054e-05 -2.28797408914341e-05
28672 14 -2.25677550812815e-05 -2.2567750987537e-05 -2.2567751693929e-05
29184 14.25 -2.22176403906999e-05 -2.22176352963534e-05 -2.22176339371734e-05
