# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:32:15+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 2.663733959198 0 0.455051898956299 0 2.26971459388733 0 0 0 0 0 0 0 0 0 35.3151779534372 140826.063469707 0 140826.063469707 160 645147 2283 642864 0 0 0 0 2.66213870048523 1731249135.74055 266
512 0.25 474.905720195051 474.905720195051 4.63504099845886 1.89511299133301 2.35156559944153 0 2.28684544563293 3 270814.459268206 270814.459268206 513224 513224 195095.491240307 195095.491240307 369728 369728 79.703070187803 288424.828348676 6896.06728707326 281528.761061603 186 658812 15948 642864 0 0 0 0 4.62786316871643 1731249137.71186 905
1024 0.5 471.114279989409 471.114279989409 6.56065702438354 3.82072901725769 4.22625756263733 0 2.36990189552307 6 268652.39470365 268652.39470365 1026448 1026448 193537.933902138 193537.933902138 739456 739456 104.523670433628 286449.689077548 7361.2080029978 279088.481074551 284 677817 17385 660432 0 0 0 0 6.54816722869873 1731249139.63748 1544
1536 0.75 479.987711903127 479.987711903127 8.36507201194763 5.62514400482178 5.97845816612244 0 2.38988494873047 9 273712.459393079 273712.459393079 1539672 1539672 197183.218607244 197183.218607244 1109184 1109184 128.215128113529 284525.291424014 7801.84864533959 276723.442778674 310 679256 18824 660432 0 0 0 0 8.34781503677368 1731249141.44189 2183
2048 1 460.835271449609 474.763854219897 10.5518300533295 7.81190204620361 8.08387422561646 0 2.53962683677673 12 262790.801504949 262790.801504949 2052896 2052896 189315.225825023 189315.225825023 1478912 1478912 166.129391537747 401773.803593094 8139.52979807382 393634.27379502 492 1323576 20280 1303296 0 0 0 0 10.5287392139435 1731249143.62865 2822
2560 1.25 459.509503011233 471.040250154909 12.5329790115356 9.79305100440979 9.97895431518555 0 2.55908393859863 15 262034.783526041 262034.783526041 2566120 2566120 188770.58836593 188770.58836593 1848640 1848640 201.250990538403 518699.369623638 8408.29770780583 510291.071915833 518 1324976 21680 1303296 0 0 0 0 12.5050482749939 1731249145.6098 3461
3072 1.5 463.626962384736 469.335918374704 14.3872230052948 11.6472949981689 11.7863352298737 0 2.65140986442566 18 264382.760158827 264382.760158827 3079344 3079344 190462.077276204 190462.077276204 2218368 2218368 221.462842589097 513236.292859216 8817.75838878187 504418.534470434 616 1343998 23134 1320864 0 0 0 0 14.3445575237274 1731249147.46404 4100
3584 1.75 463.681074724659 468.086236863783 16.3268530368805 13.5869250297546 13.6622142791748 0 2.66809463500977 21 264413.617660543 264413.617660543 3592568 3592568 190484.307106443 190484.307106443 2588096 2588096 239.432079922658 504848.545083192 9147.5814233774 495700.963659814 642 1345443 24579 1320864 0 0 0 0 16.2885749340057 1731249149.40367 4739
4096 2 451.573934399363 465.971004285064 18.6841609477997 15.9442329406738 15.9072580337524 0 2.85449528694153 24 257509.534342421 257509.534342421 4105792 4105792 185510.586241786 185510.586241786 2957824 2957824 267.204156200967 596974.777769202 9304.25038243179 587670.52738677 824 1989757 26029 1963728 0 0 0 0 18.6390566825867 1731249151.76098 5378
4608 2.25 430.725784888531 460.591388836732 21.5453960895538 18.805468082428 18.6772017478943 0 2.87165927886963 27 245620.900248479 245620.900248479 4619016 4619016 176945.981105852 176945.981105852 3327552 3327552 294.959092454838 694147.523786003 9490.98866998297 684656.53511602 850 1991154 27426 1963728 0 0 0 0 21.4955213069916 1731249154.62221 6017
