# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:32:15+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 1.1053990159357e-10
512 0.25 1.1053990159357e-10
1024 0.5 1.1053990159357e-10
1536 0.75 1.1053990159357e-10
2048 1 1.1053990159357e-10
2560 1.25 1.1053990159357e-10
3072 1.5 1.1053990159357e-10
3584 1.75 1.1053990159357e-10
4096 2 1.1053990159357e-10
4608 2.25 1.1053990159357e-10
5120 2.5 1.1053990159357e-10
5632 2.75 1.1053990159357e-10
6144 3 1.1053990159357e-10
6656 3.25 1.1053990159357e-10
7168 3.5 1.1053990159357e-10
7680 3.75 1.1053990159357e-10
8192 4 1.1053990159357e-10
8704 4.25 1.1053990159357e-10
9216 4.5 1.1053990159357e-10
9728 4.75 1.1053990159357e-10
10240 5 1.1053990159357e-10
10752 5.25 1.1053990159357e-10
11264 5.5 1.1053990159357e-10
11776 5.75 1.1053990159357e-10
12288 6 1.1054012446178e-10
12800 6.25 1.10540371909504e-10
13312 6.5 1.10540622302419e-10
13824 6.75 1.10540875409313e-10
14336 7 1.10541131107458e-10
14848 7.25 1.10541389393482e-10
15360 7.5 1.10541650327095e-10
15872 7.75 1.10541913954185e-10
16384 8 1.10542180258106e-10
16896 8.25 1.1054244915925e-10
17408 8.5 1.10542720549818e-10
17920 8.75 1.10542994335526e-10
18432 9 1.10543270461861e-10
18944 9.25 1.10543548917452e-10
19456 9.5 1.10543829718744e-10
19968 9.75 1.10544112885245e-10
20480 10 1.10544398416025e-10
20992 10.25 1.10544686277627e-10
21504 10.5 1.10544976409317e-10
22016 10.75 1.10545268743106e-10
22528 11 1.10545563227158e-10
23040 11.25 1.10545859838665e-10
23552 11.5 1.10546158578787e-10
24064 11.75 1.10546459453754e-10
24576 12 1.10546762454544e-10
25088 12.25 1.10547067547264e-10
25600 12.5 1.10547374678438e-10
26112 12.75 1.10547683790022e-10
26624 13 1.10547994834195e-10
27136 13.25 1.10548307779903e-10
27648 13.5 1.1054862260915e-10
28160 13.75 1.10548939306748e-10
28672 14 1.10549257849667e-10
29184 14.25 1.1054957820091e-10
29696 14.5 1.10549900309672e-10
30208 14.75 1.10550224116302e-10
30720 15 1.10550549558649e-10
