# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:32:15+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
0 0 0.00127999999244924
512 0.25 0.00127929427114588
1024 0.5 0.00127858043316716
1536 0.75 0.00127787132696314
2048 1 0.00127718837244639
2560 1.25 0.0012765545995351
3072 1.5 0.0012759804842182
3584 1.75 0.00127547638316116
4096 2 0.00127505099322388
4608 2.25 0.00127470804854505
5120 2.5 0.00127444859935
5632 2.75 0.0012742713704942
6144 3 0.00127417299127827
6656 3.25 0.00127414819226042
7168 3.5 0.00127419010589113
7680 3.75 0.00127429072327986
8192 4 0.00127444143793384
8704 4.25 0.00127463352686118
9216 4.5 0.00127485842857707
9728 4.75 0.00127510781766212
10240 5 0.0012753736130589
10752 5.25 0.00127564806929475
11264 5.5 0.0012759240307954
11776 5.75 0.00127619520568835
12288 6 0.00127645632529304
12800 6.25 0.00127670313559699
13312 6.5 0.00127693227407035
13824 6.75 0.00127714115169347
14336 7 0.00127732793116763
14848 7.25 0.00127749159268565
15360 7.5 0.00127763199131484
15872 7.75 0.00127774986756472
16384 8 0.00127784672432019
16896 8.25 0.00127792444104564
17408 8.5 0.00127798499782896
17920 8.75 0.00127803031567307
18432 9 0.00127806226613676
18944 9.25 0.00127808285607111
19456 9.5 0.00127809444392507
19968 9.75 0.00127809971324128
20480 10 0.00127810126343482
20992 10.25 0.00127810109880063
21504 10.5 0.0012781005471799
22016 10.75 0.00127810075165364
22528 11 0.00127810317587473
23040 11.25 0.00127810948087167
23552 11.5 0.00127812090348838
24064 11.75 0.00127813788098744
24576 12 0.00127816025890579
25088 12.25 0.00127818765442022
25600 12.5 0.00127821958726122
26112 12.75 0.00127825556944105
26624 13 0.00127829530892702
27136 13.25 0.00127833866323044
27648 13.5 0.00127838518379369
28160 13.75 0.00127843387236564
28672 14 0.00127848361692642
29184 14.25 0.00127853368958828
29696 14.5 0.00127858355927003
30208 14.75 0.00127863248253975
30720 15 0.00127867975740545
31232 15.25 0.00127872527455684
31744 15.5 0.00127876928528097
32256 15.75 0.00127881155229861
32768 16 0.00127885116206939
33280 16.25 0.00127888727520921
33792 16.5 0.00127891968499901
34304 16.75 0.0012789485740178
34816 17 0.00127897416910944
35328 17.25 0.00127899679728241
35840 17.5 0.00127901684676198
36352 17.75 0.00127903437745434
36864 18 0.00127904902113668
37376 18.25 0.00127906048320764
37888 18.5 0.00127906895977065
38400 18.75 0.00127907497494324
38912 19 0.00127907909398081
39424 19.25 0.00127908190555597
39936 19.5 0.00127908391679859
40448 19.75 0.001279085201641
40960 20 0.00127908542681975
41472 20.25 0.00127908457077324
41984 20.5 0.00127908353797009
42496 20.75 0.00127908382183935
43008 21 0.0012790865444395
43520 21.25 0.00127909187801632
44032 21.5 0.00127909931914227
44544 21.75 0.00127910838597228
45056 22 0.00127911902239482
45568 22.25 0.00127913140762816
46080 22.5 0.00127914529295391
46592 22.75 0.00127915949525222
47104 23 0.00127917217275648
47616 23.25 0.00127918150027094
48128 23.5 0.00127918623353492
48640 23.75 0.00127918582276287
49152 24 0.00127918023120591
49664 24.25 0.00127916972140834
50176 24.5 0.00127915463297807
50688 24.75 0.00127913527316291
51200 25 0.00127911211909912
51712 25.25 0.00127908612787142
52224 25.5 0.00127905862400499
52736 25.75 0.00127903066170081
53248 26 0.00127900245337735
53760 26.25 0.00127897346248913
54272 26.5 0.00127894308134987
54784 26.75 0.00127891126420444
55296 27 0.00127887855799484
55808 27.25 0.00127884553299125
56320 27.5 0.00127881221578437
56832 27.75 0.00127877818528858
57344 28 0.00127874325469568
57856 28.25 0.00127870785915972
58368 28.5 0.00127867252810061
58880 28.75 0.00127863700255546
59392 29 0.00127860011162494
59904 29.25 0.00127856061510324
60416 29.5 0.00127851804766274
60928 29.75 0.00127847270389232
61440 30 0.00127842499692087
61952 30.25 0.00127837499612766
62464 30.5 0.00127832248305729
62976 30.75 0.00127826724486182
63488 31 0.00127820926211441
64000 31.25 0.00127814867255186
64512 31.5 0.00127808551747572
65024 31.75 0.00127801941883856
65536 32 0.00127794952947967
66048 32.25 0.00127787495981158
66560 32.5 0.0012777953388475
67072 32.75 0.00127771088636279
67584 33 0.00127762186198448
68096 33.25 0.00127752798213501
68608 33.5 0.00127742843647579
69120 33.75 0.0012773224447395
69632 34 0.00127720972171855
70144 34.25 0.00127709037178253
70656 34.5 0.00127696436119783
71168 34.75 0.00127683116390343
71680 35 0.00127669002924353
72192 35.25 0.00127654066434815
72704 35.5 0.00127638356619851
73216 35.75 0.0012762194969946
73728 36 0.00127604858389528
74240 36.25 0.00127587009769623
74752 36.5 0.00127568324673099
75264 36.75 0.00127548808210584
75776 37 0.00127528546256965
76288 37.25 0.00127507620888778
76800 37.5 0.0012748605276606
77312 37.75 0.00127463830128914
77824 38 0.00127440970371003
78336 38.25 0.00127417534001324
78848 38.5 0.00127393587292868
79360 38.75 0.00127369170773469
79872 39 0.0012734430631374
80384 39.25 0.00127319022420976
80896 39.5 0.00127293368869348
81408 39.75 0.00127267417317341
81920 40 0.00127241254023415
82432 40.25 0.00127214962291877
82944 40.5 0.0012718859940405
83456 40.75 0.00127162192159926
83968 41 0.00127135764802666
84480 41.25 0.00127109370639258
84992 41.5 0.00127083086140681
85504 41.75 0.00127056977053673
86016 42 0.00127031091635627
86528 42.25 0.00127005496722064
87040 42.5 0.0012698029639889
87552 42.75 0.00126955585266513
88064 43 0.00126931388347847
88576 43.25 0.00126907676762139
89088 43.5 0.00126884451179814
89600 43.75 0.00126861789632251
90112 44 0.00126839802658561
90624 44.25 0.00126818556071263
91136 44.5 0.00126798047609583
91648 44.75 0.00126778248528966
92160 45 0.00126759161492446
92672 45.25 0.00126740848923819
93184 45.5 0.00126723409819521
93696 45.75 0.00126706917623842
94208 46 0.00126691379833322
94720 46.25 0.00126676774891795
95232 46.5 0.00126663126468615
95744 46.75 0.00126650508195593
96256 47 0.00126638957836008
96768 47.25 0.00126628416833941
97280 47.5 0.00126618789420859
97792 47.75 0.0012661005018808
98304 48 0.00126602260097756
98816 48.25 0.00126595479283889
99328 48.5 0.00126589699731843
99840 48.75 0.00126584874504102
100352 49 0.00126580980489514
100864 49.25 0.00126578025159346
101376 49.5 0.00126576008994285
101888 49.75 0.00126574914787535
102400 50 0.00126574733800729
102912 50.25 0.00126575471557777
103424 50.5 0.00126577112549556
103936 50.75 0.00126579599240358
104448 51 0.0012658287045259
104960 51.25 0.00126586918540872
105472 51.5 0.0012659179008107
105984 51.75 0.00126597521350518
106496 52 0.00126604078061075
107008 52.25 0.0012661136340209
107520 52.5 0.00126619284471262
108032 52.75 0.00126627809676392
108544 53 0.00126636963054654
109056 53.25 0.00126646767215393
109568 53.5 0.00126657196857485
110080 53.75 0.00126668185938695
110592 54 0.00126679668026567
111104 54.25 0.00126691601107684
111616 54.5 0.00126703962661151
112128 54.75 0.00126716736368409
112640 55 0.00126729901610197
113152 55.25 0.00126743420508608
113664 55.5 0.0012675723401687
114176 55.75 0.00126771286817499
114688 56 0.00126785561751464
115200 56.25 0.00126800074519883
115712 56.5 0.00126814822953601
116224 56.75 0.00126829751223661
116736 57 0.00126844778171789
117248 57.25 0.00126859858436336
117760 57.5 0.00126875002654459
118272 57.75 0.00126890232633858
118784 58 0.001269055246674
119296 58.25 0.00126920807869093
119808 58.5 0.0012693602067239
120320 58.75 0.00126951159124939
120832 59 0.00126966257354199
121344 59.25 0.00126981322903107
121856 59.5 0.00126996308941578
122368 59.75 0.00127011159138368
122880 60 0.0012702586403421
123392 60.25 0.00127040452931247
123904 60.5 0.00127054935707098
124416 60.75 0.00127069276073341
124928 61 0.00127083426587156
125440 61.25 0.00127097365937043
125952 61.5 0.00127111084650713
126464 61.75 0.00127124552076819
126976 62 0.00127137726953974
127488 62.25 0.00127150599379436
128000 62.5 0.00127163193778657
128512 62.75 0.00127175519927687
129024 63 0.00127187546573419
129536 63.25 0.00127199245988198
130048 63.5 0.00127210649010087
130560 63.75 0.00127221827744498
131072 64 0.00127232826641247
131584 64.25 0.00127243633106101
132096 64.5 0.0012725421226284
132608 64.75 0.00127264541556169
133120 65 0.001272746049144
133632 65.25 0.00127284380454629
134144 65.5 0.00127293848826993
134656 65.75 0.00127302994158059
135168 66 0.0012731178434402
135680 66.25 0.00127320174551556
136192 66.5 0.00127328154694857
136704 66.75 0.00127335780442401
137216 67 0.00127343132481394
137728 67.25 0.00127350249199961
138240 67.5 0.00127357117019077
