# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:32:15+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.25 -0.00267970670171545 -0.00267970670171545 -0.00267970670171545
1024 0.5 -0.00532740027685446 -0.00532740027685446 -0.00532740027685446
1536 0.75 -0.00792528343256927 -0.00792528343256927 -0.00792528343256927
2048 1 -0.0104619227617221 -0.0104619227617221 -0.0104619227617221
2560 1.25 -0.0129651143204301 -0.0129651143204301 -0.0129651143204301
3072 1.5 -0.0155109991425364 -0.0155109991425364 -0.0155109991425364
3584 1.75 -0.0181005718883952 -0.0181005718883952 -0.0181005718883952
4096 2 -0.0206902218523574 -0.0206902218523596 -0.0206902218523574
4608 2.25 -0.0232618072668535 -0.0232618072668845 -0.0232618072668535
5120 2.5 -0.0258113105526855 -0.0258113106277155 -0.0258113105526855
5632 2.75 -0.0283354497946652 -0.0283354501166016 -0.0283354497946652
6144 3 -0.0308312790080622 -0.0308312795751968 -0.0308312790080622
6656 3.25 -0.033295345297787 -0.0332953461065001 -0.0332953452977869
7168 3.5 -0.0357234726594652 -0.03572347370491 -0.035723472659464
7680 3.75 -0.0381103333449957 -0.0381103346158723 -0.0381103333449921
8192 4 -0.0404533886234068 -0.0404533900881072 -0.0404533886233997
8704 4.25 -0.0427508769631244 -0.0427508785751128 -0.0427508769631141
9216 4.5 -0.0450008919868944 -0.0450008936552328 -0.0450008919868769
9728 4.75 -0.0472013194870817 -0.0472013210820237 -0.0472013194870468
10240 5 -0.0493506281942871 -0.0493506295710674 -0.0493506281942277
10752 5.25 -0.0514822859674194 -0.0514823018359794 -0.0514822859673544
11264 5.5 -0.0536058004338728 -0.0536058188532731 -0.0536058004338121
11776 5.75 -0.0556786584027217 -0.0556786798315956 -0.0556786584026901
12288 6 -0.057701170348116 -0.0577011952665671 -0.0577011703480932
12800 6.25 -0.0596868369175189 -0.059686836857959 -0.0596868369174749
13312 6.5 -0.0618523350326975 -0.0618523349627386 -0.0618523350326299
13824 6.75 -0.0639706544510005 -0.0639706543687781 -0.0639706544509017
14336 7 -0.0660404624191034 -0.0660404623224489 -0.0660404624190059
