# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:32:15+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.25 1.0003620582349
1024 0.5 1.00032884204019
1536 0.75 1.00029782057438
2048 1 1.00026897638415
2560 1.25 1.00024224369472
3072 1.5 1.0002175214243
3584 1.75 1.00025515238399
4096 2 1.00032608536137
4608 2.25 1.00040377987219
5120 2.5 1.00048829557545
5632 2.75 1.00057993521549
6144 3 1.00067900097227
6656 3.25 1.00078989812815
7168 3.5 1.00090855755307
7680 3.75 1.00103146949085
8192 4 1.00115948949827
8704 4.25 1.00129824692733
9216 4.5 1.00144235430277
9728 4.75 1.00159128387384
10240 5 1.00174450552008
10752 5.25 1.00191131889003
11264 5.5 1.00208333265254
11776 5.75 1.00225912749452
12288 6 1.00243420957393
12800 6.25 1.00260288729772
13312 6.5 1.00277163665917
13824 6.75 1.00293969076121
14336 7 1.00310643582728
14848 7.25 1.00327131463833
15360 7.5 1.00344435173425
15872 7.75 1.00362894607267
16384 8 1.00381281673522
16896 8.25 1.00399099850324
17408 8.5 1.00419687998208
17920 8.75 1.00440236997001
18432 9 1.00460697299775
18944 9.25 1.00481849759113
19456 9.5 1.00505472407241
19968 9.75 1.00528854584085
20480 10 1.00551910357003
20992 10.25 1.00574588685785
21504 10.5 1.00596847926049
22016 10.75 1.00618642219968
22528 11 1.00642164718974
23040 11.25 1.00668620814105
23552 11.5 1.0069508259343
24064 11.75 1.0072152612829
24576 12 1.00747903387941
25088 12.25 1.0077413802519
25600 12.5 1.00800181962793
26112 12.75 1.00826018128525
26624 13 1.00851610228206
27136 13.25 1.00878248094956
27648 13.5 1.00904551592574
28160 13.75 1.00930435335259
28672 14 1.00955837187171
29184 14.25 1.00980692619015
29696 14.5 1.01004996175196
30208 14.75 1.01028745743461
30720 15 1.01051897576706
31232 15.25 1.01074394374537
31744 15.5 1.01096186078827
32256 15.75 1.01117230884153
32768 16 1.01137512726291
33280 16.25 1.01157030936142
33792 16.5 1.01175791837953
34304 16.75 1.01193807233855
34816 17 1.01211093381641
35328 17.25 1.01227670104749
35840 17.5 1.01243559968388
36352 17.75 1.01258787053111
36864 18 1.01273373249963
37376 18.25 1.01287337135882
37888 18.5 1.01300695919596
38400 18.75 1.01313465254899
38912 19 1.01325659085493
39424 19.25 1.01337288598038
39936 19.5 1.01348342687483
40448 19.75 1.01358810637708
40960 20 1.01374304726267
41472 20.25 1.01399722475703
41984 20.5 1.01425623666965
42496 20.75 1.01451989384787
43008 21 1.01478797469122
43520 21.25 1.0150602218776
44032 21.5 1.01533635755127
44544 21.75 1.01561917297956
45056 22 1.01591115945491
45568 22.25 1.01621053290544
46080 22.5 1.01651620901099
46592 22.75 1.01682785455808
47104 23 1.01716455787969
47616 23.25 1.01751899156355
48128 23.5 1.01775165125198
48640 23.75 1.01804505468356
49152 24 1.01844944861501
49664 24.25 1.01886595855043
50176 24.5 1.01928987771914
50688 24.75 1.01972027646344
51200 25 1.02015176815935
51712 25.25 1.02058073170966
52224 25.5 1.02100980287398
52736 25.75 1.02144801569773
53248 26 1.02188009442934
53760 26.25 1.02203055668899
54272 26.5 1.02197790906751
54784 26.75 1.02191661285676
55296 27 1.02184743788381
55808 27.25 1.02177531400593
56320 27.5 1.02170122351405
56832 27.75 1.02162462690979
57344 28 1.02154684413223
57856 28.25 1.02146878554878
58368 28.5 1.02139114793608
58880 28.75 1.02131464668939
59392 29 1.02124017754525
59904 29.25 1.0211688572791
60416 29.5 1.02110018213317
60928 29.75 1.02103424251906
61440 30 1.02097108752868
61952 30.25 1.0209106886004
62464 30.5 1.02085270801768
62976 30.75 1.02079728139955
63488 31 1.020744459406
64000 31.25 1.0206943751282
64512 31.5 1.02064708969429
65024 31.75 1.02071511121058
65536 32 1.02078860457807
66048 32.25 1.02086245022399
66560 32.5 1.02093637076136
67072 32.75 1.0210099626062
67584 33 1.02108295423702
68096 33.25 1.02115521539052
68608 33.5 1.02122687422556
69120 33.75 1.0212985071349
69632 34 1.02137112830014
70144 34.25 1.02144610858887
70656 34.5 1.0215252015933
71168 34.75 1.02161048528714
71680 35 1.02170396045601
72192 35.25 1.02180703415411
72704 35.5 1.02192076585633
73216 35.75 1.02204542551131
73728 36 1.02218131881061
74240 36.25 1.02232844563511
74752 36.5 1.02248652137442
75264 36.75 1.02265485585084
75776 37 1.02283298719772
76288 37.25 1.02302049075594
76800 37.5 1.02321641169422
77312 37.75 1.02341986586084
77824 38 1.02363000498931
78336 38.25 1.02385058284737
78848 38.5 1.02408575000146
79360 38.75 1.02433069779309
79872 39 1.02458460662101
80384 39.25 1.02484655783397
80896 39.5 1.02511404262846
81408 39.75 1.02538425232943
81920 40 1.02565459302065
82432 40.25 1.02592444630428
82944 40.5 1.02619410964578
83456 40.75 1.02646370996815
83968 41 1.02673205021911
84480 41.25 1.02699777444957
84992 41.5 1.02726788845649
85504 41.75 1.02762785454843
86016 42 1.02794586235837
86528 42.25 1.02789601518146
87040 42.5 1.02802516372774
87552 42.75 1.02798185882082
88064 43 1.02793661579303
88576 43.25 1.02788910322473
89088 43.5 1.02784029396522
89600 43.75 1.02779091160732
90112 44 1.02773924248185
90624 44.25 1.02768515650957
91136 44.5 1.0276292424468
91648 44.75 1.02757203542513
92160 45 1.02751392054656
92672 45.25 1.02745510024964
93184 45.5 1.0273956676535
93696 45.75 1.02733570032151
94208 46 1.0272752684495
94720 46.25 1.02721439641488
95232 46.5 1.02715309182322
95744 46.75 1.02709141444134
96256 47 1.02702947943015
96768 47.25 1.02696735961421
97280 47.5 1.02690498473016
97792 47.75 1.0268421308083
98304 48 1.02677827163099
98816 48.25 1.02671287087385
99328 48.5 1.0266458783731
99840 48.75 1.02657734306055
100352 49 1.02650711874008
100864 49.25 1.02643509454007
101376 49.5 1.02636123605179
101888 49.75 1.02628552589244
102400 50 1.02620786744288
102912 50.25 1.0261281068969
103424 50.5 1.0260461695471
103936 50.75 1.02596212039218
104448 51 1.02587606255887
104960 51.25 1.02578805613892
105472 51.5 1.02569824906591
105984 51.75 1.02560515598107
106496 52 1.02550717197234
107008 52.25 1.02540346655569
107520 52.5 1.02529278030942
108032 52.75 1.02517379842884
108544 53 1.0250462770816
109056 53.25 1.02491018187201
109568 53.5 1.0247798761682
110080 53.75 1.02467266270592
110592 54 1.02457304030804
111104 54.25 1.02448539705505
111616 54.5 1.02441475108215
112128 54.75 1.02436521563656
112640 55 1.02433917140232
113152 55.25 1.02433794102609
113664 55.5 1.02436204309514
114176 55.75 1.02441155701043
114688 56 1.02448557177942
115200 56.25 1.02458317275975
115712 56.5 1.02470105211203
116224 56.75 1.02483480451301
116736 57 1.02498300435082
117248 57.25 1.02514521819368
117760 57.5 1.02532160676843
118272 57.75 1.02550776938352
118784 58 1.02572186446906
119296 58.25 1.02596438385426
119808 58.5 1.02623150397797
120320 58.75 1.02651442286103
120832 59 1.02680422696017
121344 59.25 1.02710127918858
121856 59.5 1.02740453914232
122368 59.75 1.02771205944516
122880 60 1.02802198704428
123392 60.25 1.02833273305207
123904 60.5 1.02868147272561
124416 60.75 1.02914501136532
124928 61 1.02960344849365
125440 61.25 1.03005438799078
125952 61.5 1.03049678153868
126464 61.75 1.03092863865696
126976 62 1.03138912099373
127488 62.25 1.03186652968127
128000 62.5 1.03233763131113
128512 62.75 1.03280199306603
129024 63 1.03319792211876
129536 63.25 1.03292964675374
130048 63.5 1.03257043149696
130560 63.75 1.03218645569232
131072 64 1.03178276601301
131584 64.25 1.03136568453988
132096 64.5 1.03094082219992
132608 64.75 1.03051275817206
133120 65 1.03008511114793
133632 65.25 1.02966074794391
134144 65.5 1.02924192487712
134656 65.75 1.02917027091701
