# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:32:15+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.25 1
1024 0.5 1
1536 0.75 1
2048 1 1
2560 1.25 1
3072 1.5 1
3584 1.75 1
4096 2 1
4608 2.25 1
5120 2.5 1
5632 2.75 1
6144 3 1
6656 3.25 1
7168 3.5 1
7680 3.75 1
8192 4 1
8704 4.25 1
9216 4.5 1
9728 4.75 1
10240 5 1
10752 5.25 1
11264 5.5 1
11776 5.75 1
12288 6 1
12800 6.25 1
13312 6.5 1
13824 6.75 1
14336 7 1
14848 7.25 1
15360 7.5 1
15872 7.75 1
16384 8 1
16896 8.25 1
17408 8.5 1
17920 8.75 1
18432 9 1
18944 9.25 1
19456 9.5 1
19968 9.75 1
20480 10 1
20992 10.25 1
21504 10.5 1
22016 10.75 1
22528 11 1
23040 11.25 1
23552 11.5 1
24064 11.75 1
24576 12 1
25088 12.25 1
25600 12.5 1
26112 12.75 1
26624 13 1
27136 13.25 1
27648 13.5 1
28160 13.75 1
28672 14 1
29184 14.25 1
29696 14.5 1
30208 14.75 1
30720 15 1
31232 15.25 1
31744 15.5 1
32256 15.75 1
32768 16 1
33280 16.25 1
33792 16.5 1
34304 16.75 1
34816 17 1
35328 17.25 1
35840 17.5 1
36352 17.75 1
36864 18 1
37376 18.25 1
37888 18.5 1
38400 18.75 1
38912 19 1
39424 19.25 1
39936 19.5 1
40448 19.75 1
40960 20 1
41472 20.25 1
41984 20.5 1
42496 20.75 1
43008 21 1
43520 21.25 1
44032 21.5 1
44544 21.75 1
45056 22 1
45568 22.25 1
46080 22.5 1
46592 22.75 1
47104 23 1
47616 23.25 1
48128 23.5 1
48640 23.75 1
49152 24 1
49664 24.25 1
50176 24.5 1
50688 24.75 1
51200 25 1
51712 25.25 1
52224 25.5 1
52736 25.75 1
53248 26 1
53760 26.25 1
54272 26.5 1
54784 26.75 1
55296 27 1
55808 27.25 1
56320 27.5 1
56832 27.75 1
57344 28 1
57856 28.25 1
58368 28.5 1
58880 28.75 1
59392 29 1
59904 29.25 1
60416 29.5 1
60928 29.75 1
61440 30 1
61952 30.25 1
62464 30.5 1
62976 30.75 1
63488 31 1
64000 31.25 1
64512 31.5 1
65024 31.75 1
65536 32 1
66048 32.25 1
66560 32.5 1
67072 32.75 1
67584 33 1
68096 33.25 1
68608 33.5 1
69120 33.75 1
69632 34 1
70144 34.25 1
70656 34.5 1
71168 34.75 1
71680 35 1
72192 35.25 1
72704 35.5 1
73216 35.75 1
73728 36 1
74240 36.25 1
74752 36.5 1
75264 36.75 1
75776 37 1
76288 37.25 1
76800 37.5 1
77312 37.75 1
77824 38 1
78336 38.25 1
78848 38.5 1
79360 38.75 1
79872 39 1
80384 39.25 1
80896 39.5 1
81408 39.75 1
81920 40 1
82432 40.25 1
82944 40.5 1
83456 40.75 1
83968 41 1
84480 41.25 1
84992 41.5 1
85504 41.75 1
86016 42 1
86528 42.25 1
87040 42.5 1
87552 42.75 1
88064 43 1
88576 43.25 1
89088 43.5 1
89600 43.75 1
90112 44 1
90624 44.25 1
91136 44.5 1
91648 44.75 1
92160 45 1
92672 45.25 1
93184 45.5 1
93696 45.75 1
94208 46 1
94720 46.25 1
95232 46.5 1
95744 46.75 1
96256 47 1
96768 47.25 1
97280 47.5 1
97792 47.75 1
98304 48 1
98816 48.25 1
99328 48.5 1
99840 48.75 1
100352 49 1
100864 49.25 1
101376 49.5 1
101888 49.75 1
102400 50 1
102912 50.25 1
103424 50.5 1
103936 50.75 1
104448 51 1
104960 51.25 1
105472 51.5 1
105984 51.75 1
106496 52 1
107008 52.25 1
107520 52.5 1
108032 52.75 1
108544 53 1
109056 53.25 1
109568 53.5 1
110080 53.75 1
110592 54 1
111104 54.25 1
111616 54.5 1
112128 54.75 1
112640 55 1
113152 55.25 1
113664 55.5 1
114176 55.75 1
114688 56 1
115200 56.25 1
115712 56.5 1
116224 56.75 1
116736 57 1
117248 57.25 1
117760 57.5 1
118272 57.75 1
118784 58 1
119296 58.25 1
119808 58.5 1
120320 58.75 1
120832 59 1
121344 59.25 1
121856 59.5 1
122368 59.75 1
122880 60 1
123392 60.25 1
123904 60.5 1
124416 60.75 1
124928 61 1
125440 61.25 1
125952 61.5 1
126464 61.75 1
126976 62 1
127488 62.25 1
128000 62.5 1
128512 62.75 1
129024 63 1
129536 63.25 1
130048 63.5 1
130560 63.75 1
131072 64 1
131584 64.25 1
132096 64.5 1
132608 64.75 1
133120 65 1
133632 65.25 1
134144 65.5 1
134656 65.75 1
135168 66 1
135680 66.25 1
136192 66.5 1
136704 66.75 1
137216 67 1
137728 67.25 1
138240 67.5 1
138752 67.75 1
139264 68 1
139776 68.25 1
140288 68.5 1
140800 68.75 1
141312 69 1
141824 69.25 1
142336 69.5 1
142848 69.75 1
143360 70 1
143872 70.25 1
144384 70.5 1
144896 70.75 1
145408 71 1
145920 71.25 1
146432 71.5 1
146944 71.75 1
147456 72 1
147968 72.25 1
148480 72.5 1
148992 72.75 1
149504 73 1
150016 73.25 1
150528 73.5 1
151040 73.75 1
151552 74 1
152064 74.25 1
152576 74.5 1
153088 74.75 1
153600 75 1
154112 75.25 1
154624 75.5 1
155136 75.75 1
155648 76 1
156160 76.25 1
156672 76.5 1
157184 76.75 1
157696 77 1
158208 77.25 1
158720 77.5 1
159232 77.75 1
159744 78 1
160256 78.25 1
160768 78.5 1
161280 78.75 1
161792 79 1
162304 79.25 1
162816 79.5 1
163328 79.75 1
163840 80 1
164352 80.25 1
164864 80.5 1
165376 80.75 1
165888 81 1
166400 81.25 1
166912 81.5 1
167424 81.75 1
167936 82 1
168448 82.25 1
168960 82.5 1
169472 82.75 1
169984 83 1
170496 83.25 1
171008 83.5 1
171520 83.75 1
172032 84 1
172544 84.25 1
173056 84.5 1
173568 84.75 1
174080 85 1
174592 85.25 1
175104 85.5 1
175616 85.75 1
176128 86 1
176640 86.25 1
177152 86.5 1
177664 86.75 1
178176 87 1
178688 87.25 1
179200 87.5 1
179712 87.75 1
180224 88 1
180736 88.25 1
181248 88.5 1
181760 88.75 1
182272 89 1
182784 89.25 1
183296 89.5 1
183808 89.75 1
184320 90 1
184832 90.25 1
185344 90.5 1
185856 90.75 1
186368 91 1
186880 91.25 1
187392 91.5 1
187904 91.75 1
188416 92 1
188928 92.25 1
189440 92.5 1
189952 92.75 1
190464 93 1
190976 93.25 1
191488 93.5 1
192000 93.75 1
192512 94 1
193024 94.25 1
193536 94.5 1
194048 94.75 1
194560 95 1
195072 95.25 1
195584 95.5 1
196096 95.75 1
196608 96 1
197120 96.25 1
197632 96.5 1
198144 96.75 1
198656 97 1
199168 97.25 1
199680 97.5 1
200192 97.75 1
200704 98 1
201216 98.25 1
201728 98.5 1
202240 98.75 1
202752 99 1
203264 99.25 1
203776 99.5 1
204288 99.75 1
204800 100 1
205312 100.25 1
205824 100.5 1
206336 100.75 1
206848 101 1
207360 101.25 1
207872 101.5 1
208384 101.75 1
208896 102 1
209408 102.25 1
209920 102.5 1
210432 102.75 1
210944 103 1
211456 103.25 1
211968 103.5 1
212480 103.75 1
212992 104 1
213504 104.25 1
214016 104.5 1
214528 104.75 1
215040 105 1
215552 105.25 1
216064 105.5 1
216576 105.75 1
217088 106 1
217600 106.25 1
218112 106.5 1
218624 106.75 1
219136 107 1
219648 107.25 1
220160 107.5 1
220672 107.75 1
221184 108 1
221696 108.25 1
222208 108.5 1
222720 108.75 1
223232 109 1
223744 109.25 1
224256 109.5 1
224768 109.75 1
225280 110 1
225792 110.25 1
226304 110.5 1
226816 110.75 1
227328 111 1
227840 111.25 1
228352 111.5 1
228864 111.75 1
229376 112 1
229888 112.25 1
230400 112.5 1
230912 112.75 1
231424 113 1
231936 113.25 1
232448 113.5 1
232960 113.75 1
233472 114 1
233984 114.25 1
234496 114.5 1
235008 114.75 1
235520 115 1
236032 115.25 1
236544 115.5 1
237056 115.75 1
237568 116 1
238080 116.25 1
238592 116.5 1
239104 116.75 1
239616 117 1
240128 117.25 1
240640 117.5 1
241152 117.75 1
241664 118 1
242176 118.25 1
242688 118.5 1
243200 118.75 1
243712 119 1
244224 119.25 1
244736 119.5 1
245248 119.75 1
245760 120 1
246272 120.25 1
246784 120.5 1
247296 120.75 1
247808 121 1
248320 121.25 1
248832 121.5 1
249344 121.75 1
249856 122 1
250368 122.25 1
250880 122.5 1
251392 122.75 1
251904 123 1
252416 123.25 1
252928 123.5 1
253440 123.75 1
253952 124 1
254464 124.25 1
254976 124.5 1
255488 124.75 1
256000 125 1
256512 125.25 1
257024 125.5 1
257536 125.75 1
258048 126 1
258560 126.25 1
259072 126.5 1
259584 126.75 1
260096 127 1
260608 127.25 1
261120 127.5 1
261632 127.75 1
262144 128 1
262656 128.25 1
263168 128.5 1
263680 128.75 1
264192 129 1
264704 129.25 1
265216 129.5 1
265728 129.75 1
266240 130 1
266752 130.25 1
267264 130.5 1
267776 130.75 1
268288 131 1
268800 131.25 1
269312 131.5 1
269824 131.75 1
270336 132 1
270848 132.25 1
271360 132.5 1
271872 132.75 1
272384 133 1
272896 133.25 1
273408 133.5 1
273920 133.75 1
274432 134 1
274944 134.25 1
275456 134.5 1
275968 134.75 1
276480 135 1
276992 135.25 1
277504 135.5 1
278016 135.75 1
278528 136 1
279040 136.25 1
279552 136.5 1
280064 136.75 1
280576 137 1
281088 137.25 1
281600 137.5 1
282112 137.75 1
282624 138 1
283136 138.25 1
283648 138.5 1
284160 138.75 1
284672 139 1
285184 139.25 1
285696 139.5 1
286208 139.75 1
286720 140 1
287232 140.25 1
287744 140.5 1
288256 140.75 1
288768 141 1
289280 141.25 1
289792 141.5 1
290304 141.75 1
290816 142 1
291328 142.25 1
291840 142.5 1
292352 142.75 1
292864 143 1
293376 143.25 1
293888 143.5 1
294400 143.75 1
294912 144 1
295424 144.25 1
295936 144.5 1
296448 144.75 1
296960 145 1
297472 145.25 1
297984 145.5 1
298496 145.75 1
299008 146 1
299520 146.25 1
300032 146.5 1
300544 146.75 1
301056 147 1
301568 147.25 1
302080 147.5 1
302592 147.75 1
303104 148 1
303616 148.25 1
304128 148.5 1
304640 148.75 1
305152 149 1
305664 149.25 1
306176 149.5 1
306688 149.75 1
307200 150 1
307712 150.25 1
308224 150.5 1
308736 150.75 1
309248 151 1
309760 151.25 1
310272 151.5 1
310784 151.75 1
311296 152 1
311808 152.25 1
312320 152.5 1
312832 152.75 1
313344 153 1
313856 153.25 1
314368 153.5 1
314880 153.75 1
315392 154 1
315904 154.25 1
316416 154.5 1
316928 154.75 1
317440 155 1
317952 155.25 1
318464 155.5 1
318976 155.75 1
319488 156 1
320000 156.25 1
320512 156.5 1
321024 156.75 1
321536 157 1
322048 157.25 1
322560 157.5 1
323072 157.75 1
323584 158 1
324096 158.25 1
324608 158.5 1
325120 158.75 1
325632 159 1
326144 159.25 1
326656 159.5 1
327168 159.75 1
327680 160 1
328192 160.25 1
328704 160.5 1
329216 160.75 1
329728 161 1
330240 161.25 1
330752 161.5 1
331264 161.75 1
331776 162 1
332288 162.25 1
332800 162.5 1
333312 162.75 1
333824 163 1
334336 163.25 1
334848 163.5 1
335360 163.75 1
335872 164 1
336384 164.25 1
336896 164.5 1
337408 164.75 1
337920 165 1
338432 165.25 1
338944 165.5 1
339456 165.75 1
339968 166 1
340480 166.25 1
340992 166.5 1
341504 166.75 1
342016 167 1
342528 167.25 1
343040 167.5 1
343552 167.75 1
344064 168 1
344576 168.25 1
345088 168.5 1
345600 168.75 1
346112 169 1
346624 169.25 1
347136 169.5 1
347648 169.75 1
348160 170 1
348672 170.25 1
349184 170.5 1
349696 170.75 1
350208 171 1
350720 171.25 1
351232 171.5 1
351744 171.75 1
352256 172 1
352768 172.25 1
353280 172.5 1
353792 172.75 1
354304 173 1
354816 173.25 1
355328 173.5 1
355840 173.75 1
356352 174 1
356864 174.25 1
357376 174.5 1
357888 174.75 1
358400 175 1
358912 175.25 1
359424 175.5 1
359936 175.75 1
360448 176 1
360960 176.25 1
361472 176.5 1
361984 176.75 1
362496 177 1
363008 177.25 1
363520 177.5 1
364032 177.75 1
364544 178 1
365056 178.25 1
365568 178.5 1
366080 178.75 1
366592 179 1
367104 179.25 1
367616 179.5 1
368128 179.75 1
368640 180 1
369152 180.25 1
369664 180.5 1
370176 180.75 1
370688 181 1
371200 181.25 1
371712 181.5 1
372224 181.75 1
372736 182 1
373248 182.25 1
373760 182.5 1
374272 182.75 1
374784 183 1
375296 183.25 1
375808 183.5 1
376320 183.75 1
376832 184 1
377344 184.25 1
377856 184.5 1
378368 184.75 1
378880 185 1
379392 185.25 1
379904 185.5 1
380416 185.75 1
380928 186 1
381440 186.25 1
381952 186.5 1
382464 186.75 1
382976 187 1
383488 187.25 1
384000 187.5 1
384512 187.75 1
385024 188 1
385536 188.25 1
386048 188.5 1
386560 188.75 1
387072 189 1
387584 189.25 1
388096 189.5 1
388608 189.75 1
389120 190 1
389632 190.25 1
390144 190.5 1
390656 190.75 1
391168 191 1
391680 191.25 1
392192 191.5 1
392704 191.75 1
393216 192 1
393728 192.25 1
394240 192.5 1
394752 192.75 1
395264 193 1
395776 193.25 1
396288 193.5 1
396800 193.75 1
397312 194 1
397824 194.25 1
398336 194.5 1
398848 194.75 1
399360 195 1
399872 195.25 1
400384 195.5 1
400896 195.75 1
401408 196 1
401920 196.25 1
402432 196.5 1
402944 196.75 1
403456 197 1
403968 197.25 1
404480 197.5 1
404992 197.75 1
405504 198 1
406016 198.25 1
406528 198.5 1
407040 198.75 1
407552 199 1
408064 199.25 1
408576 199.5 1
409088 199.75 1
409600 200 1
410112 200.25 1
410624 200.5 1
411136 200.75 1
411648 201 1
412160 201.25 1
412672 201.5 1
413184 201.75 1
413696 202 1
414208 202.25 1
414720 202.5 1
415232 202.75 1
415744 203 1
416256 203.25 1
416768 203.5 1
417280 203.75 1
417792 204 1
418304 204.25 1
418816 204.5 1
419328 204.75 1
419840 205 1
420352 205.25 1
420864 205.5 1
421376 205.75 1
421888 206 1
422400 206.25 1
422912 206.5 1
423424 206.75 1
423936 207 1
424448 207.25 1
424960 207.5 1
425472 207.75 1
425984 208 1
426496 208.25 1
427008 208.5 1
427520 208.75 1
428032 209 1
428544 209.25 1
429056 209.5 1
429568 209.75 1
430080 210 1
430592 210.25 1
431104 210.5 1
431616 210.75 1
432128 211 1
432640 211.25 1
433152 211.5 1
433664 211.75 1
434176 212 1
434688 212.25 1
435200 212.5 1
435712 212.75 1
436224 213 1
436736 213.25 1
437248 213.5 1
437760 213.75 1
438272 214 1
438784 214.25 1
439296 214.5 1
439808 214.75 1
440320 215 1
440832 215.25 1
441344 215.5 1
441856 215.75 1
442368 216 1
442880 216.25 1
443392 216.5 1
443904 216.75 1
444416 217 1
444928 217.25 1
445440 217.5 1
445952 217.75 1
446464 218 1
446976 218.25 1
447488 218.5 1
448000 218.75 1
448512 219 1
449024 219.25 1
449536 219.5 1
450048 219.75 1
450560 220 1
451072 220.25 1
451584 220.5 1
452096 220.75 1
452608 221 1
453120 221.25 1
453632 221.5 1
454144 221.75 1
454656 222 1
455168 222.25 1
455680 222.5 1
456192 222.75 1
456704 223 1
457216 223.25 1
457728 223.5 1
458240 223.75 1
458752 224 1
459264 224.25 1
459776 224.5 1
460288 224.75 1
460800 225 1
461312 225.25 1
461824 225.5 1
462336 225.75 1
462848 226 1
463360 226.25 1
463872 226.5 1
464384 226.75 1
464896 227 1
465408 227.25 1
465920 227.5 1
466432 227.75 1
466944 228 1
467456 228.25 1
467968 228.5 1
468480 228.75 1
468992 229 1
469504 229.25 1
470016 229.5 1
470528 229.75 1
471040 230 1
471552 230.25 1
472064 230.5 1
472576 230.75 1
473088 231 1
473600 231.25 1
474112 231.5 1
474624 231.75 1
475136 232 1
475648 232.25 1
476160 232.5 1
476672 232.75 1
477184 233 1
477696 233.25 1
478208 233.5 1
478720 233.75 1
479232 234 1
479744 234.25 1
480256 234.5 1
480768 234.75 1
481280 235 1
481792 235.25 1
482304 235.5 1
482816 235.75 1
483328 236 1
483840 236.25 1
484352 236.5 1
484864 236.75 1
485376 237 1
485888 237.25 1
486400 237.5 1
486912 237.75 1
487424 238 1
487936 238.25 1
488448 238.5 1
488960 238.75 1
489472 239 1
489984 239.25 1
490496 239.5 1
491008 239.75 1
491520 240 1
492032 240.25 1
492544 240.5 1
493056 240.75 1
493568 241 1
494080 241.25 1
494592 241.5 1
495104 241.75 1
495616 242 1
496128 242.25 1
496640 242.5 1
497152 242.75 1
497664 243 1
498176 243.25 1
498688 243.5 1
499200 243.75 1
499712 244 1
500224 244.25 1
500736 244.5 1
501248 244.75 1
501760 245 1
502272 245.25 1
502784 245.5 1
503296 245.75 1
503808 246 1
504320 246.25 1
504832 246.5 1
505344 246.75 1
505856 247 1
506368 247.25 1
506880 247.5 1
507392 247.75 1
507904 248 1
508416 248.25 1
508928 248.5 1
509440 248.75 1
509952 249 1
510464 249.25 1
510976 249.5 1
511488 249.75 1
512000 250 1
512512 250.25 1
513024 250.5 1
513536 250.75 1
514048 251 1
514560 251.25 1
515072 251.5 1
515584 251.75 1
516096 252 1
516608 252.25 1
517120 252.5 1
517632 252.75 1
518144 253 1
518656 253.25 1
519168 253.5 1
519680 253.75 1
520192 254 1
520704 254.25 1
521216 254.5 1
521728 254.75 1
522240 255 1
522752 255.25 1
523264 255.5 1
523776 255.75 1
524288 256 1
524800 256.25 1
525312 256.5 1
525824 256.75 1
526336 257 1
526848 257.25 1
527360 257.5 1
527872 257.75 1
528384 258 1
528896 258.25 1
529408 258.5 1
529920 258.75 1
530432 259 1
530944 259.25 1
531456 259.5 1
531968 259.75 1
532480 260 1
532992 260.25 1
533504 260.5 1
534016 260.75 1
534528 261 1
535040 261.25 1
535552 261.5 1
536064 261.75 1
536576 262 1
537088 262.25 1
537600 262.5 1
538112 262.75 1
538624 263 1
539136 263.25 1
539648 263.5 1
540160 263.75 1
540672 264 1
541184 264.25 1
541696 264.5 1
542208 264.75 1
542720 265 1
543232 265.25 1
543744 265.5 1
544256 265.75 1
544768 266 1
545280 266.25 1
545792 266.5 1
546304 266.75 1
546816 267 1
547328 267.25 1
547840 267.5 1
548352 267.75 1
548864 268 1
549376 268.25 1
549888 268.5 1
550400 268.75 1
550912 269 1
551424 269.25 1
551936 269.5 1
552448 269.75 1
552960 270 1
553472 270.25 1
553984 270.5 1
554496 270.75 1
555008 271 1
555520 271.25 1
556032 271.5 1
556544 271.75 1
557056 272 1
557568 272.25 1
558080 272.5 1
558592 272.75 1
559104 273 1
559616 273.25 1
560128 273.5 1
560640 273.75 1
561152 274 1
561664 274.25 1
562176 274.5 1
562688 274.75 1
563200 275 1
563712 275.25 1
564224 275.5 1
564736 275.75 1
565248 276 1
565760 276.25 1
566272 276.5 1
566784 276.75 1
567296 277 1
567808 277.25 1
568320 277.5 1
568832 277.75 1
569344 278 1
569856 278.25 1
570368 278.5 1
570880 278.75 1
571392 279 1
571904 279.25 1
572416 279.5 1
572928 279.75 1
573440 280 1
573952 280.25 1
574464 280.5 1
574976 280.75 1
575488 281 1
576000 281.25 1
576512 281.5 1
577024 281.75 1
577536 282 1
578048 282.25 1
578560 282.5 1
579072 282.75 1
579584 283 1
580096 283.25 1
580608 283.5 1
581120 283.75 1
581632 284 1
582144 284.25 1
582656 284.5 1
583168 284.75 1
583680 285 1
584192 285.25 1
584704 285.5 1
585216 285.75 1
585728 286 1
586240 286.25 1
586752 286.5 1
587264 286.75 1
587776 287 1
588288 287.25 1
588800 287.5 1
589312 287.75 1
589824 288 1
590336 288.25 1
590848 288.5 1
591360 288.75 1
591872 289 1
592384 289.25 1
592896 289.5 1
593408 289.75 1
593920 290 1
594432 290.25 1
594944 290.5 1
595456 290.75 1
595968 291 1
596480 291.25 1
596992 291.5 1
597504 291.75 1
598016 292 1
598528 292.25 1
599040 292.5 1
599552 292.75 1
600064 293 1
600576 293.25 1
601088 293.5 1
601600 293.75 1
602112 294 1
602624 294.25 1
603136 294.5 1
603648 294.75 1
604160 295 1
604672 295.25 1
605184 295.5 1
605696 295.75 1
606208 296 1
606720 296.25 1
607232 296.5 1
607744 296.75 1
608256 297 1
608768 297.25 1
609280 297.5 1
609792 297.75 1
610304 298 1
610816 298.25 1
611328 298.5 1
611840 298.75 1
612352 299 1
612864 299.25 1
613376 299.5 1
613888 299.75 1
614400 300 1
614912 300.25 1
615424 300.5 1
615936 300.75 1
616448 301 1
616960 301.25 1
617472 301.5 1
617984 301.75 1
618496 302 1
619008 302.25 1
619520 302.5 1
620032 302.75 1
620544 303 1
621056 303.25 1
621568 303.5 1
622080 303.75 1
622592 304 1
623104 304.25 1
623616 304.5 1
624128 304.75 1
624640 305 1
625152 305.25 1
625664 305.5 1
626176 305.75 1
626688 306 1
627200 306.25 1
627712 306.5 1
628224 306.75 1
628736 307 1
629248 307.25 1
629760 307.5 1
630272 307.75 1
630784 308 1
631296 308.25 1
631808 308.5 1
632320 308.75 1
632832 309 1
633344 309.25 1
633856 309.5 1
634368 309.75 1
634880 310 1
635392 310.25 1
635904 310.5 1
636416 310.75 1
636928 311 1
637440 311.25 1
637952 311.5 1
638464 311.75 1
638976 312 1
639488 312.25 1
640000 312.5 1
640512 312.75 1
641024 313 1
641536 313.25 1
642048 313.5 1
642560 313.75 1
643072 314 1
643584 314.25 1
644096 314.5 1
644608 314.75 1
645120 315 1
645632 315.25 1
646144 315.5 1
646656 315.75 1
647168 316 1
647680 316.25 1
648192 316.5 1
648704 316.75 1
649216 317 1
649728 317.25 1
650240 317.5 1
650752 317.75 1
651264 318 1
651776 318.25 1
652288 318.5 1
652800 318.75 1
653312 319 1
653824 319.25 1
654336 319.5 1
654848 319.75 1
655360 320 1
655872 320.25 1
656384 320.5 1
656896 320.75 1
657408 321 1
657920 321.25 1
658432 321.5 1
658944 321.75 1
659456 322 1
659968 322.25 1
660480 322.5 1
660992 322.75 1
661504 323 1
662016 323.25 1
662528 323.5 1
663040 323.75 1
663552 324 1
664064 324.25 1
664576 324.5 1
665088 324.75 1
665600 325 1
666112 325.25 1
666624 325.5 1
667136 325.75 1
667648 326 1
668160 326.25 1
668672 326.5 1
669184 326.75 1
669696 327 1
670208 327.25 1
670720 327.5 1
671232 327.75 1
671744 328 1
672256 328.25 1
672768 328.5 1
673280 328.75 1
673792 329 1
674304 329.25 1
674816 329.5 1
