# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:32:15+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -7.21209509786709e-05
512 0.25 -7.65133232121264e-05
1024 0.5 -8.39021596129836e-05
1536 0.75 -8.60766049851498e-05
2048 1 -0.00010045477460172
2560 1.25 -0.00012448284509723
3072 1.5 -0.000144898898703081
3584 1.75 -0.000162617873989733
4096 2 -0.000179637918939451
4608 2.25 -0.000197839240700735
5120 2.5 -0.000217241021713289
5632 2.75 -0.000236071152261713
6144 3 -0.000252256078530779
6656 3.25 -0.000265102274609222
7168 3.5 -0.000275839548093338
7680 3.75 -0.000286652759538917
8192 4 -0.000299010991420908
8704 4.25 -0.000312610706130082
9216 4.5 -0.000325752477189789
9728 4.75 -0.000336825066017925
10240 5 -0.000345685109611222
10752 5.25 -0.000353817835640599
11264 5.5 -0.00036315710394775
11776 5.75 -0.000374551551713597
12288 6 -0.000387148619756562
12800 6.25 -0.000399179352135381
13312 6.5 -0.000409459934449043
13824 6.75 -0.000418377456519093
14336 7 -0.000427610477187818
14848 7.25 -0.000438861920131051
15360 7.5 -0.000452576185786686
15872 7.75 -0.000467534655776252
16384 8 -0.000481621904396034
16896 8.25 -0.000493344807744177
17408 8.5 -0.000503089137472581
17920 8.75 -0.00051299993565722
18432 9 -0.00052531213425416
18944 9.25 -0.000540484052554343
19456 9.5 -0.000556864408654327
19968 9.75 -0.000572083055555637
20480 10 -0.000584741525345213
20992 10.25 -0.000595207354181126
21504 10.5 -0.000605377154257468
22016 10.75 -0.000617479647224879
22528 11 -0.000632303694786399
23040 11.25 -0.000648452680797646
23552 11.5 -0.000663767724074423
24064 11.75 -0.000677122482676154
24576 12 -0.00068828078527899
25088 12.25 -0.000697291034507664
25600 12.5 -0.000705789809533541
26112 12.75 -0.000717495447416052
26624 13 -0.000734250727792663
27136 13.25 -0.000752174255587956
27648 13.5 -0.000765427992307477
28160 13.75 -0.000773720988992284
28672 14 -0.000782074241126311
29184 14.25 -0.000793215903562159
29696 14.5 -0.000805179632743101
30208 14.75 -0.000816971135007487
30720 15 -0.000830746385342872
31232 15.25 -0.000846475745261128
31744 15.5 -0.000860035485188968
32256 15.75 -0.00086926066792483
32768 16 -0.00087715392459048
33280 16.25 -0.000886879345605409
33792 16.5 -0.000898351063010811
34304 16.75 -0.000911526787881711
34816 17 -0.00092748028546893
35328 17.25 -0.000943894077679998
35840 17.5 -0.00095525933549559
36352 17.75 -0.000960652890815825
36864 18 -0.000966388209791962
37376 18.25 -0.000978093526886286
37888 18.5 -0.000994527385440106
38400 18.75 -0.00101124286020256
38912 19 -0.00102555966588223
39424 19.25 -0.00103603916459595
39936 19.5 -0.00104231894165333
40448 19.75 -0.00104796741721884
40960 20 -0.00105876708599171
41472 20.25 -0.00107557386958287
41984 20.5 -0.00109258710460776
42496 20.75 -0.00110471409946702
43008 21 -0.0011126255233914
43520 21.25 -0.00111934965996923
44032 21.5 -0.00112671939701418
44544 21.75 -0.00113647396644478
45056 22 -0.00115007338346803
45568 22.25 -0.00116510579552109
46080 22.5 -0.00117585280389367
46592 22.75 -0.00118006739524743
47104 23 -0.00118251638794476
47616 23.25 -0.00118973338541905
48128 23.5 -0.00120315504784409
48640 23.75 -0.0012186113338345
49152 24 -0.00123079310124602
49664 24.25 -0.00123757986549773
50176 24.5 -0.00124175669098867
50688 24.75 -0.0012487739244608
51200 25 -0.00126110879857457
51712 25.25 -0.00127501394541884
52224 25.5 -0.00128477333647487
52736 25.75 -0.00128968310767333
53248 26 -0.00129434853225035
53760 26.25 -0.00130236448738542
54272 26.5 -0.00131262681823727
54784 26.75 -0.00132229804111794
55296 27 -0.00133052686093905
55808 27.25 -0.00133801110542805
56320 27.5 -0.00134515642775932
56832 27.75 -0.00135233645720821
57344 28 -0.00136051333106972
57856 28.25 -0.00136989604512244
