# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:32:15+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 6.14861494206169e-06
512 0.25 1.34786071686316e-05
1024 0.5 2.08240987403099e-05
1536 0.75 2.62185644383665e-05
2048 1 3.0357448706703e-05
2560 1.25 3.3424616236191e-05
3072 1.5 3.53699450044572e-05
3584 1.75 3.62852060024098e-05
4096 2 3.64700022565951e-05
4608 2.25 3.63269504985713e-05
5120 2.5 3.62164269490821e-05
5632 2.75 3.63542651952884e-05
6144 3 3.67725893335509e-05
6656 3.25 3.7353147294152e-05
7168 3.5 3.79147241696568e-05
7680 3.75 3.83025561408118e-05
8192 4 3.84518600494967e-05
8704 4.25 3.84073081988961e-05
9216 4.5 3.82859386446087e-05
9728 4.75 3.82193814361878e-05
10240 5 3.82950885291395e-05
10752 5.25 3.85176985005013e-05
11264 5.5 3.88131175522514e-05
11776 5.75 3.90768770768775e-05
12288 6 3.92385603027139e-05
12800 6.25 3.92873297697216e-05
13312 6.5 3.92632353079107e-05
13824 6.75 3.92329705059844e-05
14336 7 3.92621597443342e-05
14848 7.25 3.93862185515305e-05
15360 7.5 3.95853578731045e-05
15872 7.75 3.97984648964842e-05
16384 8 3.99630551548154e-05
16896 8.25 4.00512100274404e-05
17408 8.5 4.00826274509945e-05
17920 8.75 4.01013182596373e-05
18432 9 4.01461069973509e-05
18944 9.25 4.02395336875954e-05
19456 9.5 4.03862918261807e-05
19968 9.75 4.05660563975293e-05
20480 10 4.07386143613058e-05
20992 10.25 4.0868008199071e-05
21504 10.5 4.09418995572451e-05
22016 10.75 4.09823161890598e-05
22528 11 4.10357022344513e-05
23040 11.25 4.11378815945811e-05
23552 11.5 4.12866514692231e-05
24064 11.75 4.14514009859925e-05
24576 12 4.16067605447093e-05
25088 12.25 4.17411592644513e-05
25600 12.5 4.18462512211053e-05
26112 12.75 4.19268000334005e-05
26624 13 4.20060611596156e-05
27136 13.25 4.21092509563206e-05
27648 13.5 4.22456719306687e-05
28160 13.75 4.24041730627383e-05
28672 14 4.25637054134686e-05
29184 14.25 4.27071874982111e-05
29696 14.5 4.28318079429161e-05
30208 14.75 4.2949597312307e-05
30720 15 4.3069226554684e-05
31232 15.25 4.31888539719071e-05
31744 15.5 4.33111908498802e-05
32256 15.75 4.34507101342877e-05
32768 16 4.36153350631076e-05
33280 16.25 4.37911589296295e-05
33792 16.5 4.39554680630111e-05
34304 16.75 4.40997464234154e-05
34816 17 4.42321412544253e-05
35328 17.25 4.4360257804152e-05
35840 17.5 4.44887147436523e-05
36352 17.75 4.46280359458198e-05
36864 18 4.47910681642889e-05
37376 18.25 4.49781485515763e-05
37888 18.5 4.51735936604965e-05
38400 18.75 4.53566978043051e-05
38912 19 4.55138825641567e-05
39424 19.25 4.56516011825053e-05
39936 19.5 4.57964073080175e-05
40448 19.75 4.59686073015594e-05
40960 20 4.61644624464032e-05
