# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:32:15+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.25 1.09568051437353e-05 1.09568051437305e-05 1.09568051437256e-05
1024 0.5 1.54593835406133e-05 1.54593835406042e-05 1.54593835405952e-05
1536 0.75 1.61293484390546e-05 1.61293484390397e-05 1.61293484390248e-05
2048 1 9.9138607735333e-06 9.91386077353906e-06 9.91386077354498e-06
2560 1.25 1.09424973614984e-05 1.09424973614542e-05 1.09424973614099e-05
3072 1.5 1.43890065455808e-05 1.43890065456617e-05 1.43890065456621e-05
3584 1.75 1.44453075986929e-05 1.44453075987846e-05 1.44453075988773e-05
4096 2 1.49629540285359e-05 1.49629540285436e-05 1.49629540285514e-05
4608 2.25 1.53696648587597e-05 1.5369664858764e-05 1.53696648587683e-05
5120 2.5 1.48069357900174e-05 1.48069357900224e-05 1.48069357900274e-05
5632 2.75 1.67109335513055e-05 1.67109335505571e-05 1.67109335530624e-05
6144 3 1.68280812617996e-05 1.68280812601689e-05 1.68280812696391e-05
6656 3.25 1.97847100414146e-05 1.97847100169561e-05 1.97847100474369e-05
7168 3.5 2.75661774253189e-05 2.75661771371299e-05 2.75661774187614e-05
7680 3.75 2.6496071558458e-05 2.64960709176607e-05 2.64960715438488e-05
8192 4 1.89529566250578e-05 1.89529584577432e-05 1.8952956815629e-05
8704 4.25 2.33970435003017e-05 2.33970479155364e-05 2.33970439010781e-05
9216 4.5 1.94855930164071e-05 1.94855961256349e-05 1.94855923790258e-05
9728 4.75 2.58026690594992e-05 2.58026723089605e-05 2.58026675639882e-05
10240 5 1.9278981951511e-05 1.92789848928023e-05 1.92789807116317e-05
10752 5.25 1.89338249963859e-05 1.89338420254201e-05 1.89338288523464e-05
11264 5.5 2.21690304564673e-05 2.21690278205287e-05 2.21690305958149e-05
11776 5.75 1.69758806497927e-05 1.69758799827191e-05 1.69758808054203e-05
12288 6 2.43942096469656e-05 2.43942076867088e-05 2.4394213604448e-05
12800 6.25 2.40446024910138e-05 2.40446006056309e-05 2.40446080620818e-05
13312 6.5 2.22271911135352e-05 2.22271563484989e-05 2.22271913397741e-05
13824 6.75 2.36799492973481e-05 2.36799223694752e-05 2.36799463696745e-05
14336 7 1.6090854186212e-05 1.60908430438628e-05 1.60908373028158e-05
14848 7.25 1.83696188573075e-05 1.8369593204655e-05 1.83695914830626e-05
15360 7.5 1.8438919627694e-05 1.84389001534395e-05 1.8438909701828e-05
15872 7.75 2.07160410552624e-05 2.07160464286549e-05 2.07160397816014e-05
16384 8 2.54403867860109e-05 2.54403904077891e-05 2.54403852237756e-05
16896 8.25 1.47221000492249e-05 1.47220806236804e-05 1.47220871664077e-05
17408 8.5 2.270469512698e-05 2.27047011495743e-05 2.27047019897206e-05
17920 8.75 1.32627481734077e-05 1.32627514669343e-05 1.32627446946048e-05
18432 9 1.96564843850438e-05 1.96564685754403e-05 1.9656460980687e-05
18944 9.25 1.35841948245215e-05 1.35842022617469e-05 1.35841862372289e-05
19456 9.5 1.49782657959191e-05 1.4978299262703e-05 1.49782950196151e-05
19968 9.75 1.23705746320731e-05 1.23705824187053e-05 1.23705609271291e-05
20480 10 1.5698706563472e-05 1.56987051053853e-05 1.56987070407851e-05
20992 10.25 1.71652722011392e-05 1.71652921666344e-05 1.7165248163881e-05
21504 10.5 1.43378504447541e-05 1.43378456283292e-05 1.43378395128268e-05
22016 10.75 1.35396149041909e-05 1.35396484553673e-05 1.35396381013836e-05
22528 11 1.3915382052172e-05 1.39154082833565e-05 1.39153956531556e-05
23040 11.25 1.31202674740507e-05 1.31202844666455e-05 1.31202671389881e-05
23552 11.5 1.12638726733611e-05 1.12639228829589e-05 1.12639177202068e-05
24064 11.75 1.27225318835421e-05 1.27225318467206e-05 1.27225323728822e-05
24576 12 1.36837495657495e-05 1.36837503250158e-05 1.36837505038741e-05
25088 12.25 1.26048249214358e-05 1.26047604150349e-05 1.26047502116711e-05
25600 12.5 1.19211618158825e-05 1.19211662237326e-05 1.19211833965907e-05
26112 12.75 1.18448803027188e-05 1.18448797103227e-05 1.18448794427243e-05
26624 13 1.36463618247167e-05 1.36463221066292e-05 1.36462860644006e-05
27136 13.25 1.479341519472e-05 1.47933982607567e-05 1.47933205881807e-05
27648 13.5 1.51102850094224e-05 1.51102848516716e-05 1.5110282283367e-05
28160 13.75 1.3183050782893e-05 1.31830919167523e-05 1.3183088914031e-05
28672 14 1.50852319346586e-05 1.50851384220261e-05 1.50850997347552e-05
29184 14.25 1.84765534547362e-05 1.84764476902825e-05 1.84764224955699e-05
29696 14.5 1.84009377183658e-05 1.8400773975483e-05 1.84007274003835e-05
30208 14.75 1.88924224134634e-05 1.88924429466213e-05 1.88924072808886e-05
30720 15 1.8510264486827e-05 1.85095188892405e-05 1.85091891938938e-05
31232 15.25 1.82206217459202e-05 1.8220750071252e-05 1.82207916234729e-05
31744 15.5 1.93445692697085e-05 1.93447106400577e-05 1.93447195361944e-05
32256 15.75 1.86303223755163e-05 1.86303564999585e-05 1.86303378910042e-05
32768 16 2.07334382999402e-05 2.07327295442208e-05 2.07324904846951e-05
33280 16.25 2.45047704084504e-05 2.45047639889917e-05 2.45047734998909e-05
33792 16.5 2.66078079874202e-05 2.66078036314961e-05 2.66078102428056e-05
34304 16.75 2.37371869788163e-05 2.37371904761419e-05 2.37371843368731e-05
34816 17 1.83078526842991e-05 1.83077761609199e-05 1.83078459404886e-05
35328 17.25 1.80117115777903e-05 1.80118844887071e-05 1.80116970941156e-05
35840 17.5 1.80175714295213e-05 1.80178959645266e-05 1.80172319463933e-05
36352 17.75 1.97375737957245e-05 1.97377154274984e-05 1.97367191442598e-05
36864 18 2.02308087402108e-05 2.02309265238753e-05 2.02306990598771e-05
37376 18.25 2.15086162658696e-05 2.15087791292371e-05 2.15081400053084e-05
37888 18.5 1.93153786329297e-05 1.93156637258988e-05 1.93148994414534e-05
38400 18.75 1.65343085759437e-05 1.65347724461713e-05 1.65349291665253e-05
38912 19 1.54074470291231e-05 1.54078562473121e-05 1.5407903995016e-05
39424 19.25 1.44539404114737e-05 1.44540659093994e-05 1.44541889555749e-05
39936 19.5 1.91805320040065e-05 1.91804146088941e-05 1.91806888691163e-05
40448 19.75 2.27286639740692e-05 2.27285075782744e-05 2.27288294976376e-05
40960 20 2.25629879480699e-05 2.25632363969007e-05 2.25642276998369e-05
41472 20.25 2.23194604698015e-05 2.232663707929e-05 2.23213407720107e-05
41984 20.5 1.94610295134857e-05 1.94625239762473e-05 1.94605047632053e-05
42496 20.75 1.71266317879801e-05 1.71287791551074e-05 1.71283227441913e-05
43008 21 1.80337146231292e-05 1.80320953337463e-05 1.80345839969299e-05
43520 21.25 2.06901329699089e-05 2.06898538534055e-05 2.06904872982178e-05
44032 21.5 2.13534628038697e-05 2.13536119322453e-05 2.13528862131612e-05
44544 21.75 2.08459598569078e-05 2.0846155935466e-05 2.08459255644594e-05
45056 22 1.93931729499125e-05 1.93928344847082e-05 1.93930064229919e-05
45568 22.25 1.95691436159775e-05 1.95686500917634e-05 1.95691569789139e-05
46080 22.5 1.67845480159903e-05 1.67843099948535e-05 1.67850094034386e-05
46592 22.75 2.10392072037863e-05 2.10394195646606e-05 2.10394548656561e-05
47104 23 2.36313745351558e-05 2.36315131000933e-05 2.36315372429217e-05
47616 23.25 2.31940490122104e-05 2.31937938358991e-05 2.31940895660317e-05
48128 23.5 1.84149588748341e-05 1.84145292029439e-05 1.84151712356276e-05
48640 23.75 1.84271570666126e-05 1.8426817026537e-05 1.84267598094635e-05
49152 24 2.30583612195634e-05 2.30582588142698e-05 2.30578065558876e-05
49664 24.25 2.175450277846e-05 2.17545680776843e-05 2.17542693477656e-05
50176 24.5 1.80970346354522e-05 1.80966006985323e-05 1.8096920025026e-05
50688 24.75 1.83760191323916e-05 1.83759494658831e-05 1.83757510933539e-05
51200 25 1.88965819859673e-05 1.88970675138635e-05 1.88978514300501e-05
51712 25.25 2.10811694329439e-05 2.10810395431673e-05 2.10821672687351e-05
52224 25.5 2.19851012851184e-05 2.19849833809865e-05 2.19858445546702e-05
52736 25.75 1.90816688894217e-05 1.90812902362603e-05 1.90819361122843e-05
53248 26 1.57352829771174e-05 1.57358151255406e-05 1.5734701493874e-05
53760 26.25 1.8892409359994e-05 1.88922426458759e-05 1.88930696762174e-05
54272 26.5 2.02178007252483e-05 2.0217717367629e-05 2.0218617569971e-05
54784 26.75 2.09241290183967e-05 2.09236391120642e-05 2.09238494672894e-05
55296 27 2.21756388330563e-05 2.21753786200173e-05 2.21750915659066e-05
55808 27.25 2.30810698509534e-05 2.30807139884674e-05 2.30804050801191e-05
56320 27.5 2.14392361433027e-05 2.14391359338528e-05 2.14392011971595e-05
56832 27.75 1.8700107223908e-05 1.87000231302873e-05 1.8699085069181e-05
57344 28 1.95045546001424e-05 1.95046258700402e-05 1.95046230950142e-05
57856 28.25 2.05921019283011e-05 2.05918903012968e-05 2.05917760109659e-05
58368 28.5 2.14054094136405e-05 2.14049967665242e-05 2.14049785660412e-05
58880 28.75 2.24308919124823e-05 2.24306093196415e-05 2.24305522899968e-05
59392 29 2.29384476747529e-05 2.29384464191852e-05 2.29382734493606e-05
59904 29.25 2.18885153472724e-05 2.18885751364863e-05 2.18885927550666e-05
60416 29.5 2.07200364444127e-05 2.07197281126903e-05 2.07196424800607e-05
60928 29.75 2.03422014528906e-05 2.03412409468275e-05 2.03405573076446e-05
61440 30 2.16981818437984e-05 2.16984404832084e-05 2.1698297973621e-05
61952 30.25 2.25296439445445e-05 2.25295893790803e-05 2.2529819197012e-05
62464 30.5 2.52385535816329e-05 2.52381226438922e-05 2.52384839870096e-05
62976 30.75 2.80649255904036e-05 2.80648617887134e-05 2.80648466724961e-05
63488 31 2.93083621328146e-05 2.93083150116167e-05 2.9308007548017e-05
64000 31.25 3.00891540215607e-05 3.0089603100366e-05 3.00886576465032e-05
64512 31.5 2.98973775324755e-05 2.98973522614494e-05 2.98960982037968e-05
65024 31.75 2.83023902746417e-05 2.83019269358413e-05 2.83010352316817e-05
65536 32 2.60089070461782e-05 2.60087469271747e-05 2.6007731031307e-05
66048 32.25 2.24472219151791e-05 2.24475802785284e-05 2.24463102776961e-05
66560 32.5 2.2380390148709e-05 2.23806482380384e-05 2.23802968732249e-05
67072 32.75 2.06800283884382e-05 2.06804659928241e-05 2.06794867350714e-05
67584 33 2.26737464932181e-05 2.26762160908579e-05 2.26750035553415e-05
68096 33.25 2.26276801310527e-05 2.26297143431381e-05 2.26288431961678e-05
68608 33.5 1.76267877354949e-05 1.76263412821608e-05 1.76268550674189e-05
69120 33.75 1.34695272531413e-05 1.34721913684506e-05 1.34740149266062e-05
69632 34 1.35685242390248e-05 1.35709181655181e-05 1.35739540842133e-05
70144 34.25 1.18019569274563e-05 1.18022032853797e-05 1.18058326706596e-05
70656 34.5 1.08413470462213e-05 1.08396772820245e-05 1.08395587513631e-05
71168 34.75 1.18830152355775e-05 1.18810839645112e-05 1.18809434555224e-05
71680 35 1.22496416838281e-05 1.22511020618927e-05 1.22507732827588e-05
72192 35.25 1.26738180031692e-05 1.26730625562062e-05 1.26739012028556e-05
72704 35.5 1.33806375597152e-05 1.3379463352888e-05 1.33800376695298e-05
73216 35.75 1.4567378688389e-05 1.45679058149025e-05 1.45664136704006e-05
73728 36 1.56033690319114e-05 1.56026706596401e-05 1.56017810282418e-05
74240 36.25 1.77752328506897e-05 1.77745898094183e-05 1.77744417611981e-05
74752 36.5 1.86795342087566e-05 1.86784327230358e-05 1.86798472798231e-05
75264 36.75 2.12182998429418e-05 2.12175525445871e-05 2.12181484880509e-05
75776 37 2.30038981908169e-05 2.30020331374035e-05 2.30032220666851e-05
76288 37.25 2.64768157147928e-05 2.64758837589226e-05 2.64768766329739e-05
76800 37.5 2.93056052090882e-05 2.9307711721576e-05 2.93098782981661e-05
77312 37.75 3.16205714155885e-05 3.16197897714351e-05 3.16212665156404e-05
77824 38 3.15898514715459e-05 3.15885553155788e-05 3.15899279498519e-05
78336 38.25 2.6355095208609e-05 2.63540902153941e-05 2.6354836441806e-05
78848 38.5 2.17498922249942e-05 2.17502357849375e-05 2.17499666826593e-05
79360 38.75 2.45730014031359e-05 2.45732768333449e-05 2.45725583400095e-05
79872 39 2.92281519656764e-05 2.92277359535224e-05 2.92271386935683e-05
80384 39.25 3.29537585351411e-05 3.29528080093315e-05 3.29530281950889e-05
80896 39.5 3.40703340272499e-05 3.40707332674305e-05 3.40693740293908e-05
81408 39.75 3.57185006827596e-05 3.57163746970223e-05 3.57203224525279e-05
81920 40 3.87095354532812e-05 3.87082858588827e-05 3.87096326083048e-05
82432 40.25 3.83040596555561e-05 3.83040525497847e-05 3.83019654646608e-05
82944 40.5 3.49869617589775e-05 3.49881111127447e-05 3.4983517554981e-05
83456 40.75 2.87854418356386e-05 2.87868818108513e-05 2.87818681605163e-05
83968 41 2.24722986572101e-05 2.24737012964795e-05 2.24728383689121e-05
84480 41.25 2.58745556328666e-05 2.58743171051551e-05 2.58750260468724e-05
84992 41.5 3.06608899531813e-05 3.06642129128719e-05 3.06596979110386e-05
85504 41.75 3.93967408401497e-05 3.93978719316774e-05 3.93923724350143e-05
86016 42 4.3082209374803e-05 4.30815310617137e-05 4.30768892511864e-05
86528 42.25 4.24421451481807e-05 4.24407812714993e-05 4.24377776834942e-05
87040 42.5 4.55736401370663e-05 4.55661756186479e-05 4.55670182869976e-05
87552 42.75 5.52558133063427e-05 5.52458569415635e-05 5.52453051336834e-05
88064 43 5.39480608960462e-05 5.39394070622705e-05 5.39375411839322e-05
88576 43.25 5.13730178856019e-05 5.13692767214042e-05 5.13701048133299e-05
89088 43.5 5.80122234111227e-05 5.80081543706221e-05 5.80098952795718e-05
89600 43.75 5.7379976194348e-05 5.73755362432758e-05 5.73767969261926e-05
90112 44 5.53774123317338e-05 5.53769573849106e-05 5.53677145772779e-05
90624 44.25 6.59341592414079e-05 6.59335878666422e-05 6.59277059676552e-05
91136 44.5 6.67265520135384e-05 6.67265976036004e-05 6.67226526708e-05
91648 44.75 6.8210429289055e-05 6.82060576353906e-05 6.82041206618734e-05
92160 45 7.47480577483238e-05 7.47452308484156e-05 7.47444824200022e-05
92672 45.25 7.1912574473865e-05 7.1913199156971e-05 7.19135110632694e-05
93184 45.5 8.08799473416325e-05 8.08793705142027e-05 8.0875438743571e-05
93696 45.75 8.49569333123928e-05 8.49530934334537e-05 8.4952332281424e-05
94208 46 8.55004537879711e-05 8.54793407442591e-05 8.54951474462758e-05
94720 46.25 8.48741308147979e-05 8.48561860207719e-05 8.4870293036331e-05
95232 46.5 8.09716365464426e-05 8.09783501175238e-05 8.09730221705478e-05
95744 46.75 8.78213411630099e-05 8.78277939502431e-05 8.78197475233874e-05
96256 47 8.3876822628465e-05 8.38866634272033e-05 8.38746447517154e-05
96768 47.25 7.85859272511541e-05 7.86088087340553e-05 7.85829008224053e-05
97280 47.5 7.62494298662208e-05 7.62212961484475e-05 7.62478932802941e-05
97792 47.75 8.26238407893776e-05 8.25940248752116e-05 8.26200531054853e-05
98304 48 7.92185485018633e-05 7.91891438592374e-05 7.92124268584497e-05
98816 48.25 7.01307954297146e-05 7.01017431315826e-05 7.01226460345821e-05
99328 48.5 7.28042550151872e-05 7.27957778036172e-05 7.27901125836405e-05
99840 48.75 7.38019018486456e-05 7.3798033955933e-05 7.37914524573142e-05
100352 49 6.82856208179208e-05 6.82850079459183e-05 6.82815926778602e-05
100864 49.25 6.34517082078021e-05 6.34394004765426e-05 6.34399792974588e-05
101376 49.5 6.37338320146102e-05 6.37290658544312e-05 6.37361794334818e-05
101888 49.75 6.57237516629723e-05 6.57213795690848e-05 6.57125157779972e-05
102400 50 6.26983298114857e-05 6.27036829980141e-05 6.27083135842005e-05
102912 50.25 5.63335195636573e-05 5.63357221620422e-05 5.63273514966959e-05
103424 50.5 5.63922392392546e-05 5.63908821788972e-05 5.63719299664212e-05
103936 50.75 5.53029612658706e-05 5.53075154589181e-05 5.52966677104141e-05
104448 51 5.45138068584147e-05 5.45215626327564e-05 5.45072687252001e-05
104960 51.25 5.37279212554452e-05 5.37372582653109e-05 5.37278205880305e-05
105472 51.5 4.60260173895218e-05 4.60339507874149e-05 4.60357767711659e-05
105984 51.75 4.43497251338382e-05 4.43436375116172e-05 4.43408328894427e-05
106496 52 4.70291305655805e-05 4.70300360618479e-05 4.70245385897001e-05
107008 52.25 4.41434517435192e-05 4.41502296583096e-05 4.41451312008606e-05
107520 52.5 3.76704460343651e-05 3.76786146811402e-05 3.76754124374419e-05
