# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:32:15+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.25 -1.13991561062063e-05 -1.13991561062132e-05 -1.13991561062201e-05
1024 0.5 -1.60622056588116e-05 -1.60622056588448e-05 -1.60622056588639e-05
1536 0.75 -1.73616886320577e-05 -1.73616886320724e-05 -1.7361688632077e-05
2048 1 -1.38585612655069e-05 -1.38585612654856e-05 -1.38585612654648e-05
2560 1.25 -1.21132048883347e-05 -1.2113204888349e-05 -1.21132048883875e-05
3072 1.5 -1.55798210731479e-05 -1.55798210731649e-05 -1.55798210732544e-05
3584 1.75 -2.1420214554043e-05 -2.14202145541097e-05 -2.1420214554671e-05
4096 2 -1.61147959366568e-05 -1.61147959366275e-05 -1.61147959376143e-05
4608 2.25 -1.82080180937965e-05 -1.82080180936646e-05 -1.82080180941725e-05
5120 2.5 -1.90569949746378e-05 -1.90569949746439e-05 -1.90569949786132e-05
5632 2.75 -1.09704430700624e-05 -1.09704430700964e-05 -1.09704430700979e-05
6144 3 -1.33609604793703e-05 -1.33609603150387e-05 -1.33609604852959e-05
6656 3.25 -1.37177523446087e-05 -1.37177522446884e-05 -1.37177523728418e-05
7168 3.5 -1.82418856569024e-05 -1.82418856618269e-05 -1.82418854987679e-05
7680 3.75 -1.66671485302279e-05 -1.66671485296796e-05 -1.66671485301247e-05
8192 4 -1.53279185778502e-05 -1.53279189285693e-05 -1.53279185737993e-05
8704 4.25 -1.54958698065574e-05 -1.54958701926369e-05 -1.54958698311448e-05
9216 4.5 -3.29910716742521e-05 -3.29910671129664e-05 -3.29910715485336e-05
9728 4.75 -3.16971935500738e-05 -3.16971879425246e-05 -3.16971931903901e-05
10240 5 -2.61060891193066e-05 -2.61060831735344e-05 -2.61060896849014e-05
10752 5.25 -2.55960138841996e-05 -2.55960059382954e-05 -2.55960145996302e-05
11264 5.5 -2.15338930715435e-05 -2.15338814281987e-05 -2.15338898177657e-05
11776 5.75 -3.17556848206622e-05 -3.17556716999222e-05 -3.17556793962037e-05
12288 6 -2.12898751221416e-05 -2.12898738066378e-05 -2.12898690862743e-05
12800 6.25 -2.82339371543727e-05 -2.82339514438494e-05 -2.82339303661264e-05
13312 6.5 -2.0567826785502e-05 -2.05678248841296e-05 -2.05678226789953e-05
13824 6.75 -1.66248943448902e-05 -1.66249055849214e-05 -1.66248956410944e-05
