# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:32:15+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.25 5.98656320640509e-08 5.98656323657323e-08 5.98656326466313e-08
1024 0.5 1.67857057047723e-07 1.6785705750738e-07 1.67857058110374e-07
1536 0.75 3.07709556231163e-07 3.07709555325572e-07 3.07709555029743e-07
2048 1 4.64176025339096e-07 4.64176026525464e-07 4.64176025592384e-07
2560 1.25 6.42965718838094e-07 6.42965718411496e-07 6.42965720167996e-07
3072 1.5 7.78005164207911e-07 7.78005163955714e-07 7.78005164884909e-07
3584 1.75 8.32579217401977e-07 8.32579218873047e-07 8.3257921614385e-07
4096 2 8.27699085975657e-07 8.27699084543087e-07 8.27699083019716e-07
4608 2.25 8.53621202057861e-07 8.53621197970669e-07 8.53621200477438e-07
5120 2.5 8.35744848238173e-07 8.35744852676334e-07 8.35744852380735e-07
5632 2.75 7.82192236242354e-07 7.82192245692685e-07 7.82192242316093e-07
6144 3 7.87674989538541e-07 7.87675015592821e-07 7.87675023558271e-07
6656 3.25 8.70222613764605e-07 8.70222606727777e-07 8.70222614262639e-07
7168 3.5 9.14699167092582e-07 9.14699165084587e-07 9.14699175804685e-07
7680 3.75 8.91605828820864e-07 8.91605807615071e-07 8.91605816290589e-07
8192 4 8.15168895714346e-07 8.15168868760379e-07 8.15168881334122e-07
8704 4.25 8.12166540812545e-07 8.12166552150486e-07 8.12166563920074e-07
9216 4.5 8.8085270532856e-07 8.80852709621971e-07 8.80852732033627e-07
9728 4.75 8.98322876633118e-07 8.98322866424722e-07 8.98322903322938e-07
10240 5 8.84878355473596e-07 8.84878340086703e-07 8.84878343845709e-07
10752 5.25 8.94268110230348e-07 8.94268088520925e-07 8.94268105728465e-07
11264 5.5 9.03921489503002e-07 9.03921487020694e-07 9.03921466983154e-07
11776 5.75 8.86070790623838e-07 8.86070789963456e-07 8.86070791100967e-07
12288 6 8.68260937658971e-07 8.68260923235575e-07 8.68260946792025e-07
12800 6.25 8.7148206020172e-07 8.71482057467317e-07 8.71482090244134e-07
13312 6.5 9.19355571077998e-07 9.1935552428641e-07 9.19355574871825e-07
13824 6.75 9.29064032123097e-07 9.29063991779454e-07 9.29064000947113e-07
14336 7 9.0023737905399e-07 9.00237348775876e-07 9.00237433548301e-07
14848 7.25 8.71234479206661e-07 8.71234428909421e-07 8.7123450735427e-07
15360 7.5 8.71557950021668e-07 8.715579081001e-07 8.71557929658865e-07
15872 7.75 9.18168890262231e-07 9.18168835988344e-07 9.1816892736846e-07
16384 8 9.37637303487856e-07 9.37637260019345e-07 9.37637387841172e-07
16896 8.25 9.57385573527582e-07 9.57385431409493e-07 9.57385485345868e-07
17408 8.5 9.48764305695728e-07 9.48764124924622e-07 9.48764185879879e-07
17920 8.75 9.2907221551332e-07 9.29072093146093e-07 9.29072124666852e-07
18432 9 9.41584592962948e-07 9.41584634558352e-07 9.41584671958272e-07
18944 9.25 9.72078630568807e-07 9.72078698756829e-07 9.72078653612174e-07
19456 9.5 9.95926326220658e-07 9.95926228250766e-07 9.95926206385165e-07
19968 9.75 9.91243465182562e-07 9.91243421431669e-07 9.91243406083362e-07
20480 10 9.86257601710007e-07 9.86257642614904e-07 9.86257598486527e-07
20992 10.25 9.93465769009406e-07 9.93465811483752e-07 9.93465838428509e-07
21504 10.5 1.00485972266629e-06 1.00485963496147e-06 1.00485966840372e-06
22016 10.75 1.01427999872906e-06 1.01427987639165e-06 1.01427978230226e-06
22528 11 1.00687316029026e-06 1.0068732574659e-06 1.00687310513616e-06
23040 11.25 1.00509308533021e-06 1.00509313251715e-06 1.0050932205355e-06
23552 11.5 9.92246444804699e-07 9.92246348193081e-07 9.92246752977817e-07
24064 11.75 1.00006830078498e-06 1.00006799189326e-06 1.00006768115191e-06
24576 12 9.88590398856134e-07 9.88590424814036e-07 9.88589620507064e-07
25088 12.25 9.81120257295146e-07 9.81120342953412e-07 9.81120205061081e-07
25600 12.5 9.9167192856371e-07 9.91671706198026e-07 9.91671231552845e-07
26112 12.75 9.90983613585804e-07 9.90983745515201e-07 9.90983708692439e-07
26624 13 9.88414278086738e-07 9.88414398276683e-07 9.88414238353192e-07
27136 13.25 9.67953302529897e-07 9.67953320870319e-07 9.67953059004936e-07
27648 13.5 9.52142628312971e-07 9.52142914152189e-07 9.52143172366916e-07
28160 13.75 9.50194143527614e-07 9.50194342223968e-07 9.50194306476936e-07
28672 14 9.60322708465185e-07 9.60323109159406e-07 9.60323291687691e-07
29184 14.25 9.75701221700196e-07 9.75701162336905e-07 9.75700438509183e-07
29696 14.5 9.91551230347863e-07 9.9155096046743e-07 9.91550243734325e-07
30208 14.75 1.00209990394248e-06 1.00209989709877e-06 1.00209969728353e-06
30720 15 9.93647306402225e-07 9.93647516908216e-07 9.93647672710843e-07
31232 15.25 9.80523389030795e-07 9.80523771911326e-07 9.80523142292375e-07
31744 15.5 9.84421377983729e-07 9.84421403576596e-07 9.84420361124248e-07
32256 15.75 1.00399138850865e-06 1.00399118586584e-06 1.00399049309635e-06
32768 16 1.01996796678862e-06 1.01996781294088e-06 1.01996731728217e-06
33280 16.25 1.02155677288887e-06 1.02155644134863e-06 1.02155617856058e-06
33792 16.5 1.02811488668302e-06 1.02811468854798e-06 1.02811465717033e-06
34304 16.75 1.04238635023229e-06 1.04238607930171e-06 1.04238588992549e-06
34816 17 1.06885953619843e-06 1.06885953124716e-06 1.06885895608757e-06
35328 17.25 1.07662940387424e-06 1.07662975524865e-06 1.07662933724989e-06
35840 17.5 1.06823139602506e-06 1.06823182813247e-06 1.06823178429879e-06
36352 17.75 1.05724418104614e-06 1.05724420294086e-06 1.05724459090836e-06
36864 18 1.05482265433526e-06 1.05482198727588e-06 1.05482228844502e-06
37376 18.25 1.07636816438965e-06 1.07636776152833e-06 1.07636768418511e-06
37888 18.5 1.09077128354004e-06 1.09077139398431e-06 1.09077113473782e-06
38400 18.75 1.08502033921781e-06 1.08502050532446e-06 1.08501967527558e-06
38912 19 1.07192440747608e-06 1.07192451470245e-06 1.07192458493974e-06
39424 19.25 1.06715375499779e-06 1.06715412172125e-06 1.06715403779613e-06
