# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:32:15+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.32.12-95617
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.25 1.13991561062063e-05 1.13991561062132e-05 1.13991561062201e-05
1024 0.5 1.60622056588116e-05 1.60622056588448e-05 1.60622056588639e-05
1536 0.75 1.73616886320577e-05 1.73616886320724e-05 1.7361688632077e-05
2048 1 1.38585612655069e-05 1.38585612654856e-05 1.38585612654648e-05
2560 1.25 1.21132048883347e-05 1.2113204888349e-05 1.21132048883875e-05
3072 1.5 1.55798210731479e-05 1.55798210731649e-05 1.55798210732544e-05
3584 1.75 2.1420214554043e-05 2.14202145541097e-05 2.1420214554671e-05
4096 2 1.61147959366568e-05 1.61147959366275e-05 1.61147959376143e-05
4608 2.25 1.82080180937965e-05 1.82080180936646e-05 1.82080180941725e-05
5120 2.5 1.90569949746378e-05 1.90569949746439e-05 1.90569949786132e-05
5632 2.75 1.67109335513055e-05 1.67109335505571e-05 1.67109335530624e-05
6144 3 1.68280812617996e-05 1.68280812601689e-05 1.68280812696391e-05
6656 3.25 1.97847100414146e-05 1.97847100169561e-05 1.97847100474369e-05
7168 3.5 2.75661774253189e-05 2.75661771371299e-05 2.75661774187614e-05
7680 3.75 2.6496071558458e-05 2.64960709176607e-05 2.64960715438488e-05
8192 4 1.89529566250578e-05 1.89529584577432e-05 1.8952956815629e-05
8704 4.25 2.33970435003017e-05 2.33970479155364e-05 2.33970439010781e-05
9216 4.5 3.29910716742521e-05 3.29910671129664e-05 3.29910715485336e-05
9728 4.75 3.16971935500738e-05 3.16971879425246e-05 3.16971931903901e-05
10240 5 2.61060891193066e-05 2.61060831735344e-05 2.61060896849014e-05
10752 5.25 2.55960138841996e-05 2.55960059382954e-05 2.55960145996302e-05
11264 5.5 2.21690304564673e-05 2.21690278205287e-05 2.21690305958149e-05
11776 5.75 3.17556848206622e-05 3.17556716999222e-05 3.17556793962037e-05
12288 6 2.43942096469656e-05 2.43942076867088e-05 2.4394213604448e-05
12800 6.25 2.82339371543727e-05 2.82339514438494e-05 2.82339303661264e-05
13312 6.5 2.22271911135352e-05 2.22271563484989e-05 2.22271913397741e-05
13824 6.75 2.36799492973481e-05 2.36799223694752e-05 2.36799463696745e-05
14336 7 2.72305897142528e-05 2.72306098932468e-05 2.72305954043035e-05
14848 7.25 1.97945895446833e-05 1.97946091277795e-05 1.97945961291695e-05
