# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 14:15:07+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-13.15.04-7546
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-13.15.04-7546
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.375 3.7021756015376e-07 3.70217560153763e-07 3.70217560153761e-07
1024 0.75 1.41553853300005e-06 1.41553853300014e-06 1.41553853300013e-06
1536 1.125 1.6824063041734e-06 1.6824063041734e-06 1.68240630417338e-06
2048 1.5 1.48989256716738e-06 1.48989256716644e-06 1.4898925671785e-06
2560 1.875 2.4245836147058e-06 2.4245836147058e-06 2.4245836147058e-06
3072 2.25 3.56819448304778e-06 3.56819448304778e-06 3.56819448304778e-06
3584 2.625 4.66474727844351e-06 4.66474727844351e-06 4.66474727844351e-06
4096 3 5.57405661633531e-06 5.5740566163353e-06 5.57405661633529e-06
4608 3.375 6.20127200098647e-06 6.20127200098647e-06 6.20127200098645e-06
5120 3.75 6.51045393318476e-06 6.51045393318474e-06 6.51045393318472e-06
5632 4.125 6.52590456954284e-06 6.52590456954277e-06 6.52590456954272e-06
6144 4.5 7.39498762121779e-06 7.3949876212178e-06 7.39498762122253e-06
6656 4.875 9.43177290804721e-06 9.43177290804721e-06 9.43177290805078e-06
7168 5.25 1.15946570476603e-05 1.15946570476603e-05 1.15946570476606e-05
7680 5.625 1.37546525231553e-05 1.37546525231552e-05 1.37546525231589e-05
8192 6 1.5742830381434e-05 1.5742830381434e-05 1.57428303814398e-05
8704 6.375 1.7493754391287e-05 1.74937543912864e-05 1.74937543912702e-05
9216 6.75 1.91592986514482e-05 1.9159298651446e-05 1.91592986513863e-05
9728 7.125 2.10575073217815e-05 2.10575073217743e-05 2.10575073217275e-05
10240 7.5 2.33899774675512e-05 2.33899774675499e-05 2.3389977467595e-05
10752 7.875 2.586983179148e-05 2.58698317915064e-05 2.58698317916107e-05
11264 8.25 2.76352746470973e-05 2.76352746471036e-05 2.76352746471911e-05
11776 8.625 2.77757325074645e-05 2.77757325073118e-05 2.77757325073163e-05
12288 9 2.62577589912095e-05 2.62577589907775e-05 2.62577589904861e-05
12800 9.375 2.43926636801447e-05 2.43926636792657e-05 2.43926636783169e-05
13312 9.75 2.46480940421471e-05 2.46480940415816e-05 2.4648094040239e-05
13824 10.125 2.62155083599853e-05 2.62155083593559e-05 2.62155083573976e-05
14336 10.5 2.96544157685206e-05 2.965441576946e-05 2.9654415769108e-05
14848 10.875 3.20518960536114e-05 3.20518960497835e-05 3.20518960527713e-05
15360 11.25 3.18679412718863e-05 3.18679412437018e-05 3.18679412484661e-05
15872 11.625 3.17839975140729e-05 3.17839974250807e-05 3.17839973837147e-05
16384 12 3.1501587886742e-05 3.15015879469246e-05 3.15015878961313e-05
16896 12.375 3.02443606867194e-05 3.02443609099913e-05 3.02443608777599e-05
17408 12.75 3.04144984608745e-05 3.04144982472892e-05 3.04144982880354e-05
17920 13.125 3.05864321814961e-05 3.05864318572239e-05 3.05864318630374e-05
18432 13.5 3.00999652752707e-05 3.00999653083385e-05 3.00999652811282e-05
18944 13.875 2.93353295586529e-05 2.93353301100243e-05 2.93353300991889e-05
19456 14.25 2.87258498329019e-05 2.87258505332187e-05 2.87258505798197e-05
19968 14.625 2.84692568941291e-05 2.84692572365651e-05 2.84692573117893e-05
20480 15 2.85074889457254e-05 2.85074888199404e-05 2.8507488820582e-05
20992 15.375 2.86121508119485e-05 2.86121506497578e-05 2.86121505132975e-05
21504 15.75 2.84886855876014e-05 2.84886860507212e-05 2.84886859531523e-05
22016 16.125 2.79583006034236e-05 2.79583017769336e-05 2.79583019119485e-05
22528 16.5 2.71166457720584e-05 2.71166462754084e-05 2.71166459241959e-05
23040 16.875 2.62765961337335e-05 2.62765943409421e-05 2.62765921260543e-05
23552 17.25 2.57283994240731e-05 2.57283979485285e-05 2.57283954346313e-05
24064 17.625 2.55244100667155e-05 2.55244174265573e-05 2.5524421619821e-05
24576 18 2.54303206632994e-05 2.54303420673806e-05 2.5430358484853e-05
25088 18.375 2.51021324492197e-05 2.51021576100667e-05 2.51021788437246e-05
25600 18.75 2.44373285450584e-05 2.44373374338483e-05 2.44373459845829e-05
26112 19.125 2.39814440568194e-05 2.39814490650658e-05 2.39814458240615e-05
26624 19.5 2.42036523897361e-05 2.42036523233188e-05 2.42036470668459e-05
27136 19.875 2.44506218601676e-05 2.44506196658096e-05 2.44506060638727e-05
27648 20.25 2.47762283470727e-05 2.47762236207404e-05 2.47762143401887e-05
28160 20.625 2.46829483937319e-05 2.46829375292762e-05 2.46829312314561e-05
28672 21 2.54398094992822e-05 2.54397908520483e-05 2.5439775644462e-05
29184 21.375 2.5004678464006e-05 2.50046638570128e-05 2.50046462841102e-05
29696 21.75 2.37843816527533e-05 2.37843811797108e-05 2.37843645675671e-05
30208 22.125 2.21861700066779e-05 2.21861866648581e-05 2.21861679216768e-05
30720 22.5 2.0257551212176e-05 2.02575767007182e-05 2.02575547853247e-05
31232 22.875 1.78468927134108e-05 1.78469049613662e-05 1.78468936155685e-05
31744 23.25 1.49521757867901e-05 1.49521497443529e-05 1.49521712816789e-05
32256 23.625 1.18970352210151e-05 1.18969762631419e-05 1.18970308348713e-05
32768 24 9.23814108049304e-06 9.23811134989276e-06 9.23816064918055e-06
33280 24.375 7.60369973916075e-06 7.60376829932927e-06 7.60379626349288e-06
33792 24.75 7.05646073761926e-06 7.05655834076521e-06 7.05661261841606e-06
34304 25.125 7.16451144770834e-06 7.16469532392167e-06 7.1646895861278e-06
