# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 14:15:07+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-13.15.04-7546
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-13.15.04-7546
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.375 -3.31931149509387e-07 -3.31931149509388e-07 -3.31931149509382e-07
1024 0.75 -1.15550528656376e-06 -1.15550528656378e-06 -1.15550528656378e-06
1536 1.125 -1.2009046387907e-06 -1.20090463879071e-06 -1.20090463879071e-06
2048 1.5 -1.82747490755413e-06 -1.82747490755413e-06 -1.82747490755417e-06
2560 1.875 -2.3808219667641e-06 -2.38082196676419e-06 -2.38082196676409e-06
3072 2.25 -2.88204942940282e-06 -2.88204942940283e-06 -2.88204942940284e-06
3584 2.625 -3.28320897020608e-06 -3.28320897020606e-06 -3.28320897021501e-06
4096 3 -3.73389892415818e-06 -3.73389892415815e-06 -3.73389892414125e-06
4608 3.375 -4.50877576830977e-06 -4.50877576830874e-06 -4.50877576827508e-06
5120 3.75 -5.4121131439086e-06 -5.4121131439096e-06 -5.41211314402297e-06
5632 4.125 -6.54889393543846e-06 -6.54889393542886e-06 -6.54889393535975e-06
6144 4.5 -7.54934126312754e-06 -7.54934126314118e-06 -7.5493412631296e-06
6656 4.875 -8.08140743252597e-06 -8.08140743255763e-06 -8.08140743252797e-06
7168 5.25 -8.83634445484531e-06 -8.83634445493788e-06 -8.8363444552e-06
7680 5.625 -9.62419042672915e-06 -9.62419042681299e-06 -9.62419042682645e-06
8192 6 -1.08461682822782e-05 -1.08461682819736e-05 -1.08461682815652e-05
8704 6.375 -1.26164098639333e-05 -1.26164098617115e-05 -1.26164098596949e-05
9216 6.75 -1.41371875016408e-05 -1.41371874954493e-05 -1.41371874897283e-05
9728 7.125 -1.5651165093066e-05 -1.56511650853932e-05 -1.56511650784595e-05
10240 7.5 -1.70079972761715e-05 -1.70079972800267e-05 -1.70079972851136e-05
10752 7.875 -1.84354173811076e-05 -1.84354173974516e-05 -1.84354174206007e-05
11264 8.25 -2.04625384301748e-05 -2.04625384649535e-05 -2.04625385030073e-05
11776 8.625 -2.20160649408293e-05 -2.20160648944171e-05 -2.20160649046734e-05
12288 9 -2.48366283989189e-05 -2.48366282841032e-05 -2.48366282716209e-05
12800 9.375 -2.63350195309104e-05 -2.63350193708776e-05 -2.63350193619257e-05
13312 9.75 -2.68783733669246e-05 -2.6878373132486e-05 -2.68783731403561e-05
13824 10.125 -2.78937617273256e-05 -2.78937613775444e-05 -2.7893761414066e-05
14336 10.5 -2.94801823908321e-05 -2.94801820341268e-05 -2.94801820874713e-05
14848 10.875 -3.0991427728346e-05 -3.09914276044073e-05 -3.09914275570112e-05
15360 11.25 -3.27396323382568e-05 -3.2739632545509e-05 -3.27396322859661e-05
15872 11.625 -3.50219025575081e-05 -3.50219028343396e-05 -3.50219024995885e-05
16384 12 -3.68984012646971e-05 -3.68984011780188e-05 -3.68984010339571e-05
16896 12.375 -3.77403084056532e-05 -3.77403079405158e-05 -3.77403080084264e-05
17408 12.75 -3.91903220754935e-05 -3.91903217249957e-05 -3.91903216695889e-05
17920 13.125 -4.10273772928878e-05 -4.10273771181427e-05 -4.10273770012841e-05
18432 13.5 -4.26062634377148e-05 -4.26062639257739e-05 -4.26062630101138e-05
18944 13.875 -4.41308951718769e-05 -4.41308959934041e-05 -4.4130894030448e-05
19456 14.25 -4.51910566488295e-05 -4.51910561079991e-05 -4.51910545528096e-05
19968 14.625 -4.51460611771202e-05 -4.5146056520485e-05 -4.51460563614429e-05
20480 15 -4.43901113861293e-05 -4.43901015204583e-05 -4.43901000637718e-05
20992 15.375 -4.40677241401919e-05 -4.40677143516954e-05 -4.4067709995433e-05
21504 15.75 -4.45966526074831e-05 -4.45966528380772e-05 -4.45966516594257e-05
22016 16.125 -4.54175052887695e-05 -4.54175182604287e-05 -4.54175268037153e-05
22528 16.5 -4.61438153214209e-05 -4.61438316728406e-05 -4.61438467073878e-05
23040 16.875 -4.7138163763932e-05 -4.71381746109463e-05 -4.71381843070014e-05
23552 17.25 -4.88871811409934e-05 -4.88871876067386e-05 -4.88871768464387e-05
24064 17.625 -5.13655994119625e-05 -5.13656073946796e-05 -5.13655826503658e-05
24576 18 -5.40809785376602e-05 -5.40809930956479e-05 -5.40810039909604e-05
25088 18.375 -5.6423799168e-05 -5.64238220453832e-05 -5.64238827560047e-05
25600 18.75 -5.79936820085761e-05 -5.79937098009125e-05 -5.79937205801372e-05
26112 19.125 -5.87859218777376e-05 -5.87859460244069e-05 -5.87858424099945e-05
26624 19.5 -5.90872942103604e-05 -5.90872976766682e-05 -5.90872109653673e-05
27136 19.875 -5.92428585384196e-05 -5.92428416126179e-05 -5.92429117945845e-05
27648 20.25 -5.95729768612075e-05 -5.95730036159671e-05 -5.95731420726823e-05
28160 20.625 -6.02827224549878e-05 -6.02828363202744e-05 -6.0282851910158e-05
28672 21 -6.13180716640257e-05 -6.13181416469368e-05 -6.13179961884515e-05
29184 21.375 -6.26335196794883e-05 -6.26333942283705e-05 -6.26332407475607e-05
29696 21.75 -6.46790366442899e-05 -6.46788500951701e-05 -6.46788448036726e-05
30208 22.125 -6.803360607298e-05 -6.80335929486047e-05 -6.80336802641265e-05
30720 22.5 -7.23045278234015e-05 -7.2304616187891e-05 -7.23046128327684e-05
31232 22.875 -7.60592031798056e-05 -7.60591929410588e-05 -7.60590921892808e-05
31744 23.25 -7.83139660287148e-05 -7.83138995954464e-05 -7.83138566378525e-05
32256 23.625 -7.96119083871443e-05 -7.96118979496012e-05 -7.96119480768644e-05
32768 24 -8.23278410175524e-05 -8.23278082444373e-05 -8.23277716320495e-05
33280 24.375 -8.58335620511852e-05 -8.5833577393038e-05 -8.58335875720224e-05
33792 24.75 -8.8756026395496e-05 -8.87559246136061e-05 -8.87558767494888e-05
34304 25.125 -9.11457798511441e-05 -9.11456150978995e-05 -9.11455241673981e-05
34816 25.5 -9.3865666283011e-05 -9.3865585356021e-05 -9.3865497521407e-05
35328 25.875 -9.7619784540399e-05 -9.76197213956809e-05 -9.7619663430477e-05
35840 26.25 -0.000102252252515738 -0.000102252115708858 -0.000102252086709984
36352 26.625 -0.000107159315717698 -0.000107159179276415 -0.000107159123694678
36864 27 -0.00011193262913631 -0.000111932496879158 -0.000111932376474398
37376 27.375 -0.00011634930741302 -0.000116349036820652 -0.000116348880027701
37888 27.75 -0.000120225420493243 -0.000120225032339586 -0.00012022479010739
38400 28.125 -0.000123078701008009 -0.00012307830075249 -0.000123078105601609
38912 28.5 -0.000125142532614641 -0.000125142215179432 -0.000125142007074023
39424 28.875 -0.000126363626819623 -0.000126363373025418 -0.000126363062361101
39936 29.25 -0.000127073971674651 -0.000127073732909593 -0.000127073425011817
40448 29.625 -0.000128397876938519 -0.000128397759236307 -0.000128397235906494
40960 30 -0.000129953198837911 -0.000129953158267932 -0.000129952537622537
41472 30.375 -0.000132215876623262 -0.000132215895330824 -0.000132215372013365
