# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 14:15:07+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-13.15.04-7546
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-13.15.04-7546
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
0 0 9.99999999999999e-09
512 0.375 9.99999999999999e-09
1024 0.75 9.99999999999999e-09
1536 1.125 9.99999999999999e-09
2048 1.5 9.99999999999999e-09
2560 1.875 9.99999999999999e-09
3072 2.25 9.99999999999999e-09
3584 2.625 9.99999999999999e-09
4096 3 9.99999999999999e-09
4608 3.375 9.99999999999999e-09
5120 3.75 9.99999999999999e-09
5632 4.125 9.99999999999999e-09
6144 4.5 9.99999999999999e-09
6656 4.875 9.99999999999999e-09
7168 5.25 9.99999999999999e-09
7680 5.625 9.99999999999999e-09
8192 6 9.99999999999999e-09
8704 6.375 9.99999999999999e-09
9216 6.75 9.99999999999999e-09
9728 7.125 9.99999999999999e-09
10240 7.5 9.99999999999999e-09
10752 7.875 9.99999999999999e-09
11264 8.25 9.99999999999999e-09
11776 8.625 9.99999999999999e-09
12288 9 9.99999999999999e-09
12800 9.375 9.99999999999999e-09
13312 9.75 9.99999999999999e-09
13824 10.125 9.99999999999999e-09
14336 10.5 9.99999999999999e-09
14848 10.875 9.99999999999999e-09
15360 11.25 9.99999999999999e-09
15872 11.625 9.99999999999999e-09
16384 12 9.99999999999999e-09
16896 12.375 9.99999999999999e-09
17408 12.75 9.99999999999999e-09
17920 13.125 9.99999999999999e-09
18432 13.5 9.99999999999999e-09
18944 13.875 9.99999999999999e-09
19456 14.25 9.99999999999999e-09
19968 14.625 9.99999999999999e-09
20480 15 9.99999999999999e-09
20992 15.375 9.99999999999999e-09
21504 15.75 9.99999999999999e-09
22016 16.125 9.99999999999999e-09
22528 16.5 9.99999999999999e-09
23040 16.875 9.99999999999999e-09
23552 17.25 9.99999999999999e-09
24064 17.625 9.99999999999999e-09
24576 18 9.99999999999999e-09
25088 18.375 9.99999999999999e-09
25600 18.75 9.99999999999999e-09
26112 19.125 9.99999999999999e-09
26624 19.5 9.99999999999999e-09
27136 19.875 9.99999999999999e-09
27648 20.25 9.99999999999999e-09
28160 20.625 9.99999999999999e-09
28672 21 9.99999999999999e-09
29184 21.375 9.99999999999999e-09
29696 21.75 9.99999999999999e-09
30208 22.125 9.99999999999999e-09
30720 22.5 9.99999999999999e-09
31232 22.875 9.99999999999999e-09
31744 23.25 9.99999999999999e-09
32256 23.625 9.99999999999999e-09
32768 24 9.99999999999999e-09
33280 24.375 9.99999999999999e-09
33792 24.75 9.99999999999999e-09
34304 25.125 9.99999999999999e-09
34816 25.5 9.99999999999999e-09
35328 25.875 9.99999999999999e-09
35840 26.25 9.99999999999999e-09
36352 26.625 9.99999999999999e-09
36864 27 9.99999999999999e-09
37376 27.375 9.99999999999999e-09
37888 27.75 9.99999999999999e-09
38400 28.125 9.99999999999999e-09
38912 28.5 9.99999999999999e-09
39424 28.875 9.99999999999999e-09
39936 29.25 9.99999999999999e-09
40448 29.625 9.99999999999999e-09
40960 30 9.99999999999999e-09
41472 30.375 9.99999999999999e-09
41984 30.75 9.99999999999999e-09
42496 31.125 9.99999999999999e-09
43008 31.5 9.99999999999999e-09
43520 31.875 9.99999999999999e-09
44032 32.25 9.99999999999999e-09
44544 32.625 9.99999999999999e-09
45056 33 9.99999999999999e-09
45568 33.375 9.99999999999999e-09
46080 33.75 9.99999999999999e-09
46592 34.125 9.99999999999999e-09
47104 34.5 9.99999999999999e-09
47616 34.875 9.99999999999999e-09
48128 35.25 9.99999999999999e-09
48640 35.625 9.99999999999999e-09
49152 36 9.99999999999999e-09
49664 36.375 9.99999999999999e-09
50176 36.75 9.99999999999999e-09
50688 37.125 9.99999999999999e-09
51200 37.5 9.99999999999999e-09
51712 37.875 9.99999999999999e-09
52224 38.25 9.99999999999999e-09
52736 38.625 9.99999999999999e-09
53248 39 9.99999999999999e-09
53760 39.375 9.99999999999999e-09
54272 39.75 9.99999999999999e-09
54784 40.125 9.99999999999999e-09
55296 40.5 9.99999999999999e-09
55808 40.875 9.99999999999999e-09
56320 41.25 9.99999999999999e-09
56832 41.625 9.99999999999999e-09
57344 42 9.99999999999999e-09
57856 42.375 9.99999999999999e-09
58368 42.75 9.99999999999999e-09
58880 43.125 9.99999999999999e-09
59392 43.5 9.99999999999999e-09
59904 43.875 9.99999999999999e-09
60416 44.25 9.99999999999999e-09
60928 44.625 9.99999999999999e-09
61440 45 9.99999999999999e-09
61952 45.375 9.99999999999999e-09
62464 45.75 9.99999999999999e-09
62976 46.125 9.99999999999999e-09
63488 46.5 9.99999999999999e-09
64000 46.875 9.99999999999999e-09
64512 47.25 9.99999999999999e-09
65024 47.625 9.99999999999999e-09
65536 48 9.99999999999999e-09
66048 48.375 9.99999999999999e-09
66560 48.75 9.99999999999999e-09
67072 49.125 9.99999999999999e-09
67584 49.5 9.99999999999999e-09
68096 49.875 9.99999999999999e-09
68608 50.25 9.99999999999999e-09
69120 50.625 9.99999999999999e-09
69632 51 9.99999999999999e-09
70144 51.375 9.99999999999999e-09
70656 51.75 9.99999999999999e-09
71168 52.125 9.99999999999999e-09
71680 52.5 9.99999999999999e-09
72192 52.875 9.99999999999999e-09
72704 53.25 9.99999999999999e-09
73216 53.625 9.99999999999999e-09
73728 54 9.99999999999999e-09
74240 54.375 9.99999999999999e-09
74752 54.75 9.99999999999999e-09
75264 55.125 9.99999999999999e-09
75776 55.5 9.99999999999999e-09
76288 55.875 9.99999999999999e-09
76800 56.25 9.99999999999999e-09
77312 56.625 9.99999999999999e-09
77824 57 9.99999999999999e-09
78336 57.375 9.99999999999999e-09
78848 57.75 9.99999999999999e-09
79360 58.125 9.99999999999999e-09
79872 58.5 9.99999999999999e-09
80384 58.875 9.99999999999999e-09
80896 59.25 9.99999999999999e-09
81408 59.625 9.99999999999999e-09
81920 60 9.99999999999999e-09
82432 60.375 9.99999999999999e-09
82944 60.75 9.99999999999999e-09
83456 61.125 9.99999999999999e-09
83968 61.5 9.99999999999999e-09
84480 61.875 9.99999999999999e-09
84992 62.25 9.99999999999999e-09
85504 62.625 9.99999999999999e-09
86016 63 9.99999999999999e-09
86528 63.375 9.99999999999999e-09
87040 63.75 9.99999999999999e-09
87552 64.125 9.99999999999999e-09
88064 64.5 9.99999999999999e-09
88576 64.875 9.99999999999999e-09
89088 65.25 9.99999999999999e-09
89600 65.625 9.99999999999999e-09
90112 66 9.99999999999999e-09
90624 66.375 9.99999999999999e-09
91136 66.75 9.99999999999999e-09
91648 67.125 9.99999999999999e-09
92160 67.5 9.99999999999999e-09
92672 67.875 9.99999999999999e-09
93184 68.25 9.99999999999999e-09
93696 68.625 9.99999999999999e-09
94208 69 9.99999999999999e-09
94720 69.375 9.99999999999999e-09
95232 69.75 9.99999999999999e-09
95744 70.125 9.99999999999999e-09
96256 70.5 9.99999999999999e-09
96768 70.875 9.99999999999999e-09
97280 71.25 9.99999999999999e-09
97792 71.625 9.99999999999999e-09
98304 72 9.99999999999999e-09
98816 72.375 9.99999999999999e-09
99328 72.75 9.99999999999999e-09
99840 73.125 9.99999999999999e-09
100352 73.5 9.99999999999999e-09
100864 73.875 9.99999999999999e-09
101376 74.25 9.99999999999999e-09
101888 74.625 9.99999999999999e-09
102400 75 9.99999999999999e-09
102912 75.375 9.99999999999999e-09
103424 75.75 9.99999999999999e-09
103936 76.125 9.99999999999999e-09
104448 76.5 9.99999999999999e-09
104960 76.875 9.99999999999999e-09
105472 77.25 9.99999999999999e-09
105984 77.625 9.99999999999999e-09
106496 78 9.99999999999999e-09
107008 78.375 9.99999999999999e-09
107520 78.75 9.99999999999999e-09
108032 79.125 9.99999999999999e-09
108544 79.5 9.99999999999999e-09
109056 79.875 9.99999999999999e-09
109568 80.25 9.99999999999999e-09
110080 80.625 9.99999999999999e-09
110592 81 9.99999999999999e-09
111104 81.375 9.99999999999999e-09
111616 81.75 9.99999999999999e-09
112128 82.125 9.99999999999999e-09
112640 82.5 9.99999999999999e-09
113152 82.875 9.99999999999999e-09
113664 83.25 9.99999999999999e-09
114176 83.625 9.99999999999999e-09
114688 84 9.99999999999999e-09
115200 84.375 9.99999999999999e-09
115712 84.75 9.99999999999999e-09
116224 85.125 9.99999999999999e-09
116736 85.5 9.99999999999999e-09
117248 85.875 9.99999999999999e-09
117760 86.25 9.99999999999999e-09
118272 86.625 9.99999999999999e-09
118784 87 9.99999999999999e-09
119296 87.375 9.99999999999999e-09
119808 87.75 9.99999999999999e-09
120320 88.125 9.99999999999999e-09
120832 88.5 9.99999999999999e-09
121344 88.875 9.99999999999999e-09
121856 89.25 9.99999999999999e-09
122368 89.625 9.99999999999999e-09
122880 90 9.99999999999999e-09
123392 90.375 9.99999999999999e-09
123904 90.75 9.99999999999999e-09
