# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 14:15:07+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-13.15.04-7546
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-13.15.04-7546
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
0 0 0.00127999999244924
512 0.375 0.00127837266529773
1024 0.75 0.00127678518100102
1536 1.125 0.00127522785134931
2048 1.5 0.00127373148555865
2560 1.875 0.00127234003205547
3072 2.25 0.00127108697642953
3584 2.625 0.00127000833350904
4096 3 0.00126911493221288
4608 3.375 0.00126841462756659
5120 3.75 0.00126790967411483
5632 4.125 0.0012675974359072
6144 4.5 0.00126747029434609
6656 4.875 0.00126751549652686
7168 5.25 0.00126771581976888
7680 5.625 0.00126805104808195
8192 6 0.00126849978700173
8704 6.375 0.0012690407955562
9216 6.75 0.0012696534066658
9728 7.125 0.00127031736472608
10240 7.5 0.00127101292595477
10752 7.875 0.00127172145269526
11264 8.25 0.00127242589800298
11776 8.625 0.00127311115896533
12288 9 0.00127376411567226
12800 9.375 0.00127437394802954
13312 9.75 0.00127493282146479
13824 10.125 0.00127543594953322
14336 10.5 0.00127588084622909
14848 10.875 0.00127626548900676
15360 11.25 0.00127658858908781
15872 11.625 0.00127685218337011
16384 12 0.00127706237930632
16896 12.375 0.00127722630576663
17408 12.75 0.00127734812950781
17920 13.125 0.0012774288848105
18432 13.5 0.00127747064263378
18944 13.875 0.00127748003823638
19456 14.25 0.0012774666295561
19968 14.625 0.00127743790766811
20480 15 0.00127739702061082
20992 15.375 0.00127734571828842
21504 15.75 0.00127728823629683
22016 16.125 0.00127723092586892
22528 16.5 0.00127717858729054
23040 16.875 0.00127713293300503
23552 17.25 0.00127709500801831
24064 17.625 0.00127706721639114
24576 18 0.00127705136968953
25088 18.375 0.00127704589168122
25600 18.75 0.0012770474107444
26112 19.125 0.00127705552416205
26624 19.5 0.00127707404209269
27136 19.875 0.00127710628727527
27648 20.25 0.00127715029920628
28160 20.625 0.00127720011921004
28672 21 0.00127725132984167
29184 21.375 0.00127730395610233
29696 21.75 0.00127735989971663
30208 22.125 0.00127741869726656
30720 22.5 0.00127747616747604
31232 22.875 0.0012775262604208
31744 23.25 0.00127756350464897
32256 23.625 0.00127758427015454
32768 24 0.00127758684419655
33280 24.375 0.00127757072247502
33792 24.75 0.00127753532012036
34304 25.125 0.00127747879775557
34816 25.5 0.00127739826529153
35328 25.875 0.00127729178984031
35840 26.25 0.00127716057103349
36352 26.625 0.00127700869199484
36864 27 0.00127683987628998
37376 27.375 0.00127665410948756
37888 27.75 0.00127644775844781
38400 28.125 0.00127621731460035
38912 28.5 0.00127596279144551
39424 28.875 0.00127568712700448
39936 29.25 0.00127539253309991
40448 29.625 0.00127507808258644
40960 30 0.00127474103202508
41472 30.375 0.0012743800041018
41984 30.75 0.00127399654574048
42496 31.125 0.0012735939105204
43008 31.5 0.00127317490250564
43520 31.875 0.00127274070098313
44032 32.25 0.00127229093735332
44544 32.625 0.00127182596812171
45056 33 0.00127134856545035
45568 33.375 0.00127086204165622
46080 33.75 0.00127036875126172
46592 34.125 0.00126986863397148
47104 34.5 0.00126935991505578
47616 34.875 0.00126884163666063
48128 35.25 0.00126831500667312
48640 35.625 0.00126778188905065
49152 36 0.00126724264527076
49664 36.375 0.00126669641437382
50176 36.75 0.00126614333307135
50688 37.125 0.0012655854104877
51200 37.5 0.00126502495177474
51712 37.875 0.00126446316428271
52224 38.25 0.00126390108275871
52736 38.625 0.00126334106977657
53248 39 0.00126278610171505
53760 39.375 0.00126223762465185
54272 39.75 0.00126169536453117
54784 40.125 0.00126115980886468
55296 40.5 0.00126063398393777
55808 40.875 0.00126012188844598
56320 41.25 0.00125962563169535
56832 41.625 0.00125914513569806
57344 42 0.00125868055601625
57856 42.375 0.00125823381432105
58368 42.75 0.00125780726339134
58880 43.125 0.00125740186535103
59392 43.5 0.00125701766675933
59904 43.875 0.00125665539139855
60416 44.25 0.00125631620385298
60928 44.625 0.0012560000770941
61440 45 0.00125570593758692
61952 45.375 0.00125543384318189
62464 45.75 0.00125518561094841
62976 46.125 0.00125496249290884
63488 46.5 0.00125476348937302
64000 46.875 0.00125458710796026
64512 47.25 0.00125443372933053
65024 47.625 0.00125430469486728
65536 48 0.00125419965165067
66048 48.375 0.00125411643757884
66560 48.75 0.00125405340912859
67072 49.125 0.00125401027981631
67584 49.5 0.00125398651521193
68096 49.875 0.00125398048853418
68608 50.25 0.0012539908510838
69120 50.625 0.00125401752717325
69632 51 0.00125406059832808
70144 51.375 0.00125411918159939
70656 51.75 0.00125419233807585
71168 52.125 0.00125427984575853
71680 52.5 0.0012543814300965
72192 52.875 0.00125449588066271
72704 53.25 0.00125462181404429
73216 53.625 0.00125475875817573
73728 54 0.00125490637028836
74240 54.375 0.00125506311771428
74752 54.75 0.00125522716569648
75264 55.125 0.0012553983547605
75776 55.5 0.00125557772763173
76288 55.875 0.00125576495616604
76800 56.25 0.00125595780572248
77312 56.625 0.00125615461006584
77824 57 0.0012563557881554
78336 57.375 0.00125656214785973
78848 57.75 0.00125677299346318
79360 58.125 0.00125698690163532
79872 58.5 0.00125720334633506
80384 58.875 0.00125742251628063
80896 59.25 0.00125764432847009
81408 59.625 0.00125786860990343
81920 60 0.00125809550448324
82432 60.375 0.00125832461444062
82944 60.75 0.00125855431951462
83456 61.125 0.00125878312313419
83968 61.5 0.00125901135917611
84480 61.875 0.00125924038717864
84992 62.25 0.00125947010016833
85504 62.625 0.00125969830071079
86016 63 0.00125992294152199
86528 63.375 0.00126014431626171
87040 63.75 0.00126036446869848
87552 64.125 0.00126058466222833
88064 64.5 0.00126080399880451
88576 64.875 0.00126102076780315
89088 65.25 0.00126123468643185
89600 65.625 0.00126144696743239
90112 66 0.00126165808693113
90624 66.375 0.00126186653642486
91136 66.75 0.00126207051827425
91648 67.125 0.00126226996590962
92160 67.5 0.00126246562937229
92672 67.875 0.00126265678093767
93184 68.25 0.00126284164058844
93696 68.625 0.00126302020325723
94208 69 0.00126319471908345
94720 69.375 0.00126336640579272
95232 69.75 0.00126353327552312
95744 70.125 0.00126369286189635
96256 70.5 0.00126384613031546
96768 70.875 0.00126399652376043
97280 71.25 0.00126414505374466
97792 71.625 0.00126428839542091
98304 72 0.00126442291569427
98816 72.375 0.00126454919874071
99328 72.75 0.00126467101124255
99840 73.125 0.0012647904264647
100352 73.5 0.00126490575616989
100864 73.875 0.00126501452546291
101376 74.25 0.00126511691065745
101888 74.625 0.00126521522867372
102400 75 0.00126531088536048
102912 75.375 0.0012654030403257
103424 75.75 0.00126549010047514
103936 76.125 0.00126557158132208
104448 76.5 0.00126564816154155
104960 76.875 0.001265720693565
105472 77.25 0.00126578990308624
105984 77.625 0.00126585640717617
106496 78 0.0012659202935479
107008 78.375 0.00126598076056755
107520 78.75 0.00126603684296318
108032 79.125 0.00126608874670661
108544 79.5 0.00126613800314973
109056 79.875 0.00126618588091647
109568 80.25 0.00126623189234297
110080 80.625 0.00126627437743807
110592 81 0.0012663125712917
111104 81.375 0.00126634765502874
111616 81.75 0.00126638158968118
112128 82.125 0.00126641521980425
112640 82.5 0.00126644776626419
113152 82.875 0.00126647797752528
113664 83.25 0.00126650545768169
114176 83.625 0.0012665308757991
114688 84 0.00126655516412181
115200 84.375 0.00126657875345696
115712 84.75 0.00126660159023498
116224 85.125 0.00126662362478026
116736 85.5 0.00126664492852572
117248 85.875 0.00126666534781102
117760 86.25 0.00126668456393794
118272 86.625 0.00126670287586112
118784 87 0.00126672153961265
119296 87.375 0.00126674168096576
119808 87.75 0.00126676293514959
120320 88.125 0.00126678381643465
120832 88.5 0.00126680362290585
121344 88.875 0.00126682348100062
121856 89.25 0.00126684524286893
122368 89.625 0.00126686971961594
122880 90 0.00126689626924094
123392 90.375 0.00126692381069624
123904 90.75 0.00126695190888208
124416 91.125 0.00126698104837895
124928 91.5 0.0012670122245964
125440 91.875 0.00126704633799761
125952 92.25 0.0012670837695629
126464 92.625 0.00126712430969553
126976 93 0.00126716741138038
127488 93.375 0.00126721267125352
128000 93.75 0.00126726035442286
128512 94.125 0.00126731147996353
129024 94.5 0.0012673670761605
129536 94.875 0.00126742718231593
130048 95.25 0.00126749082196788
130560 95.625 0.00126755712990246
131072 96 0.00126762628344397
131584 96.375 0.00126769919365388
132096 96.75 0.00126777660617134
132608 97.125 0.00126785874225588
133120 97.5 0.00126794547093028
133632 97.875 0.00126803641362519
134144 98.25 0.0012681310533574
134656 98.625 0.00126822915621975
135168 99 0.00126833104742873
135680 99.375 0.00126843716638964
136192 99.75 0.00126854742265299
136704 100.125 0.00126866135404426
137216 100.5 0.00126877891477357
137728 100.875 0.00126890064690804
138240 101.25 0.00126902681399436
138752 101.625 0.00126915670244404
139264 102 0.00126928925144196
139776 102.375 0.00126942430706963
140288 102.75 0.00126956274241738
140800 103.125 0.00126970517013041
141312 103.5 0.00126985102045728
141824 103.875 0.00126999926291964
142336 104.25 0.0012701496083481
142848 104.625 0.00127030240184282
143360 105 0.00127045761462136
143872 105.375 0.0012706147456898
144384 105.75 0.00127077373972346
144896 106.125 0.00127093519640694
145408 106.5 0.00127109933195725
145920 106.875 0.00127126537644546
146432 107.25 0.00127143241729862
146944 107.625 0.00127160041715328
147456 108 0.00127176992677772
147968 108.375 0.00127194101713869
148480 108.75 0.00127211293312398
148992 109.125 0.00127228477336222
149504 109.5 0.00127245625134896
150016 109.875 0.00127262778060882
150528 110.25 0.00127279993891169
151040 110.625 0.00127297281568
151552 111 0.00127314579800392
152064 111.375 0.00127331802820903
152576 111.75 0.0012734891078294
153088 112.125 0.00127365930548088
153600 112.5 0.00127382907239161
154112 112.875 0.00127399843043015
154624 113.25 0.00127416683212987
155136 113.625 0.00127433352364408
155648 114 0.00127449804072872
156160 114.375 0.00127466047831575
156672 114.75 0.00127482133994957
157184 115.125 0.00127498101166622
157696 115.5 0.00127513924032444
158208 115.875 0.00127529514624162
158720 116.25 0.00127544790993569
159232 116.625 0.00127559753928774
159744 117 0.0012757448444053
160256 117.375 0.00127589047957148
160768 117.75 0.0012760340372643
161280 118.125 0.00127617429027277
161792 118.5 0.00127631038452355
162304 118.875 0.00127644263557864
162816 119.25 0.00127657206607934
163328 119.625 0.00127669920193882
163840 120 0.0012768236192436
164352 120.375 0.00127694445764878
164864 120.75 0.00127706116181964
165376 121.125 0.00127717381575657
165888 121.5 0.00127728293399121
166400 121.875 0.00127738886350797
166912 122.25 0.00127749124735641
167424 122.625 0.00127758918200736
167936 123 0.00127768209387728
168448 123.375 0.00127777036506321
168960 123.75 0.00127785484918928
169472 124.125 0.00127793581661682
169984 124.5 0.00127801267427333
170496 124.875 0.00127808477475437
171008 125.25 0.00127815215803546
171520 125.625 0.00127821523189158
172032 126 0.0012782739453407
172544 126.375 0.00127832772943688
173056 126.75 0.00127837632528891
173568 127.125 0.00127842024191603
174080 127.5 0.00127846007374731
174592 127.875 0.00127849565906998
175104 128.25 0.00127852639807375
175616 128.625 0.00127855226100553
176128 129 0.00127857383579548
176640 129.375 0.00127859124955609
177152 129.75 0.00127860372255868
177664 130.125 0.00127861065487926
178176 130.5 0.0012786126898635
178688 130.875 0.00127861108121164
179200 131.25 0.00127860618619768
179712 131.625 0.00127859714173322
180224 132 0.00127858300662625
180736 132.375 0.00127856377078994
181248 132.75 0.00127854020415785
181760 133.125 0.00127851310926582
182272 133.5 0.00127848282222035
182784 133.875 0.00127844911745589
183296 134.25 0.00127841142834765
183808 134.625 0.00127836935457953
184320 135 0.00127832310415864
184832 135.375 0.00127827335529567
185344 135.75 0.00127822065310084
185856 136.125 0.0012781650725219
186368 136.5 0.00127810647616737
186880 136.875 0.00127804485238956
187392 137.25 0.00127798022766229
187904 137.625 0.00127791245398354
188416 138 0.00127784145161055
188928 138.375 0.0012777676951329
189440 138.75 0.00127769206269855
189952 139.125 0.00127761489837264
190464 139.5 0.00127753548021525
190976 139.875 0.00127745290668898
191488 140.25 0.00127736747236323
192000 140.625 0.00127728058607092
192512 141 0.00127719309065076
193024 141.375 0.00127710420225525
193536 141.75 0.00127701262573919
194048 142.125 0.00127691839114824
194560 142.5 0.0012768229153628
195072 142.875 0.00127672726665271
195584 143.25 0.00127663100616262
196096 143.625 0.00127653299883095
196608 144 0.00127643291638502
197120 144.375 0.00127633153667403
197632 144.75 0.00127622976794133
198144 145.125 0.00127612778855414
198656 145.5 0.00127602515176532
199168 145.875 0.00127592141017272
199680 146.25 0.00127581648827274
200192 146.625 0.0012757106493734
200704 147 0.0012756043448345
201216 147.375 0.00127549804570631
201728 147.75 0.00127539193450522
202240 148.125 0.00127528560969954
202752 148.5 0.00127517829466252
203264 148.875 0.00127506965283121
203776 149.25 0.00127496040645509
204288 149.625 0.00127485182610071
204800 150 0.0012747443939746
205312 150.375 0.00127463717902474
205824 150.75 0.00127452886265718
206336 151.125 0.00127441932010167
206848 151.5 0.00127430979915165
207360 151.875 0.00127420143882124
207872 152.25 0.00127409402785856
208384 152.625 0.00127398652945584
208896 153 0.00127387846659058
209408 153.375 0.00127377025193922
209920 153.75 0.00127366232745954
210432 154.125 0.00127355469691461
210944 154.5 0.00127344747282892
211456 154.875 0.00127334118522776
211968 155.25 0.00127323602213113
212480 155.625 0.00127313119648044
212992 156 0.00127302576325071
213504 156.375 0.00127291998098567
214016 156.75 0.00127281522371446
214528 157.125 0.00127271237916126
215040 157.5 0.00127261082556426
215552 157.875 0.00127250929983686
216064 158.25 0.00127240744378758
216576 158.625 0.00127230609424555
217088 159 0.00127220619495668
217600 159.375 0.0012721078468107
218112 159.75 0.00127201048643425
218624 160.125 0.00127191365418077
219136 160.5 0.00127181738544801
219648 160.875 0.00127172205194082
220160 161.25 0.00127162806134947
220672 161.625 0.00127153561880448
221184 162 0.00127144454241467
