# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 14:15:07+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-13.15.04-7546
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-13.15.04-7546
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.375 1.07534125258793e-07 1.07534125640509e-07 1.07534126125431e-07
1024 0.75 2.56545232822467e-07 2.56545233781663e-07 2.56545236903276e-07
1536 1.125 4.23202797622814e-07 4.2320279867129e-07 4.23202796759758e-07
2048 1.5 5.90923297043499e-07 5.90923300631411e-07 5.90923300298854e-07
2560 1.875 7.89373527399484e-07 7.89373522016538e-07 7.89373515429963e-07
3072 2.25 9.39385333529705e-07 9.39385341289312e-07 9.39385340023076e-07
3584 2.625 9.95079753664402e-07 9.95079751522553e-07 9.95079748416915e-07
4096 3 9.84968949795879e-07 9.84968941008867e-07 9.84968911287922e-07
4608 3.375 9.9434199548674e-07 9.94341983209836e-07 9.94341978380516e-07
5120 3.75 9.75954798966738e-07 9.75954810349374e-07 9.75954812199688e-07
5632 4.125 9.44248192486458e-07 9.44248198419634e-07 9.4424817243704e-07
6144 4.5 9.48068014019801e-07 9.4806801322363e-07 9.48067997699593e-07
6656 4.875 1.01045405666412e-06 1.01045402442519e-06 1.01045402663566e-06
7168 5.25 1.04575854788807e-06 1.04575854401296e-06 1.04575859000017e-06
7680 5.625 1.02279712889766e-06 1.02279714111053e-06 1.02279717139656e-06
8192 6 9.58953836253509e-07 9.58953889713018e-07 9.58953914618642e-07
8704 6.375 9.44967433130799e-07 9.44967384358922e-07 9.44967395727451e-07
9216 6.75 1.004675226881e-06 1.00467520706322e-06 1.00467515233296e-06
9728 7.125 1.0349674770622e-06 1.03496753788425e-06 1.03496756265175e-06
10240 7.5 1.03091686656378e-06 1.03091695447962e-06 1.03091700239708e-06
10752 7.875 1.02792542530845e-06 1.02792539809362e-06 1.02792538326364e-06
11264 8.25 1.03641212858409e-06 1.03641216438303e-06 1.03641210875426e-06
11776 8.625 1.02353726474575e-06 1.02353733663892e-06 1.02353741512566e-06
12288 9 9.91210981330989e-07 9.9121102514673e-07 9.91211058335161e-07
12800 9.375 9.85217245886897e-07 9.85217263451894e-07 9.85217271642087e-07
13312 9.75 1.02265980979868e-06 1.02265992928483e-06 1.02265988124344e-06
13824 10.125 1.0158202380531e-06 1.01582031597758e-06 1.01582029356459e-06
14336 10.5 9.94008023405187e-07 9.94008134962506e-07 9.94008155718571e-07
14848 10.875 9.57200078449345e-07 9.57200140291009e-07 9.57200258545202e-07
