# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:48:58+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.48.54-96446
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.48.54-96446
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
0 0 0 0 3.95675301551819 0 1.44241952896118 0 2.58794689178467 0 0 0 0 0 0 0 0 0 31.0221378417105 36042.9515354766 0 36042.9515354766 160 327531 2283 325248 0 0 0 0 3.95236110687256 1731250138.33032 266
512 0.6 1443.13746679159 1443.13746679159 5.53700494766235 1.49673891067505 2.94212865829468 0 2.59629917144775 3 104889.369067845 104889.369067845 156992 156992 45432.1054360317 45432.1054360317 68000 68000 70.1382184367449 131411.659737773 6069.26814373788 125342.391594035 186 341194 15946 325248 0 0 0 0 5.51475310325623 1731250139.91057 905
1024 1.2 1126.07827189673 1126.07827189673 7.87658905982971 3.83632302284241 5.22599792480469 0 2.71716856956482 6 81845.0370655605 81845.0370655605 313984 313984 35450.6122634154 35450.6122634154 136000 136000 92.0549370198118 130919.475061447 6473.2729892866 124446.20207216 284 354702 17358 337344 0 0 0 0 7.84550428390503 1731250142.25015 1544
1536 1.8 1253.5648542516 1253.5648542516 9.20952391624451 5.1692578792572 6.48603701591492 0 2.7249231338501 9 91110.9507401239 91110.9507401239 470976 470976 39464.0787449578 39464.0787449578 204000 204000 112.355965421742 130692.385543299 6827.64436933759 123864.741173962 310 356134 18790 337344 0 0 0 0 9.16454768180847 1731250143.58309 2183
2048 2.4 1073.26793248208 1218.50726265396 12.0904459953308 8.05017995834351 9.23197102546692 0 2.97292065620422 12 78006.7033593641 78006.7033593641 627968 627968 33788.0645411025 33788.0645411025 272000 272000 143.433125817968 156722.030006557 7003.03490883923 149718.995097717 492 682810 20218 662592 0 0 0 0 12.0273773670197 1731250146.46401 2822
2560 3 904.458837868048 1121.13305245214 15.9811079502106 11.9408419132233 13.0013689994812 0 2.98118495941162 15 65737.4082752688 65737.4082752688 784960 784960 28473.7041551052 28473.7041551052 340000 340000 172.49833240398 229565.74764127 7199.95957858945 222365.78806268 518 684239 21647 662592 0 0 0 0 15.9255759716034 1731250150.35467 3461
3072 3.6 920.057321016497 1090.55559205757 18.1263449192047 14.0860788822174 15.062851190567 0 3.12121176719666 18 66871.129139362 66871.129139362 941952 941952 28964.7675134823 28964.7675134823 408000 408000 188.020623190941 225244.789486431 7454.23429025753 217790.555196174 616 697725 23037 674688 0 0 0 0 18.0464818477631 1731250152.49991 4100
3584 4.2 963.226722547636 1075.60690201896 19.7375049591064 15.6972389221191 16.6028609275818 0 3.13969492912292 21 70008.7451973141 70008.7451973141 1098944 1098944 30323.8042283515 30323.8042283515 476000 476000 203.53188227554 222977.790451069 7741.86789821755 215235.922552852 642 699157 24469 674688 0 0 0 0 19.652991771698 1731250154.11107 4739
4096 4.8 1007.29731454967 1068.89920311573 21.195081949234 17.1548159122467 17.9507875442505 0 3.3422589302063 24 73211.8611137876 73211.8611137876 1255936 1255936 31711.2117543414 31711.2117543414 544000 544000 228.709206803249 243817.268489855 7922.52391167643 235894.744578178 824 1025840 25904 999936 0 0 0 0 21.0840518474579 1731250155.56865 5378
4608 5.4 904.197787968056 1034.10082741581 25.5399868488312 21.4997208118439 22.1915149688721 0 3.34988594055176 27 65718.4347817968 65718.4347817968 1412928 1412928 28465.4859175129 28465.4859175129 612000 612000 252.652562222004 306730.364422993 8105.78704944402 298624.577373549 850 1027279 27343 999936 0 0 0 0 25.4284946918488 1731250159.91355 6017
