# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:48:58+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.48.54-96446
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.48.54-96446
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.6 0.0308476806272859 0.0308476806272859 0.0308476806272859
1024 1.2 0.0276524571025012 0.0276524571025012 0.0276524571025012
1536 1.8 0.0244758960274604 0.0244758960274604 0.0244758960274603
2048 2.4 0.0213491544923806 0.0213491544923806 0.0213491544923805
2560 3 0.0183045328509929 0.0183045328509929 0.0183045328509928
3072 3.6 0.015354646375949 0.015354646375949 0.0153546463759489
3584 4.2 0.0124719672285001 0.0124719672285 0.0124719672284999
4096 4.8 0.00991629075230629 0.00991629075230629 0.00991629075230618
4608 5.4 0.00772973496880173 0.00772973496880168 0.00772973496880167
5120 6 0.00604876815673591 0.00604876815673591 0.00604876815673586
5632 6.6 0.00640901622109804 0.00640901622109797 0.00640901622109797
6144 7.2 0.00672129750580715 0.00672129750580704 0.00672129750580698
6656 7.8 0.00698810490271385 0.00698810490271373 0.00698810490271367
7168 8.4 0.00721076427772257 0.00721076427772264 0.00721076427772244
7680 9 0.00738949780069246 0.00738949780069259 0.0073894978006924
8192 9.6 0.00752619697449003 0.00752619697449013 0.00752619697448994
8704 10.2 0.00762359684386586 0.00762359684386574 0.00762359684386559
9216 10.8 0.0076847445725016 0.00768474457250139 0.00768474457250125
9728 11.4 0.00771205364813014 0.00771205364813023 0.00771205364813006
10240 12 0.00791344386047851 0.00791344386047854 0.00791344386047916
10752 12.6 0.00831712769063436 0.00831712769063431 0.00831712769063437
11264 13.2 0.00871049395902321 0.00871049395902324 0.0087104939590221
11776 13.8 0.00908985744619952 0.00908985744619944 0.00908985744619884
12288 14.4 0.00945262747452964 0.00945262747452936 0.00945262747452998
12800 15 0.00984466614786017 0.00984466614786019 0.00984466614785987
13312 15.6 0.0102564648088413 0.0102564648088414 0.0102564648088415
13824 16.2 0.0106379634955403 0.0106379634955403 0.0106379634955403
14336 16.8 0.0109865091216713 0.0109865091216714 0.0109865091216709
14848 17.4 0.0112990283532317 0.0112990283532317 0.0112990283532312
15360 18 0.011572914091319 0.0115729140913191 0.0115729140913192
15872 18.6 0.0118072662863381 0.0118072662863385 0.0118072662863385
16384 19.2 0.0119900603902512 0.0119900603902515 0.0119900603902511
16896 19.8 0.0121139600630301 0.01211396006303 0.0121139600630297
17408 20.4 0.0121848291321893 0.0121848291321892 0.012184829132189
17920 21 0.0122078401643863 0.0122078401643864 0.0122078401643861
18432 21.6 0.0121819910329979 0.012181991032998 0.0121819910329977
18944 22.2 0.0121100189183254 0.0121100189183252 0.0121100189183253
19456 22.8 0.0119978474509297 0.0119978474509297 0.01199784745093
19968 23.4 0.0118514292356661 0.0118514292356666 0.0118514292356663
20480 24 0.0116802820493387 0.0116802820493391 0.0116802820493386
20992 24.6 0.0114903050601181 0.0114903050601184 0.0114903050601178
21504 25.2 0.0112849947770102 0.0112849947770105 0.0112849947770099
22016 25.8 0.0110645579348712 0.0110645579348713 0.0110645579348707
22528 26.4 0.0108277346535367 0.010827734653537 0.0108277346535367
23040 27 0.0105760371169064 0.0105760371169068 0.0105760371169068
23552 27.6 0.0103161068793588 0.0103161068793586 0.0103161068793587
24064 28.2 0.0100596986827944 0.0100596986827939 0.0100596986827941
24576 28.8 0.00980929409596354 0.00980929409596338 0.00980929409596345
25088 29.4 0.00956401857712141 0.00956401857712159 0.00956401857712159
25600 30 0.00932224513212219 0.00932224513212223 0.0093222451321223
