# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:48:58+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.48.54-96446
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.48.54-96446
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.6 -0.00496111029575525 -0.00496111029575525 -0.00496111029575525
1024 1.2 -0.00976038569208978 -0.00976038569208978 -0.00976038569208978
1536 1.8 -0.0143070182369818 -0.0143070182369818 -0.0143070182369818
2048 2.4 -0.0188429206241427 -0.0188429206241428 -0.0188429206241428
2560 3 -0.0235586653510479 -0.023558665351048 -0.0235586653510479
3072 3.6 -0.0282860650697466 -0.0282860650697467 -0.0282860650697465
3584 4.2 -0.0329734256722684 -0.0329734256722686 -0.0329734256722685
4096 4.8 -0.037601534965201 -0.0376015349652013 -0.0376015349652012
4608 5.4 -0.0421501172304308 -0.0421501172304308 -0.042150117230431
5120 6 -0.046592100547728 -0.0465921005477277 -0.0465921005477278
5632 6.6 -0.0509084987239233 -0.0509084987239234 -0.0509084987239232
6144 7.2 -0.0550934054146934 -0.0550934054146937 -0.0550934054146938
6656 7.8 -0.0591431799737163 -0.0591431799737166 -0.0591431799737168
7168 8.4 -0.0630528494503661 -0.063052849450366 -0.063052849450366
7680 9 -0.0673602307494332 -0.0673602307494332 -0.0673602307494332
8192 9.6 -0.0717706356384749 -0.071770635638475 -0.071770635638475
8704 10.2 -0.0760798686150044 -0.0760798686150043 -0.0760798686150044
9216 10.8 -0.0802812107421922 -0.080281210742192 -0.080281210742192
9728 11.4 -0.0843742513328613 -0.0843742513328611 -0.084374251332861
10240 12 -0.0883621314010812 -0.0883621314010808 -0.0883621314010812
10752 12.6 -0.0922459141223582 -0.0922459141223579 -0.0922459141223582
11264 13.2 -0.0960218830771403 -0.09602188307714 -0.0960218830771396
11776 13.8 -0.099430564576156 -0.0994305645761557 -0.0994305645761556
12288 14.4 -0.102358739812638 -0.102358739812638 -0.102358739812638
12800 15 -0.105164277583045 -0.105164277583045 -0.105164277583045
13312 15.6 -0.107850394392765 -0.107850394392765 -0.107850394392765
13824 16.2 -0.110421796055229 -0.110421796055228 -0.110421796055229
14336 16.8 -0.112887527201734 -0.112887527201733 -0.112887527201733
14848 17.4 -0.115256360883656 -0.115256360883655 -0.115256360883655
15360 18 -0.117533374452884 -0.117533374452883 -0.117533374452883
15872 18.6 -0.119723223341271 -0.119723223341271 -0.119723223341271
16384 19.2 -0.121831483049696 -0.121831483049695 -0.121831483049696
16896 19.8 -0.123860776920807 -0.123860776920806 -0.123860776920806
17408 20.4 -0.125811680803208 -0.125811680803208 -0.125811680803207
17920 21 -0.127683739665491 -0.12768373966549 -0.12768373966549
18432 21.6 -0.129477502563316 -0.129477502563315 -0.129477502563316
18944 22.2 -0.131194910743727 -0.131194910743726 -0.131194910743727
19456 22.8 -0.132836369950716 -0.132836369950715 -0.132836369950715
19968 23.4 -0.135832639843274 -0.135832639843275 -0.135832639843273
20480 24 -0.138881017295156 -0.138881017295156 -0.138881017295156
20992 24.6 -0.141805710897944 -0.141805710897944 -0.141805710897944
21504 25.2 -0.144610176321742 -0.144610176321741 -0.144610176321742
22016 25.8 -0.147297740324528 -0.147297740324528 -0.147297740324527
22528 26.4 -0.149871417249107 -0.149871417249107 -0.149871417249106
23040 27 -0.152334271411174 -0.152334271411174 -0.152334271411173
23552 27.6 -0.154688530228391 -0.154688530228392 -0.154688530228391
24064 28.2 -0.156936732411643 -0.156936732411644 -0.156936732411643
24576 28.8 -0.159083606308311 -0.159083606308311 -0.159083606308311
25088 29.4 -0.161135136419783 -0.161135136419784 -0.161135136419783
25600 30 -0.16309622137723 -0.16309622137723 -0.16309622137723
26112 30.6 -0.164970152200801 -0.164970152200802 -0.164970152200801
26624 31.2 -0.166760339424595 -0.166760339424595 -0.166760339424594
27136 31.8 -0.168471603071094 -0.168471603071095 -0.168471603071094
27648 32.4 -0.170108655269155 -0.170108655269155 -0.170108655269155
28160 33 -0.171674874667278 -0.171674874667278 -0.171674874667278
28672 33.6 -0.173171901351562 -0.173171901351563 -0.173171901351562
29184 34.2 -0.174596799024466 -0.174596799024467 -0.174596799024467
29696 34.8 -0.175956576366476 -0.175956576366477 -0.175956576366477
30208 35.4 -0.177267401707939 -0.177267401707941 -0.17726740170794
30720 36 -0.178536719854849 -0.178536719854851 -0.17853671985485
31232 36.6 -0.179766439594792 -0.179766439594793 -0.179766439594792
31744 37.2 -0.180949495546196 -0.180949495546197 -0.180949495546196
32256 37.8 -0.182072447769181 -0.182072447769182 -0.182072447769181
32768 38.4 -0.183145599186704 -0.183145599186705 -0.183145599186704
33280 39 -0.184176617067718 -0.184176617067719 -0.184176617067718
33792 39.6 -0.185168434655409 -0.185168434655411 -0.18516843465541
34304 40.2 -0.186121317533311 -0.186121317533313 -0.186121317533312
34816 40.8 -0.187035113586486 -0.187035113586487 -0.187035113586486
35328 41.4 -0.187911551946916 -0.187911551946916 -0.187911551946915
35840 42 -0.188753146967127 -0.188753146967127 -0.188753146967125
36352 42.6 -0.189561871599619 -0.18956187159962 -0.189561871599618
36864 43.2 -0.190340010151631 -0.190340010151633 -0.190340010151632
37376 43.8 -0.19108963963482 -0.19108963963482 -0.191089639634819
37888 44.4 -0.191810553558107 -0.191810553558109 -0.191810553558108
38400 45 -0.192502895390686 -0.192502895390688 -0.192502895390686
38912 45.6 -0.193167266059305 -0.193167266059308 -0.193167266059306
39424 46.2 -0.193804978178024 -0.193804978178027 -0.193804978178025
39936 46.8 -0.194418055993072 -0.194418055993074 -0.194418055993073
40448 47.4 -0.195008255216373 -0.195008255216374 -0.195008255216373
40960 48 -0.195575741648354 -0.195575741648354 -0.195575741648354
41472 48.6 -0.196119662911207 -0.196119662911208 -0.196119662911208
41984 49.2 -0.196638382284157 -0.19663838228416 -0.196638382284158
42496 49.8 -0.198371757696004 -0.198371757696005 -0.198371757696003
43008 50.4 -0.200816187969279 -0.200816187969282 -0.200816187969279
43520 51 -0.203305708034141 -0.203305708034143 -0.20330570803414
44032 51.6 -0.2058369107546 -0.205836910754602 -0.2058369107546
44544 52.2 -0.208406940917562 -0.208406940917566 -0.208406940917564
45056 52.8 -0.211014971725904 -0.211014971725908 -0.211014971725906
45568 53.4 -0.213661885848875 -0.213661885848877 -0.213661885848875
46080 54 -0.216349997303361 -0.216349997303362 -0.216349997303361
46592 54.6 -0.219074250283507 -0.21907425028351 -0.219074250283507
47104 55.2 -0.221824304984015 -0.221824304984019 -0.221824304984016
47616 55.8 -0.224589305409815 -0.224589305409817 -0.224589305409815
48128 56.4 -0.227289119129035 -0.227289119129037 -0.227289119129036
48640 57 -0.229863285260037 -0.229863285260039 -0.229863285260038
49152 57.6 -0.232268175344605 -0.232268175344608 -0.232268175344605
49664 58.2 -0.23451598187263 -0.234515981872633 -0.23451598187263
50176 58.8 -0.236620159228332 -0.236620159228337 -0.236620159228333
50688 59.4 -0.238587320880631 -0.238587320880635 -0.238587320880632
51200 60 -0.240453868042985 -0.240453868042985 -0.240453868042985
51712 60.6 -0.242283442641045 -0.242283442641047 -0.242283442641046
52224 61.2 -0.244056141410654 -0.244056141410658 -0.244056141410654
52736 61.8 -0.245752888828567 -0.245752888828569 -0.245752888828567
53248 62.4 -0.247358024478906 -0.247358024478907 -0.247358024478906
53760 63 -0.248846569775376 -0.248846569775379 -0.248846569775376
