# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:48:58+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.48.54-96446
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.48.54-96446
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.6 1.00065600384045
1024 1.2 1.00052704046352
1536 1.8 1.00041283577302
2048 2.4 1.00034272960507
2560 3 1.00053155343987
3072 3.6 1.00075834200016
3584 4.2 1.00102120481616
4096 4.8 1.0013169983595
4608 5.4 1.00164232785521
5120 6 1.00199293307251
5632 6.6 1.00236461549675
6144 7.2 1.00275329819836
6656 7.8 1.00315515787464
7168 8.4 1.0035667533632
7680 9 1.00398502551374
8192 9.6 1.00440702272498
8704 10.2 1.00482997573345
9216 10.8 1.00525090678294
9728 11.4 1.00566744785506
10240 12 1.00636046546239
10752 12.6 1.00708761578844
11264 13.2 1.0078411600901
11776 13.8 1.00861828183087
12288 14.4 1.00941530256983
12800 15 1.01022757523421
13312 15.6 1.01105041170461
13824 16.2 1.01187961005829
14336 16.8 1.01271105371961
14848 17.4 1.01353984862561
15360 18 1.01436109716476
15872 18.6 1.0151719517774
16384 19.2 1.01597109151739
16896 19.8 1.01675714033936
17408 20.4 1.01753381854957
17920 21 1.01843128490452
18432 21.6 1.01932730756463
18944 22.2 1.02021727865903
19456 22.8 1.02109418974683
19968 23.4 1.02195511168475
20480 24 1.02279876696221
20992 24.6 1.02362468433734
21504 25.2 1.02443236706503
22016 25.8 1.02521719861844
22528 26.4 1.02597673542341
23040 27 1.02670969536822
23552 27.6 1.02741554407735
24064 28.2 1.02809428765827
24576 28.8 1.02874615954545
25088 29.4 1.02937140233487
25600 30 1.02996993785769
26112 30.6 1.03054166629711
26624 31.2 1.0310868174292
27136 31.8 1.03160567622812
27648 32.4 1.03209706188721
28160 33 1.03256047826574
28672 33.6 1.03299702212711
29184 34.2 1.03340796232049
29696 34.8 1.03379389774162
30208 35.4 1.03415437025781
30720 36 1.03448913269854
31232 36.6 1.03479846972796
31744 37.2 1.03508373502125
32256 37.8 1.03534622022316
