# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:48:58+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.48.54-96446
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.48.54-96446
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -0.000179487472280663
512 0.6 -0.00019058832939174
1024 1.2 -0.00030588793552592
1536 1.8 -0.000442367071226578
2048 2.4 -0.000574304905495605
2560 3 -0.000690466325457403
3072 3.6 -0.000787708991795361
3584 4.2 -0.000873907777819613
4096 4.8 -0.000960091844743266
4608 5.4 -0.00105241280784686
5120 6 -0.00114640184534032
5632 6.6 -0.00122821836158131
6144 7.2 -0.00128792381009509
6656 7.8 -0.0013316631621381
7168 8.4 -0.00137751585953339
7680 9 -0.00143697548902014
8192 9.6 -0.00150370388619852
8704 10.2 -0.00156363989421716
9216 10.8 -0.00161179905263534
9728 11.4 -0.0016521262152366
10240 12 -0.00168844203376925
10752 12.6 -0.00172583882147248
11264 13.2 -0.00177609581895967
11776 13.8 -0.00184584958858121
12288 14.4 -0.00191801625095712
12800 15 -0.00196486957180709
13312 15.6 -0.00198948618986089
13824 16.2 -0.00203293899328561
14336 16.8 -0.00212052103138867
14848 17.4 -0.00222083958059743
15360 18 -0.0022875468537931
15872 18.6 -0.00232517953793189
16384 19.2 -0.00237675068438033
16896 19.8 -0.00245724890111995
17408 20.4 -0.00254114276608797
17920 21 -0.0026114684781493
18432 21.6 -0.002679450142535
18944 22.2 -0.00275311430693468
19456 22.8 -0.002823424685496
19968 23.4 -0.00288838087966584
20480 24 -0.00296205318384529
20992 24.6 -0.00304981974089146
21504 25.2 -0.00313582440104525
22016 25.8 -0.003204311491729
22528 26.4 -0.0032604086699966
23040 27 -0.00332497603822403
23552 27.6 -0.00341232327564229
24064 28.2 -0.0035137260227648
24576 28.8 -0.00360422951288671
25088 29.4 -0.00366952851539519
25600 30 -0.00372319662898798
26112 30.6 -0.00379099403763691
26624 31.2 -0.00388127012779998
27136 31.8 -0.00397817861942439
27648 32.4 -0.00406169475133638
28160 33 -0.00412713342115538
28672 33.6 -0.00418577650220727
29184 34.2 -0.00425186789592055
29696 34.8 -0.00432982522410698
30208 35.4 -0.00441339072837754
30720 36 -0.00449155482925493
31232 36.6 -0.00455838450889932
31744 37.2 -0.00461724353073172
32256 37.8 -0.00467690591812503
32768 38.4 -0.00474375882239229
33280 39 -0.00481675476568028
33792 39.6 -0.00488913912998151
34304 40.2 -0.00495473491152275
34816 40.8 -0.0050130167988166
35328 41.4 -0.00506942513822204
35840 42 -0.00513083511981834
36352 42.6 -0.0051990565411746
36864 43.2 -0.00526857450725244
37376 43.8 -0.00533224768051762
37888 44.4 -0.00538855107992776
38400 45 -0.00544174695486034
38912 45.6 -0.00549644851882124
39424 46.2 -0.00555427465047701
39936 46.8 -0.00561405320274123
40448 47.4 -0.00567199532277978
40960 48 -0.00572385409568707
41472 48.6 -0.00577043137770111
41984 49.2 -0.0058187577360933
42496 49.8 -0.00587384329566763
43008 50.4 -0.00593111743619125
43520 51 -0.00598161918377417
44032 51.6 -0.00602385704991859
44544 52.2 -0.00606564247919885
45056 52.8 -0.00611334124302009
45568 53.4 -0.00616386033241869
46080 54 -0.0062102299296154
46592 54.6 -0.00625200558704845
47104 55.2 -0.00629513377765709
47616 55.8 -0.00634178388163974
48128 56.4 -0.00638626831630721
48640 57 -0.00642442501805379
49152 57.6 -0.00646195562685168
49664 58.2 -0.00650681325934279
50176 58.8 -0.00655587178689253
50688 59.4 -0.00659777700509468
51200 60 -0.00662948705481952
51712 60.6 -0.00666164581706256
52224 61.2 -0.0067037884026371
52736 61.8 -0.00675118144565482
53248 62.4 -0.00679240493159162
53760 63 -0.00682557468724055
54272 63.6 -0.00685943178594644
54784 64.2 -0.00689932343204431
55296 64.8 -0.00694001121374621
55808 65.4 -0.00697518749949684
56320 66 -0.00700770030161058
56832 66.6 -0.00704462399875573
57344 67.2 -0.00708579774531654
57856 67.8 -0.00712405085787346
58368 68.4 -0.00715615411316838
58880 69 -0.0071873644467114
59392 69.6 -0.00722354784999185
59904 70.2 -0.0072634377929216
60416 70.8 -0.0073014823710029
60928 71.4 -0.00733544480876689
61440 72 -0.00736787375861342
61952 72.6 -0.0074013652353815
62464 73.2 -0.0074358642596938
62976 73.8 -0.00747092955201197
63488 74.4 -0.00750738320629462
64000 75 -0.00754490094937056
64512 75.6 -0.00758047868595935
65024 76.2 -0.00761221269045355
65536 76.8 -0.00764316790865805
66048 77.4 -0.00767805097846073
66560 78 -0.00771651206926765
67072 78.6 -0.00775339963613379
67584 79.2 -0.0077860098074816
68096 79.8 -0.00781734149788291
68608 80.4 -0.0078509758253362
69120 81 -0.00788637666903146
69632 81.6 -0.00792138531352724
70144 82.2 -0.00795618193430341
70656 82.8 -0.00799175258532275
71168 83.4 -0.00802669609817231
71680 84 -0.00805915673061483
72192 84.6 -0.00809083689052467
72704 85.2 -0.00812534112610194
73216 85.8 -0.00816251194481876
73728 86.4 -0.00819803635184753
74240 87 -0.00822967935600059
74752 87.6 -0.00826061060363913
75264 88.2 -0.0082947203131717
75776 88.8 -0.00833134100793555
76288 89.4 -0.00836691887646596
76800 90 -0.0083999688840533
77312 90.6 -0.00843202912712848
77824 91.2 -0.00846489761818997
78336 91.8 -0.0084989162700482
78848 92.4 -0.00853341890640416
79360 93 -0.00856747917465284
79872 93.6 -0.00860039686508359
80384 94.2 -0.00863229815158665
80896 94.8 -0.00866435814036585
81408 95.4 -0.00869789160265318
81920 96 -0.00873269756134982
82432 96.6 -0.00876664242159146
82944 97.2 -0.00879799886633724
83456 97.8 -0.00882811253542403
83968 98.4 -0.00886005989088367
84480 99 -0.00889441478068893
84992 99.6 -0.00892840797912188
85504 100.2 -0.00895987694887487
86016 100.8 -0.00898992209388819
86528 101.4 -0.00902078962903238
87040 102 -0.00905299790984424
87552 102.6 -0.00908553511631225
88064 103.2 -0.00911752556572242
88576 103.8 -0.00914879242850795
89088 104.4 -0.00917951913921007
89600 105 -0.00921001177145915
90112 105.6 -0.00924064521719096
90624 106.2 -0.00927176079474211
91136 106.8 -0.00930336373587494
91648 107.4 -0.00933483739777257
92160 108 -0.00936534909048465
92672 108.6 -0.00939485245549925
93184 109.2 -0.00942439892070747
93696 109.8 -0.00945513410615197
94208 110.4 -0.00948701614525545
94720 111 -0.00951861199416465
95232 111.6 -0.00954840626063772
95744 112.2 -0.00957665346600233
96256 112.8 -0.00960553313445116
96768 113.4 -0.00963665357672489
97280 114 -0.00966881206220262
97792 114.6 -0.00969946864926874
98304 115.2 -0.00972815508846186
98816 115.8 -0.00975684169962498
99328 116.4 -0.00978691818887116
99840 117 -0.00981757942404865
100352 117.6 -0.009847679929808
100864 118.2 -0.00987751073263516
101376 118.8 -0.00990772641316555
101888 119.4 -0.00993775743046208
102400 120 -0.00996669860031174
102912 120.6 -0.00999520927190654
103424 121.2 -0.0100250245388775
103936 121.8 -0.0100564260028674
104448 122.4 -0.0100874782992556
104960 123 -0.0101164711617263
105472 123.6 -0.0101442523229988
105984 124.2 -0.0101731449204471
106496 124.8 -0.0102039585240358
107008 125.4 -0.0102351732769566
107520 126 -0.0102651344126172
108032 126.6 -0.0102939896687588
108544 127.2 -0.0103229518304712
109056 127.8 -0.0103525161258979
109568 128.4 -0.010382314756277
110080 129 -0.0104122365886815
110592 129.6 -0.0104425470184191
111104 130.2 -0.0104729362110537
111616 130.8 -0.010502583446297
112128 131.4 -0.0105314777951935
112640 132 -0.0105607098968373
113152 132.6 -0.010591026012649
113664 133.2 -0.0106218795428231
114176 133.8 -0.0106522628459392
114688 134.4 -0.0106818188272458
115200 135 -0.0107109640027003
115712 135.6 -0.0107404807150871
116224 136.2 -0.0107709463650215
116736 136.8 -0.0108020660904691
117248 137.4 -0.0108327718804193
117760 138 -0.0108624155556957
118272 138.6 -0.0108915858565552
118784 139.2 -0.0109213885443666
119296 139.8 -0.010952189973753
119808 140.4 -0.010983333339619
120320 141 -0.0110138767314538
120832 141.6 -0.011043498340474
121344 142.2 -0.0110728760329249
121856 142.8 -0.0111030482045521
122368 143.4 -0.0111340877553107
122880 144 -0.0111648593328806
123392 144.6 -0.0111946793101963
123904 145.2 -0.0112244211993561
124416 145.8 -0.0112549651834403
124928 146.4 -0.0112855544625186
125440 147 -0.0113151064485824
125952 147.6 -0.0113441949609063
126464 148.2 -0.0113741544771189
126976 148.8 -0.0114049506108107
127488 149.4 -0.0114353337971899
128000 150 -0.0114646234441593
128512 150.6 -0.0114933762157711
129024 151.2 -0.0115225856387664
129536 151.8 -0.011552638639426
130048 152.4 -0.0115828238581499
130560 153 -0.011611984513267
131072 153.6 -0.011640000014031
131584 154.2 -0.0116681327864546
132096 154.8 -0.0116973552602324
132608 155.4 -0.0117269689336915
133120 156 -0.0117556517835746
133632 156.6 -0.0117833123009696
134144 157.2 -0.0118109999986689
134656 157.8 -0.0118392888975533
135168 158.4 -0.011867614580603
135680 159 -0.0118952371723217
136192 159.6 -0.0119222750472368
136704 160.2 -0.0119494948098458
137216 160.8 -0.0119771836915661
137728 161.4 -0.0120045827445868
138240 162 -0.0120308904474705
138752 162.6 -0.012056677061206
139264 163.2 -0.0120833700452966
139776 163.8 -0.0121110579112358
140288 164.4 -0.0121380005802599
140800 165 -0.0121631168790237
141312 165.6 -0.0121877582914967
141824 166.2 -0.0122137642935054
142336 166.8 -0.0122407352233796
142848 167.4 -0.0122667602063657
143360 168 -0.0122912796872943
143872 168.6 -0.0123156644682887
144384 169.2 -0.0123410275448188
144896 169.8 -0.0123667988353143
145408 170.4 -0.0123918655700451
145920 171 -0.0124162019844803
146432 171.6 -0.0124406235522612
146944 172.2 -0.0124653583991636
147456 172.8 -0.0124897876150967
147968 173.4 -0.0125136222693283
148480 174 -0.0125374099981511
148992 174.6 -0.0125615498509579
149504 175.2 -0.01258562745115
150016 175.8 -0.0126091703474372
150528 176.4 -0.0126323496412602
151040 177 -0.0126554977770561
151552 177.6 -0.0126785720154114
152064 178.2 -0.0127014815802369
152576 178.8 -0.0127243414932585
153088 179.4 -0.0127470535621488
153600 180 -0.0127692225990224
154112 180.6 -0.012790845002307
154624 181.2 -0.0128125262450218
155136 181.8 -0.0128346036964241
155648 182.4 -0.0128565353307978
156160 183 -0.0128776516774956
156672 183.6 -0.0128981554928168
157184 184.2 -0.0129187960451406
157696 184.8 -0.0129397305696486
158208 185.4 -0.0129603452965256
158720 186 -0.0129802538846364
159232 186.6 -0.0129998477936989
159744 187.2 -0.0130195719621859
160256 187.8 -0.0130391864067444
160768 188.4 -0.0130582327547711
161280 189 -0.0130768737164176
161792 189.6 -0.0130956614658365
162304 190.2 -0.013114612242452
162816 190.8 -0.0131331215593562
163328 191.4 -0.0131508592940161
163840 192 -0.0131682418468477
164352 192.6 -0.0131858310376924
164864 193.2 -0.0132036195924375
165376 193.8 -0.0132211387452529
165888 194.4 -0.013238075679588
166400 195 -0.0132545809332727
166912 195.6 -0.0132710251422914
167424 196.2 -0.0132875836728462
167936 196.8 -0.0133040971679291
168448 197.4 -0.0133203085821828
168960 198 -0.0133361574421225
169472 198.6 -0.0133517761505961
169984 199.2 -0.0133672731186493
170496 199.8 -0.0133826634553853
171008 200.4 -0.013397976392444
171520 201 -0.013413237225873
172032 201.6 -0.0134283217107278
172544 202.2 -0.013443040936779
173056 202.8 -0.0134574530583466
173568 203.4 -0.0134718825642477
174080 204 -0.0134864906081189
174592 204.6 -0.0135010154915006
175104 205.2 -0.0135151309913988
175616 205.8 -0.0135288994125496
176128 206.4 -0.0135426282421998
176640 207 -0.013556407704491
177152 207.6 -0.0135700821771469
177664 208.2 -0.0135835993401477
178176 208.8 -0.0135970545434982
178688 209.4 -0.013610395701704
179200 210 -0.0136234300163435
179712 210.6 -0.0136362074002476
180224 211.2 -0.0136490767540719
180736 211.8 -0.0136621870000925
181248 212.4 -0.0136751953138035
181760 213 -0.0136877228831315
182272 213.6 -0.0136999127816473
182784 214.2 -0.0137122220680802
183296 214.8 -0.0137247636124553
183808 215.4 -0.0137372157695843
184320 216 -0.0137493753243508
184832 216.6 -0.0137614080787487
185344 217.2 -0.0137734645909164
185856 217.8 -0.0137854421187914
186368 218.4 -0.0137972855090479
186880 219 -0.0138091472868504
187392 219.6 -0.0138210680311915
187904 220.2 -0.0138328593274186
188416 220.8 -0.0138444608624779
188928 221.4 -0.0138560432284848
189440 222 -0.0138676576368064
189952 222.6 -0.0138791944259351
190464 223.2 -0.0138907078921754
190976 223.8 -0.0139023167830903
191488 224.4 -0.0139138568440398
192000 225 -0.0139251327016169
192512 225.6 -0.0139363330619396
193024 226.2 -0.013947705053663
193536 226.8 -0.0139591240402632
194048 227.4 -0.013970428535983
194560 228 -0.0139817378175559
195072 228.6 -0.0139930534976626
195584 229.2 -0.0140041090506839
196096 229.8 -0.0140149571968645
196608 230.4 -0.0140260749036918
197120 231 -0.0140375613995107
197632 231.6 -0.0140488671617985
198144 232.2 -0.0140596403863138
198656 232.8 -0.0140702634324054
199168 233.4 -0.0140812196183805
199680 234 -0.01409239688249
200192 234.6 -0.0141033554340299
200704 235.2 -0.0141139744417328
201216 235.8 -0.0141245248482638
201728 236.4 -0.014135239261084
202240 237 -0.0141460364906161
202752 237.6 -0.0141566765642296
203264 238.2 -0.0141670886149518
203776 238.8 -0.0141774644143741
204288 239.4 -0.014187987709409
204800 240 -0.0141985468831862
205312 240.6 -0.0142088605396185
205824 241.2 -0.014218893038448
206336 241.8 -0.0142289725958926
206848 242.4 -0.0142393597233415
207360 243 -0.0142498157838209
207872 243.6 -0.0142598964270644
208384 244.2 -0.0142696690538483
208896 244.8 -0.0142796765131942
209408 245.4 -0.0142900593697029
209920 246 -0.0143003222834532
210432 246.6 -0.0143102108996069
210944 247.2 -0.0143201087348577
211456 247.8 -0.0143302708677538
211968 248.4 -0.0143404298177991
212480 249 -0.0143504400314275
212992 249.6 -0.0143605436373624
213504 250.2 -0.0143708023510826
214016 250.8 -0.014381002024772
214528 251.4 -0.0143911749398887
215040 252 -0.0144015248292669
215552 252.6 -0.0144119397914579
216064 253.2 -0.0144222300077193
216576 253.8 -0.0144326066511261
217088 254.4 -0.0144433163216145
217600 255 -0.0144541221755131
218112 255.6 -0.0144646962560985
218624 256.2 -0.0144751863889806
219136 256.8 -0.0144859376924894
219648 257.4 -0.0144969654031317
220160 258 -0.0145080422745344
220672 258.6 -0.0145190460007015
221184 259.2 -0.0145300086879916
221696 259.8 -0.0145410216564035
222208 260.4 -0.0145521731429709
222720 261 -0.0145634409329361
223232 261.6 -0.0145746943611236
223744 262.2 -0.0145859072012031
224256 262.8 -0.0145972107696304
224768 263.4 -0.0146086280528318
225280 264 -0.0146199692193289
225792 264.6 -0.0146311361976329
226304 265.2 -0.0146423363523378
226816 265.8 -0.0146537865538025
227328 266.4 -0.0146653122201601
227840 267 -0.0146765368408861
228352 267.6 -0.014687493533161
228864 268.2 -0.0146986314039415
229376 268.8 -0.0147100448584554
229888 269.4 -0.0147212520622856
230400 270 -0.0147320436388802
230912 270.6 -0.0147428742330257
231424 271.2 -0.0147540098061959
231936 271.8 -0.0147650333518458
232448 272.4 -0.0147756300456046
232960 273 -0.014786106597193
233472 273.6 -0.0147967431620651
233984 274.2 -0.0148073528788069
234496 274.8 -0.014817768876931
235008 275.4 -0.0148281030929946
235520 276 -0.0148383743643156
236032 276.6 -0.0148484777695084
236544 277.2 -0.0148585214732608
237056 277.8 -0.0148686551573407
237568 278.4 -0.014878703128135
238080 279 -0.0148884656375195
238592 279.6 -0.0148981413546059
239104 280.2 -0.0149079765342803
239616 280.8 -0.0149178001608039
240128 281.4 -0.0149273645620867
240640 282 -0.0149368194508183
241152 282.6 -0.0149464145752656
241664 283.2 -0.0149560484041754
242176 283.8 -0.0149655015135216
242688 284.4 -0.0149748343411386
243200 285 -0.0149842285388722
243712 285.6 -0.0149936750965356
244224 286.2 -0.0150030667683824
244736 286.8 -0.0150123973345577
245248 287.4 -0.0150217012163264
245760 288 -0.0150309700196815
246272 288.6 -0.0150402286169294
246784 289.2 -0.0150495379408183
247296 289.8 -0.0150588754377749
247808 290.4 -0.015068151376254
248320 291 -0.0150773439930441
248832 291.6 -0.0150865025256737
249344 292.2 -0.0150956641399058
249856 292.8 -0.0151048545573412
250368 293.4 -0.0151140809610881
250880 294 -0.0151232758844358
251392 294.6 -0.0151323567487047
251904 295.2 -0.0151413386069295
252416 295.8 -0.0151502949583886
252928 296.4 -0.0151592697044141
253440 297 -0.015168280489464
253952 297.6 -0.0151772940528716
254464 298.2 -0.0151861964843089
254976 298.8 -0.0151949271683467
255488 299.4 -0.0152035747044855
256000 300 -0.0152122162355695
256512 300.6 -0.0152208161151578
257024 301.2 -0.0152293759344711
257536 301.8 -0.0152379533382355
258048 302.4 -0.0152464650395928
258560 303 -0.015254743411778
259072 303.6 -0.0152628427685143
259584 304.2 -0.0152710130993962
260096 304.8 -0.0152793177205906
260608 305.4 -0.0152875439714104
261120 306 -0.0152955564487988
261632 306.6 -0.0153034693317152
262144 307.2 -0.0153113866224051
262656 307.8 -0.0153192516025461
263168 308.4 -0.0153270465169735
263680 309 -0.0153348580572367
264192 309.6 -0.0153426713961422
264704 310.2 -0.0153503717516698
265216 310.8 -0.0153579655018922
265728 311.4 -0.0153655486688569
266240 312 -0.0153731237549901
266752 312.6 -0.0153806721465256
267264 313.2 -0.0153882573593469
267776 313.8 -0.015395859596986
268288 314.4 -0.0154033185512981
268800 315 -0.0154106112654895
269312 315.6 -0.015417947754919
269824 316.2 -0.0154254475548234
270336 316.8 -0.0154329688712609
270848 317.4 -0.0154403719537889
271360 318 -0.0154477035424388
271872 318.6 -0.0154550371856905
272384 319.2 -0.0154623775723341
272896 319.8 -0.0154697712274075
273408 320.4 -0.0154772639736183
273920 321 -0.015484743843113
274432 321.6 -0.0154920865939729
274944 322.2 -0.0154994127874139
275456 322.8 -0.0155069060880774
275968 323.4 -0.0155144625022392
276480 324 -0.0155218707398246
276992 324.6 -0.0155292348010977
277504 325.2 -0.0155368000786697
278016 325.8 -0.0155444575536509
278528 326.4 -0.0155518910488312
279040 327 -0.0155591474338298
279552 327.6 -0.0155665765295679
280064 328.2 -0.0155742490414929
280576 328.8 -0.0155818831724914
281088 329.4 -0.0155893017754451
281600 330 -0.015596582617665
282112 330.6 -0.0156038381054143
282624 331.2 -0.0156111413343354
283136 331.8 -0.0156185323741998
283648 332.4 -0.015625894451569
284160 333 -0.0156330305653223
284672 333.6 -0.0156399792380057
285184 334.2 -0.0156469697008593
285696 334.8 -0.0156540076076646
286208 335.4 -0.0156608595240487
286720 336 -0.0156674870027523
