# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:48:58+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.48.54-96446
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.48.54-96446
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 2.15737816865384e-05
512 0.6 2.87545400502491e-05
1024 1.2 3.61444280946686e-05
1536 1.8 3.95756162669941e-05
2048 2.4 4.07402456745648e-05
2560 3 4.17731529906371e-05
3072 3.6 4.33841880182486e-05
3584 4.2 4.53854449471831e-05
4096 4.8 4.71672142012447e-05
4608 5.4 4.86457697701966e-05
5120 6 5.02898909044449e-05
5632 6.6 5.22593863582082e-05
6144 7.2 5.40948669978114e-05
6656 7.8 5.55482361700931e-05
7168 8.4 5.69996889725153e-05
7680 9 5.88095810638558e-05
8192 9.6 6.07728534751938e-05
8704 10.2 6.25217160464387e-05
9216 10.8 6.40695381201308e-05
9728 11.4 6.55957688666325e-05
10240 12 6.71631231838773e-05
10752 12.6 6.88314071086748e-05
11264 13.2 7.06831259454909e-05
11776 13.8 7.25779059050543e-05
12288 14.4 7.42928206225003e-05
12800 15 7.58995491543869e-05
13312 15.6 7.76337993938467e-05
13824 16.2 7.95743361910907e-05
14336 16.8 8.16086031538435e-05
14848 17.4 8.36300987201792e-05
15360 18 8.5636332450178e-05
15872 18.6 8.76638521178876e-05
16384 19.2 8.97501066324457e-05
16896 19.8 9.1842840930627e-05
17408 20.4 9.39044376813671e-05
17920 21 9.60312582720795e-05
18432 21.6 9.83100878249304e-05
18944 22.2 0.000100683900129835
19456 22.8 0.000103003079415935
19968 23.4 0.000105256995855522
20480 24 0.000107574231964033
20992 24.6 0.000110037921137326
21504 25.2 0.000112568050718741
22016 25.8 0.000115032246613902
22528 26.4 0.000117425140325685
23040 27 0.000119869657540623
23552 27.6 0.000122485313203465
24064 28.2 0.000125248873050764
24576 28.8 0.000128007971846035
25088 29.4 0.000130633187812018
25600 30 0.000133143808342225
26112 30.6 0.000135682585726368
26624 31.2 0.000138397166873643
27136 31.8 0.000141290139022677
27648 32.4 0.000144191716644302
28160 33 0.000146938913068353
28672 33.6 0.000149551612005984
29184 34.2 0.000152198858840813
29696 34.8 0.00015492863667808
30208 35.4 0.000157805308313497
30720 36 0.000160701491902646
31232 36.6 0.000163493106793224
31744 37.2 0.000166123555705548
32256 37.8 0.000168722372825663
32768 38.4 0.000171413874889691
33280 39 0.000174174384116746
33792 39.6 0.000176985143642179
34304 40.2 0.000179715397859641
34816 40.8 0.000182336621018331
35328 41.4 0.000184918352467582
35840 42 0.000187539252987611
36352 42.6 0.000190234501836523
36864 43.2 0.00019298047933283
37376 43.8 0.00019572480559993
37888 44.4 0.000198419474540343
38400 45 0.000201043201926435
38912 45.6 0.000203626902525015
39424 46.2 0.000206242829896425
39936 46.8 0.000208934843031076
40448 47.4 0.000211656277776977
40960 48 0.000214317468574543
41472 48.6 0.000216890803271294
41984 49.2 0.000219450798721667
42496 49.8 0.000222079841545261
43008 50.4 0.000224767475017046
43520 51 0.000227427729010208
44032 51.6 0.000230003259465158
44544 52.2 0.000232528668814199
45056 52.8 0.000235075931906912
45568 53.4 0.000237672429504244
46080 54 0.000240285253528623
46592 54.6 0.00024286448233673
47104 55.2 0.000245409268341576
47616 55.8 0.000247921918049704
48128 56.4 0.000250402228405144
48640 57 0.000252883808407591
49152 57.6 0.000255346886150367
49664 58.2 0.000257801253738744
50176 58.8 0.000260205870314753
50688 59.4 0.000262579587848057
51200 60 0.000264914274874926
51712 60.6 0.000267253606741596
52224 61.2 0.000269610407016632
52736 61.8 0.000271972753118348
53248 62.4 0.000274327851247478
53760 63 0.000276661303976115
54272 63.6 0.000278930496432953
54784 64.2 0.000281176129942238
55296 64.8 0.000283448184382338
55808 65.4 0.000285701383644442
56320 66 0.000287971944163287
56832 66.6 0.000290238707124398
57344 67.2 0.000292483563456395
57856 67.8 0.000294688182390642
58368 68.4 0.000296908882157606
58880 69 0.000299092817446283
59392 69.6 0.000301283277237246
59904 70.2 0.000303490806682863
60416 70.8 0.000305732278365524
60928 71.4 0.000307925378174863
61440 72 0.000310103242215555
61952 72.6 0.000312249425481729
62464 73.2 0.000314405500013179
62976 73.8 0.000316603610005666
63488 74.4 0.000318804689289763
64000 75 0.00032100558619658
64512 75.6 0.000323166608271133
65024 76.2 0.000325339326554208
65536 76.8 0.000327494578959856
66048 77.4 0.000329649959213248
66560 78 0.000331818957873971
67072 78.6 0.000333999512163005
67584 79.2 0.000336168216218936
68096 79.8 0.000338302078697328
68608 80.4 0.000340411102220559
69120 81 0.000342532686528367
69632 81.6 0.0003446846808741
70144 82.2 0.000346862247602535
70656 82.8 0.000349023055800997
71168 83.4 0.000351165959856164
71680 84 0.000353303880678179
72192 84.6 0.000355446351521645
72704 85.2 0.000357600395447981
73216 85.8 0.000359764275000014
73728 86.4 0.000361928489668249
74240 87 0.000364087826942505
74752 87.6 0.000366244306820881
75264 88.2 0.000368400230764866
75776 88.8 0.000370559701585295
76288 89.4 0.000372729947373582
76800 90 0.000374913211237987
77312 90.6 0.000377100907192318
77824 91.2 0.000379283192703827
78336 91.8 0.000381459100700992
78848 92.4 0.000383637536768422
79360 93 0.000385831201709035
79872 93.6 0.000388043311465052
80384 94.2 0.00039026073630393
80896 94.8 0.000392471598371065
81408 95.4 0.000394684963594694
81920 96 0.000396918364155956
82432 96.6 0.000399169423516421
82944 97.2 0.000401419287533536
83456 97.8 0.000403663902092799
83968 98.4 0.000405920874975956
84480 99 0.000408200835659832
84992 99.6 0.000410490651987145
85504 100.2 0.000412774936000744
86016 100.8 0.000415056628306664
86528 101.4 0.000417349867599823
87040 102 0.000419660327573967
87552 102.6 0.000421981833524803
88064 103.2 0.000424306917008397
88576 103.8 0.00042663333536353
89088 104.4 0.000428962870985736
89600 105 0.000431299094573059
90112 105.6 0.000433645916417944
90624 106.2 0.000436003617148101
91136 106.8 0.000438367158080681
91648 107.4 0.000440731463110736
92160 108 0.000443096350842166
92672 108.6 0.000445465931722813
93184 109.2 0.000447843791991291
93696 109.8 0.000450229050036889
94208 110.4 0.000452616760507445
94720 111 0.00045500323785193
95232 111.6 0.000457389867193082
95744 112.2 0.000459781114698382
96256 112.8 0.000462179656604207
96768 113.4 0.000464583844880375
97280 114 0.000466990722928429
97792 114.6 0.000469397194578929
98304 115.2 0.000471800835605334
98816 115.8 0.000474201559009166
99328 116.4 0.000476603284443576
99840 117 0.000479009718868398
100352 117.6 0.000481421187592612
100864 118.2 0.000483834687755164
101376 118.8 0.000486245677501667
101888 119.4 0.000488649832150589
102400 120 0.000491047595381758
102912 120.6 0.000493446781904583
103424 121.2 0.000495855521238577
103936 121.8 0.000498270878832309
104448 122.4 0.000500680082407659
104960 123 0.000503074710051901
105472 123.6 0.00050545976768632
105984 124.2 0.00050784515543164
106496 124.8 0.000510235923558628
107008 125.4 0.000512617441222999
107520 126 0.000514970566943408
108032 126.6 0.000517335675477323
108544 127.2 0.000519678200904962
109056 127.8 0.00052199317256951
109568 128.4 0.0005243256426722
110080 129 0.00052666397508249
110592 129.6 0.000528986900421101
111104 130.2 0.000531297034189505
111616 130.8 0.00053359817286257
112128 131.4 0.000535901538396943
112640 132 0.000538183962369278
113152 132.6 0.000540465077113023
113664 133.2 0.000542740278792702
114176 133.8 0.000545007774567247
114688 134.4 0.000547173271822013
115200 135 0.000549297515696969
115712 135.6 0.000551414879859404
116224 136.2 0.000553508812508722
116736 136.8 0.000555565101725973
117248 137.4 0.000557637823526565
117760 138 0.000559720075964462
118272 138.6 0.000561749549672156
118784 139.2 0.000563769821001608
119296 139.8 0.000565793406366572
119808 140.4 0.00056782751955119
120320 141 0.000569862879238465
120832 141.6 0.000571885729767054
121344 142.2 0.000573895988617069
121856 142.8 0.000575905515692423
122368 143.4 0.000577922101876065
122880 144 0.000579943550818802
123392 144.6 0.000581959828961638
123904 145.2 0.000583966799186433
124416 145.8 0.000585969604710266
124928 146.4 0.000587974173994962
125440 147 0.000589979505469929
125952 147.6 0.000591983111133144
126464 148.2 0.000593986287185377
126976 148.8 0.000595992725479828
127488 149.4 0.000598000515107922
128000 150 0.00060000550888312
128512 150.6 0.000602008038456887
129024 151.2 0.000604015612755949
129536 151.8 0.000606032621828023
130048 152.4 0.000608075167208042
130560 153 0.000610139716174001
131072 153.6 0.000612190495140867
131584 154.2 0.000614236014196389
132096 154.8 0.000616282678516856
132608 155.4 0.000618343057465735
133120 156 0.000620400756013218
133632 156.6 0.000622438387711351
134144 157.2 0.000624465056070809
134656 157.8 0.000626486731179401
135168 158.4 0.000628500986451214
135680 159 0.000630504563549249
136192 159.6 0.000632530063944166
136704 160.2 0.000634543764096561
137216 160.8 0.000636544841551673
137728 161.4 0.000638534746633784
138240 162 0.000640513929106283
138752 162.6 0.000642483022921653
139264 163.2 0.000644443858537137
139776 163.8 0.000646399024800938
140288 164.4 0.000648349902315043
140800 165 0.000650294219678334
141312 165.6 0.000652228923752948
141824 166.2 0.000654156078311646
142336 166.8 0.000656081629940355
142848 167.4 0.000658006937732411
143360 168 0.000659925587502577
143872 168.6 0.000661833732866672
144384 169.2 0.000663736917480124
144896 169.8 0.000665642366023422
145408 170.4 0.000667548874166248
145920 171 0.00066944953229854
146432 171.6 0.000671343040651911
146944 172.2 0.000673234693622107
147456 172.8 0.000675126703888247
147968 173.4 0.000677015293884883
148480 174 0.000678898694549073
148992 174.6 0.000680781494363351
149504 175.2 0.000682666491017943
150016 175.8 0.000684549974002544
150528 176.4 0.000686427979674866
151040 177 0.00068830325951334
151552 177.6 0.000690181415825293
152064 178.2 0.000692062540329543
152576 178.8 0.000693942013242449
153088 179.4 0.000695816284341511
153600 180 0.000697686783171939
154112 180.6 0.000699556157023752
154624 181.2 0.000701425359288709
155136 181.8 0.00070329338582043
155648 182.4 0.000705158701093694
156160 183 0.000707020403511564
156672 183.6 0.000708877604974024
157184 184.2 0.000710729926249919
157696 184.8 0.00071257869404031
158208 185.4 0.000714425368911081
158720 186 0.000716269262384305
159232 186.6 0.000718108808134491
159744 187.2 0.000719943240186029
160256 187.8 0.000721774367713286
160768 188.4 0.000723604394427046
161280 189 0.000725433544078715
161792 189.6 0.000727259624103445
162304 190.2 0.000729080559531125
162816 190.8 0.000730897971071861
163328 191.4 0.000732714504110028
163840 192 0.000734530475103729
164352 192.6 0.000736344247467848
164864 193.2 0.000738154846313019
165376 193.8 0.000739963768396396
165888 194.4 0.00074177177034784
166400 195 0.00074357735368505
166912 195.6 0.000745379381288866
167424 196.2 0.000747179190317326
167936 196.8 0.000748978719566197
168448 197.4 0.000750777085211116
168960 198 0.000752571666140917
169472 198.6 0.000754361627724538
169984 199.2 0.000756149343437412
170496 199.8 0.000757937836538659
171008 200.4 0.000759726268472835
171520 201 0.000761511919394009
172032 201.6 0.000763294022970511
172544 202.2 0.000765075230450269
173056 202.8 0.000766857912206918
173568 203.4 0.000768642095899345
174080 204 0.000770426810251647
174592 204.6 0.000772211795007019
175104 205.2 0.000773997816116061
175616 205.8 0.000775785431966852
176128 206.4 0.000777574120817884
176640 207 0.000779363087273927
177152 207.6 0.000781151890595685
177664 208.2 0.000782942036017167
178176 208.8 0.000784734639582813
178688 209.4 0.000786528582718593
179200 210 0.000788323872404443
179712 210.6 0.000790120412466259
180224 211.2 0.000791919827356497
180736 211.8 0.000793724457414192
181248 212.4 0.000795479747813672
181760 213 0.000797235783173862
182272 213.6 0.000798967660249594
182784 214.2 0.000800700757247326
183296 214.8 0.000802437193284737
183808 215.4 0.000804163653796893
184320 216 0.000805888539121825
184832 216.6 0.000807612618560169
185344 217.2 0.000809303697537032
185856 217.8 0.000811007618278039
186368 218.4 0.000812736370682057
186880 219 0.000814433858977904
187392 219.6 0.00081613401876664
187904 220.2 0.000817835461773257
188416 220.8 0.00081953733435262
188928 221.4 0.000821197977408745
189440 222 0.000822824931017948
189952 222.6 0.000824451970365134
190464 223.2 0.000826070369877295
190976 223.8 0.000827706053999118
191488 224.4 0.000829314001228108
192000 225 0.000830921410635638
192512 225.6 0.000832528052252823
193024 226.2 0.000834133128411659
193536 226.8 0.000835736441836796
194048 227.4 0.000837337359397201
194560 228 0.000838935128817392
195072 228.6 0.00084052892679354
195584 229.2 0.000842118276566906
196096 229.8 0.000843702727139904
196608 230.4 0.000845282988668784
197120 231 0.000846862764136747
197632 231.6 0.000848444057241515
198144 232.2 0.0008500259353016
198656 232.8 0.000851608875332108
199168 233.4 0.000853193505315663
199680 234 0.000854778580417975
200192 234.6 0.00085636368572547
200704 235.2 0.000857944985214406
201216 235.8 0.000859480592078486
201728 236.4 0.000861022539649095
202240 237 0.000862572069107001
202752 237.6 0.000864128258609528
203264 238.2 0.000865688814744469
203776 238.8 0.000867252953151542
204288 239.4 0.000868820666421181
204800 240 0.000870391480829424
205312 240.6 0.000871980009602705
205824 241.2 0.000873596013255592
206336 241.8 0.000875244755959306
206848 242.4 0.000876895199964818
207360 243 0.000878533495978588
207872 243.6 0.000880185514685379
208384 244.2 0.000881823345670058
208896 244.8 0.000883449299090816
209408 245.4 0.000885064750553953
209920 246 0.000886670974871246
210432 246.6 0.000888267946536582
210944 247.2 0.000889857272994678
211456 247.8 0.000891441737869767
211968 248.4 0.000893021926738846
212480 249 0.000894597032785583
212992 249.6 0.000896168243967105
213504 250.2 0.000897737923083323
214016 250.8 0.000899306961451775
214528 251.4 0.000900873872234981
215040 252 0.000902437511547669
215552 252.6 0.000903999833201779
216064 253.2 0.000905562864393146
216576 253.8 0.000907126932448782
217088 254.4 0.000908691279489291
217600 255 0.000910255374987598
218112 255.6 0.000911819401489073
218624 256.2 0.00091338450086752
219136 256.8 0.000914955908957789
219648 257.4 0.000916563263736069
220160 258 0.000918179954233901
220672 258.6 0.00091978835524008
221184 259.2 0.000921406694222322
221696 259.8 0.000923023130568282
222208 260.4 0.000924638590724441
222720 261 0.000926252048634322
223232 261.6 0.000927862898883357
223744 262.2 0.000929472900819613
224256 262.8 0.000931082922132936
224768 263.4 0.000932692398775762
225280 264 0.000934302017850513
225792 264.6 0.00093591207908771
226304 265.2 0.000937522174477579
226816 265.8 0.000939130164806529
227328 266.4 0.000940737052412595
227840 267 0.000942343198790563
228352 267.6 0.00094394844894755
228864 268.2 0.00094555311056409
229376 268.8 0.000947158009519532
229888 269.4 0.000948764409066961
230400 270 0.000950372017485381
230912 270.6 0.000951978893555503
231424 271.2 0.000953584559897434
231936 271.8 0.000955189188955174
232448 272.4 0.000956792612863462
232960 273 0.000958393459455259
233472 273.6 0.000959990265663689
233984 274.2 0.000961582881946632
234496 274.8 0.000963170941518738
235008 275.4 0.000964755408840621
235520 276 0.000966334763452112
236032 276.6 0.000967900899313821
236544 277.2 0.000969466968770252
237056 277.8 0.000971033230549272
237568 278.4 0.000972600078390937
238080 279 0.000974167627210934
238592 279.6 0.000975697427247653
239104 280.2 0.000977224169548018
239616 280.8 0.000978753808286059
240128 281.4 0.00098028775326579
240640 282 0.000981823579862694
241152 282.6 0.000983362469084173
241664 283.2 0.000984897737692047
242176 283.8 0.000986442713715388
242688 284.4 0.000987990619907922
243200 285 0.000989547531583668
243712 285.6 0.000991104915689141
244224 286.2 0.000992670211057521
244736 286.8 0.000994177315794914
245248 287.4 0.000995647552027654
245760 288 0.000997069687203715
246272 288.6 0.000998496022488512
246784 289.2 0.000999927959865323
247296 289.8 0.00100134489951595
247808 290.4 0.00100278662071203
248320 291 0.001004179977076
248832 291.6 0.00100559738838522
249344 292.2 0.00100699613666893
249856 292.8 0.00100839745595229
250368 293.4 0.0010097886289916
250880 294 0.00101118001723862
251392 294.6 0.00101257216731601
251904 295.2 0.00101394326598635
252416 295.8 0.00101533772769138
252928 296.4 0.00101669793452779
253440 297 0.00101805862056936
253952 297.6 0.00101945380130621
254464 298.2 0.00102081550023966
254976 298.8 0.001022176504819
255488 299.4 0.00102353974890163
256000 300 0.001024908476012
256512 300.6 0.00102628240042315
257024 301.2 0.00102766182369537
257536 301.8 0.00102904654000193
258048 302.4 0.00103043554560265
258560 303 0.00103182839884801
259072 303.6 0.00103322350470705
259584 304.2 0.00103461946351884
260096 304.8 0.00103601715257481
260608 305.4 0.00103741634401987
261120 306 0.00103881594669795
261632 306.6 0.00104021690313991
262144 307.2 0.0010416214526371
262656 307.8 0.00104302795969937
263168 308.4 0.00104446534974129
263680 309 0.00104591381030474
264192 309.6 0.00104737326916465
264704 310.2 0.00104883732366183
265216 310.8 0.00105029078876666
265728 311.4 0.00105173458001943
266240 312 0.0010531706404571
266752 312.6 0.0010546006203429
267264 313.2 0.00105602438801087
267776 313.8 0.00105744212225233
268288 314.4 0.00105887367649126
268800 315 0.00106031670487251
269312 315.6 0.00106178101741921
269824 316.2 0.00106323323988565
270336 316.8 0.00106467396783196
270848 317.4 0.00106610388184197
271360 318 0.00106752536607906
271872 318.6 0.00106894077131403
272384 319.2 0.00107035216555652
272896 319.8 0.00107176052643373
273408 320.4 0.00107316644933448
273920 321 0.00107457059531931
274432 321.6 0.00107597358202295
274944 322.2 0.00107737606064895
275456 322.8 0.00107877853118873
275968 323.4 0.0010801817916921
276480 324 0.00108158658592484
276992 324.6 0.00108299305326432
277504 325.2 0.00108440022427497
278016 325.8 0.00108580630881403
278528 326.4 0.00108721163043288
279040 327 0.00108861655058187
279552 327.6 0.00109002277398012
280064 328.2 0.00109143081033179
280576 328.8 0.00109283997271715
281088 329.4 0.00109425042373171
281600 330 0.00109566245204751
282112 330.6 0.00109707653030572
282624 331.2 0.00109849276359319
283136 331.8 0.00109991172632478
283648 332.4 0.00110133400392366
284160 333 0.00110275929275575
284672 333.6 0.00110418664024325
285184 334.2 0.00110561895932175
285696 334.8 0.00110707644374748
286208 335.4 0.0011085287971989
286720 336 0.00110998831039394
287232 336.6 0.00111144010261415
287744 337.2 0.00111287937712673
288256 337.8 0.00111431579139571
288768 338.4 0.00111574926474438
289280 339 0.00111717340081644
289792 339.6 0.00111859182283699
290304 340.2 0.00112000794456611
290816 340.8 0.00112142169352942
291328 341.4 0.00112283355945415
291840 342 0.0011242429476154
292352 342.6 0.00112564996779414
292864 343.2 0.00112705519700268
293376 343.8 0.00112845842636063
293888 344.4 0.00112985933952657
294400 345 0.00113125734847609
294912 345.6 0.00113265291987898
295424 346.2 0.00113404691670868
295936 346.8 0.00113544056601708
296448 347.4 0.00113683431101836
296960 348 0.0011382273742071
297472 348.6 0.00113961762113988
297984 349.2 0.00114100460951403
298496 349.8 0.00114238873851706
299008 350.4 0.00114377020463308
299520 351 0.00114514921924897
300032 351.6 0.00114652623045614
300544 352.2 0.00114786285629374
301056 352.8 0.00114917808053047
301568 353.4 0.00115047575438547
302080 354 0.00115177702282381
302592 354.6 0.00115306209529617
303104 355.2 0.00115436192546754
303616 355.8 0.00115565683080464
304128 356.4 0.00115694623919134
304640 357 0.0011582394406916
305152 357.6 0.0011595238761797
305664 358.2 0.00116080007663211
306176 358.8 0.00116204869669559
306688 359.4 0.00116329838439129
307200 360 0.00116452902054031
307712 360.6 0.00116578171554121
308224 361.2 0.0011670366592866
308736 361.8 0.00116827292074641
309248 362.4 0.00116950977998248
309760 363 0.00117076849865681
310272 363.6 0.00117200701574543
310784 364.2 0.00117324608298586
311296 364.8 0.00117448702113479
311808 365.4 0.00117571190536635
312320 366 0.00117696454384833
312832 366.6 0.00117820066874338
313344 367.2 0.00117944417554487
313856 367.8 0.00118067284517682
314368 368.4 0.00118191855333871
314880 369 0.00118316954314313
315392 369.6 0.00118441449665284
315904 370.2 0.00118567551578468
316416 370.8 0.00118690636641796
316928 371.4 0.00118814032690067
317440 372 0.00118937536196553
317952 372.6 0.00119061139089672
318464 373.2 0.00119187659249914
318976 373.8 0.00119315122364101
319488 374.4 0.00119442222067107
320000 375 0.00119570385552024
