# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:48:58+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.48.54-96446
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.48.54-96446
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.6 2.20464382684956e-05 2.20464382684954e-05 2.20464382684869e-05
1024 1.2 2.77310800106753e-05 2.77310800106778e-05 2.77310800106729e-05
1536 1.8 2.40781653051401e-05 2.40781653051383e-05 2.40781653051326e-05
2048 2.4 3.16423853335892e-05 3.16423853335905e-05 3.1642385333616e-05
2560 3 4.13478023708664e-05 4.13478023708713e-05 4.13478023709729e-05
3072 3.6 4.54252812836132e-05 4.54252812836192e-05 4.54252812836308e-05
3584 4.2 3.84066685139372e-05 3.84066685139429e-05 3.84066685138044e-05
4096 4.8 1.91556316479382e-05 1.9155631647922e-05 1.91556316478897e-05
4608 5.4 2.24059818720764e-05 2.24059818720669e-05 2.24059818721446e-05
5120 6 2.38644800337171e-05 2.38644800336806e-05 2.38644800336874e-05
5632 6.6 2.40610060824757e-05 2.40610060825293e-05 2.40610060814306e-05
6144 7.2 3.0850350160296e-05 3.08503501602818e-05 3.08503501605431e-05
6656 7.8 4.01163081167286e-05 4.01163081167181e-05 4.0116308116773e-05
7168 8.4 4.05726351642888e-05 4.05726351642491e-05 4.05726351640902e-05
7680 9 3.18264461013861e-05 3.18264461014154e-05 3.18264461009824e-05
8192 9.6 2.4516597294942e-05 2.45165972950507e-05 2.45165972950285e-05
8704 10.2 2.45796733268974e-05 2.45796733271052e-05 2.45796733267184e-05
9216 10.8 3.44121258713067e-05 3.4412125871331e-05 3.44121258711024e-05
9728 11.4 4.183737607285e-05 4.18373760725289e-05 4.18373760727776e-05
10240 12 5.19888734901223e-05 5.19888734898854e-05 5.19888734902149e-05
10752 12.6 5.20178208279671e-05 5.2017820827802e-05 5.20178208287519e-05
11264 13.2 4.77844456708418e-05 4.7784445671109e-05 4.77844456716807e-05
11776 13.8 4.34328454228377e-05 4.34328454237829e-05 4.34328454238357e-05
12288 14.4 3.87698508566429e-05 3.87698508578904e-05 3.87698508598016e-05
12800 15 4.37722899939728e-05 4.37722899949435e-05 4.37722899940939e-05
13312 15.6 5.00585339628604e-05 5.00585339642823e-05 5.00585339639909e-05
13824 16.2 5.04433368162954e-05 5.04433368167582e-05 5.04433368168408e-05
14336 16.8 5.25939788311163e-05 5.25939788308939e-05 5.25939788310101e-05
14848 17.4 5.55401395835404e-05 5.55401395831881e-05 5.55401395836927e-05
15360 18 5.09139738523995e-05 5.09139738511031e-05 5.09139738523331e-05
15872 18.6 3.72413346964321e-05 3.72413346948164e-05 3.72413346963723e-05
16384 19.2 6.10638080524558e-05 6.10638080522128e-05 6.10638080510203e-05
16896 19.8 7.85145175653319e-05 7.85145175639766e-05 7.85145175635015e-05
17408 20.4 7.72858988612009e-05 7.72858988618528e-05 7.72858988613173e-05
17920 21 6.12901794462908e-05 6.12901794484594e-05 6.12901794486467e-05
18432 21.6 4.26182387942835e-05 4.26182387935116e-05 4.26182387959292e-05
18944 22.2 4.34970001829448e-05 4.34970001844643e-05 4.34970001831916e-05
19456 22.8 5.59014515543112e-05 5.59014515572367e-05 5.59014515556696e-05
19968 23.4 7.12685440535455e-05 7.12685440565508e-05 7.12685440576706e-05
20480 24 7.27979737704284e-05 7.2797973769668e-05 7.27979737704324e-05
20992 24.6 5.40555763396749e-05 5.40555763352128e-05 5.40555763355645e-05
21504 25.2 7.25835255380709e-05 7.25835255363649e-05 7.25835255369157e-05
22016 25.8 7.81836308959079e-05 7.81836308907735e-05 7.81836308905458e-05
22528 26.4 6.91769619492008e-05 6.91769619451963e-05 6.91769619454691e-05
23040 27 5.7052488070076e-05 5.70524880701783e-05 5.70524880684816e-05
23552 27.6 4.54131056438692e-05 4.5413105646455e-05 4.54131056424192e-05
24064 28.2 4.05263614184337e-05 4.05263614181767e-05 4.05263614194121e-05
24576 28.8 4.28874998654506e-05 4.28874998651113e-05 4.28874998663698e-05
25088 29.4 4.87666618220538e-05 4.87666618219468e-05 4.87666618173019e-05
25600 30 4.6731671609169e-05 4.67316716133322e-05 4.67316716104818e-05
26112 30.6 5.03406451941591e-05 5.03406451936435e-05 5.03406451924836e-05
26624 31.2 5.74381377923777e-05 5.74381377922455e-05 5.74381377921649e-05
27136 31.8 6.49855190937286e-05 6.49855190937305e-05 6.49855190948738e-05
27648 32.4 7.03773585266994e-05 7.03773585272774e-05 7.03773585280958e-05
28160 33 6.71309132958197e-05 6.7130913296606e-05 6.71309132955054e-05
28672 33.6 5.78707793899406e-05 5.78707793924226e-05 5.78707793915006e-05
29184 34.2 5.13581552661269e-05 5.13581552672213e-05 5.13581552668338e-05
29696 34.8 5.4699718922621e-05 5.46997189269147e-05 5.46997189254931e-05
30208 35.4 4.86835173723228e-05 4.86835173739908e-05 4.86835173743078e-05
30720 36 5.83502626352973e-05 5.83502626351057e-05 5.835026263898e-05
31232 36.6 7.1709083182591e-05 7.170908318333e-05 7.17090831873939e-05
31744 37.2 7.20334680444485e-05 7.20334680464895e-05 7.20334680477421e-05
32256 37.8 6.06439379447246e-05 6.06439379454425e-05 6.06439379448007e-05
32768 38.4 4.52049176669743e-05 4.52049176655823e-05 4.52049176657526e-05
33280 39 4.37468772971899e-05 4.37468772983711e-05 4.37468772973776e-05
33792 39.6 5.03731040502874e-05 5.03731040509153e-05 5.03731040523713e-05
34304 40.2 6.03489273313113e-05 6.03489273275658e-05 6.03489273323129e-05
34816 40.8 5.87534670079747e-05 5.8753467003088e-05 5.87534670077194e-05
35328 41.4 4.66568072459729e-05 4.66568072436136e-05 4.66568072443473e-05
35840 42 5.36184315881282e-05 5.36184315884253e-05 5.36184315929524e-05
36352 42.6 5.80929183961063e-05 5.80929183949286e-05 5.80929183964427e-05
36864 43.2 5.71894975017924e-05 5.71894975010493e-05 5.71894974986883e-05
