# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 10 2024 at 15:48:58+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.48.54-96446
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.10-14.48.54-96446
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.6 -1.8076218779669e-05 -1.8076218779666e-05 -1.80762187796547e-05
1024 1.2 -2.23529859293076e-05 -2.23529859293103e-05 -2.23529859293095e-05
1536 1.8 -2.55959564875887e-05 -2.55959564875943e-05 -2.55959564876035e-05
2048 2.4 -2.6958358883211e-05 -2.69583588832106e-05 -2.69583588832165e-05
2560 3 -3.01216168272849e-05 -3.01216168272887e-05 -3.01216168273442e-05
3072 3.6 -3.64432354076024e-05 -3.64432354076252e-05 -3.64432354076406e-05
3584 4.2 -3.67309990415561e-05 -3.67309990412634e-05 -3.67309990412918e-05
4096 4.8 -3.64847107052076e-05 -3.64847107053715e-05 -3.64847107047053e-05
4608 5.4 -3.33919154819421e-05 -3.3391915481775e-05 -3.33919154825e-05
5120 6 -3.19182750977719e-05 -3.19182750977949e-05 -3.19182750978901e-05
5632 6.6 -4.52558148535841e-05 -4.52558148536141e-05 -4.52558148532669e-05
6144 7.2 -4.65364057968143e-05 -4.65364057968272e-05 -4.65364057963154e-05
6656 7.8 -4.37540577070766e-05 -4.37540577071753e-05 -4.37540577068529e-05
7168 8.4 -4.32059224601247e-05 -4.32059224601567e-05 -4.3205922459755e-05
7680 9 -3.96093019709443e-05 -3.9609301971073e-05 -3.96093019707118e-05
8192 9.6 -3.60767041544763e-05 -3.60767041543569e-05 -3.60767041557065e-05
8704 10.2 -3.42759127972642e-05 -3.42759127972629e-05 -3.42759127968596e-05
9216 10.8 -4.10821000703984e-05 -4.10821000706713e-05 -4.10821000699474e-05
9728 11.4 -5.02111295970515e-05 -5.02111295969444e-05 -5.02111295973098e-05
10240 12 -5.46522563144116e-05 -5.46522563137056e-05 -5.4652256314726e-05
10752 12.6 -5.31402621761579e-05 -5.31402621755156e-05 -5.31402621762491e-05
11264 13.2 -7.52159111342404e-05 -7.52159111344315e-05 -7.52159111333854e-05
11776 13.8 -7.4814929251607e-05 -7.48149292518415e-05 -7.48149292526868e-05
12288 14.4 -5.96094715077703e-05 -5.96094715074565e-05 -5.96094715063139e-05
12800 15 -6.42672534622145e-05 -6.42672534622467e-05 -6.42672534612907e-05
13312 15.6 -6.00838703159455e-05 -6.00838703152903e-05 -6.00838703153646e-05
13824 16.2 -4.30389569459343e-05 -4.30389569452521e-05 -4.30389569459815e-05
14336 16.8 -2.58500991515262e-05 -2.58500991514223e-05 -2.58500991520518e-05
14848 17.4 -2.63365198646524e-05 -2.63365198649299e-05 -2.63365198640082e-05
15360 18 -3.25209018491935e-05 -3.25209018492185e-05 -3.25209018498522e-05
15872 18.6 -3.98350185065358e-05 -3.98350185056244e-05 -3.98350185064209e-05
16384 19.2 -3.80310707473581e-05 -3.80310707461963e-05 -3.80310707463718e-05
16896 19.8 -3.49644745738935e-05 -3.49644745734349e-05 -3.49644745729377e-05
17408 20.4 -4.21148361526504e-05 -4.21148361522589e-05 -4.21148361523183e-05
17920 21 -4.54957529360682e-05 -4.5495752937527e-05 -4.5495752936967e-05
18432 21.6 -4.86293573695638e-05 -4.86293573709851e-05 -4.86293573705711e-05
18944 22.2 -4.73413292492161e-05 -4.7341329250506e-05 -4.73413292501405e-05
19456 22.8 -4.4669806896051e-05 -4.4669806895641e-05 -4.46698068955747e-05
19968 23.4 -4.09393321001901e-05 -4.09393320975576e-05 -4.09393320980551e-05
20480 24 -3.64836113065446e-05 -3.6483611303825e-05 -3.64836113045788e-05
20992 24.6 -3.57704458436699e-05 -3.5770445843117e-05 -3.57704458436971e-05
21504 25.2 -4.22797383645513e-05 -4.22797383659032e-05 -4.22797383658141e-05
22016 25.8 -5.15222117410145e-05 -5.15222117427012e-05 -5.15222117419364e-05
22528 26.4 -5.457822460785e-05 -5.45782246084879e-05 -5.45782246076259e-05
23040 27 -4.82647556745701e-05 -4.82647556735491e-05 -4.82647556733541e-05
23552 27.6 -3.87253378136908e-05 -3.87253378120172e-05 -3.87253378128433e-05
24064 28.2 -3.50478518782867e-05 -3.50478518771016e-05 -3.50478518786304e-05
24576 28.8 -4.04553065445298e-05 -4.04553065442565e-05 -4.04553065454877e-05
25088 29.4 -4.9359244530504e-05 -4.93592445312786e-05 -4.93592445309856e-05
25600 30 -5.32858778829312e-05 -5.32858778843383e-05 -5.32858778830865e-05
26112 30.6 -5.03843657287341e-05 -5.0384365729805e-05 -5.03843657291162e-05
26624 31.2 -4.76998532204574e-05 -4.76998532200664e-05 -4.76998532202703e-05
27136 31.8 -5.26925150232177e-05 -5.26925150218343e-05 -5.26925150226737e-05
27648 32.4 -6.44543827936321e-05 -6.44543827930821e-05 -6.44543827945713e-05
28160 33 -7.51854699690949e-05 -7.51854699691838e-05 -7.51854699699722e-05
28672 33.6 -7.8874342032245e-05 -7.88743420313348e-05 -7.88743420305426e-05
29184 34.2 -7.63165658600505e-05 -7.63165658595364e-05 -7.63165658578688e-05
29696 34.8 -7.28325442346371e-05 -7.28325442359896e-05 -7.28325442351685e-05
30208 35.4 -7.27179011509198e-05 -7.27179011524509e-05 -7.27179011526667e-05
30720 36 -7.6097668433231e-05 -7.60976684337567e-05 -7.60976684341607e-05
31232 36.6 -8.00309642962791e-05 -8.00309642966747e-05 -8.00309642968953e-05
31744 37.2 -8.24051399725604e-05 -8.24051399727861e-05 -8.24051399727975e-05
32256 37.8 -8.40590273627837e-05 -8.40590273612478e-05 -8.40590273613161e-05
32768 38.4 -8.67509326631e-05 -8.67509326607707e-05 -8.67509326615254e-05
33280 39 -9.01219178017991e-05 -9.01219178011015e-05 -9.01219178024098e-05
33792 39.6 -9.14467337853686e-05 -9.14467337861423e-05 -9.14467337865191e-05
34304 40.2 -8.8171825274833e-05 -8.81718252759224e-05 -8.81718252742091e-05
34816 40.8 -8.03394738011336e-05 -8.03394738027947e-05 -8.03394738004441e-05
35328 41.4 -7.09600802311312e-05 -7.09600802323406e-05 -7.09600802322227e-05
35840 42 -6.40731550968057e-05 -6.4073155096113e-05 -6.40731550985448e-05
36352 42.6 -6.18017022453423e-05 -6.18017022436129e-05 -6.18017022458906e-05
36864 43.2 -6.3008962052768e-05 -6.30089620519234e-05 -6.30089620521651e-05
37376 43.8 -6.48852634306013e-05 -6.48852634307924e-05 -6.48852634299017e-05
37888 44.4 -6.56042491160599e-05 -6.56042491167356e-05 -6.56042491152994e-05
38400 45 -6.5187619044608e-05 -6.51876190461126e-05 -6.51876190440732e-05
38912 45.6 -6.44116851544444e-05 -6.44116851557471e-05 -6.4411685154419e-05
39424 46.2 -6.38895465860771e-05 -6.38895465855354e-05 -6.38895465860393e-05
39936 46.8 -6.40588587440182e-05 -6.40588587417647e-05 -6.40588587435004e-05
40448 47.4 -6.47808313048482e-05 -6.47808313026084e-05 -6.47808313043969e-05
40960 48 -6.45739427982052e-05 -6.45739427969365e-05 -6.45739427985852e-05
41472 48.6 -6.16941435431964e-05 -6.16941435433195e-05 -6.16941435438086e-05
41984 49.2 -5.6872804402867e-05 -5.68728044046543e-05 -5.68728044029269e-05
42496 49.8 -5.35980506855276e-05 -5.35980506886628e-05 -5.3598050685525e-05
43008 50.4 -5.43513394955022e-05 -5.4351339497595e-05 -5.43513394958167e-05
43520 51 -5.7667086768449e-05 -5.76670867675377e-05 -5.76670867682979e-05
44032 51.6 -6.03883342836809e-05 -6.03883342816525e-05 -6.03883342835597e-05
44544 52.2 -6.18102921270071e-05 -6.18102921265569e-05 -6.18102921283912e-05
45056 52.8 -6.35790603964468e-05 -6.35790603970105e-05 -6.35790603982775e-05
45568 53.4 -6.59410709801012e-05 -6.5941070979429e-05 -6.59410709803568e-05
