# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 15:01:47+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.01.45-9991
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.01.45-9991
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 1.26838171552027e-10
512 0.5 1.26838171552027e-10
1024 1 1.26838171552027e-10
1536 1.5 1.26838171552027e-10
2048 2 1.26838171552027e-10
2560 2.5 1.26838171552027e-10
3072 3 1.26838171552027e-10
3584 3.5 1.26838171552027e-10
4096 4 1.26838171552027e-10
4608 4.5 1.26838171552027e-10
5120 5 1.26838171552027e-10
5632 5.5 1.26842208684024e-10
6144 6 1.26851103763668e-10
6656 6.5 1.26860291397157e-10
7168 7 1.26869755936071e-10
7680 7.5 1.26879496477478e-10
8192 8 1.26889494907015e-10
8704 8.5 1.26899627835113e-10
9216 9 1.26909770880052e-10
9728 9.5 1.26919985362127e-10
10240 10 1.26930337775579e-10
10752 10.5 1.26940656629317e-10
11264 11 1.26950821157782e-10
11776 11.5 1.26960954860446e-10
12288 12 1.26970979072106e-10
12800 12.5 1.26980551128618e-10
13312 13 1.26989636658088e-10
13824 13.5 1.26998428851777e-10
14336 14 1.27006826998488e-10
14848 14.5 1.2701466876763e-10
15360 15 1.27022073743954e-10
15872 15.5 1.27029157609961e-10
16384 16 1.27035925386457e-10
16896 16.5 1.27042508121128e-10
17408 17 1.27049122530233e-10
17920 17.5 1.27055961588764e-10
18432 18 1.27063197519542e-10
18944 18.5 1.27070852706179e-10
19456 19 1.27078800035264e-10
19968 19.5 1.27086976864482e-10
20480 20 1.2709537448372e-10
20992 20.5 1.27103907539825e-10
21504 21 1.27112471674288e-10
22016 21.5 1.2712096698608e-10
22528 22 1.27129235554102e-10
23040 22.5 1.27137141837075e-10
23552 23 1.27144648931925e-10
24064 23.5 1.27151732536341e-10
24576 24 1.27158323055443e-10
25088 24.5 1.27164329391391e-10
25600 25 1.27169642210689e-10
26112 25.5 1.27174170885853e-10
26624 26 1.27177910757275e-10
27136 26.5 1.27180925159388e-10
27648 27 1.27183271571713e-10
28160 27.5 1.27184953220935e-10
28672 28 1.27185897601433e-10
29184 28.5 1.27186049738753e-10
29696 29 1.27186049738753e-10
30208 29.5 1.27186049738753e-10
30720 30 1.27186049738753e-10
31232 30.5 1.27186049738753e-10
31744 31 1.27186049738753e-10
32256 31.5 1.27186049738753e-10
32768 32 1.27186049738753e-10
33280 32.5 1.27186049738753e-10
33792 33 1.27186049738753e-10
34304 33.5 1.27186049738753e-10
34816 34 1.27186049738753e-10
35328 34.5 1.27186049738753e-10
35840 35 1.27186049738753e-10
36352 35.5 1.27186049738753e-10
36864 36 1.27186049738753e-10
37376 36.5 1.27186049738753e-10
37888 37 1.27186049738753e-10
38400 37.5 1.27186049738753e-10
38912 38 1.27186049738753e-10
39424 38.5 1.27186049738753e-10
39936 39 1.27186049738753e-10
40448 39.5 1.27186049738753e-10
40960 40 1.27186049738753e-10
41472 40.5 1.27186049738753e-10
41984 41 1.27186049738753e-10
42496 41.5 1.27186049738753e-10
43008 42 1.27186049738753e-10
43520 42.5 1.27186049738753e-10
44032 43 1.27186049738753e-10
44544 43.5 1.27186049738753e-10
45056 44 1.27186049738753e-10
45568 44.5 1.27186049738753e-10
46080 45 1.27186049738753e-10
46592 45.5 1.27186049738753e-10
47104 46 1.27186049738753e-10
47616 46.5 1.27186049738753e-10
48128 47 1.27186049738753e-10
48640 47.5 1.27186049738753e-10
49152 48 1.27186049738753e-10
49664 48.5 1.27186049738753e-10
50176 49 1.27186049738753e-10
50688 49.5 1.27186049738753e-10
51200 50 1.27186049738753e-10
51712 50.5 1.27186049738753e-10
52224 51 1.27186049738753e-10
52736 51.5 1.27186049738753e-10
53248 52 1.27186049738753e-10
53760 52.5 1.27186049738753e-10
54272 53 1.27186049738753e-10
54784 53.5 1.27186049738753e-10
55296 54 1.27186049738753e-10
55808 54.5 1.27186049738753e-10
56320 55 1.27186049738753e-10
56832 55.5 1.27186049738753e-10
57344 56 1.27186049738753e-10
57856 56.5 1.27186049738753e-10
58368 57 1.27186049738753e-10
58880 57.5 1.27186049738753e-10
59392 58 1.27186049738753e-10
59904 58.5 1.27186049738753e-10
60416 59 1.27186049738753e-10
60928 59.5 1.27186049738753e-10
61440 60 1.27186049738753e-10
61952 60.5 1.27186049738753e-10
62464 61 1.27186049738753e-10
62976 61.5 1.27186049738753e-10
63488 62 1.27186049738753e-10
64000 62.5 1.27186049738753e-10
64512 63 1.27186049738753e-10
65024 63.5 1.27186049738753e-10
65536 64 1.27186049738753e-10
66048 64.5 1.27186049738753e-10
66560 65 1.27186049738753e-10
67072 65.5 1.27186049738753e-10
67584 66 1.27186049738753e-10
68096 66.5 1.27186049738753e-10
68608 67 1.27186049738753e-10
69120 67.5 1.27186049738753e-10
69632 68 1.27186049738753e-10
70144 68.5 1.27186049738753e-10
70656 69 1.27186049738753e-10
71168 69.5 1.27186049738753e-10
71680 70 1.27186049738753e-10
72192 70.5 1.27186049738753e-10
72704 71 1.27186049738753e-10
73216 71.5 1.27186049738753e-10
73728 72 1.27186049738753e-10
74240 72.5 1.27186049738753e-10
74752 73 1.27186049738753e-10
75264 73.5 1.27186049738753e-10
75776 74 1.27186049738753e-10
76288 74.5 1.27186049738753e-10
76800 75 1.27186049738753e-10
77312 75.5 1.27186049738753e-10
77824 76 1.27186049738753e-10
78336 76.5 1.27186049738753e-10
78848 77 1.27186049738753e-10
79360 77.5 1.27186049738753e-10
79872 78 1.27186049738753e-10
80384 78.5 1.27186049738753e-10
80896 79 1.27186049738753e-10
81408 79.5 1.27186049738753e-10
81920 80 1.27186049738753e-10
82432 80.5 1.27186049738753e-10
82944 81 1.27186049738753e-10
83456 81.5 1.27186049738753e-10
83968 82 1.27186049738753e-10
84480 82.5 1.27186049738753e-10
84992 83 1.27186049738753e-10
85504 83.5 1.27186049738753e-10
86016 84 1.27186049738753e-10
86528 84.5 1.27186049738753e-10
87040 85 1.27186049738753e-10
87552 85.5 1.27186049738753e-10
