# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 15:01:47+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.01.45-9991
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.01.45-9991
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.5 -0.00436721382822793 -0.00436721382822793 -0.00436721382822792
1024 1 -0.00868535346224461 -0.00868535346224461 -0.00868535346224461
1536 1.5 -0.0128728054579039 -0.0128728054579039 -0.0128728054579039
2048 2 -0.0170311988026904 -0.0170311988026904 -0.0170311988026904
2560 2.5 -0.021309450040388 -0.021309450040388 -0.021309450040388
3072 3 -0.0256007759452018 -0.0256007759452018 -0.0256007759452018
3584 3.5 -0.0298384320420118 -0.0298384320420118 -0.0298384320420118
4096 4 -0.0340167415603116 -0.0340167415603116 -0.0340167415603116
4608 4.5 -0.0381274384257958 -0.0381274384257958 -0.0381274384257958
5120 5 -0.0421522803549088 -0.0421522803549088 -0.0421522803549088
5632 5.5 -0.0460677434822388 -0.0460677434822388 -0.0460677434822388
6144 6 -0.0498609397625341 -0.0498609397625341 -0.0498609397625341
6656 6.5 -0.0535303635898194 -0.0535303635898194 -0.0535303635898194
7168 7 -0.0570732496515023 -0.0570732496515023 -0.0570732496515023
7680 7.5 -0.0604855300412843 -0.0604855300412842 -0.0604855300412843
8192 8 -0.0637638488487284 -0.0637638488487282 -0.0637638488487282
8704 8.5 -0.0669053759760153 -0.0669053759760154 -0.0669053759760152
9216 9 -0.0699100578199407 -0.0699100578199408 -0.0699100578199406
9728 9.5 -0.0727801999330873 -0.0727801999330871 -0.0727801999330873
10240 10 -0.0755168684751459 -0.0755168684751459 -0.0755168684751459
10752 10.5 -0.0786901232820923 -0.078690123282092 -0.0786901232820926
11264 11 -0.0825798007155644 -0.0825798007155635 -0.0825798007155642
11776 11.5 -0.0863698589076693 -0.0863698589076682 -0.0863698589076689
12288 12 -0.0898981080577271 -0.0898981080577263 -0.089898108057727
12800 12.5 -0.093298912057112 -0.0932989120571116 -0.0932989120571124
13312 13 -0.0965846239931605 -0.0965846239931596 -0.0965846239931606
13824 13.5 -0.0997550779788376 -0.0997550779788367 -0.0997550779788375
14336 14 -0.10281270986599 -0.102812709865989 -0.102812709865989
14848 14.5 -0.105753864085135 -0.105753864085134 -0.105753864085135
15360 15 -0.108575378883029 -0.108575378883028 -0.108575378883029
15872 15.5 -0.111257952673934 -0.111257952673933 -0.111257952673935
16384 16 -0.113633080131111 -0.113633080131111 -0.113633080131111
16896 16.5 -0.115893353302226 -0.115893353302226 -0.115893353302226
17408 17 -0.11803483834787 -0.11803483834787 -0.11803483834787
17920 17.5 -0.120051447722793 -0.120051447722793 -0.120051447722793
18432 18 -0.121938451756406 -0.121938451756405 -0.121938451756406
18944 18.5 -0.123698968076495 -0.123698968076495 -0.123698968076495
19456 19 -0.125345431831749 -0.125345431831749 -0.125345431831749
19968 19.5 -0.12747773839659 -0.127477738396591 -0.127477738396591
20480 20 -0.12953509589589 -0.12953509589589 -0.129535095895891
20992 20.5 -0.131453532167887 -0.131453532167887 -0.131453532167888
21504 21 -0.133254616006618 -0.133254616006618 -0.133254616006619
22016 21.5 -0.134958011668225 -0.134958011668225 -0.134958011668226
22528 22 -0.1365814710478 -0.1365814710478 -0.136581471047802
23040 22.5 -0.138137694047819 -0.138137694047821 -0.138137694047822
23552 23 -0.139632000278785 -0.139632000278786 -0.139632000278786
24064 23.5 -0.141062174369122 -0.141062174369122 -0.141062174369123
24576 24 -0.142421973844461 -0.142421973844461 -0.142421973844462
25088 24.5 -0.144161394485989 -0.144161394485991 -0.144161394485991
25600 25 -0.145925901164719 -0.14592590116472 -0.14592590116472
26112 25.5 -0.14760367520271 -0.147603675202712 -0.147603675202712
26624 26 -0.149202086275582 -0.149202086275584 -0.149202086275584
27136 26.5 -0.150720532562719 -0.150720532562721 -0.150720532562721
27648 27 -0.152154352949831 -0.152154352949832 -0.152154352949833
28160 27.5 -0.153500847221093 -0.153500847221094 -0.153500847221094
28672 28 -0.154760899206027 -0.154760899206028 -0.154760899206028
29184 28.5 -0.155936932978402 -0.155936932978403 -0.155936932978404
29696 29 -0.15703392646067 -0.157033926460672 -0.157033926460673
30208 29.5 -0.158061112146444 -0.158061112146444 -0.158061112146446
30720 30 -0.159027119782246 -0.159027119782246 -0.159027119782247
31232 30.5 -0.159932315504993 -0.159932315504994 -0.159932315504994
31744 31 -0.160767650176415 -0.160767650176416 -0.160767650176417
32256 31.5 -0.161525722351454 -0.161525722351454 -0.161525722351455
32768 32 -0.162212642027414 -0.162212642027413 -0.162212642027414
33280 32.5 -0.162843482082641 -0.162843482082641 -0.162843482082642
33792 33 -0.163881985578169 -0.163881985578167 -0.163881985578173
34304 33.5 -0.165213766635471 -0.165213766635469 -0.165213766635474
34816 34 -0.166567997299365 -0.166567997299363 -0.166567997299367
35328 34.5 -0.16793630377316 -0.167936303773158 -0.167936303773163
35840 35 -0.169320514487864 -0.169320514487863 -0.169320514487869
36352 35.5 -0.170732049138432 -0.170732049138431 -0.170732049138437
36864 36 -0.172170988911178 -0.172170988911175 -0.172170988911181
37376 36.5 -0.173594743511313 -0.173594743511311 -0.173594743511316
37888 37 -0.174965324845892 -0.17496532484589 -0.174965324845896
38400 37.5 -0.176260166959487 -0.176260166959486 -0.176260166959492
38912 38 -0.177470280785199 -0.177470280785198 -0.177470280785203
39424 38.5 -0.178596337519059 -0.178596337519057 -0.178596337519061
39936 39 -0.179643723378086 -0.179643723378084 -0.179643723378088
40448 39.5 -0.180619333955405 -0.180619333955404 -0.180619333955408
40960 40 -0.18152908585619 -0.181529085856189 -0.181529085856193
41472 40.5 -0.182375896140271 -0.18237589614027 -0.182375896140273
