# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 15:01:47+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.01.45-9991
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.01.45-9991
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
0 0 1
512 0.5 1.00064055544921
1024 1 1.00054512768405
1536 1.5 1.00045934180722
2048 2 1.00038233002215
2560 2.5 1.00041097052844
3072 3 1.00058984951047
3584 3.5 1.00079990476562
4096 4 1.00103910038499
4608 4.5 1.00130388817138
5120 5 1.00158560790522
5632 5.5 1.00188397543278
6144 6 1.0021963318839
6656 6.5 1.00252002059078
7168 7 1.00285187704008
7680 7.5 1.00318846039613
8192 8 1.00352674545526
8704 8.5 1.00386439523254
9216 9 1.0041991617514
9728 9.5 1.00461273420943
10240 10 1.00514467297892
10752 10.5 1.00569446895955
11264 11 1.00625970455911
11776 11.5 1.00683783899437
12288 12 1.00742622690511
12800 12.5 1.00802219350845
13312 13 1.00862261741526
13824 13.5 1.00922409961173
14336 14 1.00982366382028
14848 14.5 1.01041818809777
15360 15 1.0110472166367
15872 15.5 1.01173705708384
16384 16 1.01241938440744
16896 16.5 1.01309223472517
17408 17 1.01375454030829
17920 17.5 1.01440555835775
18432 18 1.01504444188781
18944 18.5 1.01567034782431
19456 19 1.01628252106191
19968 19.5 1.01687972659763
20480 20 1.0174606091114
20992 20.5 1.01802409327703
21504 21 1.01856929072975
22016 21.5 1.01909544108987
22528 22 1.01960247693306
23040 22.5 1.02009154125992
23552 23 1.0205646699934
24064 23.5 1.02102366290976
24576 24 1.02146884925483
25088 24.5 1.02189855392044
25600 25 1.02230978922625
26112 25.5 1.02270035614021
26624 26 1.02307074270393
27136 26.5 1.02342363423174
27648 27 1.02376142994298
28160 27.5 1.0240845005407
28672 28 1.02439194289124
29184 28.5 1.02468223027942
29696 29 1.02495381206156
30208 29.5 1.02520672380461
30720 30 1.02544227846246
31232 30.5 1.02566136849384
31744 31 1.02586345689207
32256 31.5 1.02604774017702
32768 32 1.02621506909405
33280 32.5 1.02636799538089
33792 33 1.02650862721533
34304 33.5 1.02663688066211
34816 34 1.02675119308176
35328 34.5 1.02685067648424
35840 35 1.02693637985306
36352 35.5 1.02701035477049
36864 36 1.02707361970054
37376 36.5 1.02712546560034
37888 37 1.02716513539288
38400 37.5 1.02719374578652
38912 38 1.02721410035524
39424 38.5 1.02722856619073
39936 39 1.0272412185157
40448 39.5 1.02753538995916
40960 40 1.02780687132744
41472 40.5 1.02805645899645
41984 41 1.02828442462499
42496 41.5 1.02849199340273
43008 42 1.02868209536329
43520 42.5 1.02885822798013
44032 43 1.02902265041504
44544 43.5 1.02917596851431
45056 44 1.0293185780774
45568 44.5 1.02945232467226
46080 45 1.02958140667429
