# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 15:01:47+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.01.45-9991
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.01.45-9991
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 0.000548005806069017
512 0.5 0.00108409103477669
1024 1 0.00151997742509484
1536 1.5 0.00172316391157721
2048 2 0.00181732995225186
2560 2.5 0.00183385425970397
3072 3 0.00179351411353702
3584 3.5 0.00176451044438746
4096 4 0.00180382774185314
4608 4.5 0.00186316894009118
5120 5 0.00186818013461095
5632 5.5 0.00181369125524717
6144 6 0.00179319766667096
6656 6.5 0.00181705492611108
7168 7 0.00187234375732458
7680 7.5 0.00196363998580365
8192 8 0.00206841575656619
8704 8.5 0.00217525319318249
9216 9 0.00226819315254877
9728 9.5 0.00233333617615168
10240 10 0.00235819710003479
10752 10.5 0.00234439370307647
11264 11 0.00233689278325713
11776 11.5 0.0024181109189205
12288 12 0.00262573613759107
12800 12.5 0.00286961770017488
13312 13 0.00298420976146345
13824 13.5 0.00290357425270514
14336 14 0.00275423013936245
14848 14.5 0.00273522366900163
15360 15 0.00292737234428636
15872 15.5 0.00324762394855176
16384 16 0.00354781718985789
16896 16.5 0.00370800409009961
17408 17 0.00367998501799634
17920 17.5 0.00353585899264411
18432 18 0.00347794242474209
18944 18.5 0.00370004241964654
19456 19 0.00416776672057519
19968 19.5 0.00457756884222947
20480 20 0.00462312855093325
20992 20.5 0.0043361029369057
21504 21 0.00411419031656875
22016 21.5 0.00433590471010539
22528 22 0.00492688611944825
23040 22.5 0.00537857283481918
23552 23 0.00528478977570937
24064 23.5 0.00483618222940838
24576 24 0.00465069332688356
25088 24.5 0.00506079725382855
25600 25 0.00570566518468597
26112 25.5 0.00596929523324874
26624 26 0.00573014144974922
27136 26.5 0.00546649457700919
27648 27 0.00561639980053939
28160 27.5 0.00606127143722232
28672 28 0.00636123207492623
29184 28.5 0.00633317897353511
29696 29 0.00620547633378646
30208 29.5 0.00625981949019552
30720 30 0.00650708534126715
31232 30.5 0.00675804181954835
31744 31 0.00689133915375362
32256 31.5 0.00696064865707832
32768 32 0.00707113402710344
33280 32.5 0.00723009849241325
33792 33 0.00735651215043093
34304 33.5 0.00741335800384314
34816 34 0.00747359439835439
35328 34.5 0.00762450220929636
35840 35 0.00784214141624895
36352 35.5 0.00801653010324506
36864 36 0.0080956381688974
37376 36.5 0.00814751228119599
37888 37 0.00826232274965176
38400 37.5 0.00843843980765827
38912 38 0.00859808561250469
39424 38.5 0.00869059714674678
39936 39 0.00874558034155268
40448 39.5 0.00882796348465781
40960 40 0.00896406472335938
41472 40.5 0.009120079510825
41984 41 0.00924553624384752
42496 41.5 0.00932804131448262
43008 42 0.00939965988804975
43520 42.5 0.00949365404195712
44032 43 0.00960847666136476
44544 43.5 0.00972024381372091
45056 44 0.00981757989640897
45568 44.5 0.0099091798410475
46080 45 0.0100020946149682
46592 45.5 0.0100902525870655
47104 46 0.0101696738118713
47616 46.5 0.0102521410659694
48128 47 0.0103516701594111
48640 47.5 0.0104611998082298
49152 48 0.0105553219478629
49664 48.5 0.0106205177360232
50176 49 0.0106744543502687
50688 49.5 0.0107473014199794
51200 50 0.010847465476202
51712 50.5 0.0109540715644558
52224 51 0.0110419419435436
52736 51.5 0.0111048927671589
53248 52 0.0111541804410236
53760 52.5 0.0112060109900556
54272 53 0.0112761336877225
54784 53.5 0.0113740318656184
55296 54 0.0114878665855971
55808 54.5 0.0115804559199949
56320 55 0.0116199644363963
56832 55.5 0.0116233498582863
57344 56 0.0116554670831234
57856 56.5 0.011765079708734
58368 57 0.0119203491772628
58880 57.5 0.0120280594996628
59392 58 0.0120341296634613
59904 58.5 0.0119958904642094
60416 59 0.0120294888604684
60928 59.5 0.0121784086734345
61440 60 0.0123556839817838
61952 60.5 0.0124367654200835
62464 61 0.0124007096810678
62976 61.5 0.0123551275800954
63488 62 0.0124163218535339
64000 62.5 0.0125836012960903
64512 63 0.0127461740811695
65024 63.5 0.0128052771531557
65536 64 0.0127731989417287
66048 64.5 0.0127507824344457
66560 65 0.012820047909245
67072 65.5 0.0129670978941588
67584 66 0.0131056362994661
68096 66.5 0.0131664433268022
68608 67 0.013160016193016
69120 67.5 0.0131564045723532
69632 68 0.013212750625357
70144 68.5 0.013325109201375
70656 69 0.0134442788612962
71168 69.5 0.0135259099423034
71680 70 0.013562468938063
72192 70.5 0.0135794627491059
72704 71 0.0136130866174209
73216 71.5 0.0136861688108442
73728 72 0.0137903766301562
74240 72.5 0.0138885273995658
74752 73 0.0139461885809589
75264 73.5 0.0139684656541801
75776 74 0.0139983098910847
76288 74.5 0.0140705429485053
76800 75 0.0141728735726218
77312 75.5 0.0142617233910714
77824 76 0.0143133249928096
78336 76.5 0.0143469486155244
78848 77 0.0143956450575068
79360 77.5 0.0144672813255848
79872 78 0.0145445751045837
80384 78.5 0.0146147513393506
80896 79 0.0146820814992998
81408 79.5 0.0147498170863805
81920 80 0.0148075643048076
82432 80.5 0.0148494700538982
82944 81 0.0148943829303277
83456 81.5 0.014968400799175
83968 82 0.0150665227793663
84480 82.5 0.0151501172440704
84992 83 0.0151929040203018
85504 83.5 0.0152171630337622
86016 84 0.0152686009829611
86528 84.5 0.0153594862058295
87040 85 0.0154537119713563
87552 85.5 0.0155127326076606
88064 86 0.0155423797904212
88576 86.5 0.0155822856012987
89088 87 0.015655521677784
89600 87.5 0.0157439643423361
90112 88 0.0158162094171213
90624 88.5 0.0158664381993046
91136 89 0.0159146035158238
91648 89.5 0.0159748342421555
92160 90 0.0160391960490059
92672 90.5 0.0160958165679121
93184 91 0.0161495360547353
93696 91.5 0.016213355298545
94208 92 0.0162856195784486
94720 92.5 0.0163495208583868
95232 93 0.0163971572235904
95744 93.5 0.0164429013059192
96256 94 0.0165054687944717
96768 94.5 0.0165824759922187
97280 95 0.0166519699624752
97792 95.5 0.0166992130077869
98304 96 0.0167346671584844
98816 96.5 0.0167818255603803
99328 97 0.0168510783221578
99840 97.5 0.0169300501454768
100352 98 0.0169984753382823
100864 98.5 0.017048231914771
101376 99 0.017088041879678
101888 99.5 0.0171326483149586
102400 100 0.0171905391229009
102912 100.5 0.0172597226323045
103424 101 0.0173303268734259
103936 101.5 0.017390459619767
104448 102 0.0174344900539344
104960 102.5 0.0174701460882472
105472 103 0.0175156209529823
105984 103.5 0.0175835728997911
