# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 15:01:47+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.01.45-9991
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.01.45-9991
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 2.89080192984727e-05 2.89080192984732e-05 2.89080192984706e-05
1024 1 8.408842331716e-05 8.40884233171641e-05 8.40884233171597e-05
1536 1.5 0.000145470754602173 0.000145470754602171 0.00014547075460219
2048 2 0.000196705306332707 0.000196705306332706 0.000196705306332732
2560 2.5 0.00022000476588313 0.000220004765883132 0.000220004765883139
3072 3 0.00020297405467962 0.000202974054679613 0.000202974054679559
3584 3.5 0.000178155487395278 0.000178155487395276 0.000178155487395273
4096 4 0.000208424703769713 0.000208424703769745 0.000208424703769634
4608 4.5 0.00019522924521645 0.000195229245216362 0.000195229245216469
5120 5 0.000168819395120524 0.000168819395120549 0.000168819395120581
5632 5.5 0.000196837612540329 0.000196837612540307 0.000196837612540241
6144 6 0.000191580285710472 0.000191580285710362 0.000191580285709785
6656 6.5 0.00016529463482998 0.000165294634829861 0.000165294634830154
7168 7 0.000180602220136612 0.000180602220136864 0.000180602220136242
7680 7.5 0.000175135977809215 0.000175135977809363 0.000175135977809558
8192 8 0.00015468854413286 0.000154688544131993 0.000154688544131915
8704 8.5 0.000140186113143105 0.00014018611314281 0.000140186113143123
9216 9 0.000149594505970034 0.000149594505971377 0.000149594505972758
9728 9.5 0.000173221476778007 0.000173221476779709 0.000173221476780534
10240 10 0.000171795015161111 0.00017179501516055 0.000171795015160385
10752 10.5 0.000195915027364647 0.000195915027363917 0.000195915027364604
11264 11 0.000195976001437227 0.000195976001435713 0.000195976001437356
11776 11.5 0.000182846120764255 0.000182846120765853 0.000182846120765846
12288 12 0.000164160291522908 0.000164160291523542 0.000164160291524646
12800 12.5 0.000129507999473468 0.000129507999473465 0.00012950799947306
13312 13 0.000151328799189494 0.000151328799188391 0.000151328799190006
13824 13.5 0.000184688919621788 0.000184688919621 0.000184688919619784
14336 14 0.000195190944243615 0.000195190944244309 0.000195190944243347
14848 14.5 0.000190270686744665 0.000190270686744603 0.000190270686742523
15360 15 0.000176576649848605 0.000176576649849736 0.000176576649850228
15872 15.5 0.000185597508034237 0.000185597508032929 0.00018559750803324
16384 16 0.000134996040957438 0.000134996040955806 0.00013499604095554
16896 16.5 4.46727932041363e-05 4.46727932086966e-05 4.4672793207554e-05
17408 17 5.22621687125389e-05 5.22621687182967e-05 5.22621687172895e-05
17920 17.5 7.3057326107014e-05 7.30573261125712e-05 7.30573261093677e-05
18432 18 5.91849082702973e-05 5.91849082705226e-05 5.91849082657983e-05
18944 18.5 7.21943241241367e-05 7.21943241317546e-05 7.21943241277819e-05
19456 19 9.48643305223193e-05 9.48643305233552e-05 9.48643305223131e-05
19968 19.5 0.000107770805581457 0.000107770805582797 0.000107770805582491
20480 20 0.000110832704773064 0.000110832704773387 0.000110832704771805
20992 20.5 0.000128670014626367 0.000128670014628089 0.000128670014626294
21504 21 0.000119553665838688 0.000119553665840133 0.000119553665841818
22016 21.5 0.000158939420793059 0.000158939420792491 0.000158939420793294
22528 22 0.000245602233989861 0.00024560223398797 0.000245602233988469
23040 22.5 0.000243988315399494 0.000243988315401952 0.000243988315401485
23552 23 0.000400334755630364 0.000400334755633825 0.000400334755628081
24064 23.5 0.000481871096515688 0.000481871096519864 0.000481871096516131
24576 24 0.00036139756095696 0.000361397560958055 0.000361397560958252
25088 24.5 0.000294960707445773 0.0002949607074464 0.000294960707445091
25600 25 0.00036559396620815 0.00036559396620937 0.000365593966207394
26112 25.5 0.000446384172390157 0.000446384172390752 0.000446384172389835
26624 26 0.000427383514202466 0.000427383514201378 0.000427383514203341
27136 26.5 0.000378637661239418 0.000378637661240594 0.000378637661242917
27648 27 0.000398921562488445 0.000398921562489745 0.000398921562490814
28160 27.5 0.000388233354428443 0.000388233354427918 0.000388233354425756
28672 28 0.000373393822004714 0.000373393822007963 0.000373393822006304
29184 28.5 0.0003566018994461 0.000356601899445782 0.000356601899442226
29696 29 0.000412087358095565 0.000412087358098407 0.000412087358093555
30208 29.5 0.000393357288301297 0.000393357288303166 0.000393357288301155
30720 30 0.000479280320703332 0.000479280320702828 0.000479280320698372
31232 30.5 0.000494474736707297 0.000494474736709752 0.000494474736704478
31744 31 0.000415144787963849 0.000415144787964304 0.000415144787961116
32256 31.5 0.000503199703288821 0.00050319970329121 0.000503199703286326
32768 32 0.000420579572388248 0.000420579572389703 0.000420579572386445
33280 32.5 0.000464925231240715 0.000464925231242195 0.000464925231239746
33792 33 0.000389261057028738 0.000389261057030491 0.00038926105702744
34304 33.5 0.000425173670371329 0.000425173670375191 0.000425173670372464
34816 34 0.000363717820106555 0.00036371782010913 0.000363717820106037
35328 34.5 0.00016460443736755 0.000164604437369005 0.000164604437370822
35840 35 0.000156213877505657 0.000156213877503118 0.000156213877507798
36352 35.5 0.00012262064863689 0.000122620648635788 0.00012262064863748
36864 36 0.000183740900264323 0.000183740900266126 0.000183740900267582
37376 36.5 0.000152649945866196 0.000152649945869864 0.000152649945871956
37888 37 0.000161446102699485 0.000161446102699251 0.000161446102702871
38400 37.5 0.000244527808276607 0.000244527808278768 0.000244527808279624
38912 38 0.000217305141866296 0.000217305141868539 0.000217305141866759
39424 38.5 9.95012992125547e-05 9.95012992133656e-05 9.95012992138455e-05
39936 39 0.000124289122225434 0.000124289122224902 0.000124289122224446
40448 39.5 0.000112559435691606 0.000112559435688168 0.000112559435690995
40960 40 7.53029080244081e-05 7.5302908024967e-05 7.53029080227755e-05
41472 40.5 7.44540840013604e-05 7.44540839976481e-05 7.44540839997785e-05
41984 41 6.17214281276645e-05 6.1721428127853e-05 6.17214281270501e-05
42496 41.5 0.000137064539588409 0.000137064539586558 0.000137064539587636
43008 42 0.000150530702949084 0.000150530702948316 0.000150530702949524
43520 42.5 0.000106855591746555 0.000106855591745398 0.000106855591748427
44032 43 9.11611232901164e-05 9.11611232899927e-05 9.11611232889564e-05
44544 43.5 9.94942034502363e-05 9.94942034509889e-05 9.94942034495501e-05
45056 44 0.000115662591419853 0.000115662591418124 0.000115662591419477
45568 44.5 9.68587179639082e-05 9.6858717960959e-05 9.68587179631122e-05
46080 45 0.000102716998470689 0.000102716998469624 0.000102716998468714
46592 45.5 0.00012697460128781 0.000126974601286563 0.000126974601287213
47104 46 0.00010708972639254 0.000107089726391998 0.000107089726394148
47616 46.5 8.78861360049036e-05 8.78861360007338e-05 8.78861359976278e-05
48128 47 7.15793104602551e-05 7.15793104609469e-05 7.15793104595478e-05
48640 47.5 0.000115343449052719 0.000115343449051856 0.000115343449048069
49152 48 0.000123291364890316 0.00012329136488998 0.000123291364890437
49664 48.5 8.43401842517415e-05 8.43401842500815e-05 8.434018425809e-05
50176 49 7.68274815482949e-05 7.68274815467932e-05 7.68274815494508e-05
50688 49.5 7.85778294647477e-05 7.85778294674386e-05 7.8577829466918e-05
51200 50 6.38539495095258e-05 6.38539495086352e-05 6.38539495107889e-05
51712 50.5 6.13881552200483e-05 6.13881552183273e-05 6.13881552184765e-05
52224 51 5.66283127178824e-05 5.66283127182525e-05 5.66283127140228e-05
52736 51.5 4.38820328094531e-05 4.38820328062195e-05 4.38820328078912e-05
53248 52 5.20246664894927e-05 5.20246664889307e-05 5.20246664870906e-05
53760 52.5 5.43456462495474e-05 5.43456462507712e-05 5.43456462496559e-05
54272 53 4.5896292761759e-05 4.58962927589162e-05 4.58962927608604e-05
54784 53.5 4.34506073730263e-05 4.34506073730133e-05 4.34506073743135e-05
55296 54 5.98314146986167e-05 5.9831414699091e-05 5.98314146958383e-05
55808 54.5 7.34151469627901e-05 7.34151469649959e-05 7.34151469645779e-05
56320 55 7.14238761835652e-05 7.14238761849936e-05 7.14238761872081e-05
56832 55.5 5.86560320706084e-05 5.86560320701598e-05 5.8656032067895e-05
