# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 15:01:47+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.01.45-9991
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-14.01.45-9991
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 7.26488104270994e-06 7.26488104270992e-06 7.26488104270988e-06
1024 1 2.11795292636725e-05 2.11795292636725e-05 2.11795292636725e-05
1536 1.5 3.80261328394623e-05 3.80261328394623e-05 3.80261328394624e-05
2048 2 4.81494937116117e-05 4.81494937116117e-05 4.81494937116117e-05
2560 2.5 4.63833789622346e-05 4.63833789622346e-05 4.63833789622352e-05
3072 3 4.12367329826771e-05 4.12367329826771e-05 4.1236732982678e-05
3584 3.5 4.19969247552243e-05 4.19969247552243e-05 4.19969247552214e-05
4096 4 4.23652617692621e-05 4.2365261769262e-05 4.23652617692535e-05
4608 4.5 3.97594774968149e-05 3.97594774968142e-05 3.97594774968099e-05
5120 5 3.82560869440035e-05 3.8256086944003e-05 3.82560869440022e-05
5632 5.5 3.75240718254138e-05 3.75240718254149e-05 3.75240718254124e-05
6144 6 3.59993925813308e-05 3.59993925813339e-05 3.59993925813366e-05
6656 6.5 3.46322412172171e-05 3.46322412172259e-05 3.4632241217221e-05
7168 7 3.38824368423567e-05 3.38824368423641e-05 3.38824368423604e-05
7680 7.5 3.32982484000999e-05 3.3298248400097e-05 3.32982484000937e-05
8192 8 3.25876147407012e-05 3.25876147407013e-05 3.25876147406964e-05
8704 8.5 3.19071931371736e-05 3.19071931371794e-05 3.19071931371865e-05
9216 9 3.1596130890245e-05 3.15961308902514e-05 3.15961308902577e-05
9728 9.5 3.141538309567e-05 3.14153830956629e-05 3.14153830956529e-05
10240 10 3.12822613656981e-05 3.12822613656957e-05 3.12822613656746e-05
10752 10.5 3.16239483122457e-05 3.16239483122684e-05 3.16239483122444e-05
11264 11 3.26060780795939e-05 3.26060780796175e-05 3.26060780795875e-05
11776 11.5 3.33701251520555e-05 3.33701251520668e-05 3.33701251520364e-05
12288 12 3.25377572753259e-05 3.25377572753396e-05 3.25377572753196e-05
12800 12.5 3.10677689188481e-05 3.1067768918865e-05 3.10677689188446e-05
13312 13 3.02519283011154e-05 3.02519283011209e-05 3.02519283010762e-05
13824 13.5 2.89896218917178e-05 2.89896218917303e-05 2.89896218916929e-05
14336 14 2.76276403522456e-05 2.76276403522752e-05 2.76276403522685e-05
14848 14.5 2.70513781962611e-05 2.70513781962958e-05 2.70513781963062e-05
15360 15 2.6801489134841e-05 2.68014891348575e-05 2.68014891348616e-05
15872 15.5 2.66126998537579e-05 2.66126998537622e-05 2.66126998537404e-05
16384 16 2.66900244241287e-05 2.66900244241209e-05 2.66900244240916e-05
16896 16.5 2.80261738714068e-05 2.80261738714229e-05 2.80261738713983e-05
17408 17 2.97368616568867e-05 2.97368616569104e-05 2.97368616568773e-05
17920 17.5 3.08932835483454e-05 3.08932835483546e-05 3.08932835483432e-05
18432 18 3.18556130200965e-05 3.1855613020094e-05 3.18556130200917e-05
18944 18.5 3.20376556052348e-05 3.20376556052288e-05 3.20376556052231e-05
19456 19 3.15708844978375e-05 3.15708844978519e-05 3.15708844978404e-05
19968 19.5 3.12871234793446e-05 3.12871234793786e-05 3.12871234793585e-05
20480 20 3.07438970268738e-05 3.07438970269168e-05 3.07438970268877e-05
20992 20.5 2.901678377579e-05 2.90167837758032e-05 2.90167837757942e-05
21504 21 2.65897087820342e-05 2.65897087820241e-05 2.65897087820276e-05
22016 21.5 2.46838057195176e-05 2.46838057194941e-05 2.46838057194834e-05
22528 22 2.30583560847217e-05 2.30583560847262e-05 2.30583560846738e-05
23040 22.5 2.26719807384753e-05 2.26719807385135e-05 2.26719807384581e-05
23552 23 2.42282799323363e-05 2.42282799323684e-05 2.42282799323335e-05
24064 23.5 2.61587154434784e-05 2.61587154434882e-05 2.61587154434742e-05
24576 24 2.79919139615653e-05 2.79919139615278e-05 2.79919139615197e-05
25088 24.5 2.83521084396868e-05 2.83521084396722e-05 2.83521084396361e-05
25600 25 2.85984000908811e-05 2.85984000908875e-05 2.85984000908467e-05
26112 25.5 3.08743484639045e-05 3.08743484639029e-05 3.0874348463883e-05
26624 26 3.10877634965168e-05 3.10877634965038e-05 3.10877634965e-05
27136 26.5 2.94156416251768e-05 2.94156416251585e-05 2.94156416251282e-05
27648 27 3.02045722483585e-05 3.02045722483534e-05 3.02045722482976e-05
28160 27.5 3.14077782042596e-05 3.14077782042685e-05 3.14077782042328e-05
28672 28 3.09446301267362e-05 3.09446301267435e-05 3.09446301267131e-05
29184 28.5 2.99906244268692e-05 2.99906244268645e-05 2.99906244268255e-05
29696 29 2.92369546248147e-05 2.92369546248207e-05 2.92369546247896e-05
30208 29.5 2.81641051578278e-05 2.81641051578439e-05 2.81641051578174e-05
30720 30 2.68335375343326e-05 2.68335375343329e-05 2.68335375342946e-05
31232 30.5 2.65089982252165e-05 2.65089982252303e-05 2.650899822517e-05
31744 31 2.72624346353021e-05 2.72624346353391e-05 2.72624346352628e-05
32256 31.5 2.81321813661687e-05 2.81321813661975e-05 2.81321813661353e-05
32768 32 2.8137231226386e-05 2.81372312263933e-05 2.81372312263516e-05
33280 32.5 2.8121114117646e-05 2.81211141176427e-05 2.81211141175912e-05
33792 33 2.99441861976761e-05 2.99441861977035e-05 2.9944186197615e-05
34304 33.5 3.18353636584214e-05 3.18353636584369e-05 3.183536365837e-05
34816 34 3.13076449082337e-05 3.13076449082165e-05 3.13076449082157e-05
35328 34.5 2.91301575492375e-05 2.91301575492339e-05 2.9130157549227e-05
35840 35 2.76034283436374e-05 2.7603428343657e-05 2.76034283435936e-05
36352 35.5 2.7068654400548e-05 2.70686544005761e-05 2.70686544004811e-05
36864 36 2.59564027667334e-05 2.5956402766763e-05 2.59564027666904e-05
37376 36.5 2.39420633294939e-05 2.39420633295254e-05 2.39420633295133e-05
37888 37 2.28639001829029e-05 2.28639001829512e-05 2.28639001829293e-05
38400 37.5 2.34598645514988e-05 2.34598645515599e-05 2.3459864551473e-05
38912 38 2.38378657982079e-05 2.38378657982558e-05 2.38378657981934e-05
39424 38.5 2.33048775937767e-05 2.33048775938089e-05 2.33048775938007e-05
39936 39 2.28867271196728e-05 2.28867271197267e-05 2.28867271197168e-05
40448 39.5 2.28234912880596e-05 2.28234912881047e-05 2.28234912881108e-05
