# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 13:32:44+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-12.32.42-5424
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-12.32.42-5424
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
0 0 0 0 0
512 0.5 -9.4065063903825e-07 -9.40650639038289e-07 -9.40650639038289e-07
1024 1 -3.63551870067245e-06 -3.63551870067248e-06 -3.63551870067248e-06
1536 1.5 -5.90934901711943e-06 -5.90934901711942e-06 -5.90934901711943e-06
2048 2 -5.6700510194697e-06 -5.6700510194697e-06 -5.67005101946971e-06
2560 2.5 -6.22166905585259e-06 -6.22166905585257e-06 -6.22166905585255e-06
3072 3 -1.16748524826469e-05 -1.1674852482648e-05 -1.16748524826469e-05
3584 3.5 -1.48897221691219e-05 -1.48897221691234e-05 -1.48897221691219e-05
4096 4 -1.55510787395668e-05 -1.55510787395661e-05 -1.55510787395669e-05
4608 4.5 -1.77447449415889e-05 -1.77447449415832e-05 -1.77447449415839e-05
5120 5 -2.21493356946127e-05 -2.21493356945904e-05 -2.21493356945793e-05
5632 5.5 -2.65359170382726e-05 -2.65359170382648e-05 -2.65359170382438e-05
6144 6 -2.9967419731925e-05 -2.99674197319879e-05 -2.99674197319876e-05
6656 6.5 -3.25182875236995e-05 -3.25182875237155e-05 -3.25182875237575e-05
7168 7 -3.30601766995948e-05 -3.30601766995693e-05 -3.30601766995628e-05
7680 7.5 -3.67268781407502e-05 -3.67268781408686e-05 -3.67268781408082e-05
8192 8 -3.96253353695983e-05 -3.96253353696576e-05 -3.96253353697085e-05
8704 8.5 -3.99211021060136e-05 -3.99211021059474e-05 -3.99211021061141e-05
9216 9 -3.83133974167281e-05 -3.8313397416707e-05 -3.83133974167399e-05
9728 9.5 -3.74002593984532e-05 -3.74002593985301e-05 -3.74002593983894e-05
10240 10 -3.866322354136e-05 -3.86632235413919e-05 -3.86632235413178e-05
10752 10.5 -4.54020134512455e-05 -4.54020134512627e-05 -4.54020134512768e-05
11264 11 -4.9018768439511e-05 -4.9018768439385e-05 -4.90187684396574e-05
11776 11.5 -5.45960597255199e-05 -5.45960597252422e-05 -5.45960597254271e-05
12288 12 -6.02255317878431e-05 -6.02255317877461e-05 -6.02255317878947e-05
12800 12.5 -6.36968618691783e-05 -6.36968618694124e-05 -6.36968618693854e-05
13312 13 -6.67213072619935e-05 -6.67213072621953e-05 -6.67213072620465e-05
13824 13.5 -7.07140024904714e-05 -7.07140024904437e-05 -7.07140024904057e-05
14336 14 -7.49950530283476e-05 -7.49950530283597e-05 -7.49950530284473e-05
14848 14.5 -7.92902610345886e-05 -7.92902610347597e-05 -7.92902610347173e-05
15360 15 -8.54570478551912e-05 -8.54570478551201e-05 -8.54570478550304e-05
15872 15.5 -9.53270905985661e-05 -9.53270905980392e-05 -9.53270905982949e-05
16384 16 -0.000108555367750808 -0.000108555367750403 -0.000108555367750813
16896 16.5 -0.000123092777180079 -0.000123092777180377 -0.00012309277718028
17408 17 -0.000136297213115505 -0.000136297213116088 -0.000136297213115614
17920 17.5 -0.000145962955201445 -0.000145962955201552 -0.000145962955201422
18432 18 -0.000152135046843424 -0.000152135046843114 -0.000152135046843405
18944 18.5 -0.000157713039962186 -0.000157713039962109 -0.000157713039962231
19456 19 -0.000165827046747906 -0.000165827046748157 -0.000165827046747931
19968 19.5 -0.000176762946426294 -0.000176762946426301 -0.000176762946426198
20480 20 -0.000188171983038779 -0.000188171983038271 -0.000188171983038591
20992 20.5 -0.000197848449707745 -0.000197848449707344 -0.000197848449707697
21504 21 -0.000205900353613221 -0.000205900353613623 -0.000205900353613479
22016 21.5 -0.00021448065339191 -0.000214480653392555 -0.000214480653392135
22528 22 -0.000225045506357148 -0.000225045506357068 -0.000225045506356972
23040 22.5 -0.000235309461180874 -0.000235309461180395 -0.000235309461180693
23552 23 -0.000239756155272344 -0.000239756155272307 -0.000239756155272704
24064 23.5 -0.00023447727080645 -0.000234477270806686 -0.000234477270806939
24576 24 -0.000221381648940843 -0.000221381648940943 -0.00022138164894073
25088 24.5 -0.000207024434205551 -0.000207024434205514 -0.000207024434205012
25600 25 -0.0001983675795938 -0.000198367579593786 -0.000198367579594222
