# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 13:32:44+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-12.32.42-5424
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-12.32.42-5424
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
0 0 0.00127999999244924
512 0.5 0.00127701724593845
1024 1 0.00127415701145977
1536 1.5 0.00127147662514466
2048 2 0.00126895943776926
2560 2.5 0.00126662346791661
3072 3 0.00126449189738094
3584 3.5 0.00126272512046934
4096 4 0.00126128488482861
4608 4.5 0.0012601781277498
5120 5 0.00125940639415671
5632 5.5 0.0012589646520873
6144 6 0.00125883966285102
6656 6.5 0.0012590084592861
7168 7 0.00125943959004193
7680 7.5 0.00126009716808872
8192 8 0.0012609445504807
8704 8.5 0.00126194463305407
9216 9 0.00126305827510298
9728 9.5 0.00126424595117251
10240 10 0.0012654724149314
10752 10.5 0.00126670875471309
11264 11 0.00126792753078985
11776 11.5 0.00126909882007493
12288 12 0.00127019682481555
12800 12.5 0.00127121065149309
13312 13 0.00127214232023236
13824 13.5 0.00127299206141896
14336 14 0.00127375289335842
14848 14.5 0.00127442159964735
15360 15 0.0012750059021382
15872 15.5 0.00127551245270768
16384 16 0.00127593321169395
16896 16.5 0.00127625391129637
17408 17 0.0012764745128275
17920 17.5 0.00127661168245364
18432 18 0.00127667935373978
18944 18.5 0.00127667403410066
19456 19 0.00127658171616525
19968 19.5 0.00127639361513742
20480 20 0.00127611315929879
20992 20.5 0.00127575468325136
21504 21 0.00127534131764319
22016 21.5 0.0012748998365593
22528 22 0.00127444780238039
23040 22.5 0.00127398130241464
23552 23 0.00127347919388772
24064 23.5 0.00127292614518769
24576 24 0.00127233466273231
25088 24.5 0.00127174172110574
25600 25 0.00127117793864278
26112 25.5 0.00127063722948217
26624 26 0.00127007981997701
27136 26.5 0.00126946969239717
27648 27 0.00126880934151536
28160 27.5 0.00126813478299837
28672 28 0.00126747575493352
29184 28.5 0.00126682328100361
29696 29 0.00126613729662397
30208 29.5 0.00126538408352067
30720 30 0.00126456543538161
31232 30.5 0.00126371337617011
31744 31 0.00126285741967799
32256 31.5 0.00126199494070805
32768 32 0.00126109289629171
33280 32.5 0.00126012153963429
33792 33 0.00125908773195381
34304 33.5 0.00125803098761502
34816 34 0.00125698322286067
35328 34.5 0.00125593679667062
35840 35 0.00125485953220438
36352 35.5 0.00125373921238028
