# Scalar ASCII output created by CarpetIOScalar
# created on vlab1557-p0003.laboratori.local by es858465 on Nov 11 2024 at 13:32:44+0100
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-vlab1557-p0003.laboratori.local-es858465-2024.05.24-08.30.35-279313
# Simulation ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-12.32.42-5424
# Run ID: run-TOV_example-vlab1557-p0003.laboratori.local-es858465-2024.11.11-12.32.42-5424
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 -0.000127567441713103
512 0.5 -0.000141557109097942
1024 1 -0.000215464804310907
1536 1.5 -0.00031235777208719
2048 2 -0.000408666146215964
2560 2.5 -0.000493514224320704
3072 3 -0.000565195918608826
3584 3.5 -0.000627460312725646
4096 4 -0.000689681143605887
4608 4.5 -0.000757156277919176
5120 5 -0.000825708772847662
5632 5.5 -0.000886032911382345
6144 6 -0.000933647737899608
6656 6.5 -0.000973229970675929
7168 7 -0.00101219423462366
7680 7.5 -0.00105297365727442
8192 8 -0.001094323119996
8704 8.5 -0.00113557996381427
9216 9 -0.00117420000151061
9728 9.5 -0.00120511286558079
10240 10 -0.00123063626029122
10752 10.5 -0.00126316289788034
11264 11 -0.00130679534056779
11776 11.5 -0.00134576837873584
12288 12 -0.00136630344508726
12800 12.5 -0.00138173057693132
13312 13 -0.00141825176257043
13824 13.5 -0.00147944961528278
14336 14 -0.00154044533299277
14848 14.5 -0.00157787204478583
15360 15 -0.00159514731679672
15872 15.5 -0.00161487368014077
16384 16 -0.00165218529571843
16896 16.5 -0.00170261179480369
17408 17 -0.00175634604297128
17920 17.5 -0.00181274712794646
18432 18 -0.00186979843448474
18944 18.5 -0.00191043009823853
19456 19 -0.00192258839822932
19968 19.5 -0.00193172727962
20480 20 -0.00198541182109352
20992 20.5 -0.00209286452072069
21504 21 -0.00220078738739135
22016 21.5 -0.00224913663194289
22528 22 -0.00224073530406095
23040 22.5 -0.00223711194879389
23552 23 -0.00228984348547514
24064 23.5 -0.00239250658013544
24576 24 -0.00249824679431685
25088 24.5 -0.00256639399823926
25600 25 -0.00258864539388203
26112 25.5 -0.00258895040803652
26624 26 -0.00260969303375164
27136 26.5 -0.00268313546246584
27648 27 -0.00279744965035008
28160 27.5 -0.00289640119204441
28672 28 -0.0029320326239019
29184 28.5 -0.0029205203770218
29696 29 -0.00293020053442607
30208 29.5 -0.00300661807388723
30720 30 -0.00312126435273439
31232 30.5 -0.00320629952905897
31744 31 -0.00323292514493604
32256 31.5 -0.00323921626108707
32768 32 -0.00327875583579297
33280 32.5 -0.0033590857318533
33792 33 -0.00344460367804398
34304 33.5 -0.00350875120073497
34816 34 -0.00355854112398728
35328 34.5 -0.00360784370355741
35840 35 -0.00365116700520568
36352 35.5 -0.0036841670920548
36864 36 -0.00372801598889921
37376 36.5 -0.00380359430924384
37888 37 -0.00389012226810383
38400 37.5 -0.00394233852209318
38912 38 -0.00395339768875848
39424 38.5 -0.0039714419190256
39936 39 -0.00403850631808719
40448 39.5 -0.00413368311103651
40960 40 -0.00419955408901806
41472 40.5 -0.00421644586808344
41984 41 -0.00422532533791639
42496 41.5 -0.00427141400247334
43008 42 -0.00434648469939744
43520 42.5 -0.00440632353767942
44032 43 -0.00443452267557458
44544 43.5 -0.00446082851627733
45056 44 -0.00451170885452462
45568 44.5 -0.0045709434912919
46080 45 -0.00460864468026787
46592 45.5 -0.00462995543684029
47104 46 -0.00466658579508839
47616 46.5 -0.00472606310387249
48128 47 -0.00477865918163233
48640 47.5 -0.00480214764474695
49152 48 -0.00481620521820072
49664 48.5 -0.00485471307993055
50176 49 -0.00491677106828832
50688 49.5 -0.00496782036426932
51200 50 -0.00498845943607263
51712 50.5 -0.00500067862519265
52224 51 -0.00503508928594077
52736 51.5 -0.00508872206921077
53248 52 -0.00513265834578971
53760 52.5 -0.0051538873948113
54272 53 -0.00516975834286802
54784 53.5 -0.00519957854710066
55296 54 -0.00523971631271015
55808 54.5 -0.00527533200127266
56320 55 -0.0053037735837144
56832 55.5 -0.00533326557530779
57344 56 -0.00536489861355707
57856 56.5 -0.00539047332666316
58368 57 -0.00540870821885193
58880 57.5 -0.00543125832255417
59392 58 -0.00546693975991082
59904 58.5 -0.00550761224196176
60416 59 -0.00553741458036469
60928 59.5 -0.00555304686653421
61440 60 -0.00556756908559397
61952 60.5 -0.00559373819725404
62464 61 -0.00562979959050364
62976 61.5 -0.00566431726878412
63488 62 -0.00569031512066234
64000 62.5 -0.00571003032995901
64512 63 -0.00572883601157809
65024 63.5 -0.00575047727914989
65536 64 -0.00577744856765118
66048 64.5 -0.00580960755783451
66560 65 -0.00584101728911378
67072 65.5 -0.00586417165862197
67584 66 -0.00588033938414312
68096 66.5 -0.00590025960488073
68608 67 -0.00593029356835307
69120 67.5 -0.0059630307189157
69632 68 -0.0059877088177065
70144 68.5 -0.00600573837526224
70656 69 -0.00602772410737393
71168 69.5 -0.00605692293846083
71680 70 -0.0060849869235209
72192 70.5 -0.0061058361472186
72704 71 -0.0061253503913881
73216 71.5 -0.00615221619559201
73728 72 -0.00618448170300231
74240 72.5 -0.00621191793351575
74752 73 -0.00623040638989833
75264 73.5 -0.00624776177772128
75776 74 -0.00627306690769011
76288 74.5 -0.00630450837920233
76800 75 -0.00633256409944423
77312 75.5 -0.00635371149538747
77824 76 -0.00637458541497819
78336 76.5 -0.00640069817507124
78848 77 -0.00642776025009188
79360 77.5 -0.00644975096933564
79872 78 -0.00647033473015591
80384 78.5 -0.00649760318352397
80896 79 -0.0065295695646748
81408 79.5 -0.0065549329154019
81920 80 -0.00657013592742974
82432 80.5 -0.00658645295869936
82944 81 -0.00661485378345219
83456 81.5 -0.00665048834120054
83968 82 -0.00667933953285482
84480 82.5 -0.0066967118096673
84992 83 -0.00671164133674834
85504 83.5 -0.00673376932045496
86016 84 -0.00676269554606024
86528 84.5 -0.00679179847549499
87040 85 -0.00681705180551749
87552 85.5 -0.00683889690077423
88064 86 -0.00685901956643436
88576 86.5 -0.00687926882021069
89088 87 -0.00690229099623855
89600 87.5 -0.00692940598986845
90112 88 -0.0069575087051293
90624 88.5 -0.00698107604727427
91136 89 -0.00699880478106277
91648 89.5 -0.00701626514915243
92160 90 -0.00703966540491057
92672 90.5 -0.0070680088854829
93184 91 -0.0070942836227515
93696 91.5 -0.00711446861227542
94208 92 -0.00713216171691937
94720 92.5 -0.00715289825227807
95232 93 -0.00717693187518606
95744 93.5 -0.00720051081546116
96256 94 -0.00722219498981863
96768 94.5 -0.00724389478482489
97280 95 -0.0072661286475503
97792 95.5 -0.00728660008359627
98304 96 -0.0073048487499063
98816 96.5 -0.00732458082988897
99328 97 -0.00734852256923679
99840 97.5 -0.0073734003896432
100352 98 -0.00739369529514984
100864 98.5 -0.00740947648305444
101376 99 -0.00742672012937963
101888 99.5 -0.00744927216141199
102400 100 -0.00747384191293567
102912 100.5 -0.00749484850391293
103424 101 -0.00751182252487279
103936 101.5 -0.00752913242590903
104448 102 -0.00754937661220192
104960 102.5 -0.00757037855194334
105472 103 -0.00758946490808691
105984 103.5 -0.00760773324213526
106496 104 -0.00762769446245709
107008 104.5 -0.00764848335534139
107520 105 -0.00766681986024348
108032 105.5 -0.00768259971302585
108544 106 -0.00769999871674915
109056 106.5 -0.00772150658199592
109568 107 -0.00774365918781102
110080 107.5 -0.00776138475490781
110592 108 -0.00777511144244715
111104 108.5 -0.00779044281290222
111616 109 -0.00781077327881974
112128 109.5 -0.00783302933499697
112640 110 -0.00785202330033804
113152 110.5 -0.00786709582181084
113664 111 -0.00788226386929986
114176 111.5 -0.00790046299118664
114688 112 -0.00792014703168289
115200 112.5 -0.00793832461689668
115712 113 -0.00795484012791193
116224 113.5 -0.00797174680338641
116736 114 -0.00798959499200956
117248 114.5 -0.00800683171751036
117760 115 -0.00802293561703004
118272 115.5 -0.00803974403282656
118784 116 -0.0080585374011903
119296 116.5 -0.00807757349528324
119808 117 -0.00809429501296749
120320 117.5 -0.00810908180364623
120832 118 -0.00812485112571345
121344 118.5 -0.00814302999673812
121856 119 -0.00816177237136765
122368 119.5 -0.00817878795145932
122880 120 -0.0081944424864965
123392 120.5 -0.00821083977883356
123904 121 -0.00822868991535453
124416 121.5 -0.00824659283301857
124928 122 -0.00826334292568471
125440 122.5 -0.0082795625995325
125952 123 -0.00829648933464778
126464 123.5 -0.0083141021774344
126976 124 -0.00833137315073904
127488 124.5 -0.00834794207562891
128000 125 -0.00836456088749357
128512 125.5 -0.00838186696870884
129024 126 -0.00839955530688775
129536 126.5 -0.00841704705697352
130048 127 -0.00843431509562871
130560 127.5 -0.00845159589748104
131072 128 -0.00846878207027874
131584 128.5 -0.0084857149450752
132096 129 -0.00850281689097108
132608 129.5 -0.0085207146729355
133120 130 -0.00853917742616277
133632 130.5 -0.00855710072484242
134144 131 -0.00857391263321043
134656 131.5 -0.00859053271070629
135168 132 -0.00860838032970147
135680 132.5 -0.0086275886152726
136192 133 -0.00864675436797047
136704 133.5 -0.00866456607554755
137216 134 -0.00868127760886562
137728 134.5 -0.00869833125881926
138240 135 -0.00871675434823185
138752 135.5 -0.00873621185643278
139264 136 -0.00875554397392803
139776 136.5 -0.00877394130749834
140288 137 -0.00879155949924759
140800 137.5 -0.00880924893039394
141312 138 -0.00882782903607867
141824 138.5 -0.00884742932682254
142336 139 -0.00886731528896174
142848 139.5 -0.00888645597250027
143360 140 -0.0089045155683678
143872 140.5 -0.00892230471590878
144384 141 -0.00894103758026712
144896 141.5 -0.00896105083130512
145408 142 -0.00898142853878559
145920 142.5 -0.00900103002983233
146432 143 -0.00901971339505206
146944 143.5 -0.00903829851188094
147456 144 -0.00905748118702795
147968 144.5 -0.00907722203363082
148480 145 -0.00909718997493733
148992 145.5 -0.00911720099822732
149504 146 -0.00913697168324246
150016 146.5 -0.00915608933638072
150528 147 -0.00917476471546582
151040 147.5 -0.0091940674926495
151552 148 -0.00921465475334809
152064 148.5 -0.0092356102201868
152576 149 -0.00925540751591591
153088 149.5 -0.00927390987630336
153600 150 -0.00929255682976014
154112 150.5 -0.00931246493956886
154624 151 -0.00933312035525426
155136 151.5 -0.0093532735201247
155648 152 -0.00937252832095821
156160 152.5 -0.00939153385116844
156672 153 -0.00941090371253174
157184 153.5 -0.00943044503524303
157696 154 -0.00944966993665255
158208 154.5 -0.00946865059644314
158720 155 -0.00948769146288215
159232 155.5 -0.00950665285505673
159744 156 -0.00952498504279028
160256 156.5 -0.00954263119493391
160768 157 -0.00956041572539991
161280 157.5 -0.00957907902444709
161792 158 -0.00959819532550453
162304 158.5 -0.00961660500044512
162816 159 -0.0096338776050256
163328 159.5 -0.00965081388769624
163840 160 -0.00966836842932941
164352 160.5 -0.00968652917352028
164864 161 -0.00970453420312144
165376 161.5 -0.00972187491558749
165888 162 -0.00973871388162429
166400 162.5 -0.0097554453095618
166912 163 -0.00977223967856294
167424 163.5 -0.00978910682877225
167936 164 -0.00980608695257388
168448 164.5 -0.00982309930238552
168960 165 -0.00983975111497615
169472 165.5 -0.00985568495879399
169984 166 -0.00987118125337488
170496 166.5 -0.00988702982029281
171008 167 -0.00990355426642521
171520 167.5 -0.00992007442603074
172032 168 -0.00993570468216843
172544 168.5 -0.00995051165575179
173056 169 -0.009965399416184
173568 169.5 -0.00998092203416137
174080 170 -0.00999667103903925
174592 170.5 -0.0100119262853531
175104 171 -0.0100265242110167
175616 171.5 -0.0100408721799193
176128 172 -0.0100553597041811
176640 172.5 -0.0100700078162543
177152 173 -0.0100846008676241
177664 173.5 -0.0100989616678549
178176 174 -0.0101130640693807
178688 174.5 -0.0101269771582351
179200 175 -0.0101407800864842
179712 175.5 -0.0101545331367286
180224 176 -0.0101682630089543
180736 176.5 -0.0101819234604295
181248 177 -0.0101954151165058
181760 177.5 -0.0102087029615955
182272 178 -0.0102218696328894
182784 178.5 -0.0102349910370431
183296 179 -0.0102480179353211
183808 179.5 -0.0102608681518367
184320 180 -0.0102735863183543
184832 180.5 -0.0102862946920714
185344 181 -0.0102989928599663
185856 181.5 -0.0103115269450676
186368 182 -0.010323800823065
186880 182.5 -0.0103359225201386
187392 183 -0.0103480618523511
187904 183.5 -0.0103602226941103
188416 184 -0.0103722628712664
188928 184.5 -0.0103841072749473
189440 185 -0.0103958212553178
189952 185.5 -0.0104074634124174
190464 186 -0.0104189914808591
190976 186.5 -0.0104303877308302
191488 187 -0.0104417751909112
192000 187.5 -0.0104532412272491
192512 188 -0.0104646110225453
193024 188.5 -0.0104755906730782
193536 189 -0.0104861810642193
194048 189.5 -0.0104967908722392
194560 190 -0.0105077464512717
195072 190.5 -0.0105187953622649
195584 191 -0.0105293589863207
196096 191.5 -0.0105392607092985
196608 192 -0.0105489814165581
197120 192.5 -0.0105590910065817
197632 193 -0.0105695630027114
198144 193.5 -0.0105798153309787
198656 194 -0.010589417202444
199168 194.5 -0.010598587700063
199680 195 -0.010607878066819
200192 195.5 -0.0106174788225268
200704 196 -0.0106270671203132
201216 196.5 -0.0106363224864285
201728 197 -0.0106453108193602
202240 197.5 -0.0106542445885431
202752 198 -0.0106631242658344
203264 198.5 -0.0106718440443502
203776 199 -0.0106804823560729
204288 199.5 -0.0106892060748672
204800 200 -0.0106979361860878
205312 200.5 -0.010706374158351
205824 201 -0.0107144167131818
206336 201.5 -0.0107223470140857
206848 202 -0.010730494452833
207360 202.5 -0.0107388163034379
207872 203 -0.0107469574685076
208384 203.5 -0.0107546923268183
208896 204 -0.0107621720928152
209408 204.5 -0.0107696971862486
209920 205 -0.0107773532542828
210432 205.5 -0.0107849681022831
210944 206 -0.0107923738161495
211456 206.5 -0.0107995855108041
211968 207 -0.0108067045247511
212480 207.5 -0.010813758934805
212992 208 -0.0108207198714367
213504 208.5 -0.0108276122509256
214016 209 -0.0108345012676089
214528 209.5 -0.0108413639840607
215040 210 -0.0108480639305877
215552 210.5 -0.0108545079571969
216064 211 -0.0108607888214396
